,team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,PHI,A.J. Brown,Combination,1.1,0,1,2.1,3.0,0.7000000000000001
1,PHI,A.J. Brown,Cover 0,7.300000000000001,6,2,15.299999999999999,9.0,1.7
2,PHI,A.J. Brown,Cover 1,32.00000000000001,24,19,74.99999999999999,75.0,0.9999999999999998
3,PHI,A.J. Brown,Cover 2,8.200000000000001,0,9,17.2,55.0,0.3127272727272727
4,PHI,A.J. Brown,Cover 3,32.5,0,21,53.5,91.0,0.5879120879120879
5,PHI,A.J. Brown,Cover 4,14.200000000000003,6,7,27.2,34.0,0.7999999999999999
6,PHI,A.J. Brown,Cover 6,2.2,0,2,4.199999999999999,5.0,0.8399999999999999
7,PHI,A.J. Brown,Man Cover 2,3.7,0,3,6.7,14.0,0.4785714285714286
9,PHI,A.J. Brown,Screen,0.09999999999999998,0,4,4.1000000000000005,21.0,0.19523809523809527
10,ARI,A.J. Green,Cover 0,1.4000000000000001,6,1,8.4,15.0,0.56
11,ARI,A.J. Green,Cover 1,21.200000000000003,0,11,32.2,97.0,0.331958762886598
12,ARI,A.J. Green,Cover 2,6.800000000000002,0,7,13.8,75.0,0.184
13,ARI,A.J. Green,Cover 3,36.80000000000001,6,21,63.800000000000004,130.0,0.4907692307692308
14,ARI,A.J. Green,Cover 4,9.600000000000001,0,4,13.600000000000001,72.0,0.1888888888888889
15,ARI,A.J. Green,Cover 6,5.4,0,4,9.4,24.0,0.39166666666666666
16,ARI,A.J. Green,Man Cover 2,0.8,0,1,1.8,14.0,0.1285714285714286
17,ARI,A.J. Green,Other,0.0,0,0,0.0,1.0,0.0
18,ARI,A.J. Green,Screen,1.8000000000000003,0,4,5.799999999999999,18.0,0.3222222222222222
21,GB,Aaron Jones,Cover 0,0.0,0,0,0.0,5.0,0.0
22,GB,Aaron Jones,Cover 1,5.300000000000001,18,7,30.300000000000004,55.0,0.550909090909091
23,GB,Aaron Jones,Cover 2,11.4,0,5,16.400000000000002,22.0,0.7454545454545456
24,GB,Aaron Jones,Cover 3,7.1000000000000005,0,8,15.100000000000001,56.0,0.2696428571428572
25,GB,Aaron Jones,Cover 4,5.5,6,9,20.5,35.0,0.5857142857142857
27,GB,Aaron Jones,Man Cover 2,1.2000000000000002,0,2,3.2,27.0,0.11851851851851852
29,GB,Aaron Jones,Screen,16.200000000000003,6,22,44.199999999999996,39.0,1.1333333333333333
34,MIA,Adam Shaheen,Cover 0,2.1,0,1,3.1,2.0,1.55
41,MIN,Adam Thielen,Cover 0,2.4000000000000004,6,1,9.4,6.0,1.5666666666666667
42,MIN,Adam Thielen,Cover 1,13.700000000000001,18,10,41.7,86.0,0.4848837209302326
43,MIN,Adam Thielen,Cover 2,7.4,0,6,13.4,37.0,0.3621621621621622
44,MIN,Adam Thielen,Cover 3,19.6,6,20,45.60000000000001,124.0,0.367741935483871
45,MIN,Adam Thielen,Cover 4,19.8,6,13,38.8,70.0,0.5542857142857143
46,MIN,Adam Thielen,Cover 6,2.4000000000000004,0,2,4.4,9.0,0.48888888888888893
47,MIN,Adam Thielen,Man Cover 2,4.8999999999999995,0,6,10.900000000000002,32.0,0.34062500000000007
48,MIN,Adam Thielen,Prevent,0.0,0,0,0.0,6.0,0.0
49,MIN,Adam Thielen,Screen,3.6,0,8,11.600000000000001,38.0,0.3052631578947369
50,NO,Adam Trautman,Cover 0,0.0,0,0,0.0,8.0,0.0
52,NO,Adam Trautman,Cover 2,4.9,0,3,7.9,21.0,0.3761904761904762
53,NO,Adam Trautman,Cover 3,7.300000000000001,0,8,15.3,61.0,0.25081967213114753
54,NO,Adam Trautman,Cover 4,4.3,0,5,9.3,36.0,0.25833333333333336
55,NO,Adam Trautman,Prevent,0.6000000000000001,0,1,1.6,1.0,1.6
56,NO,Adam Trautman,Screen,4.0,0,6,10.000000000000002,11.0,0.9090909090909093
58,DEN,Albert Okwuegbunam,Combination,0.4,6,1,7.4,1.0,7.4
59,DEN,Albert Okwuegbunam,Cover 1,11.000000000000002,0,9,20.0,38.0,0.5263157894736842
61,DEN,Albert Okwuegbunam,Cover 3,19.800000000000004,0,19,38.800000000000004,60.0,0.6466666666666667
64,MIN,Albert Wilson,Cover 0,0.0,0,0,0.0,6.0,0.0
65,MIN,Albert Wilson,Cover 1,2.4000000000000004,0,5,7.4,58.0,0.12758620689655173
66,MIN,Albert Wilson,Cover 2,1.7000000000000002,0,3,4.699999999999999,23.0,0.20434782608695648
68,MIN,Albert Wilson,Cover 4,2.4,0,3,5.4,37.0,0.14594594594594595
69,MIN,Albert Wilson,Cover 6,0.0,0,0,0.0,6.0,0.0
71,MIN,Albert Wilson,Screen,4.300000000000001,0,8,12.3,13.0,0.9461538461538462
72,MIA,Alec Ingold,Cover 0,0.0,0,0,0.0,3.0,0.0
81,MIN,Alexander Mattison,Cover 2,1.0,0,2,3.0,15.0,0.2
82,MIN,Alexander Mattison,Cover 3,6.1000000000000005,0,9,15.099999999999998,38.0,0.39736842105263154
83,MIN,Alexander Mattison,Cover 4,0.6,0,5,5.6,26.0,0.21538461538461537
84,MIN,Alexander Mattison,Cover 6,0.7000000000000001,0,1,1.7000000000000002,5.0,0.34
85,MIN,Alexander Mattison,Man Cover 2,0.9000000000000001,0,2,2.9000000000000004,11.0,0.26363636363636367
87,MIN,Alexander Mattison,Screen,9.600000000000001,0,8,17.6,18.0,0.9777777777777779
89,GB,Allen Lazard,Cover 1,20.6,18,15,53.6,101.0,0.5306930693069307
90,GB,Allen Lazard,Cover 2,3.1000000000000005,0,3,6.1,34.0,0.17941176470588235
91,GB,Allen Lazard,Cover 3,17.1,6,8,31.1,83.0,0.3746987951807229
93,GB,Allen Lazard,Cover 6,2.8000000000000003,6,2,10.8,19.0,0.5684210526315789
94,GB,Allen Lazard,Man Cover 2,1.4000000000000001,0,1,2.4000000000000004,33.0,0.07272727272727274
95,GB,Allen Lazard,Screen,3.4000000000000004,6,6,15.399999999999999,18.0,0.8555555555555555
98,NO,Alvin Kamara,Cover 1,6.300000000000001,12,8,26.3,72.0,0.3652777777777778
99,NO,Alvin Kamara,Cover 2,11.0,0,11,22.0,35.0,0.6285714285714286
100,NO,Alvin Kamara,Cover 3,9.1,6,9,24.1,55.0,0.43818181818181823
101,NO,Alvin Kamara,Cover 4,3.0,6,5,14.000000000000002,27.0,0.5185185185185186
102,NO,Alvin Kamara,Cover 6,0.30000000000000004,0,1,1.3,5.0,0.26
104,NO,Alvin Kamara,Screen,13.8,6,12,31.800000000000004,24.0,1.3250000000000002
106,CLE,Amari Cooper,Cover 0,0.0,0,0,0.0,16.0,0.0
107,CLE,Amari Cooper,Cover 1,38.099999999999994,24,21,83.10000000000001,107.0,0.7766355140186917
108,CLE,Amari Cooper,Cover 2,8.7,0,7,15.7,81.0,0.19382716049382714
109,CLE,Amari Cooper,Cover 3,18.2,6,21,45.2,138.0,0.327536231884058
110,CLE,Amari Cooper,Cover 4,18.1,0,13,31.1,68.0,0.45735294117647063
111,CLE,Amari Cooper,Cover 6,1.0,0,1,2.0,10.0,0.2
112,CLE,Amari Cooper,Man Cover 2,4.0,6,5,15.0,21.0,0.7142857142857143
113,CLE,Amari Cooper,Screen,0.8,0,3,3.8,11.0,0.34545454545454546
119,DET,Amon-Ra St. Brown,Cover 0,0.5,0,1,1.5,5.0,0.3
120,DET,Amon-Ra St. Brown,Cover 1,19.800000000000004,0,18,37.800000000000004,93.0,0.40645161290322585
121,DET,Amon-Ra St. Brown,Cover 2,7.299999999999999,6,8,21.3,54.0,0.39444444444444443
122,DET,Amon-Ra St. Brown,Cover 3,33.800000000000004,12,26,71.80000000000001,147.0,0.48843537414965993
123,DET,Amon-Ra St. Brown,Cover 4,19.900000000000002,6,18,43.90000000000001,107.0,0.41028037383177585
124,DET,Amon-Ra St. Brown,Cover 6,0.5,0,1,1.5,20.0,0.075
125,DET,Amon-Ra St. Brown,Man Cover 2,4.4,0,3,7.4,12.0,0.6166666666666667
126,DET,Amon-Ra St. Brown,Other,0.0,0,0,0.0,1.0,0.0
127,DET,Amon-Ra St. Brown,Prevent,0.8,0,1,1.8,6.0,0.3
128,DET,Amon-Ra St. Brown,Screen,7.699999999999999,0,13,20.700000000000003,23.0,0.9000000000000001
