team,playerName,Duo,Pass Protection,Pull 2,Pull Across,Pull Front,Pull Outside Numbers,Slide Left,Slide Right,Split Zone,Wham,Zone
ARI,Colt McCoy,,0.2625000000000001,,,,,,,,,0.07692307692307691
ARI,Darrel Williams,0.39,,0.5,1.3133333333333337,,,,,0.5636363636363637,,0.4533333333333333
ARI,Eno Benjamin,,,,,,,,,,,0.5928571428571427
ARI,James Conner,0.27,0.6571428571428571,0.3125,0.8333333333333331,0.9874999999999998,,,,0.3083333333333333,,1.0415254237288136
ARI,Kyler Murray,,1.0157894736842108,,,,,,,,,0.8085714285714284
ARI,Rondale Moore,,,,,,,,,,,0.7833333333333333
ATL,Cordarrelle Patterson,0.2727272727272728,,,,,1.8142857142857145,,,0.5375000000000002,,0.6207207207207209
ATL,Damien Williams,,,,,,,,,0.18571428571428567,,0.8041666666666667
ATL,Keith Smith,,,,,,,,,,,0.3444444444444444
ATL,Marcus Mariota,,,,,,,,,,,1.8285714285714283
BAL,Lamar Jackson,,0.9805555555555556,0.523809523809524,0.5413793103448276,,,,,0.4875,,0.7037037037037037
BAL,Mike Davis,0.3166666666666667,,,0.5000000000000001,,0.4,,,0.22000000000000006,,0.5465346534653466
BAL,Tyler Huntley,,1.3636363636363635,0.5571428571428572,0.6142857142857144,,,,,,,0.1625
BUF,Case Keenum,,,,,,,,,,,0.037500000000000006
BUF,Devin Singletary,,,0.7807692307692305,0.9864864864864864,0.5499999999999999,0.18333333333333335,,,0.8959999999999999,,0.7144329896907219
BUF,Isaiah McKenzie,,,,,,,,,,,0.5499999999999999
BUF,Josh Allen,,1.025,1.6058823529411763,1.385714285714286,,1.6090909090909091,,,,,0.21463414634146347
BUF,Zack Moss,,0.6333333333333333,,1.4363636363636365,,,,,0.3363636363636364,,0.4428571428571428
CAR,Baker Mayfield,,1.1571428571428568,,,,,,0.2833333333333334,,,0.025000000000000005
CAR,Christian McCaffrey,0.4875,,0.4571428571428571,0.4818181818181818,,,,,,,0.5464285714285713
CAR,Chuba Hubbard,0.2818181818181818,,0.5000000000000001,0.8649999999999999,,1.1222222222222225,,,0.5700000000000001,,0.4867346938775513
CAR,D'Onta Foreman,0.7722222222222223,,,0.6909090909090911,,,,,0.2733333333333334,,0.5863636363636362
CAR,Sam Darnold,,1.5105263157894742,,,,,,,,,0.5619047619047619
CHI,David Montgomery,0.6411764705882355,,0.033333333333333326,0.69375,,,,,0.3296296296296297,,0.6034246575342463
CHI,Justin Fields,,0.8151515151515153,,,,,1.6125,,0.10000000000000003,,0.5812500000000002
CHI,Khalil Herbert,,,,0.3875000000000001,,,,,0.44666666666666666,,0.5946666666666667
CHI,Trevor Siemian,,,,,,,,,,,-0.03333333333333333
CIN,Brandon Allen,,,,,,,,,,,-0.016666666666666663
CIN,Chris Evans,,,,,,,,,,,0.4666666666666667
CIN,Ja'Marr Chase,,,,,,,,,,,0.4555555555555556
