team,playerName,Duo,Pass Protection,Pull 2,Pull Across,Pull Front,Pull Outside Numbers,Slide Left,Slide Right,Split Zone,Wham,Zone
CIN,Joe Burrow,,1.0599999999999998,,,,,,,,,-0.017391304347826087
CIN,Joe Mixon,0.5416666666666667,0.6777777777777778,0.6000000000000001,0.3384615384615384,0.3875000000000001,0.624,,,0.4680851063829789,,0.7425742574257421
CIN,Samaje Perine,0.6428571428571429,,,,,,,,0.4181818181818182,,0.565625
CLE,D'Ernest Johnson,,0.4142857142857143,,0.6272727272727274,,,,,0.8400000000000001,,0.9314285714285716
CLE,Jacoby Brissett,,1.3874999999999995,,,,,,,,,0.08571428571428573
CLE,Kareem Hunt,,1.1666666666666667,1.225,1.3277777777777775,,,,,,,0.6888888888888888
CLE,Nick Chubb,0.5533333333333333,,0.44285714285714295,0.9952380952380954,,1.175,,,0.12307692307692307,,0.7415730337078652
DAL,CeeDee Lamb,,,,,,,,,,,0.8333333333333334
DAL,Cooper Rush,,,,,,,,,,,-0.12500000000000006
DAL,Dak Prescott,,0.9526315789473684,,,,,,,,,-0.055555555555555566
DAL,Ezekiel Elliott,0.8000000000000002,0.5166666666666667,1.525,0.7678571428571429,0.3428571428571429,0.5800000000000001,,,0.7923076923076924,,0.5489361702127663
DAL,Tony Pollard,0.3833333333333334,,0.4,0.6,,2.3714285714285714,,,0.5875,,0.5986486486486486
DEN,Javonte Williams,0.5850000000000001,,1.0333333333333334,0.4630434782608697,,,,,0.4484848484848485,,0.6144444444444442
DEN,Russell Wilson,,1.36,,,,,,,,,0.06666666666666668
DET,Craig Reynolds,,,,0.5166666666666665,,,,,0.2538461538461539,,0.3882352941176471
DET,D'Andre Swift,0.25,0.8,0.7000000000000001,0.3071428571428571,,,,,0.7526315789473684,,0.7461538461538463
DET,Jamaal Williams,0.6470588235294117,,,0.4888888888888888,,,,,0.3695652173913043,,0.4785714285714287
DET,Jared Goff,,0.4600000000000001,,,,,,,,,
GB,Aaron Jones,1.1562499999999998,,,0.3181818181818182,,,,,0.3055555555555556,,0.6085937500000003
GB,Aaron Rodgers,,1.5857142857142856,,,,,,,,,0.3437500000000001
GB,Jordan Love,,0.55,,,,,,,,,-0.1
GB,Kylin Hill,,,,,,,,,,,0.2
HOU,Davis Mills,,0.42,,,,,,,,,0.025
HOU,Marlon Mack,,,,,,,,,,,0.3875000000000001
HOU,Rex Burkhead,0.30000000000000004,,,0.3535714285714287,,,,,0.2923076923076923,,0.7666666666666665
IND,Jonathan Taylor,0.375,,,0.5750000000000001,,0.4142857142857143,,,0.6444444444444445,2.046153846153846,0.949756097560976
IND,Matt Ryan,,0.4181818181818182,,,,,,,,,0.013043478260869571
IND,Nyheim Hines,0.38333333333333336,,,0.4750000000000001,,,,,0.4166666666666667,,0.9857142857142858
IND,Phillip Lindsay,0.3,,,0.26,,,,,0.288888888888889,,0.3305555555555556
JAX,James Robinson,0.8692307692307693,,,0.5850000000000001,2.171428571428572,0.55,,,0.8090909090909091,,0.6799999999999998
JAX,Trevor Lawrence,,1.0307692307692309,,,,,,,,,0.42647058823529416
KC,Chad Henne,,,,,,,,,,,-0.05714285714285715
KC,Clyde Edwards-Helaire,1.4142857142857144,,,0.34,,,,,0.27857142857142864,,0.6458823529411765
KC,Jerick McKinnon,,,0.4500000000000001,0.6000000000000001,,,,,,,0.488
KC,Mecole Hardman,,,,,,,,,,,1.4375
KC,Michael Burton,,,,,,,,,,,0.8999999999999998
KC,Patrick Mahomes,,1.1535714285714287,,,,,,,,,-0.12352941176470593
LAC,Austin Ekeler,1.152,,,1.0384615384615383,1.3666666666666665,,,,1.0068965517241375,,0.6160377358490565
LAC,Joshua Kelley,,,,,,,,,,,0.2647058823529412
LAC,Justin Herbert,,1.3593750000000004,,,,,,,,,0.08333333333333331
LAR,Cam Akers,0.28181818181818186,,,,,,,,0.30909090909090914,,0.22291666666666668
LAR,Cooper Kupp,,,,,,,,,,,0.38333333333333336
LAR,Matthew Stafford,,0.4692307692307692,,,,,,,,,0.33333333333333337
LV,Brandon Bolden,0.2833333333333334,,,0.576923076923077,,,,,,,0.84375
LV,Derek Carr,,1.0058823529411764,,,,,,,,,0.00526315789473685
LV,Josh Jacobs,0.7153846153846152,,0.9555555555555556,0.3652173913043478,,,,,0.8000000000000002,,0.6444444444444446
LV,Kenyan Drake,,,,0.24285714285714285,,,,,1.0200000000000002,,0.6035714285714285
MIA,Chase Edmonds,,0.5000000000000001,,0.9499999999999998,,,,,0.7153846153846154,,0.5600000000000003
MIA,Sony Michel,0.59,,,0.26428571428571435,,,,,0.2909090909090909,,0.5128378378378375
MIA,Teddy Bridgewater,,1.0692307692307692,,,,,,,,,0.4466666666666667
MIA,Tua Tagovailoa,,0.6999999999999998,,,,,,,,,0.5590909090909091
MIA,Tyreek Hill,,,,,,,,,,,0.7166666666666667
MIN,Alexander Mattison,,,,1.0111111111111108,,,,,0.5866666666666667,,0.462
MIN,Dalvin Cook,0.5666666666666668,0.5000000000000001,,0.6240000000000001,1.6833333333333331,1.342857142857143,,,0.4214285714285717,,0.5771084337349396
MIN,Kene Nwangwu,,,,,,,,,,,0.2888888888888889
MIN,Kirk Cousins,,0.8454545454545457,,,,,,,,,0.3923076923076923
NE,Brian Hoyer,,,,,,,,,,,-0.07272727272727272
NE,Damien Harris,1.0342857142857145,0.6230769230769232,,0.6174999999999999,1.37,0.75,,,,0.5384615384615384,1.0333333333333337
NE,Mac Jones,,0.7294117647058823,,,,,,,,,0.048148148148148176
NE,Rhamondre Stevenson,0.7263157894736842,0.7000000000000001,,0.415625,0.2833333333333334,0.9823529411764708,,,0.37142857142857133,,0.8390243902439021
NE,Ty Montgomery,,,,,,,,,,,0.1125
NO,Alvin Kamara,0.5857142857142857,0.21666666666666667,,0.325,0.5461538461538462,0.6500000000000001,,,0.6038461538461539,,0.4353846153846153
NO,Andy Dalton,,0.7600000000000001,,,,,,,,,
NO,Jameis Winston,,1.2000000000000002,,,,,,,,,0.05000000000000001
NO,Taysom Hill,,0.9200000000000002,,1.125714285714286,,,,,,,0.2857142857142857
NYG,Daniel Jones,,0.9631578947368418,,,,,,,,,0.5999999999999999
NYG,Matt Breida,,,0.8666666666666668,,,,,,,,0.34444444444444444
NYG,Saquon Barkley,0.4,,,0.40540540540540543,,,,,0.5107142857142858,,0.5058823529411764
NYG,Tyrod Taylor,,2.72,,,,,,,,,
NYJ,Michael Carter,,,,0.5151515151515151,,,,,0.8040000000000002,,0.4746666666666666
NYJ,Tevin Coleman,,,,0.461111111111111,0.8666666666666667,,,,0.6000000000000001,,0.3622222222222222
NYJ,Zach Wilson,,1.669230769230769,,,,,,,,,1.5499999999999998
PHI,Boston Scott,,,,1.457142857142857,1.4333333333333331,,,,1.36,,0.9647058823529409
PHI,Jalen Hurts,,1.093877551020408,0.625,0.2428571428571429,,,,,0.5636363636363637,,1.1931034482758618
PHI,Kenneth Gainwell,0.3333333333333333,,,,,,,,1.2428571428571429,,0.8386363636363634
PHI,Miles Sanders,0.4,,1.0363636363636364,0.16250000000000006,0.4166666666666667,,,,0.4333333333333334,,0.495121951219512
PIT,Chase Claypool,,,,,,,,,,,0.4400000000000001
PIT,Najee Harris,0.3437500000000001,0.28666666666666674,,0.4619047619047619,0.8666666666666667,0.16666666666666666,,,0.6886792452830186,,0.5320512820512816
SEA,Chris Carson,,,,0.55,,,,,,,0.9444444444444446
SEA,Drew Lock,,2.4,,,,,,,,,
SEA,Rashaad Penny,0.62,,,1.133333333333333,,,,,1.4095238095238094,,0.8483333333333334
SF,Deebo Samuel,,,,0.8421052631578947,,4.257142857142857,,,1.01875,,0.9285714285714284
SF,Elijah Mitchell,,,,0.4847826086956524,,,,,0.7535714285714288,,0.571034482758621
SF,Jimmy Garoppolo,,0.35714285714285715,,,,,,,,,0.6187499999999998
SF,Kyle Juszczyk,,,,,,,,,,,1.025
SF,Trey Lance,,0.6615384615384615,,0.4,,,,,,,0.12000000000000005
TB,Blaine Gabbert,,,,,,,,,,,-0.07777777777777778
TB,Ke'Shawn Vaughn,0.9916666666666668,,,0.3272727272727274,,,,,,,1.105
TB,Leonard Fournette,0.7645833333333334,,,0.9179487179487184,0.5666666666666667,,,,0.22352941176470584,,0.6913043478260871
TB,Tom Brady,,0.6,,,,,,,,,0.6944444444444446
TEN,Derrick Henry,0.8375,,,0.33461538461538465,,0.6555555555555556,,,0.30000000000000004,,0.7817610062893084
TEN,Dontrell Hilliard,1.7857142857142858,,,,,,,,0.5166666666666667,,0.32285714285714284
TEN,Logan Woodside,,,,,,,,,,,-0.1
TEN,Ryan Tannehill,,1.8214285714285716,,,,,,,,,0.8727272727272725
WAS,Antonio Gibson,0.10000000000000002,,0.5111111111111112,0.3785714285714285,,0.41,,,0.3760869565217391,,0.6888157894736844
WAS,Carson Wentz,,0.7090909090909091,,,,,,,,,0.24814814814814826
WAS,J.D. McKissic,,,,1.3285714285714287,,,,,0.5428571428571429,,0.675
WAS,Taylor Heinicke,,0.95,,,,,,,,,0.12222222222222218
