team,playerName,Left A Gap,Left D Gap,Left Off-Tackle Gap Unknown,Middle,Right A Gap,Right D Gap,Right Off-Tackle Gap Unknown
ARI,Colt McCoy,,,,-0.057142857142857134,,,
ARI,Darrel Williams,0.35609756097560985,0.30000000000000004,0.6500000000000001,,0.6444444444444445,0.3928571428571429,1.2749999999999997
ARI,Eno Benjamin,1.1666666666666663,,0.23750000000000004,,0.31,,0.25555555555555565
ARI,James Conner,1.5849056603773586,1.4624999999999997,0.3743589743589743,,0.4545454545454547,,0.4883720930232559
ARI,Kyler Murray,,0.9620689655172412,0.3555555555555555,0.052941176470588235,,1.3300000000000003,1.45
ARI,Rondale Moore,,0.4888888888888889,,,,,
ATL,Cordarrelle Patterson,1.0529411764705885,0.6171428571428571,0.8838709677419353,,0.264,0.7533333333333333,0.4357142857142859
ATL,Damien Williams,,0.2571428571428572,1.2333333333333334,,0.98,,0.6000000000000002
ATL,Keith Smith,,,,,0.35000000000000003,,
BAL,Devin Duvernay,,0.7333333333333334,,,,,
BAL,Lamar Jackson,1.085714285714286,0.947619047619048,0.7173913043478263,-0.07142857142857142,0.49375,0.8277777777777778,0.5925925925925926
BAL,Mike Davis,0.7266666666666666,0.3045454545454545,0.7370370370370372,,0.3538461538461539,0.4611111111111112,0.39142857142857146
BAL,Tyler Huntley,,1.4909090909090912,,,,0.7000000000000002,0.7
BUF,Case Keenum,,,,-0.016666666666666666,,,
BUF,Devin Singletary,0.7933333333333336,0.5733333333333334,0.924,,0.7725000000000002,0.9583333333333334,0.4930232558139536
BUF,Isaiah McKenzie,,,,,,1.4444444444444444,
BUF,Josh Allen,0.3846153846153847,1.0903225806451613,0.9904761904761904,-0.16153846153846158,0.4500000000000001,1.3411764705882354,0.9727272727272728
BUF,Zack Moss,0.2733333333333333,0.7941176470588234,1.9125,,0.3657142857142858,0.2454545454545455,0.9500000000000002
CAR,Baker Mayfield,,0.4800000000000001,,-0.1,,0.6000000000000001,
CAR,Christian McCaffrey,0.5055555555555555,0.5000000000000001,0.45,,0.4391304347826087,1.35,0.24736842105263165
CAR,Chuba Hubbard,0.27878787878787875,0.8571428571428574,0.2695652173913044,,0.6074074074074074,0.95,0.3194444444444444
CAR,D'Onta Foreman,0.8388888888888891,0.2600000000000001,0.6215686274509804,,0.26470588235294124,0.6636363636363637,0.8361111111111108
CAR,Sam Darnold,1.2285714285714282,1.085714285714286,,0.4066666666666668,,1.2230769230769227,
CHI,David Montgomery,0.6176470588235293,0.3842105263157894,0.7716981132075471,,0.7113636363636361,0.23571428571428574,0.4062499999999999
CHI,Justin Fields,,0.742857142857143,0.7272727272727273,0.09090909090909093,,1.1809523809523812,
CHI,Khalil Herbert,0.4900000000000001,0.9142857142857144,0.9870967741935488,,0.2466666666666667,0.3916666666666666,0.3136363636363637
CIN,Chris Evans,,,0.45,,,,0.26666666666666666
CIN,Ja'Marr Chase,,,,,,0.4888888888888889,
CIN,Joe Burrow,0.3555555555555555,1.1,,-0.03888888888888889,,,1.03
CIN,Joe Mixon,0.742857142857143,0.5714285714285713,0.5111111111111112,,0.7985714285714286,0.8218750000000004,0.3696969696969697
CIN,Samaje Perine,0.38888888888888895,0.9285714285714284,,,0.5050000000000001,,0.2333333333333333
CLE,D'Ernest Johnson,0.2285714285714286,1.1625,0.8576923076923078,,0.5090909090909091,0.6444444444444444,0.6885714285714288
CLE,Jacoby Brissett,,,,0.08333333333333333,,,
CLE,Kareem Hunt,0.5111111111111111,0.3555555555555556,1.275,,1.2714285714285716,0.4941176470588236,1.008
CLE,Nick Chubb,0.6809523809523811,0.758974358974359,0.8833333333333333,,0.26,1.0023255813953489,0.6933333333333335
DAL,CeeDee Lamb,,0.8,,,,,
DAL,Dak Prescott,,1.5923076923076922,,-0.13684210526315793,0.11428571428571432,,
DAL,Ezekiel Elliott,1.1361111111111108,0.33888888888888896,0.6557692307692307,,0.6326530612244898,0.7952380952380951,0.4786666666666665
DAL,Tony Pollard,0.4055555555555556,1.027777777777778,0.4941176470588236,,0.38888888888888895,1.1454545454545455,0.68
DEN,Javonte Williams,0.605,0.9625,0.5611111111111111,,0.5769230769230769,0.6950000000000001,0.4637931034482759
DEN,Russell Wilson,,1.4909090909090907,,-0.03333333333333334,0.425,0.6090909090909092,
DET,Craig Reynolds,0.5545454545454546,,0.3923076923076924,,0.3200000000000001,,0.19
DET,D'Andre Swift,0.6416666666666665,0.5687500000000001,0.4516129032258065,,0.5185185185185185,0.2826086956521739,1.2086956521739132
DET,Jamaal Williams,0.2657142857142858,0.4888888888888889,0.8657142857142859,,0.3861111111111111,,0.5777777777777777
DET,Jared Goff,,,,,,0.6857142857142858,
GB,Aaron Jones,0.7734693877551022,0.7000000000000001,0.4277777777777778,,0.5615384615384614,0.4882352941176471,0.4703703703703703
GB,Aaron Rodgers,,0.5375000000000001,,-0.10000000000000002,,1.9111111111111116,
GB,Jordan Love,,,,-0.08333333333333333,,,
HOU,Davis Mills,,,,,,0.37,
HOU,Marlon Mack,0.16666666666666669,,0.5428571428571429,,,,
HOU,Rex Burkhead,0.4285714285714285,0.30000000000000004,0.7318181818181817,,0.35897435897435903,0.5666666666666667,0.6043478260869566
IND,Jonathan Taylor,0.7116883116883117,1.0096774193548388,0.968,,0.7779069767441857,1.3863636363636365,0.98
IND,Matt Ryan,,,,0.05624999999999999,0.23333333333333334,1.0,
IND,Nyheim Hines,0.3111111111111112,1.2666666666666668,0.3,,0.38461538461538464,,1.1846153846153846
IND,Phillip Lindsay,0.3307692307692308,1.0285714285714287,0.256,,0.33529411764705885,,0.29130434782608705
JAX,James Robinson,0.9619047619047618,0.575,0.7916666666666665,,0.6851851851851852,0.425,0.6736842105263158
JAX,Trevor Lawrence,,0.8090909090909091,0.5727272727272728,0.12307692307692307,1.1285714285714288,0.4666666666666667,1.1444444444444446
KC,Chad Henne,,,,-0.05714285714285715,,,
KC,Clyde Edwards-Helaire,0.42692307692307696,0.9545454545454548,0.655,,0.7333333333333333,0.6055555555555556,0.5758620689655172
KC,Jerick McKinnon,0.3666666666666667,,0.4666666666666667,,0.5545454545454545,,0.5875
KC,Mecole Hardman,,1.4111111111111112,,,,,
KC,Patrick Mahomes,,0.8296296296296296,1.4200000000000004,-0.1529411764705883,,0.9809523809523812,
LAC,Austin Ekeler,0.4906249999999999,0.6942857142857143,1.078,,1.024,0.3866666666666667,0.6677419354838708
LAC,DeAndre Carter,,1.35,,,,,
LAC,Joshua Kelley,0.0666666666666667,0.2500000000000001,0.3727272727272728,,,,
LAC,Justin Herbert,1.1700000000000002,1.169230769230769,1.9333333333333331,-0.03125,0.4222222222222223,0.9,
LAR,Cam Akers,0.31000000000000005,0.2923076923076923,0.3105263157894737,,0.2222222222222222,0.04444444444444445,0.22307692307692306
LAR,Matthew Stafford,,,,0.10357142857142854,0.31666666666666665,0.5666666666666668,
LV,Brandon Bolden,0.4636363636363637,,,,1.1181818181818182,,0.5900000000000001
LV,Derek Carr,,0.8142857142857143,,-0.010526315789473684,,,
LV,Josh Jacobs,0.7818181818181819,0.34,0.5638554216867472,,0.9405405405405404,0.2600000000000001,0.6728571428571429
LV,Kenyan Drake,0.2833333333333334,,0.3727272727272728,,0.3875000000000001,,1.080952380952381
MIA,Chase Edmonds,0.7083333333333334,1.0,0.4586206896551723,,0.4552631578947367,0.490909090909091,0.85
MIA,Sony Michel,0.7615384615384614,0.5999999999999999,0.4441558441558444,,0.5249999999999999,0.4954545454545455,0.4030769230769232
MIA,Teddy Bridgewater,,,,0.6,,1.5,
MIA,Tua Tagovailoa,,0.742857142857143,,0.30000000000000016,1.4333333333333331,1.5166666666666666,
MIA,Tyreek Hill,,,,,,0.43333333333333335,
MIN,Alexander Mattison,0.5666666666666668,0.11666666666666665,0.6269230769230769,,0.4,0.44666666666666666,0.5076923076923077
MIN,Dalvin Cook,0.5666666666666667,0.6968750000000001,0.6909090909090911,,0.3638888888888888,0.8702702702702702,0.4583333333333333
MIN,Kene Nwangwu,,,,,0.4666666666666666,,
MIN,Kirk Cousins,,0.7250000000000001,,0.53,,,
NE,Brian Hoyer,,,,-0.0625,,,
NE,Damien Harris,1.085714285714286,0.5782608695652174,1.0063829787234044,,0.6481481481481481,1.673684210526316,0.8255319148936171
NE,Kendrick Bourne,,1.0363636363636366,,,,,
NE,Mac Jones,0.4,,,-0.11333333333333333,0.3375,0.7999999999999999,
NE,Rhamondre Stevenson,0.7294117647058823,0.9315789473684212,0.5586206896551725,,0.5875,1.225,0.7317073170731707
NO,Alvin Kamara,0.6178571428571429,0.4565217391304348,0.4469696969696969,,0.4659999999999999,0.4375,0.5301886792452832
NO,Jameis Winston,,,,-0.04,0.4285714285714287,,
NO,Taysom Hill,,1.5777777777777782,0.4857142857142857,,0.4142857142857143,0.6411764705882356,1.94375
NYG,Daniel Jones,,1.0083333333333333,0.3777777777777778,0.4642857142857145,,0.505,
NYG,Matt Breida,,0.4333333333333334,,,,1.1125,
NYG,Saquon Barkley,0.7333333333333333,,0.3630434782608695,,0.5,0.3875,0.235
NYG,Tyrod Taylor,,1.4142857142857144,,,,,
NYJ,Braxton Berrios,,,,,,2.4833333333333334,
NYJ,Michael Carter,0.8363636363636366,0.8699999999999998,0.3878787878787879,,0.7545454545454544,0.51,0.4121212121212123
NYJ,Tevin Coleman,0.3555555555555556,0.6941176470588235,0.35714285714285715,,0.4200000000000001,0.2555555555555556,0.4619047619047618
NYJ,Zach Wilson,,,,0.8714285714285713,,2.5444444444444443,
PHI,Boston Scott,0.975,,0.94,,1.1,,0.4866666666666667
PHI,Jalen Hurts,2.0250000000000004,0.8727272727272727,0.7769230769230769,0.4523809523809524,0.6300000000000001,0.974,1.3571428571428572
PHI,Kenneth Gainwell,1.9875,,0.6111111111111112,,0.25,,0.7625000000000001
PHI,Miles Sanders,0.5000000000000001,0.8590909090909089,0.4,,0.5000000000000001,0.5499999999999999,0.3965517241379311
PIT,Chase Claypool,,0.1285714285714286,,,,1.2428571428571429,
PIT,Najee Harris,0.5047619047619045,0.4866666666666668,0.6830769230769228,,0.4884615384615386,0.1818181818181818,0.5819444444444444
SEA,Chris Carson,,0.26666666666666666,0.8933333333333333,,1.6222222222222222,,0.4619047619047619
SEA,Rashaad Penny,0.5437500000000001,0.2111111111111111,1.3379310344827589,,1.1038461538461541,,0.8116279069767441
SF,Deebo Samuel,1.2857142857142854,1.1291666666666664,0.9705882352941176,,,1.6409090909090909,0.4600000000000001
SF,Elijah Mitchell,0.2483870967741936,0.5930232558139537,0.6560439560439562,,0.2421052631578948,0.7578947368421051,0.5574468085106383
SF,Jimmy Garoppolo,,,,-0.017391304347826073,,,
SF,Kyle Juszczyk,,,,,0.3111111111111111,,
SF,Trey Lance,0.4285714285714287,1.4666666666666666,0.3777777777777778,,,0.7000000000000001,0.4875000000000001
TB,Blaine Gabbert,,,,-0.07777777777777778,,,
TB,Ke'Shawn Vaughn,0.4000000000000001,,1.2578947368421052,,0.8428571428571429,,0.44285714285714295
TB,Leonard Fournette,0.3300000000000001,1.25,0.5525000000000001,,1.0942307692307691,1.1333333333333333,0.5275862068965518
TB,Tom Brady,1.2,,,0.40000000000000013,,,
TEN,Derrick Henry,0.5031249999999999,0.3682926829268293,1.2541666666666662,,0.9734693877551016,0.5562499999999998,0.3266666666666666
TEN,Dontrell Hilliard,2.409090909090909,0.6600000000000001,0.3,,0.425,,0.4
TEN,Logan Woodside,,,,-0.1,,,
TEN,Ryan Tannehill,,1.84,,0.01176470588235295,,1.4529411764705884,
WAS,Antonio Gibson,0.5478260869565217,0.43333333333333335,0.6848484848484847,,0.2951219512195123,0.5956521739130434,0.6962962962962961
WAS,Carson Wentz,,,,-0.05555555555555555,,0.9888888888888888,0.7833333333333333
