team,playerName,Combination,Cover 0,Cover 1,Cover 2,Cover 3,Cover 4,Cover 6,Man Cover 2,Other,Prevent,Screen
ARI,A.J. Green,,0.56,0.33195876288659804,0.184,0.4907692307692308,0.1888888888888889,0.39166666666666666,0.1285714285714286,0.0,,0.3222222222222222
ARI,Andy Isabella,,1.15,,,,,,,,,
ARI,Antoine Wesley,0.0,0.2428571428571429,0.3702127659574468,0.10697674418604652,,,0.0,,,,
ARI,Darrel Williams,,,0.23142857142857146,0.2302325581395349,0.3523076923076923,0.41818181818181815,0.5454545454545455,0.325,,,0.9473684210526316
ARI,James Conner,,,,0.5,0.3238095238095238,0.3481481481481481,,,,,1.747826086956522
ARI,Marquise Brown,,0.052000000000000005,0.15764705882352942,0.2237288135593221,0.4104761904761904,0.4615942028985507,0.12352941176470587,0.3588235294117647,0.0,0.2333333333333333,1.1666666666666667
ARI,Maxx Williams,,,,0.5842105263157894,,,,,,,
ARI,Rondale Moore,0.8600000000000001,,,0.2607142857142857,0.44782608695652176,0.29189189189189185,0.35000000000000003,0.12222222222222225,,,1.1088888888888886
ARI,Zach Ertz,4.9,0.0,0.27319587628865977,0.18289473684210528,0.4043478260869566,0.4470588235294118,0.3640000000000001,0.32142857142857145,0.0,,0.9115384615384614
ATL,Anthony Firkser,,0.14,0.12741935483870967,0.4294117647058823,0.2529411764705882,0.3035714285714285,,0.2,,,
ATL,Bryan Edwards,,0.22000000000000006,0.4796610169491525,0.35,0.1775510204081633,0.053086419753086415,,0.22894736842105265,,,1.6
ATL,Cordarrelle Patterson,,,0.5121951219512194,,0.6185714285714285,0.6,0.22000000000000006,0.8818181818181817,1.6,,1.3789473684210527
ATL,Damien Williams,2.1,,,,,,0.0,,,,0.975
ATL,Damiere Byrd,,0.0,0.34827586206896555,,0.2309278350515464,0.12111111111111113,,,,0.4000000000000001,
ATL,Keith Smith,,,,,,,1.6,,,,
ATL,KhaDarel Hodge,,0.0,0.2096774193548387,,,,0.6666666666666666,,,,
ATL,Kyle Pitts,,,0.4712871287128712,0.28918918918918923,0.3281045751633987,0.4632911392405064,,0.445,,,
ATL,Olamide Zaccheaus,,,0.228,0.11521739130434785,0.20099009900990097,0.2571428571428571,1.2,0.19047619047619047,,,
BAL,Devin Duvernay,,0.11333333333333336,,0.05135135135135135,0.12596153846153849,0.24347826086956526,,0.2125,0.0,0.31666666666666665,0.95
BAL,Mark Andrews,0.0,0.5481481481481482,0.3744897959183672,0.2955555555555556,0.6394871794871795,0.5022556390977442,0.075,0.28666666666666674,,0.2625,0.95
BAL,Mike Davis,,,,0.4564102564102565,0.267741935483871,0.3022222222222222,,,,0.75,0.7000000000000001
BAL,Rashod Bateman,,0.6307692307692307,0.2701492537313433,,0.21181818181818185,0.3179775280898877,0.0,0.3277777777777778,,0.7666666666666666,
BAL,Tylan Wallace,,2.8,,,,,,,,,
BUF,Dawson Knox,,,0.5893805309734512,0.2352941176470588,0.3892307692307693,0.20615384615384616,0.3,0.0,1.25,,0.9611111111111112
BUF,Devin Singletary,,,,0.26875000000000004,0.2026315789473684,0.3863636363636364,0.175,0.06842105263157895,,,1.0294117647058822
