nickName,0/1 Step,3 Step,5 Step,7 Step
49ers,1.08879310344828,2.54792899408284,3.46078431372549,2.31739130434783
Bears,1.76914893617021,1.54583333333333,1.49080459770115,1.55744680851064
Bengals,2.10574712643678,1.62627986348123,3.44716981132076,16.18
Bills,0.959537572254335,1.4840206185567,1.29431818181818,0.83125
Broncos,0.823469387755102,2.3562962962963,1.72095238095238,0.655172413793103
Browns,9.30833333333333,2.13140495867769,1.27636363636364,0.72972972972973
Buccaneers,0.883660130718954,1.2551724137931,2.01910112359551,1.49772727272727
Cardinals,1.14252873563218,2.28905109489051,1.175,4.31666666666667
Chargers,1.11407407407407,2.6180451127819504,1.22152777777778,0.953061224489796
Chiefs,1.92698412698413,2.26119402985075,1.89605263157895,3.00344827586207
Colts,2.00506329113924,2.2066666666666697,2.72727272727273,1.19210526315789
Cowboys,1.50882352941176,1.35522388059702,1.16962962962963,1.52826086956522
Dolphins,1.21739130434783,1.66496815286624,1.8954545454545502,3.2375
Eagles,2.13536585365854,1.83779527559055,1.58904109589041,4.472727272727269
Falcons,1.21818181818182,1.1952380952381,2.14859813084112,2.10384615384615
Football Team,7.38333333333333,1.8328431372549,1.64036697247706,2.14642857142857
Giants,0.934065934065934,1.96167664670659,2.616,1.55
Jaguars,2.14868421052632,1.46338797814208,2.87321428571429,1.69705882352941
Jets,2.41186440677966,1.92129032258064,1.0910447761194,0.967123287671233
Lions,2.43518518518518,1.3877358490566,2.69850746268657,2.25111111111111
Packers,3.88148148148148,1.92178770949721,1.26666666666667,1.96206896551724
Panthers,2.2129032258064503,1.96178343949044,0.83265306122449,2.34615384615385
Patriots,2.51395348837209,1.57123287671233,1.08040540540541,1.11463414634146
Raiders,1.30666666666667,2.21375,1.41119402985075,1.4304347826087
Rams,6.68333333333333,2.26768292682927,1.51278195488722,0.95
Ravens,0.689252336448598,2.02044198895028,3.67,14.771428571428599
Saints,3.13829787234043,2.36854838709677,1.76489361702128,1.17073170731707
Seahawks,1.21768707482993,4.42089552238806,3.89318181818182,4.9037037037037
Steelers,1.78090909090909,0.9488745980707399,4.97727272727273,10.075
Texans,1.13,1.56339869281046,2.89259259259259,4.41428571428572
Titans,1.57175572519084,2.65666666666667,2.9891304347826098,2.28947368421053
Vikings,1.98533333333333,1.93493975903615,2.24054054054054,1.158
