,nickName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,49ers,Duo,42,12.799999999999999,6,0,18.799999999999997,0.4476190476190475
1,49ers,False Pull,2,1.2000000000000002,0,0,1.2000000000000002,0.6000000000000001
2,49ers,Pass Protection,41,30.599999999999998,12,0,42.60000000000001,1.0390243902439027
3,49ers,Pull 2,8,1.5,0,0,1.5,0.1875
4,49ers,Pull Across,26,9.4,6,0,15.399999999999999,0.5923076923076922
5,49ers,Pull Front,15,4.0,18,0,21.999999999999996,1.4666666666666663
6,49ers,Pull Outside Numbers,11,4.6,0,0,4.6,0.41818181818181815
7,49ers,Slide Left,5,4.9,6,0,10.9,2.18
8,49ers,Slide Right,4,2.2,0,0,2.2,0.55
9,49ers,Split Zone,54,19.000000000000004,0,-1,18.000000000000004,0.3333333333333334
10,49ers,Wham,5,3.8000000000000003,0,0,3.8000000000000003,0.76
11,49ers,Zone,235,75.90000000000005,42,-1,116.9,0.4974468085106383
12,Bears,Blitz Coverage,1,0.2,0,0,0.2,0.2
13,Bears,Duo,32,14.400000000000004,12,0,26.4,0.825
14,Bears,False Pull,1,1.1,0,0,1.1,1.1
15,Bears,Pass Protection,26,14.5,12,-1,25.499999999999996,0.9807692307692306
16,Bears,Pull 2,10,5.8,0,0,5.8,0.58
17,Bears,Pull Across,72,41.3,6,0,47.3,0.6569444444444444
18,Bears,Pull Front,5,5.0,0,0,5.0,1.0
19,Bears,Pull Outside Numbers,7,2.9,0,0,2.9,0.41428571428571426
20,Bears,Slide Left,1,0.7000000000000001,0,0,0.7000000000000001,0.7000000000000001
21,Bears,Slide Right,1,0.4,0,0,0.4,0.4
22,Bears,Split Zone,39,16.900000000000006,12,0,28.90000000000001,0.7410256410256413
23,Bears,Wham,1,0.0,0,0,0.0,0.0
24,Bears,Zone,175,65.00000000000001,30,0,94.99999999999999,0.5428571428571428
25,Bengals,Duo,15,6.500000000000001,0,0,6.500000000000001,0.4333333333333334
26,Bengals,False Pull,4,0.0,0,0,0.0,0.0
27,Bengals,Pass Protection,33,20.599999999999998,0,0,20.599999999999998,0.6242424242424242
28,Bengals,Pull 2,13,7.0,0,0,7.0,0.5384615384615384
29,Bengals,Pull Across,63,31.700000000000006,30,0,61.700000000000024,0.9793650793650798
30,Bengals,Pull Front,6,4.0,0,0,4.0,0.6666666666666666
31,Bengals,Pull Outside Numbers,11,6.400000000000001,12,0,18.4,1.6727272727272726
32,Bengals,Slide Left,2,0.6000000000000001,0,0,0.6000000000000001,0.30000000000000004
33,Bengals,Split Zone,43,18.400000000000002,12,-1,29.4,0.6837209302325581
34,Bengals,Wham,1,-0.1,0,0,-0.1,-0.1
35,Bengals,Zone,215,87.40000000000005,30,-1,116.40000000000002,0.5413953488372094
36,Bills,Duo,21,5.199999999999999,0,0,5.199999999999999,0.24761904761904757
37,Bills,False Pull,6,6.1000000000000005,6,0,12.1,2.0166666666666666
38,Bills,Pass Protection,42,29.0,12,-1,40.0,0.9523809523809523
39,Bills,Pull 2,9,10.100000000000001,6,0,16.099999999999998,1.7888888888888888
40,Bills,Pull Across,60,27.500000000000004,6,0,33.50000000000001,0.5583333333333335
41,Bills,Pull Front,17,9.4,6,0,15.4,0.9058823529411765
42,Bills,Pull Outside Numbers,14,2.1000000000000005,0,0,2.1000000000000005,0.15000000000000005
43,Bills,Slide Left,2,0.5,0,0,0.5,0.25
44,Bills,Split Zone,25,11.4,0,0,11.4,0.456
45,Bills,Wham,6,5.6000000000000005,6,0,11.6,1.9333333333333333
46,Bills,Zone,162,65.50000000000001,78,0,143.5,0.8858024691358025
47,Broncos,Duo,20,10.900000000000002,6,0,16.900000000000002,0.8450000000000001
48,Broncos,False Pull,4,2.5,0,0,2.5,0.625
49,Broncos,Pass Protection,37,26.400000000000006,12,-2,36.4,0.9837837837837837
50,Broncos,Pull 2,9,3.3000000000000003,6,0,9.299999999999999,1.0333333333333332
51,Broncos,Pull Across,47,23.700000000000003,0,0,23.700000000000003,0.5042553191489362
52,Broncos,Pull Front,4,1.2000000000000004,0,0,1.2000000000000004,0.3000000000000001
53,Broncos,Pull Outside Numbers,5,1.4000000000000001,0,0,1.4000000000000001,0.28
