team,playerName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Player,RouteType,Routes Run,FP/routes
PHI,A.J. Brown,Comeback,1.6,0,2,3.6,A.J. Brown,Comeback,3.0,1.2
PHI,A.J. Brown,Curl,15.400000000000002,6,13,34.4,A.J. Brown,Curl,44.0,0.7818181818181817
PHI,A.J. Brown,Dig,14.0,0,9,23.0,A.J. Brown,Dig,36.0,0.6388888888888888
PHI,A.J. Brown,Out,15.3,6,9,30.3,A.J. Brown,Out,35.0,0.8657142857142858
PHI,A.J. Brown,Post,7.1,12,4,23.1,A.J. Brown,Post,20.0,1.155
PHI,A.J. Brown,Slant,9.9,0,8,17.900000000000002,A.J. Brown,Slant,30.0,0.5966666666666668
ARI,A.J. Green,Comeback,2.5,0,2,4.5,A.J. Green,Comeback,8.0,0.5625
ARI,A.J. Green,Corner,3.4000000000000004,0,1,4.4,A.J. Green,Corner,19.0,0.23157894736842108
ARI,A.J. Green,Curl,21.400000000000002,0,18,39.4,A.J. Green,Curl,112.0,0.35178571428571426
ARI,A.J. Green,Dig,3.2,0,2,5.2,A.J. Green,Dig,37.0,0.14054054054054055
ARI,A.J. Green,Out,3.2,0,4,7.199999999999999,A.J. Green,Out,27.0,0.26666666666666666
ARI,A.J. Green,Post,9.0,0,3,12.0,A.J. Green,Post,29.0,0.41379310344827586
ARI,A.J. Green,Slant,7.700000000000001,0,6,13.7,A.J. Green,Slant,36.0,0.38055555555555554
GB,Aaron Jones,Dig,0.0,0,0,0.0,Aaron Jones,Dig,5.0,0.0
GB,Aaron Jones,Slant,2.6,0,2,4.6000000000000005,Aaron Jones,Slant,5.0,0.9200000000000002
MIA,Adam Shaheen,Corner,0.0,0,0,0.0,Adam Shaheen,Corner,9.0,0.0
MIA,Adam Shaheen,Curl,1.2000000000000002,0,2,3.2,Adam Shaheen,Curl,27.0,0.11851851851851852
MIA,Adam Shaheen,Out,2.9000000000000004,0,3,5.9,Adam Shaheen,Out,20.0,0.29500000000000004
MIN,Adam Thielen,Comeback,3.4000000000000004,6,3,12.4,Adam Thielen,Comeback,15.0,0.8266666666666667
MIN,Adam Thielen,Corner,1.8,0,1,2.8,Adam Thielen,Corner,22.0,0.12727272727272726
MIN,Adam Thielen,Curl,8.4,0,8,16.4,Adam Thielen,Curl,62.0,0.264516129032258
MIN,Adam Thielen,Dig,11.000000000000002,0,8,19.0,Adam Thielen,Dig,47.0,0.40425531914893614
MIN,Adam Thielen,Out,8.6,12,9,29.599999999999998,Adam Thielen,Out,49.0,0.6040816326530611
MIN,Adam Thielen,Post,8.100000000000001,12,5,25.1,Adam Thielen,Post,21.0,1.1952380952380952
MIN,Adam Thielen,Slant,5.1000000000000005,6,5,16.1,Adam Thielen,Slant,32.0,0.503125
NO,Adam Trautman,Corner,1.7000000000000002,0,1,2.7,Adam Trautman,Corner,18.0,0.15000000000000002
NO,Adam Trautman,Curl,2.8,0,4,6.8,Adam Trautman,Curl,34.0,0.19999999999999998
NO,Adam Trautman,Dig,2.1,0,2,4.1,Adam Trautman,Dig,17.0,0.24117647058823527
NO,Adam Trautman,Slant,0.0,0,0,0.0,Adam Trautman,Slant,4.0,0.0
DEN,Albert Okwuegbunam,Corner,0.0,0,0,0.0,Albert Okwuegbunam,Corner,13.0,0.0
DEN,Albert Okwuegbunam,Curl,3.4000000000000004,0,3,6.3999999999999995,Albert Okwuegbunam,Curl,26.0,0.24615384615384614
DEN,Albert Okwuegbunam,Post,0.0,0,0,0.0,Albert Okwuegbunam,Post,2.0,0.0
MIN,Albert Wilson,Curl,5.0,0,6,11.0,Albert Wilson,Curl,29.0,0.3793103448275862
MIN,Albert Wilson,Out,1.5,0,2,3.5,Albert Wilson,Out,14.0,0.25
MIN,Albert Wilson,Slant,1.2000000000000002,0,2,3.2,Albert Wilson,Slant,14.0,0.2285714285714286
MIA,Alec Ingold,Corner,0.0,0,0,0.0,Alec Ingold,Corner,1.0,0.0
MIN,Alexander Mattison,Curl,2.1,0,4,6.1,Alexander Mattison,Curl,27.0,0.22592592592592592
MIN,Alexander Mattison,Dig,1.3000000000000003,0,2,3.3000000000000003,Alexander Mattison,Dig,9.0,0.3666666666666667
GB,Allen Lazard,Corner,2.0,6,1,9.0,Allen Lazard,Corner,18.0,0.5
GB,Allen Lazard,Dig,5.4,0,3,8.399999999999999,Allen Lazard,Dig,42.0,0.19999999999999996
GB,Allen Lazard,Out,7.1,6,9,22.1,Allen Lazard,Out,47.0,0.4702127659574468
GB,Allen Lazard,Post,3.1000000000000005,0,2,5.1000000000000005,Allen Lazard,Post,21.0,0.24285714285714288
GB,Allen Lazard,Slant,4.0,6,4,14.0,Allen Lazard,Slant,39.0,0.358974358974359
NO,Alvin Kamara,Curl,7.400000000000002,6,11,24.400000000000002,Alvin Kamara,Curl,48.0,0.5083333333333334
NO,Alvin Kamara,Out,4.7,0,9,13.7,Alvin Kamara,Out,27.0,0.5074074074074074
NO,Alvin Kamara,Slant,1.4000000000000001,0,1,2.4000000000000004,Alvin Kamara,Slant,6.0,0.4000000000000001
CLE,Amari Cooper,Comeback,4.300000000000001,6,4,14.3,Amari Cooper,Comeback,8.0,1.7875
CLE,Amari Cooper,Corner,3.9000000000000004,6,2,11.899999999999999,Amari Cooper,Corner,21.0,0.5666666666666667
CLE,Amari Cooper,Curl,12.299999999999999,0,14,26.3,Amari Cooper,Curl,75.0,0.3506666666666667
CLE,Amari Cooper,Dig,4.800000000000001,0,4,8.8,Amari Cooper,Dig,39.0,0.22564102564102567
CLE,Amari Cooper,Out,8.4,6,11,25.400000000000002,Amari Cooper,Out,46.0,0.5521739130434783
CLE,Amari Cooper,Post,8.700000000000001,6,3,17.700000000000003,Amari Cooper,Post,37.0,0.47837837837837843
CLE,Amari Cooper,Slant,14.3,6,14,34.3,Amari Cooper,Slant,46.0,0.7456521739130434
GB,Amari Rodgers,Slant,0.0,0,0,0.0,Amari Rodgers,Slant,3.0,0.0
DET,Amon-Ra St. Brown,Corner,0.0,0,0,0.0,Amon-Ra St. Brown,Corner,8.0,0.0
DET,Amon-Ra St. Brown,Curl,14.999999999999998,24,19,58.00000000000001,Amon-Ra St. Brown,Curl,85.0,0.6823529411764707
DET,Amon-Ra St. Brown,Dig,6.6,0,2,8.6,Amon-Ra St. Brown,Dig,32.0,0.26875
DET,Amon-Ra St. Brown,Out,21.900000000000002,0,23,44.9,Amon-Ra St. Brown,Out,63.0,0.7126984126984127
DET,Amon-Ra St. Brown,Slant,4.6,0,4,8.6,Amon-Ra St. Brown,Slant,17.0,0.5058823529411764
HOU,Andy Janovich,Dig,0.0,0,0,0.0,Andy Janovich,Dig,1.0,0.0
ATL,Anthony Firkser,Corner,1.5,6,1,8.5,Anthony Firkser,Corner,12.0,0.7083333333333334
ATL,Anthony Firkser,Curl,5.6,0,7,12.6,Anthony Firkser,Curl,48.0,0.2625
ATL,Anthony Firkser,Out,2.5,0,3,5.5,Anthony Firkser,Out,22.0,0.25
ATL,Anthony Firkser,Slant,2.6000000000000005,0,2,4.6000000000000005,Anthony Firkser,Slant,17.0,0.2705882352941177
CLE,Anthony Schwartz,Comeback,1.3,0,1,2.3,Anthony Schwartz,Comeback,3.0,0.7666666666666666
CLE,Anthony Schwartz,Corner,4.4,0,1,5.4,Anthony Schwartz,Corner,10.0,0.54
CLE,Anthony Schwartz,Dig,3.1,0,2,5.1,Anthony Schwartz,Dig,12.0,0.425
CLE,Anthony Schwartz,Out,1.2000000000000002,0,2,3.2,Anthony Schwartz,Out,18.0,0.17777777777777778
CLE,Anthony Schwartz,Post,0.0,0,0,0.0,Anthony Schwartz,Post,15.0,0.0
CLE,Anthony Schwartz,Slant,0.0,0,0,0.0,Anthony Schwartz,Slant,12.0,0.0
ARI,Antoine Wesley,Corner,0.0,0,0,0.0,Antoine Wesley,Corner,10.0,0.0
ARI,Antoine Wesley,Curl,6.9,0,8,14.9,Antoine Wesley,Curl,70.0,0.21285714285714286
ARI,Antoine Wesley,Slant,1.3000000000000003,0,2,3.3000000000000003,Antoine Wesley,Slant,17.0,0.19411764705882353
WAS,Antonio Gibson,Curl,2.3000000000000003,0,4,6.299999999999999,Antonio Gibson,Curl,29.0,0.2172413793103448
WAS,Antonio Gibson,Slant,1.4000000000000001,0,2,3.4000000000000004,Antonio Gibson,Slant,3.0,1.1333333333333335
IND,Ashton Dulin,Corner,0.0,0,0,0.0,Ashton Dulin,Corner,10.0,0.0
IND,Ashton Dulin,Dig,2.3000000000000003,0,1,3.3000000000000003,Ashton Dulin,Dig,7.0,0.4714285714285715
IND,Ashton Dulin,Post,7.9,6,2,15.899999999999999,Ashton Dulin,Post,12.0,1.325
ATL,Auden Tate,Slant,3.2,0,2,5.2,Auden Tate,Slant,5.0,1.04
