team,playerName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Player,RouteType,Routes Run,FP/routes
LAC,Austin Ekeler,Curl,7.700000000000001,12,9,28.7,Austin Ekeler,Curl,43.0,0.6674418604651162
LAC,Austin Ekeler,Dig,5.7,0,2,7.7,Austin Ekeler,Dig,20.0,0.385
LAC,Austin Ekeler,Out,3.7,0,8,11.7,Austin Ekeler,Out,35.0,0.33428571428571424
TEN,Austin Hooper,Corner,0.0,0,0,0.0,Austin Hooper,Corner,15.0,0.0
TEN,Austin Hooper,Curl,0.9,0,2,2.9,Austin Hooper,Curl,44.0,0.0659090909090909
TEN,Austin Hooper,Dig,2.7,0,3,5.7,Austin Hooper,Dig,13.0,0.43846153846153846
TEN,Austin Hooper,Out,6.1000000000000005,0,10,16.099999999999998,Austin Hooper,Out,55.0,0.29272727272727267
TEN,Austin Hooper,Slant,6.5,0,6,12.5,Austin Hooper,Slant,10.0,1.25
LAR,Ben Skowronek,Comeback,0.0,0,0,0.0,Ben Skowronek,Comeback,2.0,0.0
LAR,Ben Skowronek,Dig,1.1,0,1,2.1,Ben Skowronek,Dig,11.0,0.19090909090909092
LAR,Ben Skowronek,Post,1.5,0,1,2.5,Ben Skowronek,Post,7.0,0.35714285714285715
KC,Blake Bell,Dig,1.1,0,1,2.1,Blake Bell,Dig,3.0,0.7000000000000001
HOU,Brandin Cooks,Comeback,1.3,0,2,3.3,Brandin Cooks,Comeback,9.0,0.36666666666666664
HOU,Brandin Cooks,Corner,11.4,0,4,15.4,Brandin Cooks,Corner,35.0,0.44
HOU,Brandin Cooks,Curl,17.6,0,21,38.60000000000001,Brandin Cooks,Curl,69.0,0.5594202898550726
HOU,Brandin Cooks,Dig,6.800000000000001,0,4,10.8,Brandin Cooks,Dig,40.0,0.27
HOU,Brandin Cooks,Out,11.400000000000002,0,12,23.4,Brandin Cooks,Out,63.0,0.3714285714285714
HOU,Brandin Cooks,Post,1.4000000000000001,0,1,2.4000000000000004,Brandin Cooks,Post,20.0,0.12000000000000002
HOU,Brandin Cooks,Slant,9.7,12,10,31.7,Brandin Cooks,Slant,32.0,0.990625
SF,Brandon Aiyuk,Comeback,0.0,0,0,0.0,Brandon Aiyuk,Comeback,8.0,0.0
SF,Brandon Aiyuk,Corner,1.8,0,1,2.8,Brandon Aiyuk,Corner,19.0,0.14736842105263157
SF,Brandon Aiyuk,Curl,12.0,6,10,28.0,Brandon Aiyuk,Curl,48.0,0.5833333333333334
SF,Brandon Aiyuk,Dig,13.5,6,6,25.500000000000004,Brandon Aiyuk,Dig,64.0,0.39843750000000006
SF,Brandon Aiyuk,Out,4.4,0,3,7.4,Brandon Aiyuk,Out,54.0,0.13703703703703704
SF,Brandon Aiyuk,Post,7.600000000000001,6,4,17.6,Brandon Aiyuk,Post,30.0,0.5866666666666667
SF,Brandon Aiyuk,Slant,26.700000000000003,0,18,44.699999999999996,Brandon Aiyuk,Slant,43.0,1.0395348837209302
LV,Brandon Bolden,Curl,1.7000000000000002,0,3,4.699999999999999,Brandon Bolden,Curl,32.0,0.14687499999999998
LV,Brandon Bolden,Out,4.800000000000001,0,3,7.800000000000001,Brandon Bolden,Out,23.0,0.33913043478260874
CAR,Brandon Zylstra,Dig,1.4000000000000001,0,2,3.4000000000000004,Brandon Zylstra,Dig,24.0,0.1416666666666667
CAR,Brandon Zylstra,Post,2.4000000000000004,0,1,3.4000000000000004,Brandon Zylstra,Post,13.0,0.26153846153846155
CAR,Brandon Zylstra,Slant,2.1,0,2,4.1,Brandon Zylstra,Slant,13.0,0.3153846153846154
NYJ,Braxton Berrios,Corner,2.7,0,1,3.7,Braxton Berrios,Corner,3.0,1.2333333333333334
NYJ,Braxton Berrios,Curl,7.900000000000001,0,5,12.9,Braxton Berrios,Curl,32.0,0.403125
NYJ,Braxton Berrios,Dig,3.3000000000000003,0,3,6.3,Braxton Berrios,Dig,18.0,0.35
NYJ,Braxton Berrios,Out,6.500000000000002,12,9,27.5,Braxton Berrios,Out,33.0,0.8333333333333334
NYJ,Braxton Berrios,Post,2.5,0,1,3.5,Braxton Berrios,Post,10.0,0.35
NYJ,Braxton Berrios,Slant,3.4000000000000004,0,3,6.4,Braxton Berrios,Slant,10.0,0.64
TB,Breshad Perriman,Comeback,0.0,0,0,0.0,Breshad Perriman,Comeback,2.0,0.0
TB,Breshad Perriman,Post,0.0,0,0,0.0,Breshad Perriman,Post,9.0,0.0
HOU,Brevin Jordan,Dig,1.2000000000000002,0,1,2.2,Brevin Jordan,Dig,6.0,0.3666666666666667
HOU,Brevin Jordan,Out,4.4,0,3,7.4,Brevin Jordan,Out,23.0,0.32173913043478264
HOU,Brevin Jordan,Post,2.3000000000000003,0,1,3.3000000000000003,Brevin Jordan,Post,2.0,1.6500000000000001
ATL,Bryan Edwards,Comeback,0.0,0,0,0.0,Bryan Edwards,Comeback,15.0,0.0
ATL,Bryan Edwards,Corner,3.2,0,1,4.2,Bryan Edwards,Corner,41.0,0.10243902439024391
ATL,Bryan Edwards,Curl,5.200000000000001,0,6,11.200000000000001,Bryan Edwards,Curl,59.0,0.18983050847457628
ATL,Bryan Edwards,Dig,10.4,0,7,17.400000000000002,Bryan Edwards,Dig,76.0,0.22894736842105265
ATL,Bryan Edwards,Out,3.8000000000000003,0,3,6.800000000000001,Bryan Edwards,Out,34.0,0.2
ATL,Bryan Edwards,Post,7.9,6,3,16.9,Bryan Edwards,Post,30.0,0.5633333333333332
ATL,Bryan Edwards,Slant,1.5,6,2,9.5,Bryan Edwards,Slant,27.0,0.35185185185185186
CHI,Byron Pringle,Corner,6.4,0,2,8.4,Byron Pringle,Corner,22.0,0.38181818181818183
CHI,Byron Pringle,Curl,11.100000000000001,6,11,28.1,Byron Pringle,Curl,63.0,0.44603174603174606
CHI,Byron Pringle,Dig,5.800000000000001,0,5,10.8,Byron Pringle,Dig,35.0,0.3085714285714286
CHI,Byron Pringle,Out,3.3000000000000003,0,3,6.299999999999999,Byron Pringle,Out,21.0,0.29999999999999993
CHI,Byron Pringle,Post,4.4,0,2,6.4,Byron Pringle,Post,22.0,0.29090909090909095
CHI,Byron Pringle,Slant,3.7000000000000006,18,5,26.7,Byron Pringle,Slant,20.0,1.335
NYG,C.J. Board,Dig,0.0,0,0,0.0,C.J. Board,Dig,7.0,0.0
NYG,C.J. Board,Post,0.0,0,0,0.0,C.J. Board,Post,2.0,0.0
MIN,C.J. Ham,Dig,0.9,0,1,1.9,C.J. Ham,Dig,2.0,0.95
NYJ,C.J. Uzomah,Corner,0.0,0,0,0.0,C.J. Uzomah,Corner,25.0,0.0
NYJ,C.J. Uzomah,Curl,11.4,6,17,34.4,C.J. Uzomah,Curl,103.0,0.3339805825242718
NYJ,C.J. Uzomah,Out,2.6000000000000005,0,4,6.6000000000000005,C.J. Uzomah,Out,33.0,0.2
NYJ,C.J. Uzomah,Slant,0.0,0,0,0.0,C.J. Uzomah,Slant,14.0,0.0
WAS,Cam Sims,Corner,1.9000000000000001,0,1,2.9000000000000004,Cam Sims,Corner,4.0,0.7250000000000001
WAS,Cam Sims,Dig,6.1,0,4,10.1,Cam Sims,Dig,25.0,0.40399999999999997
WAS,Cam Sims,Post,0.0,0,0,0.0,Cam Sims,Post,13.0,0.0
TB,Cameron Brate,Corner,0.0,0,0,0.0,Cameron Brate,Corner,11.0,0.0
TB,Cameron Brate,Curl,2.6,0,4,6.6,Cameron Brate,Curl,36.0,0.18333333333333332
TB,Cameron Brate,Dig,3.1,0,3,6.1,Cameron Brate,Dig,25.0,0.244
TB,Cameron Brate,Out,5.9,0,8,13.899999999999999,Cameron Brate,Out,55.0,0.2527272727272727
TB,Cameron Brate,Post,1.2000000000000002,0,1,2.2,Cameron Brate,Post,24.0,0.09166666666666667
TB,Cameron Brate,Slant,3.7,6,4,13.700000000000001,Cameron Brate,Slant,17.0,0.8058823529411765
DAL,CeeDee Lamb,Comeback,0.0,0,0,0.0,CeeDee Lamb,Comeback,8.0,0.0
DAL,CeeDee Lamb,Corner,2.2,12,2,16.200000000000003,CeeDee Lamb,Corner,28.0,0.5785714285714286
DAL,CeeDee Lamb,Curl,25.700000000000006,0,22,47.70000000000001,CeeDee Lamb,Curl,87.0,0.5482758620689656
DAL,CeeDee Lamb,Dig,18.300000000000004,0,10,28.300000000000004,CeeDee Lamb,Dig,43.0,0.658139534883721
DAL,CeeDee Lamb,Out,11.400000000000002,0,10,21.4,CeeDee Lamb,Out,40.0,0.5349999999999999
DAL,CeeDee Lamb,Post,9.5,0,3,12.5,CeeDee Lamb,Post,31.0,0.4032258064516129
DAL,CeeDee Lamb,Slant,5.5,0,5,10.5,CeeDee Lamb,Slant,30.0,0.35
SF,Charlie Woerner,Corner,2.7,0,1,3.7,Charlie Woerner,Corner,3.0,1.2333333333333334
SF,Charlie Woerner,Slant,1.1,0,1,2.1,Charlie Woerner,Slant,1.0,2.1
PIT,Chase Claypool,Comeback,3.3000000000000003,0,2,5.300000000000001,Chase Claypool,Comeback,4.0,1.3250000000000002
PIT,Chase Claypool,Curl,6.200000000000001,0,8,14.200000000000001,Chase Claypool,Curl,55.0,0.2581818181818182
PIT,Chase Claypool,Out,10.600000000000001,0,10,20.6,Chase Claypool,Out,67.0,0.3074626865671642
PIT,Chase Claypool,Post,0.0,0,0,0.0,Chase Claypool,Post,12.0,0.0
PIT,Chase Claypool,Slant,16.200000000000003,6,12,34.2,Chase Claypool,Slant,55.0,0.6218181818181818
MIA,Chase Edmonds,Curl,1.7000000000000002,0,4,5.7,Chase Edmonds,Curl,37.0,0.15405405405405406
MIA,Chase Edmonds,Out,4.2,0,3,7.2,Chase Edmonds,Out,13.0,0.5538461538461539
MIA,Chase Edmonds,Slant,0.4,0,1,1.4,Chase Edmonds,Slant,2.0,0.7
HOU,Chris Conley,Comeback,0.0,0,0,0.0,Chris Conley,Comeback,2.0,0.0
HOU,Chris Conley,Corner,4.0,0,1,5.0,Chris Conley,Corner,23.0,0.21739130434782608
HOU,Chris Conley,Out,3.4000000000000004,0,4,7.4,Chris Conley,Out,19.0,0.38947368421052636
HOU,Chris Conley,Slant,8.700000000000001,0,6,14.7,Chris Conley,Slant,15.0,0.98
TB,Chris Godwin,Comeback,0.8,0,1,1.8,Chris Godwin,Comeback,1.0,1.8
TB,Chris Godwin,Corner,1.2000000000000002,6,1,8.2,Chris Godwin,Corner,7.0,1.1714285714285713
TB,Chris Godwin,Curl,10.8,0,12,22.799999999999997,Chris Godwin,Curl,60.0,0.37999999999999995
TB,Chris Godwin,Dig,12.0,0,10,22.000000000000004,Chris Godwin,Dig,71.0,0.3098591549295775
TB,Chris Godwin,Out,7.4,0,7,14.4,Chris Godwin,Out,50.0,0.28800000000000003
TB,Chris Godwin,Post,2.6,0,1,3.6,Chris Godwin,Post,41.0,0.0878048780487805
TB,Chris Godwin,Slant,11.9,12,8,31.9,Chris Godwin,Slant,32.0,0.996875
ARI,Christian Blake,Corner,0.0,0,0,0.0,Christian Blake,Corner,4.0,0.0
ARI,Christian Blake,Out,1.4000000000000001,0,2,3.4000000000000004,Christian Blake,Out,6.0,0.5666666666666668
JAX,Christian Kirk,Comeback,0.8,0,1,1.8,Christian Kirk,Comeback,6.0,0.3
JAX,Christian Kirk,Corner,16.400000000000002,12,5,33.4,Christian Kirk,Corner,41.0,0.8146341463414634
JAX,Christian Kirk,Curl,11.100000000000001,6,15,32.1,Christian Kirk,Curl,85.0,0.37764705882352945
JAX,Christian Kirk,Dig,3.8,0,4,7.800000000000001,Christian Kirk,Dig,43.0,0.1813953488372093
JAX,Christian Kirk,Out,13.1,0,13,26.1,Christian Kirk,Out,52.0,0.5019230769230769
JAX,Christian Kirk,Post,6.1,6,2,14.1,Christian Kirk,Post,29.0,0.4862068965517241
JAX,Christian Kirk,Slant,7.3,0,6,13.3,Christian Kirk,Slant,23.0,0.5782608695652174
CAR,Christian McCaffrey,Dig,3.7,0,4,7.700000000000001,Christian McCaffrey,Dig,5.0,1.5400000000000003
CAR,Christian McCaffrey,Out,4.5,0,5,9.5,Christian McCaffrey,Out,7.0,1.3571428571428572
CAR,Chuba Hubbard,Curl,6.0,0,5,11.0,Chuba Hubbard,Curl,26.0,0.4230769230769231
CAR,Chuba Hubbard,Dig,0.8,0,1,1.8,Chuba Hubbard,Dig,2.0,0.9
TEN,Cody Hollister,Dig,1.4000000000000001,0,1,2.4000000000000004,Cody Hollister,Dig,5.0,0.4800000000000001
CHI,Cole Kmet,Corner,2.5,0,1,3.5,Cole Kmet,Corner,17.0,0.20588235294117646
CHI,Cole Kmet,Curl,10.600000000000001,0,9,19.6,Cole Kmet,Curl,88.0,0.22272727272727275
CHI,Cole Kmet,Dig,4.9,0,4,8.9,Cole Kmet,Dig,23.0,0.3869565217391305
CHI,Cole Kmet,Out,8.700000000000001,0,9,17.7,Cole Kmet,Out,38.0,0.46578947368421053
CHI,Cole Kmet,Post,2.4000000000000004,0,1,3.4000000000000004,Cole Kmet,Post,14.0,0.24285714285714288
CHI,Cole Kmet,Slant,1.6,0,2,3.6,Cole Kmet,Slant,19.0,0.18947368421052632
NYG,Collin Johnson,Curl,6.200000000000001,0,7,13.2,Collin Johnson,Curl,29.0,0.4551724137931034
NYG,Collin Johnson,Dig,0.7000000000000001,0,1,1.7000000000000002,Collin Johnson,Dig,13.0,0.13076923076923078
NYG,Collin Johnson,Out,1.1,0,1,2.1,Collin Johnson,Out,9.0,0.23333333333333334
LAR,Cooper Kupp,Corner,18.6,18,8,44.6,Cooper Kupp,Corner,31.0,1.4387096774193548
LAR,Cooper Kupp,Curl,20.500000000000004,6,25,51.5,Cooper Kupp,Curl,106.0,0.4858490566037736
LAR,Cooper Kupp,Dig,5.700000000000001,0,5,10.700000000000001,Cooper Kupp,Dig,52.0,0.2057692307692308
LAR,Cooper Kupp,Out,45.5,24,43,112.5,Cooper Kupp,Out,84.0,1.3392857142857142
LAR,Cooper Kupp,Post,24.000000000000004,24,8,56.0,Cooper Kupp,Post,27.0,2.074074074074074
LAR,Cooper Kupp,Slant,14.600000000000001,12,7,33.6,Cooper Kupp,Slant,29.0,1.1586206896551725
ATL,Cordarrelle Patterson,Curl,7.9,6,8,21.9,Cordarrelle Patterson,Curl,37.0,0.5918918918918918
ATL,Cordarrelle Patterson,Post,5.5,6,2,13.5,Cordarrelle Patterson,Post,5.0,2.7
ATL,Cordarrelle Patterson,Slant,1.8,0,1,2.8,Cordarrelle Patterson,Slant,13.0,0.21538461538461537
NYJ,Corey Davis,Comeback,0.0,0,0,0.0,Corey Davis,Comeback,4.0,0.0
NYJ,Corey Davis,Corner,0.30000000000000004,6,1,7.3,Corey Davis,Corner,10.0,0.73
NYJ,Corey Davis,Curl,5.800000000000001,0,7,12.8,Corey Davis,Curl,31.0,0.4129032258064516
NYJ,Corey Davis,Dig,10.700000000000001,0,5,15.7,Corey Davis,Dig,59.0,0.2661016949152542
NYJ,Corey Davis,Out,11.700000000000001,6,8,25.699999999999996,Corey Davis,Out,28.0,0.9178571428571427
NYJ,Corey Davis,Post,1.7000000000000002,0,1,2.7,Corey Davis,Post,11.0,0.24545454545454548
NYJ,Corey Davis,Slant,5.7,0,5,10.7,Corey Davis,Slant,16.0,0.66875
DEN,Courtland Sutton,Comeback,2.2,0,2,4.199999999999999,Courtland Sutton,Comeback,4.0,1.0499999999999998
DEN,Courtland Sutton,Corner,6.9,0,2,8.9,Courtland Sutton,Corner,14.0,0.6357142857142858
DEN,Courtland Sutton,Curl,17.8,0,20,37.8,Courtland Sutton,Curl,111.0,0.3405405405405405
DEN,Courtland Sutton,Dig,7.699999999999999,6,5,18.7,Courtland Sutton,Dig,88.0,0.2125
DEN,Courtland Sutton,Out,2.4000000000000004,0,2,4.4,Courtland Sutton,Out,23.0,0.19130434782608696
DEN,Courtland Sutton,Post,6.9,0,2,8.9,Courtland Sutton,Post,26.0,0.3423076923076923
DEN,Courtland Sutton,Slant,9.9,0,11,20.9,Courtland Sutton,Slant,32.0,0.653125
DET,D'Andre Swift,Curl,3.8000000000000003,0,4,7.800000000000001,D'Andre Swift,Curl,27.0,0.2888888888888889
DET,D'Andre Swift,Dig,1.5,0,2,3.5,D'Andre Swift,Dig,7.0,0.5
DET,D'Andre Swift,Out,1.4000000000000001,0,3,4.3999999999999995,D'Andre Swift,Out,9.0,0.4888888888888888
DET,D'Andre Swift,Post,0.0,0,0,0.0,D'Andre Swift,Post,2.0,0.0
CLE,D'Ernest Johnson,Out,2.6,0,2,4.6,D'Ernest Johnson,Out,10.0,0.45999999999999996
NYJ,D.J. Montgomery,Dig,1.4000000000000001,0,1,2.4000000000000004,D.J. Montgomery,Dig,10.0,0.24000000000000005
CAR,DJ Moore,Comeback,3.6,0,3,6.6,DJ Moore,Comeback,20.0,0.32999999999999996
CAR,DJ Moore,Corner,2.6,0,1,3.6,DJ Moore,Corner,26.0,0.13846153846153847
CAR,DJ Moore,Curl,13.4,0,13,26.399999999999995,DJ Moore,Curl,72.0,0.3666666666666666
CAR,DJ Moore,Dig,14.5,0,8,22.5,DJ Moore,Dig,71.0,0.31690140845070425
CAR,DJ Moore,Out,13.900000000000002,0,13,26.9,DJ Moore,Out,57.0,0.4719298245614035
CAR,DJ Moore,Post,6.1000000000000005,6,4,16.1,DJ Moore,Post,35.0,0.46
CAR,DJ Moore,Slant,23.3,6,19,48.3,DJ Moore,Slant,67.0,0.7208955223880597
SEA,DK Metcalf,Comeback,1.6,0,1,2.6,DK Metcalf,Comeback,5.0,0.52
SEA,DK Metcalf,Corner,0.0,0,0,0.0,DK Metcalf,Corner,26.0,0.0
SEA,DK Metcalf,Curl,12.9,0,14,26.9,DK Metcalf,Curl,61.0,0.440983606557377
SEA,DK Metcalf,Dig,5.9,0,4,9.900000000000002,DK Metcalf,Dig,34.0,0.29117647058823537
SEA,DK Metcalf,Out,12.500000000000004,12,13,37.49999999999999,DK Metcalf,Out,48.0,0.7812499999999999
SEA,DK Metcalf,Post,5.300000000000001,12,3,20.3,DK Metcalf,Post,29.0,0.7000000000000001
SEA,DK Metcalf,Slant,12.4,0,10,22.399999999999995,DK Metcalf,Slant,48.0,0.46666666666666656
PHI,Dallas Goedert,Comeback,1.4000000000000001,0,1,2.4000000000000004,Dallas Goedert,Comeback,9.0,0.2666666666666667
PHI,Dallas Goedert,Corner,8.9,0,4,12.9,Dallas Goedert,Corner,21.0,0.6142857142857143
PHI,Dallas Goedert,Curl,7.299999999999999,0,6,13.3,Dallas Goedert,Curl,35.0,0.38
PHI,Dallas Goedert,Dig,12.8,0,6,18.799999999999997,Dallas Goedert,Dig,34.0,0.5529411764705882
PHI,Dallas Goedert,Out,9.9,6,9,24.900000000000002,Dallas Goedert,Out,40.0,0.6225
PHI,Dallas Goedert,Post,0.0,0,0,0.0,Dallas Goedert,Post,12.0,0.0
DAL,Dalton Schultz,Corner,0.0,0,0,0.0,Dalton Schultz,Corner,15.0,0.0
DAL,Dalton Schultz,Curl,16.3,6,18,40.300000000000004,Dalton Schultz,Curl,114.0,0.3535087719298246
