team,playerName,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
MIA,Chase Edmonds,Left A Gap,10.999999999999998,6,0,17.0,0.7083333333333334
MIA,Chase Edmonds,Left D Gap,6.000000000000002,6,0,12.0,1.0
MIA,Chase Edmonds,Left Off-Tackle Gap Unknown,13.299999999999997,0,0,13.299999999999997,0.45862068965517233
MIA,Chase Edmonds,Right A Gap,17.299999999999994,0,0,17.299999999999994,0.45526315789473665
MIA,Chase Edmonds,Right D Gap,5.4,0,0,5.4,0.49090909090909096
MIA,Chase Edmonds,Right Off-Tackle Gap Unknown,10.2,0,0,10.2,0.85
SEA,Chris Carson,Left A Gap,0.9,0,0,0.9,0.45
SEA,Chris Carson,Left D Gap,1.6,0,0,1.6,0.26666666666666666
SEA,Chris Carson,Left Off-Tackle Gap Unknown,8.400000000000002,6,-1,13.4,0.8933333333333333
SEA,Chris Carson,Right A Gap,2.6,12,0,14.6,1.6222222222222222
SEA,Chris Carson,Right D Gap,0.0,0,0,0.0,0.0
SEA,Chris Carson,Right Off-Tackle Gap Unknown,9.700000000000001,0,0,9.700000000000001,0.46190476190476193
HOU,Chris Conley,Left D Gap,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
CIN,Chris Evans,Left A Gap,3.8000000000000003,0,0,3.8000000000000003,0.9500000000000001
CIN,Chris Evans,Left D Gap,0.4,0,0,0.4,0.2
CIN,Chris Evans,Left Off-Tackle Gap Unknown,3.5999999999999996,0,0,3.5999999999999996,0.44999999999999996
CIN,Chris Evans,Right A Gap,0.1,0,0,0.1,0.1
CIN,Chris Evans,Right Off-Tackle Gap Unknown,1.6,0,0,1.6,0.26666666666666666
TB,Chris Godwin,Right D Gap,2.1,6,0,8.1,2.025
JAX,Christian Kirk,Left D Gap,1.1,0,0,1.1,1.1
CAR,Christian McCaffrey,Left A Gap,9.1,0,0,9.1,0.5055555555555555
CAR,Christian McCaffrey,Left D Gap,6.000000000000001,0,0,6.000000000000001,0.5000000000000001
CAR,Christian McCaffrey,Left Off-Tackle Gap Unknown,9.9,0,0,9.9,0.45
CAR,Christian McCaffrey,Right A Gap,10.1,0,0,10.1,0.43913043478260866
CAR,Christian McCaffrey,Right D Gap,7.5,6,0,13.500000000000002,1.35
CAR,Christian McCaffrey,Right Off-Tackle Gap Unknown,4.700000000000001,0,0,4.700000000000001,0.24736842105263163
CAR,Chuba Hubbard,Left A Gap,9.2,0,0,9.2,0.27878787878787875
CAR,Chuba Hubbard,Left D Gap,12.0,12,0,24.000000000000007,0.8571428571428574
CAR,Chuba Hubbard,Left Off-Tackle Gap Unknown,6.200000000000001,0,0,6.200000000000001,0.2695652173913044
CAR,Chuba Hubbard,Right A Gap,10.4,6,0,16.4,0.6074074074074074
CAR,Chuba Hubbard,Right D Gap,14.599999999999998,12,0,26.599999999999998,0.95
CAR,Chuba Hubbard,Right Off-Tackle Gap Unknown,12.500000000000002,0,-1,11.5,0.3194444444444444
KC,Clyde Edwards-Helaire,Left A Gap,12.100000000000003,0,-1,11.100000000000001,0.42692307692307696
KC,Clyde Edwards-Helaire,Left D Gap,4.500000000000001,6,0,10.500000000000002,0.9545454545454547
KC,Clyde Edwards-Helaire,Left Off-Tackle Gap Unknown,8.099999999999998,6,-1,13.1,0.655
KC,Clyde Edwards-Helaire,Right A Gap,16.0,6,0,22.0,0.7333333333333333
KC,Clyde Edwards-Helaire,Right D Gap,4.8999999999999995,6,0,10.9,0.6055555555555556
KC,Clyde Edwards-Helaire,Right Off-Tackle Gap Unknown,16.7,0,0,16.7,0.5758620689655172
CHI,Cole Kmet,Right D Gap,0.0,0,0,0.0,0.0
ARI,Colt McCoy,Left D Gap,1.3,0,0,1.3,0.325
ARI,Colt McCoy,Left Off-Tackle Gap Unknown,0.7000000000000001,0,0,0.7000000000000001,0.7000000000000001
ARI,Colt McCoy,Middle,-0.7999999999999999,0,0,-0.7999999999999999,-0.05714285714285714
ARI,Colt McCoy,Right A Gap,1.1,0,0,1.1,1.1
ARI,Colt McCoy,Right D Gap,0.6000000000000001,0,0,0.6000000000000001,0.6000000000000001
ARI,Colt McCoy,Right Off-Tackle Gap Unknown,0.8,0,0,0.8,0.8
LAR,Cooper Kupp,Left D Gap,1.2,0,0,1.2,0.3
LAR,Cooper Kupp,Right D Gap,1.1,0,0,1.1,0.55
DAL,Cooper Rush,Left D Gap,-0.2,0,0,-0.2,-0.1
DAL,Cooper Rush,Middle,-1.0,0,0,-1.0,-0.2
DAL,Cooper Rush,Right A Gap,0.2,0,0,0.2,0.2
DAL,Cooper Rush,Right D Gap,0.2,0,0,0.2,0.2
ATL,Cordarrelle Patterson,Left A Gap,5.900000000000001,12,0,17.900000000000002,1.0529411764705883
ATL,Cordarrelle Patterson,Left D Gap,15.6,6,0,21.599999999999998,0.6171428571428571
ATL,Cordarrelle Patterson,Left Off-Tackle Gap Unknown,15.4,12,0,27.399999999999995,0.8838709677419353
ATL,Cordarrelle Patterson,Middle,0.0,0,0,0.0,0.0
ATL,Cordarrelle Patterson,Right A Gap,6.6000000000000005,0,0,6.6000000000000005,0.264
ATL,Cordarrelle Patterson,Right D Gap,5.3,6,0,11.299999999999999,0.7533333333333333
ATL,Cordarrelle Patterson,Right Off-Tackle Gap Unknown,12.200000000000005,0,0,12.200000000000005,0.4357142857142859
DET,Craig Reynolds,Left A Gap,6.1,0,0,6.1,0.5545454545454546
DET,Craig Reynolds,Left D Gap,4.800000000000001,0,0,4.800000000000001,0.9600000000000002
DET,Craig Reynolds,Left Off-Tackle Gap Unknown,5.100000000000001,0,0,5.100000000000001,0.3923076923076924
DET,Craig Reynolds,Right A Gap,4.800000000000002,0,0,4.800000000000002,0.3200000000000001
DET,Craig Reynolds,Right D Gap,0.30000000000000004,0,0,0.30000000000000004,0.15000000000000002
DET,Craig Reynolds,Right Off-Tackle Gap Unknown,1.9000000000000001,0,0,1.9000000000000001,0.19
WAS,Curtis Samuel,Left D Gap,0.8,0,0,0.8,0.8
WAS,Curtis Samuel,Right D Gap,0.0,0,0,0.0,0.0
WAS,Curtis Samuel,Right Off-Tackle Gap Unknown,0.30000000000000004,0,0,0.30000000000000004,0.30000000000000004
DET,D'Andre Swift,Left A Gap,11.1,12,0,23.099999999999994,0.6416666666666665
DET,D'Andre Swift,Left D Gap,9.100000000000001,0,0,9.100000000000001,0.5687500000000001
