,nickName,blockingSchemeType_pooled,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
77,Ravens,Zone,212,86.80000000000001,60,-1,145.79999999999998,0.6877358490566037
78,Saints,Gap,24,7.500000000000001,0,0,7.500000000000001,0.31250000000000006
79,Saints,Other,122,58.40000000000001,24,-1,81.39999999999999,0.6672131147540983
80,Saints,Zone,183,50.89999999999998,42,-1,91.90000000000005,0.502185792349727
81,Seahawks,Gap,29,8.3,6,0,14.3,0.4931034482758621
82,Seahawks,Other,131,72.29999999999998,18,0,90.29999999999995,0.6893129770992363
83,Seahawks,Zone,264,88.60000000000002,54,-1,141.6,0.5363636363636364
84,Steelers,Gap,22,10.000000000000002,0,0,10.000000000000002,0.45454545454545464
85,Steelers,Other,146,93.6,48,-1,140.6,0.963013698630137
86,Steelers,Zone,231,93.69999999999997,30,-2,121.69999999999999,0.5268398268398268
87,Texans,Gap,26,13.200000000000003,6,0,19.200000000000006,0.7384615384615387
88,Texans,Other,132,61.199999999999974,36,-1,96.19999999999996,0.7287878787878785
89,Texans,Zone,263,130.4,78,-1,207.4,0.7885931558935362
90,Titans,Gap,20,4.6000000000000005,0,0,4.6000000000000005,0.23000000000000004
91,Titans,Other,116,59.20000000000005,36,-1,94.2,0.8120689655172414
92,Titans,Zone,176,66.10000000000002,42,0,108.10000000000008,0.614204545454546
93,Vikings,Gap,14,7.3,0,0,7.3,0.5214285714285715
94,Vikings,Other,117,66.29999999999998,24,-1,89.3,0.7632478632478632
95,Vikings,Zone,266,114.50000000000004,42,-2,154.5000000000001,0.5808270676691734
