,team,playerName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,GB,Aaron Rodgers,Man,230,73.92000000000003,104,-3,174.92,0.7605217391304347,230,502,0.4581673306772908
1,GB,Aaron Rodgers,Other,42,11.800000000000002,8,-1,18.8,0.44761904761904764,42,502,0.08366533864541832
2,GB,Aaron Rodgers,Zone,230,69.60000000000002,36,-3,102.59999999999997,0.44608695652173896,230,502,0.4581673306772908
3,NO,Andy Dalton,Man,132,34.400000000000006,24,-3,55.39999999999999,0.4196969696969696,132,319,0.41379310344827586
4,NO,Andy Dalton,Other,32,5.800000000000002,8,0,13.800000000000002,0.4312500000000001,32,319,0.10031347962382445
5,NO,Andy Dalton,Zone,155,32.51999999999999,16,-6,42.51999999999999,0.27432258064516124,155,319,0.48589341692789967
6,CAR,Baker Mayfield,Man,231,53.52000000000001,56,-4,105.52000000000001,0.45679653679653687,231,497,0.4647887323943662
7,CAR,Baker Mayfield,Other,32,8.320000000000002,4,0,12.320000000000004,0.3850000000000001,32,497,0.06438631790744467
8,CAR,Baker Mayfield,Zone,234,61.55999999999996,48,-6,103.56000000000002,0.4425641025641026,234,497,0.4708249496981891
9,TB,Blaine Gabbert,Man,3,0.28,0,0,0.28,0.09333333333333334,3,16,0.1875
10,TB,Blaine Gabbert,Other,4,1.8000000000000003,0,0,1.8000000000000003,0.45000000000000007,4,16,0.25
11,TB,Blaine Gabbert,Zone,9,3.2800000000000002,8,0,11.279999999999998,1.253333333333333,9,16,0.5625
12,CIN,Brandon Allen,Man,60,14.440000000000003,12,-4,22.44,0.374,60,135,0.4444444444444444
13,CIN,Brandon Allen,Other,12,7.6,4,0,11.599999999999998,0.9666666666666665,12,135,0.08888888888888889
14,CIN,Brandon Allen,Zone,63,12.840000000000002,4,0,16.84,0.2673015873015873,63,135,0.4666666666666667
15,DEN,Brett Rypien,Man,22,6.200000000000001,4,-3,7.2,0.32727272727272727,22,43,0.5116279069767442
16,DEN,Brett Rypien,Other,3,-0.08,0,-1,-1.08,-0.36000000000000004,3,43,0.06976744186046512
17,DEN,Brett Rypien,Zone,18,5.320000000000001,4,0,9.319999999999999,0.5177777777777777,18,43,0.4186046511627907
