team,playerName,RunDirection_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
GB,Aaron Jones,Left A Gap,53,32.2,18,0,50.199999999999996,0.9471698113207546,53,226,0.2345132743362832
GB,Aaron Jones,Left D Gap,30,11.400000000000002,0,0,11.400000000000002,0.38000000000000006,30,226,0.13274336283185842
GB,Aaron Jones,Left Off-Tackle Gap Unknown,41,24.200000000000003,18,0,42.20000000000001,1.029268292682927,41,226,0.18141592920353983
GB,Aaron Jones,Right A Gap,49,33.5,24,0,57.49999999999999,1.173469387755102,49,226,0.2168141592920354
GB,Aaron Jones,Right D Gap,24,12.500000000000004,0,0,12.500000000000004,0.5208333333333335,24,226,0.10619469026548672
GB,Aaron Jones,Right Off-Tackle Gap Unknown,29,12.500000000000002,0,0,12.500000000000002,0.4310344827586208,29,226,0.12831858407079647
GB,Aaron Rodgers,Left D Gap,9,5.500000000000001,6,0,11.500000000000002,1.277777777777778,9,37,0.24324324324324326
GB,Aaron Rodgers,Middle,16,-1.0,0,-1,-2.0000000000000004,-0.12500000000000003,16,37,0.43243243243243246
GB,Aaron Rodgers,Right D Gap,12,7.199999999999999,18,0,25.199999999999996,2.0999999999999996,12,37,0.32432432432432434
MIN,Alexander Mattison,Left A Gap,14,4.4,0,0,4.4,0.31428571428571433,14,96,0.14583333333333334
MIN,Alexander Mattison,Left Off-Tackle Gap Unknown,29,13.8,0,0,13.8,0.47586206896551725,29,96,0.3020833333333333
MIN,Alexander Mattison,Right A Gap,14,7.800000000000001,6,0,13.8,0.9857142857142858,14,96,0.14583333333333334
MIN,Alexander Mattison,Right D Gap,8,3.9000000000000004,0,0,3.9000000000000004,0.48750000000000004,8,96,0.08333333333333333
MIN,Alexander Mattison,Right Off-Tackle Gap Unknown,31,17.499999999999996,6,0,23.499999999999996,0.7580645161290321,31,96,0.3229166666666667
NO,Alvin Kamara,Left A Gap,38,26.7,12,0,38.699999999999996,1.018421052631579,38,232,0.16379310344827586
NO,Alvin Kamara,Left D Gap,21,3.5,12,0,15.5,0.7380952380952381,21,232,0.09051724137931035
NO,Alvin Kamara,Left Off-Tackle Gap Unknown,69,35.20000000000001,36,0,71.20000000000005,1.0318840579710151,69,232,0.2974137931034483
NO,Alvin Kamara,Right A Gap,43,16.0,6,0,22.000000000000007,0.5116279069767443,43,232,0.1853448275862069
NO,Alvin Kamara,Right D Gap,12,10.200000000000001,0,0,10.200000000000001,0.8500000000000001,12,232,0.05172413793103448
NO,Alvin Kamara,Right Off-Tackle Gap Unknown,49,21.700000000000003,36,0,57.7,1.1775510204081634,49,232,0.21120689655172414
NO,Andy Dalton,Middle,11,2.5999999999999996,0,0,2.5999999999999996,0.23636363636363633,11,17,0.6470588235294118
NO,Andy Dalton,Right D Gap,6,2.2,0,0,2.2,0.3666666666666667,6,17,0.35294117647058826
PIT,Anthony McFarland Jr.,Left Off-Tackle Gap Unknown,12,4.500000000000001,0,0,4.500000000000001,0.37500000000000006,12,25,0.48
PIT,Anthony McFarland Jr.,Right A Gap,6,2.4,0,0,2.4,0.39999999999999997,6,25,0.24
PIT,Anthony McFarland Jr.,Right D Gap,7,2.1,0,0,2.1,0.3,7,25,0.28
WAS,Antonio Gibson,Left A Gap,35,13.000000000000002,12,0,25.000000000000007,0.7142857142857145,35,189,0.18518518518518517
WAS,Antonio Gibson,Left D Gap,15,6.900000000000001,6,0,12.899999999999999,0.8599999999999999,15,189,0.07936507936507936
WAS,Antonio Gibson,Left Off-Tackle Gap Unknown,37,15.300000000000002,12,0,27.300000000000004,0.737837837837838,37,189,0.19576719576719576
WAS,Antonio Gibson,Right A Gap,40,18.999999999999996,24,0,43.0,1.075,40,189,0.21164021164021163
WAS,Antonio Gibson,Right D Gap,20,12.400000000000002,6,0,18.400000000000002,0.9200000000000002,20,189,0.10582010582010581
WAS,Antonio Gibson,Right Off-Tackle Gap Unknown,42,17.9,6,0,23.900000000000006,0.5690476190476191,42,189,0.2222222222222222
LAC,Austin Ekeler,Left A Gap,19,10.0,0,0,10.0,0.5263157894736842,19,117,0.1623931623931624
LAC,Austin Ekeler,Left D Gap,15,6.000000000000001,0,0,6.000000000000001,0.4000000000000001,15,117,0.1282051282051282
LAC,Austin Ekeler,Left Off-Tackle Gap Unknown,26,10.000000000000002,0,0,10.000000000000002,0.3846153846153847,26,117,0.2222222222222222
LAC,Austin Ekeler,Right A Gap,25,14.599999999999998,0,0,14.599999999999998,0.584,25,117,0.21367521367521367
LAC,Austin Ekeler,Right D Gap,9,2.9000000000000004,0,0,2.9000000000000004,0.32222222222222224,9,117,0.07692307692307693
LAC,Austin Ekeler,Right Off-Tackle Gap Unknown,23,10.0,6,0,16.0,0.6956521739130435,23,117,0.19658119658119658
CAR,Baker Mayfield,Left D Gap,15,11.400000000000002,0,0,11.400000000000002,0.7600000000000001,15,57,0.2631578947368421
CAR,Baker Mayfield,Left Off-Tackle Gap Unknown,7,2.4000000000000004,0,0,2.4000000000000004,0.3428571428571429,7,57,0.12280701754385964
CAR,Baker Mayfield,Middle,22,-1.0999999999999999,0,-1,-2.1000000000000005,-0.09545454545454547,22,57,0.38596491228070173
CAR,Baker Mayfield,Right A Gap,7,1.8,0,0,1.8,0.2571428571428572,7,57,0.12280701754385964
CAR,Baker Mayfield,Right D Gap,6,2.5,6,0,8.5,1.4166666666666667,6,57,0.10526315789473684
TB,Blaine Gabbert,Middle,7,-0.2,0,0,-0.2,-0.028571428571428574,7,7,1.0
PHI,Boston Scott,Left A Gap,13,6.2,0,0,6.2,0.47692307692307695,13,77,0.16883116883116883
PHI,Boston Scott,Left D Gap,6,2.9000000000000004,0,0,2.9000000000000004,0.4833333333333334,6,77,0.07792207792207792
PHI,Boston Scott,Left Off-Tackle Gap Unknown,24,15.400000000000002,6,0,21.40000000000001,0.891666666666667,24,77,0.3116883116883117
PHI,Boston Scott,Right A Gap,13,6.3,0,0,6.3,0.4846153846153846,13,77,0.16883116883116883
PHI,Boston Scott,Right Off-Tackle Gap Unknown,21,8.400000000000002,0,0,8.400000000000002,0.4000000000000001,21,77,0.2727272727272727
SF,Brandon Aiyuk,Right D Gap,6,7.700000000000001,12,0,19.700000000000003,3.2833333333333337,6,6,1.0
LAR,Cam Akers,Left A Gap,22,6.200000000000001,0,0,6.200000000000001,0.28181818181818186,22,195,0.11282051282051282
LAR,Cam Akers,Left D Gap,12,3.0000000000000004,0,0,3.0000000000000004,0.25000000000000006,12,195,0.06153846153846154
LAR,Cam Akers,Left Off-Tackle Gap Unknown,56,25.600000000000012,12,-1,36.60000000000001,0.6535714285714287,56,195,0.28717948717948716
LAR,Cam Akers,Right A Gap,30,10.900000000000002,12,0,22.9,0.7633333333333333,30,195,0.15384615384615385
LAR,Cam Akers,Right D Gap,19,11.700000000000001,0,0,11.700000000000001,0.6157894736842106,19,195,0.09743589743589744
LAR,Cam Akers,Right Off-Tackle Gap Unknown,56,33.0,6,0,38.99999999999999,0.6964285714285713,56,195,0.28717948717948716
WAS,Carson Wentz,Left A Gap,10,7.499999999999999,6,0,13.499999999999998,1.3499999999999999,10,43,0.23255813953488372
WAS,Carson Wentz,Left Off-Tackle Gap Unknown,6,2.6999999999999997,6,-1,7.699999999999999,1.2833333333333332,6,43,0.13953488372093023
WAS,Carson Wentz,Middle,12,1.2000000000000002,12,0,13.200000000000001,1.1,12,43,0.27906976744186046
WAS,Carson Wentz,Right A Gap,7,4.2,0,0,4.2,0.6,7,43,0.16279069767441862
WAS,Carson Wentz,Right D Gap,8,5.300000000000001,6,0,11.3,1.4125,8,43,0.18604651162790697
PIT,Chase Claypool,Left D Gap,9,1.2,12,0,13.2,1.4666666666666666,9,9,1.0
MIA,Chase Edmonds,Left A Gap,29,13.200000000000003,0,0,13.200000000000003,0.4551724137931035,29,99,0.29292929292929293
MIA,Chase Edmonds,Left D Gap,12,0.4999999999999999,0,0,0.4999999999999999,0.04166666666666666,12,99,0.12121212121212122
MIA,Chase Edmonds,Left Off-Tackle Gap Unknown,16,8.2,0,0,8.2,0.5125,16,99,0.16161616161616163
MIA,Chase Edmonds,Right A Gap,29,17.300000000000004,6,0,23.3,0.803448275862069,29,99,0.29292929292929293
MIA,Chase Edmonds,Right D Gap,6,2.3000000000000003,0,0,2.3000000000000003,0.38333333333333336,6,99,0.06060606060606061
MIA,Chase Edmonds,Right Off-Tackle Gap Unknown,7,2.7,0,0,2.7,0.38571428571428573,7,99,0.0707070707070707
SEA,Chris Carson,Left A Gap,31,12.4,12,0,24.399999999999995,0.7870967741935482,31,163,0.1901840490797546
SEA,Chris Carson,Left D Gap,17,8.700000000000001,6,0,14.700000000000001,0.8647058823529412,17,163,0.10429447852760736
SEA,Chris Carson,Left Off-Tackle Gap Unknown,30,11.300000000000002,0,0,11.300000000000002,0.37666666666666676,30,163,0.18404907975460122
