,nickName,blockingSchemeType_pooled,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
0,49ers,Gap,18,5.499999999999999,0,0,5.499999999999999,0.3055555555555555,18,279,0.06451612903225806
1,49ers,Other,106,55.90000000000002,18,-3,70.90000000000002,0.6688679245283021,106,279,0.37992831541218636
2,49ers,Zone,155,64.39999999999999,36,-1,99.4,0.6412903225806452,155,279,0.5555555555555556
3,Bears,Gap,15,6.1000000000000005,6,0,12.100000000000001,0.8066666666666668,15,296,0.05067567567567568
4,Bears,Other,81,53.300000000000004,12,0,65.30000000000001,0.806172839506173,81,296,0.27364864864864863
5,Bears,Zone,200,67.9,18,-2,83.90000000000005,0.41950000000000026,200,296,0.6756756756756757
6,Bengals,Gap,20,7.6,0,0,7.6,0.38,20,330,0.06060606060606061
7,Bengals,Other,135,98.40000000000005,24,0,122.40000000000002,0.9066666666666668,135,330,0.4090909090909091
8,Bengals,Zone,175,73.5,30,0,103.50000000000001,0.5914285714285715,175,330,0.5303030303030303
9,Bills,Gap,21,8.9,0,0,8.9,0.4238095238095238,21,334,0.06287425149700598
10,Bills,Other,130,76.59999999999998,24,0,100.6,0.7738461538461539,130,334,0.38922155688622756
11,Bills,Zone,183,74.39999999999996,54,-1,127.3999999999999,0.6961748633879776,183,334,0.5479041916167665
12,Broncos,Gap,14,6.800000000000001,6,0,12.799999999999999,0.9142857142857143,14,254,0.05511811023622047
13,Broncos,Other,94,63.80000000000002,60,0,123.80000000000001,1.3170212765957447,94,254,0.3700787401574803
14,Broncos,Zone,146,62.10000000000001,36,0,98.09999999999997,0.6719178082191779,146,254,0.5748031496062992
15,Browns,Gap,19,3.8000000000000007,12,-1,14.8,0.7789473684210527,19,336,0.05654761904761905
16,Browns,Other,131,76.20000000000003,54,-1,129.2,0.9862595419847328,131,336,0.3898809523809524
17,Browns,Zone,186,76.1,30,-2,104.10000000000004,0.559677419354839,186,336,0.5535714285714286
18,Buccaneers,Gap,19,5.3,0,0,5.3,0.2789473684210526,19,297,0.06397306397306397
19,Buccaneers,Other,98,54.00000000000001,24,-3,74.99999999999999,0.7653061224489794,98,297,0.32996632996632996
20,Buccaneers,Zone,180,60.00000000000001,42,0,102.00000000000004,0.5666666666666669,180,297,0.6060606060606061
21,Cardinals,Gap,14,3.0000000000000004,0,0,3.0000000000000004,0.21428571428571433,14,260,0.05384615384615385
22,Cardinals,Other,84,55.50000000000001,24,0,79.50000000000001,0.9464285714285716,84,260,0.3230769230769231
23,Cardinals,Zone,162,55.499999999999986,12,-2,65.5,0.404320987654321,162,260,0.6230769230769231
24,Chargers,Gap,6,1.9000000000000001,6,0,7.8999999999999995,1.3166666666666667,6,253,0.023715415019762844
25,Chargers,Other,88,53.70000000000003,36,-3,86.70000000000002,0.985227272727273,88,253,0.34782608695652173
26,Chargers,Zone,159,63.39999999999998,12,0,75.39999999999995,0.4742138364779871,159,253,0.6284584980237155
27,Chiefs,Gap,22,12.0,0,0,12.0,0.5454545454545454,22,322,0.06832298136645963
