team,playerName,route,FP_yards,FP_TD,FP_receiving,FP/routes
PHI,A.J. Brown,3.0,1.6,0,2,1.2
PHI,A.J. Brown,4.0,15.400000000000002,6,13,0.7818181818181817
PHI,A.J. Brown,6.0,14.0,0,9,0.6388888888888888
PHI,A.J. Brown,5.0,15.3,6,9,0.8657142857142858
PHI,A.J. Brown,8.0,7.1,12,4,1.155
PHI,A.J. Brown,2.0,9.9,0,8,0.5966666666666668
ARI,A.J. Green,3.0,2.5,0,2,0.5625
ARI,A.J. Green,7.0,3.4000000000000004,0,1,0.23157894736842108
ARI,A.J. Green,4.0,21.400000000000002,0,18,0.35178571428571426
ARI,A.J. Green,6.0,3.2,0,2,0.14054054054054055
ARI,A.J. Green,5.0,3.2,0,4,0.26666666666666666
ARI,A.J. Green,8.0,9.0,0,3,0.41379310344827586
ARI,A.J. Green,2.0,7.700000000000001,0,6,0.38055555555555554
GB,Aaron Jones,6.0,0.0,0,0,0.0
GB,Aaron Jones,2.0,2.6,0,2,0.9200000000000002
MIA,Adam Shaheen,7.0,0.0,0,0,0.0
MIA,Adam Shaheen,4.0,1.2000000000000002,0,2,0.11851851851851852
MIA,Adam Shaheen,5.0,2.9000000000000004,0,3,0.29500000000000004
MIN,Adam Thielen,3.0,3.4000000000000004,6,3,0.8266666666666667
MIN,Adam Thielen,7.0,1.8,0,1,0.12727272727272726
MIN,Adam Thielen,4.0,8.4,0,8,0.264516129032258
MIN,Adam Thielen,6.0,11.000000000000002,0,8,0.40425531914893614
MIN,Adam Thielen,5.0,8.6,12,9,0.6040816326530611
MIN,Adam Thielen,8.0,8.100000000000001,12,5,1.1952380952380952
MIN,Adam Thielen,2.0,5.1000000000000005,6,5,0.503125
NO,Adam Trautman,7.0,1.7000000000000002,0,1,0.15000000000000002
NO,Adam Trautman,4.0,2.8,0,4,0.19999999999999998
NO,Adam Trautman,6.0,2.1,0,2,0.24117647058823527
NO,Adam Trautman,2.0,0.0,0,0,0.0
DEN,Albert Okwuegbunam,7.0,0.0,0,0,0.0
DEN,Albert Okwuegbunam,4.0,3.4000000000000004,0,3,0.24615384615384614
DEN,Albert Okwuegbunam,8.0,0.0,0,0,0.0
MIN,Albert Wilson,4.0,5.0,0,6,0.3793103448275862
MIN,Albert Wilson,5.0,1.5,0,2,0.25
MIN,Albert Wilson,2.0,1.2000000000000002,0,2,0.2285714285714286
MIA,Alec Ingold,7.0,0.0,0,0,0.0
MIN,Alexander Mattison,4.0,2.1,0,4,0.22592592592592592
MIN,Alexander Mattison,6.0,1.3000000000000003,0,2,0.3666666666666667
GB,Allen Lazard,7.0,2.0,6,1,0.5
GB,Allen Lazard,6.0,5.4,0,3,0.19999999999999996
GB,Allen Lazard,5.0,7.1,6,9,0.4702127659574468
GB,Allen Lazard,8.0,3.1000000000000005,0,2,0.24285714285714288
GB,Allen Lazard,2.0,4.0,6,4,0.358974358974359
NO,Alvin Kamara,4.0,7.400000000000002,6,11,0.5083333333333334
NO,Alvin Kamara,5.0,4.7,0,9,0.5074074074074074
NO,Alvin Kamara,2.0,1.4000000000000001,0,1,0.4000000000000001
CLE,Amari Cooper,3.0,4.300000000000001,6,4,1.7875
CLE,Amari Cooper,7.0,3.9000000000000004,6,2,0.5666666666666667
CLE,Amari Cooper,4.0,12.299999999999999,0,14,0.3506666666666667
CLE,Amari Cooper,6.0,4.800000000000001,0,4,0.22564102564102567
CLE,Amari Cooper,5.0,8.4,6,11,0.5521739130434783
CLE,Amari Cooper,8.0,8.700000000000001,6,3,0.47837837837837843
CLE,Amari Cooper,2.0,14.3,6,14,0.7456521739130434
GB,Amari Rodgers,2.0,0.0,0,0,0.0
DET,Amon-Ra St. Brown,7.0,0.0,0,0,0.0
DET,Amon-Ra St. Brown,4.0,14.999999999999998,24,19,0.6823529411764707
DET,Amon-Ra St. Brown,6.0,6.6,0,2,0.26875
DET,Amon-Ra St. Brown,5.0,21.900000000000002,0,23,0.7126984126984127
DET,Amon-Ra St. Brown,2.0,4.6,0,4,0.5058823529411764
HOU,Andy Janovich,6.0,0.0,0,0,0.0
ATL,Anthony Firkser,7.0,1.5,6,1,0.7083333333333334
ATL,Anthony Firkser,4.0,5.6,0,7,0.2625
ATL,Anthony Firkser,5.0,2.5,0,3,0.25
ATL,Anthony Firkser,2.0,2.6000000000000005,0,2,0.2705882352941177
CLE,Anthony Schwartz,3.0,1.3,0,1,0.7666666666666666
CLE,Anthony Schwartz,7.0,4.4,0,1,0.54
CLE,Anthony Schwartz,6.0,3.1,0,2,0.425
CLE,Anthony Schwartz,5.0,1.2000000000000002,0,2,0.17777777777777778
CLE,Anthony Schwartz,8.0,0.0,0,0,0.0
CLE,Anthony Schwartz,2.0,0.0,0,0,0.0
ARI,Antoine Wesley,7.0,0.0,0,0,0.0
ARI,Antoine Wesley,4.0,6.9,0,8,0.21285714285714286
ARI,Antoine Wesley,2.0,1.3000000000000003,0,2,0.19411764705882353
WAS,Antonio Gibson,4.0,2.3000000000000003,0,4,0.2172413793103448
WAS,Antonio Gibson,2.0,1.4000000000000001,0,2,1.1333333333333335
