,team,playerName,DropType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,GB,Aaron Rodgers,0/1 Step,74,19.159999999999997,20,0,39.16,0.5291891891891891,74,502,0.14741035856573706
1,GB,Aaron Rodgers,3 Step,229,70.48000000000002,60,-5,125.47999999999995,0.5479475982532749,229,502,0.45617529880478086
2,GB,Aaron Rodgers,5 Step,147,45.040000000000006,48,-2,91.03999999999998,0.6193197278911563,147,502,0.29282868525896416
3,GB,Aaron Rodgers,7 Step,52,20.64,20,0,40.64000000000001,0.7815384615384617,52,502,0.10358565737051793
4,NO,Andy Dalton,0/1 Step,78,15.599999999999996,16,-2,29.6,0.3794871794871795,78,319,0.2445141065830721
5,NO,Andy Dalton,3 Step,198,46.4,24,-7,63.39999999999999,0.32020202020202015,198,319,0.6206896551724138
6,NO,Andy Dalton,5 Step,32,8.2,4,0,12.199999999999996,0.38124999999999987,32,319,0.10031347962382445
7,NO,Andy Dalton,7 Step,11,2.5200000000000005,4,0,6.52,0.5927272727272727,11,319,0.034482758620689655
8,CAR,Baker Mayfield,0/1 Step,90,17.320000000000007,12,-2,27.31999999999999,0.30355555555555547,90,497,0.18108651911468812
9,CAR,Baker Mayfield,3 Step,264,64.0,56,-6,114.00000000000004,0.431818181818182,264,497,0.5311871227364185
10,CAR,Baker Mayfield,5 Step,100,26.319999999999993,28,-1,53.319999999999986,0.5331999999999999,100,497,0.2012072434607646
11,CAR,Baker Mayfield,7 Step,43,15.760000000000003,12,-1,26.759999999999998,0.6223255813953488,43,497,0.08651911468812877
12,TB,Blaine Gabbert,0/1 Step,4,1.8000000000000003,0,0,1.8000000000000003,0.45000000000000007,4,16,0.25
13,TB,Blaine Gabbert,3 Step,6,0.48000000000000004,0,0,0.48000000000000004,0.08,6,16,0.375
14,TB,Blaine Gabbert,5 Step,2,1.0,4,0,5.0,2.5,2,16,0.125
15,TB,Blaine Gabbert,7 Step,4,2.08,4,0,6.08,1.52,4,16,0.25
16,CIN,Brandon Allen,0/1 Step,63,16.24,8,-2,22.240000000000006,0.3530158730158731,63,135,0.4666666666666667
17,CIN,Brandon Allen,3 Step,52,13.4,4,0,17.399999999999995,0.33461538461538454,52,135,0.3851851851851852
18,CIN,Brandon Allen,5 Step,12,3.0000000000000004,0,0,3.0000000000000004,0.25000000000000006,12,135,0.08888888888888889
19,CIN,Brandon Allen,7 Step,8,2.24,8,-2,8.24,1.03,8,135,0.05925925925925926
20,DEN,Brett Rypien,0/1 Step,15,2.6799999999999997,4,-2,4.680000000000001,0.31200000000000006,15,43,0.3488372093023256
21,DEN,Brett Rypien,3 Step,25,6.560000000000001,0,-1,5.5600000000000005,0.22240000000000001,25,43,0.5813953488372093
22,DEN,Brett Rypien,5 Step,3,2.2,4,-1,5.2,1.7333333333333334,3,43,0.06976744186046512
23,NE,Brian Hoyer,0/1 Step,2,1.3599999999999999,0,0,1.3599999999999999,0.6799999999999999,2,23,0.08695652173913043
24,NE,Brian Hoyer,3 Step,11,2.4400000000000004,0,0,2.4400000000000004,0.22181818181818186,11,23,0.4782608695652174
25,NE,Brian Hoyer,5 Step,9,0.6799999999999999,0,-1,-0.32,-0.035555555555555556,9,23,0.391304347826087
26,NE,Brian Hoyer,7 Step,1,0.2,0,0,0.2,0.2,1,23,0.043478260869565216
27,JAX,C.J. Beathard,0/1 Step,29,8.2,4,0,12.2,0.42068965517241375,29,108,0.26851851851851855
28,JAX,C.J. Beathard,3 Step,55,14.28,4,0,18.279999999999998,0.3323636363636363,55,108,0.5092592592592593
29,JAX,C.J. Beathard,5 Step,17,4.040000000000001,4,0,8.040000000000001,0.4729411764705883,17,108,0.1574074074074074
