nickName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
49ers,Duo,42,12.799999999999999,6,0,18.799999999999997,0.4476190476190475,42,424,0.09905660377358491
49ers,Pass Protection,41,30.599999999999998,12,0,42.60000000000001,1.0390243902439027,41,424,0.09669811320754718
49ers,Pull Across,26,9.4,6,0,15.399999999999999,0.5923076923076922,26,424,0.06132075471698113
49ers,Pull Front,15,4.0,18,0,21.999999999999996,1.4666666666666663,15,424,0.03537735849056604
49ers,Pull Outside Numbers,11,4.6,0,0,4.6,0.41818181818181815,11,424,0.025943396226415096
49ers,Split Zone,54,19.000000000000004,0,-1,18.000000000000004,0.3333333333333334,54,424,0.12735849056603774
49ers,Zone,235,75.90000000000005,42,-1,116.9,0.4974468085106383,235,424,0.5542452830188679
Bears,Duo,32,14.400000000000004,12,0,26.4,0.825,32,344,0.09302325581395349
Bears,Pass Protection,26,14.5,12,-1,25.499999999999996,0.9807692307692306,26,344,0.0755813953488372
Bears,Pull Across,72,41.3,6,0,47.3,0.6569444444444444,72,344,0.20930232558139536
Bears,Split Zone,39,16.900000000000006,12,0,28.90000000000001,0.7410256410256413,39,344,0.11337209302325581
Bears,Zone,175,65.00000000000001,30,0,94.99999999999999,0.5428571428571428,175,344,0.5087209302325582
Bengals,Duo,15,6.500000000000001,0,0,6.500000000000001,0.4333333333333334,15,393,0.03816793893129771
Bengals,Pass Protection,33,20.599999999999998,0,0,20.599999999999998,0.6242424242424242,33,393,0.08396946564885496
Bengals,Pull 2,13,7.0,0,0,7.0,0.5384615384615384,13,393,0.03307888040712468
Bengals,Pull Across,63,31.700000000000006,30,0,61.700000000000024,0.9793650793650798,63,393,0.16030534351145037
Bengals,Pull Outside Numbers,11,6.400000000000001,12,0,18.4,1.6727272727272726,11,393,0.027989821882951654
Bengals,Split Zone,43,18.400000000000002,12,-1,29.4,0.6837209302325581,43,393,0.10941475826972011
Bengals,Zone,215,87.40000000000005,30,-1,116.40000000000002,0.5413953488372094,215,393,0.5470737913486005
Bills,Duo,21,5.199999999999999,0,0,5.199999999999999,0.24761904761904757,21,341,0.06158357771260997
Bills,Pass Protection,42,29.0,12,-1,40.0,0.9523809523809523,42,341,0.12316715542521994
Bills,Pull Across,60,27.500000000000004,6,0,33.50000000000001,0.5583333333333335,60,341,0.17595307917888564
Bills,Pull Front,17,9.4,6,0,15.4,0.9058823529411765,17,341,0.04985337243401759
Bills,Pull Outside Numbers,14,2.1000000000000005,0,0,2.1000000000000005,0.15000000000000005,14,341,0.04105571847507331
Bills,Split Zone,25,11.4,0,0,11.4,0.456,25,341,0.07331378299120235
Bills,Zone,162,65.50000000000001,78,0,143.5,0.8858024691358025,162,341,0.4750733137829912
Broncos,Duo,20,10.900000000000002,6,0,16.900000000000002,0.8450000000000001,20,309,0.06472491909385113
Broncos,Pass Protection,37,26.400000000000006,12,-2,36.4,0.9837837837837837,37,309,0.11974110032362459
Broncos,Pull Across,47,23.700000000000003,0,0,23.700000000000003,0.5042553191489362,47,309,0.15210355987055016
Broncos,Split Zone,35,11.000000000000002,6,0,16.999999999999996,0.4857142857142856,35,309,0.11326860841423948
Broncos,Zone,170,65.80000000000001,12,0,77.80000000000005,0.45764705882352974,170,309,0.5501618122977346
Browns,Duo,25,9.900000000000002,6,0,15.9,0.636,25,307,0.08143322475570032
Browns,Pass Protection,36,18.600000000000005,18,0,36.599999999999994,1.0166666666666666,36,307,0.11726384364820847
Browns,Pull Across,32,9.7,6,0,15.700000000000001,0.49062500000000003,32,307,0.10423452768729642
Browns,Pull Outside Numbers,11,5.800000000000001,12,0,17.8,1.6181818181818182,11,307,0.035830618892508145
Browns,Split Zone,39,20.700000000000003,12,0,32.7,0.8384615384615385,39,307,0.1270358306188925
Browns,Zone,164,76.6,18,0,94.6,0.5768292682926829,164,307,0.5342019543973942
Buccaneers,Duo,22,5.400000000000001,0,0,5.400000000000001,0.2454545454545455,22,322,0.06832298136645963
