,nickName,CoverageType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,Combination,3,0.36,4,0,4.36,1.4533333333333334,3,416,0.007211538461538462
1,49ers,Cover 0,8,0.6400000000000001,4,-1,3.64,0.455,8,416,0.019230769230769232
2,49ers,Cover 1,116,21.880000000000003,16,-4,33.88,0.2920689655172414,116,416,0.27884615384615385
3,49ers,Cover 2,36,8.559999999999999,8,0,16.559999999999995,0.45999999999999985,36,416,0.08653846153846154
4,49ers,Cover 3,77,20.039999999999992,8,-2,26.039999999999996,0.33818181818181814,77,416,0.18509615384615385
5,49ers,Cover 4,127,36.879999999999995,16,-1,51.87999999999999,0.4085039370078739,127,416,0.30528846153846156
6,49ers,Cover 6,10,3.32,4,-1,6.32,0.632,10,416,0.02403846153846154
7,49ers,Man Cover 2,8,2.4400000000000004,0,0,2.4400000000000004,0.30500000000000005,8,416,0.019230769230769232
8,49ers,Screen,31,4.5200000000000005,4,0,8.519999999999998,0.2748387096774193,31,416,0.07451923076923077
9,Bears,Combination,1,0.68,0,0,0.68,0.68,1,431,0.002320185614849188
10,Bears,Cover 0,10,0.76,8,0,8.760000000000002,0.8760000000000001,10,431,0.02320185614849188
11,Bears,Cover 1,104,19.679999999999996,20,-3,36.68000000000001,0.35269230769230775,104,431,0.24129930394431554
12,Bears,Cover 2,30,6.4,0,0,6.4,0.21333333333333335,30,431,0.06960556844547564
13,Bears,Cover 3,119,39.84,16,-2,53.84,0.452436974789916,119,431,0.27610208816705334
14,Bears,Cover 4,94,30.279999999999987,12,-2,40.279999999999994,0.4285106382978723,94,431,0.21809744779582366
15,Bears,Cover 6,28,7.400000000000002,0,-1,6.400000000000002,0.22857142857142865,28,431,0.06496519721577726
16,Bears,Man Cover 2,17,4.76,4,0,8.76,0.5152941176470588,17,431,0.03944315545243619
17,Bears,Other,4,1.12,8,0,9.120000000000001,2.2800000000000002,4,431,0.009280742459396751
18,Bears,Prevent,5,0.48,0,-1,-0.52,-0.10400000000000001,5,431,0.01160092807424594
19,Bears,Screen,15,4.28,0,-1,3.2800000000000002,0.21866666666666668,15,431,0.03480278422273782
20,Bears,Tampa 2,4,0.48,4,0,4.48,1.12,4,431,0.009280742459396751
21,Bengals,Combination,1,0.0,0,0,0.0,0.0,1,339,0.0029498525073746312
22,Bengals,Cover 0,15,1.44,12,-1,12.440000000000001,0.8293333333333334,15,339,0.04424778761061947
23,Bengals,Cover 1,112,35.12000000000001,24,-3,56.12,0.5010714285714285,112,339,0.3303834808259587
24,Bengals,Cover 2,18,7.440000000000001,4,0,11.44,0.6355555555555555,18,339,0.05309734513274336
25,Bengals,Cover 3,80,20.28,16,-4,32.279999999999994,0.4034999999999999,80,339,0.2359882005899705
26,Bengals,Cover 4,65,17.080000000000002,12,-2,27.08,0.4166153846153846,65,339,0.19174041297935104
27,Bengals,Cover 6,6,2.16,0,0,2.16,0.36000000000000004,6,339,0.017699115044247787
28,Bengals,Man Cover 2,17,3.96,0,0,3.96,0.23294117647058823,17,339,0.05014749262536873
29,Bengals,Other,1,0.64,0,0,0.64,0.64,1,339,0.0029498525073746312
30,Bengals,Prevent,3,1.24,0,0,1.24,0.41333333333333333,3,339,0.008849557522123894
31,Bengals,Screen,14,3.8400000000000003,0,0,3.8400000000000003,0.2742857142857143,14,339,0.04129793510324484
32,Bengals,Tampa 2,7,3.04,0,0,3.04,0.4342857142857143,7,339,0.02064896755162242
33,Bills,Combination,3,0.36,4,0,4.36,1.4533333333333334,3,488,0.006147540983606557
34,Bills,Cover 0,11,0.52,12,-1,11.52,1.0472727272727271,11,488,0.022540983606557378
35,Bills,Cover 1,85,18.599999999999998,12,0,30.60000000000001,0.3600000000000001,85,488,0.17418032786885246
36,Bills,Cover 2,41,11.440000000000001,12,-2,21.44,0.5229268292682927,41,488,0.08401639344262295
37,Bills,Cover 3,139,39.04,4,-5,38.03999999999999,0.2736690647482014,139,488,0.2848360655737705
38,Bills,Cover 4,140,38.400000000000006,20,-2,56.40000000000002,0.402857142857143,140,488,0.28688524590163933
39,Bills,Cover 6,18,6.560000000000002,0,0,6.560000000000002,0.36444444444444457,18,488,0.036885245901639344
40,Bills,Man Cover 2,22,3.08,0,-2,1.08,0.049090909090909095,22,488,0.045081967213114756
41,Bills,Prevent,5,4.44,4,-1,7.44,1.488,5,488,0.010245901639344262
42,Bills,Screen,21,6.5200000000000005,4,0,10.519999999999998,0.5009523809523808,21,488,0.0430327868852459
43,Bills,Tampa 2,3,0.8400000000000001,0,0,0.8400000000000001,0.28,3,488,0.006147540983606557
44,Broncos,Combination,6,1.6400000000000001,4,0,5.640000000000001,0.9400000000000001,6,476,0.012605042016806723
45,Broncos,Cover 0,19,3.7200000000000006,20,0,23.720000000000002,1.248421052631579,19,476,0.03991596638655462
46,Broncos,Cover 1,151,34.239999999999995,12,-3,43.239999999999995,0.2863576158940397,151,476,0.3172268907563025
47,Broncos,Cover 2,16,3.12,0,0,3.12,0.195,16,476,0.03361344537815126
48,Broncos,Cover 3,112,40.32,20,-3,57.319999999999986,0.5117857142857142,112,476,0.23529411764705882
49,Broncos,Cover 4,103,25.719999999999995,12,-2,35.72,0.34679611650485437,103,476,0.21638655462184875
50,Broncos,Cover 6,19,3.4,4,0,7.4,0.38947368421052636,19,476,0.03991596638655462
51,Broncos,Man Cover 2,23,6.279999999999999,0,0,6.279999999999999,0.27304347826086955,23,476,0.04831932773109244
52,Broncos,Other,2,0.6000000000000001,0,0,0.6000000000000001,0.30000000000000004,2,476,0.004201680672268907
53,Broncos,Screen,22,3.0400000000000005,4,0,7.040000000000001,0.32000000000000006,22,476,0.046218487394957986
54,Broncos,Tampa 2,3,1.4,0,0,1.4,0.4666666666666666,3,476,0.0063025210084033615
55,Browns,Combination,1,0.0,0,0,0.0,0.0,1,470,0.002127659574468085
56,Browns,Cover 0,6,2.12,16,0,18.12,3.02,6,470,0.01276595744680851
57,Browns,Cover 1,81,22.279999999999998,20,-1,41.28000000000001,0.5096296296296298,81,470,0.1723404255319149
58,Browns,Cover 2,19,5.24,4,0,9.24,0.4863157894736842,19,470,0.04042553191489362
59,Browns,Cover 3,133,34.79999999999999,32,-2,64.8,0.48721804511278194,133,470,0.28297872340425534
60,Browns,Cover 4,161,44.39999999999999,24,-4,64.39999999999999,0.39999999999999997,161,470,0.3425531914893617
61,Browns,Cover 6,26,10.0,4,0,14.000000000000002,0.5384615384615385,26,470,0.05531914893617021
62,Browns,Man Cover 2,14,4.24,4,-1,7.240000000000001,0.5171428571428572,14,470,0.029787234042553193
63,Browns,Prevent,3,1.0,0,0,1.0,0.3333333333333333,3,470,0.006382978723404255
64,Browns,Screen,24,7.48,0,0,7.48,0.3116666666666667,24,470,0.05106382978723404
65,Browns,Tampa 2,2,1.2,0,0,1.2,0.6,2,470,0.00425531914893617
66,Buccaneers,Combination,1,0.0,0,0,0.0,0.0,1,650,0.0015384615384615385
67,Buccaneers,Cover 0,16,6.24,12,0,18.240000000000002,1.1400000000000001,16,650,0.024615384615384615
68,Buccaneers,Cover 1,73,23.240000000000006,32,-4,51.239999999999995,0.701917808219178,73,650,0.1123076923076923
69,Buccaneers,Cover 2,69,21.679999999999996,0,-3,18.679999999999996,0.27072463768115934,69,650,0.10615384615384615
70,Buccaneers,Cover 3,208,59.11999999999999,28,-6,81.11999999999998,0.3899999999999999,208,650,0.32
71,Buccaneers,Cover 4,159,29.720000000000002,24,-4,49.71999999999998,0.3127044025157231,159,650,0.24461538461538462
72,Buccaneers,Cover 6,28,4.920000000000001,0,0,4.920000000000001,0.17571428571428574,28,650,0.043076923076923075
73,Buccaneers,Man Cover 2,63,13.360000000000001,8,-2,19.360000000000003,0.30730158730158735,63,650,0.09692307692307692
74,Buccaneers,Prevent,2,0.92,0,0,0.92,0.46,2,650,0.003076923076923077
75,Buccaneers,Screen,20,3.0800000000000005,4,0,7.080000000000001,0.35400000000000004,20,650,0.03076923076923077
76,Buccaneers,Tampa 2,11,5.880000000000001,0,0,5.880000000000001,0.5345454545454547,11,650,0.016923076923076923
77,Cardinals,Cover 0,25,2.4000000000000004,20,-2,20.4,0.816,25,491,0.05091649694501019
78,Cardinals,Cover 1,176,47.43999999999998,20,-2,65.44,0.3718181818181818,176,491,0.35845213849287166
79,Cardinals,Cover 2,26,6.48,0,0,6.48,0.24923076923076926,26,491,0.05295315682281059
80,Cardinals,Cover 3,131,30.639999999999997,8,-3,35.64,0.2720610687022901,131,491,0.2668024439918534
81,Cardinals,Cover 4,65,19.52,12,0,31.519999999999992,0.4849230769230768,65,491,0.13238289205702647
82,Cardinals,Cover 6,7,2.12,0,0,2.12,0.3028571428571429,7,491,0.014256619144602852
83,Cardinals,Man Cover 2,26,7.880000000000001,4,-2,9.879999999999999,0.37999999999999995,26,491,0.05295315682281059
84,Cardinals,Other,1,0.64,0,0,0.64,0.64,1,491,0.002036659877800407
85,Cardinals,Prevent,3,0.0,0,0,0.0,0.0,3,491,0.006109979633401222
86,Cardinals,Screen,22,6.88,8,0,14.879999999999999,0.6763636363636363,22,491,0.04480651731160896
87,Cardinals,Tampa 2,9,2.5999999999999996,0,-1,1.5999999999999999,0.17777777777777776,9,491,0.018329938900203666
88,Chargers,Combination,4,0.72,0,0,0.72,0.18,4,436,0.009174311926605505
89,Chargers,Cover 0,2,0.0,0,0,0.0,0.0,2,436,0.0045871559633027525
90,Chargers,Cover 1,93,22.880000000000003,4,-2,24.880000000000003,0.26752688172043015,93,436,0.21330275229357798
91,Chargers,Cover 2,18,3.4800000000000004,0,0,3.4800000000000004,0.19333333333333336,18,436,0.04128440366972477
92,Chargers,Cover 3,176,48.84,52,-3,97.83999999999999,0.5559090909090908,176,436,0.4036697247706422
93,Chargers,Cover 4,95,29.48,24,-3,50.47999999999998,0.5313684210526314,95,436,0.21788990825688073
94,Chargers,Cover 6,10,0.64,0,-2,-1.3599999999999999,-0.13599999999999998,10,436,0.022935779816513763
95,Chargers,Man Cover 2,17,4.0,4,0,8.0,0.47058823529411764,17,436,0.0389908256880734
96,Chargers,Other,2,1.0,0,0,1.0,0.5,2,436,0.0045871559633027525
97,Chargers,Prevent,3,-0.08,0,-1,-1.08,-0.36000000000000004,3,436,0.006880733944954129
98,Chargers,Screen,14,2.4799999999999995,0,0,2.4799999999999995,0.1771428571428571,14,436,0.03211009174311927
99,Chargers,Tampa 2,2,0.52,0,0,0.52,0.26,2,436,0.0045871559633027525
100,Chiefs,Combination,5,1.08,0,0,1.08,0.21600000000000003,5,605,0.008264462809917356
101,Chiefs,Cover 0,48,6.240000000000002,12,-2,16.24,0.3383333333333333,48,605,0.07933884297520662
102,Chiefs,Cover 1,163,36.83999999999999,20,-5,51.84,0.31803680981595095,163,605,0.2694214876033058
103,Chiefs,Cover 2,109,34.59999999999999,8,-1,41.6,0.381651376146789,109,605,0.18016528925619835
104,Chiefs,Cover 3,83,30.159999999999997,28,-3,55.160000000000004,0.6645783132530121,83,605,0.1371900826446281
105,Chiefs,Cover 4,80,18.679999999999996,12,-7,23.680000000000003,0.29600000000000004,80,605,0.1322314049586777
106,Chiefs,Cover 6,15,3.2400000000000007,0,0,3.2400000000000007,0.21600000000000005,15,605,0.024793388429752067
107,Chiefs,Man Cover 2,57,15.0,8,0,22.999999999999996,0.4035087719298245,57,605,0.09421487603305785
108,Chiefs,Other,1,0.0,0,0,0.0,0.0,1,605,0.001652892561983471
109,Chiefs,Prevent,9,2.7199999999999998,0,0,2.7199999999999998,0.30222222222222217,9,605,0.01487603305785124
110,Chiefs,Screen,31,5.04,8,0,13.040000000000001,0.4206451612903226,31,605,0.0512396694214876
111,Chiefs,Tampa 2,4,0.6000000000000001,0,0,0.6000000000000001,0.15000000000000002,4,605,0.006611570247933884
112,Colts,Combination,1,0.16,0,0,0.16,0.16,1,468,0.002136752136752137
113,Colts,Cover 0,2,0.16,4,0,4.16,2.08,2,468,0.004273504273504274
114,Colts,Cover 1,76,21.8,28,-3,46.79999999999999,0.6157894736842104,76,468,0.1623931623931624
115,Colts,Cover 2,85,25.079999999999995,8,-2,31.079999999999995,0.3656470588235293,85,468,0.18162393162393162
116,Colts,Cover 3,158,42.800000000000004,20,-6,56.8,0.3594936708860759,158,468,0.33760683760683763
117,Colts,Cover 4,91,30.480000000000004,8,-1,37.48,0.4118681318681318,91,468,0.19444444444444445
118,Colts,Cover 6,20,5.000000000000001,0,0,5.000000000000001,0.25000000000000006,20,468,0.042735042735042736
119,Colts,Man Cover 2,9,1.56,0,0,1.56,0.17333333333333334,9,468,0.019230769230769232
120,Colts,Prevent,5,1.96,0,-1,0.96,0.192,5,468,0.010683760683760684
121,Colts,Screen,17,4.24,0,0,4.24,0.24941176470588236,17,468,0.03632478632478633
122,Colts,Tampa 2,4,1.3599999999999999,0,-1,0.35999999999999993,0.08999999999999998,4,468,0.008547008547008548
123,Cowboys,Combination,1,0.16,0,0,0.16,0.16,1,399,0.002506265664160401
124,Cowboys,Cover 0,4,0.16,4,0,4.16,1.04,4,399,0.010025062656641603
125,Cowboys,Cover 1,97,26.72,20,-1,45.72,0.471340206185567,97,399,0.24310776942355888
126,Cowboys,Cover 2,37,11.880000000000004,4,0,15.88,0.4291891891891892,37,399,0.09273182957393483
127,Cowboys,Cover 3,108,30.719999999999995,36,-3,63.720000000000006,0.5900000000000001,108,399,0.2706766917293233
128,Cowboys,Cover 4,75,21.12,16,0,37.120000000000005,0.4949333333333334,75,399,0.18796992481203006
129,Cowboys,Cover 6,14,3.12,4,-2,5.120000000000001,0.36571428571428577,14,399,0.03508771929824561
130,Cowboys,Man Cover 2,19,4.12,0,-2,2.1199999999999997,0.11157894736842104,19,399,0.047619047619047616
131,Cowboys,Prevent,5,0.9600000000000001,0,0,0.9600000000000001,0.192,5,399,0.012531328320802004
132,Cowboys,Screen,19,4.4,8,0,12.4,0.6526315789473685,19,399,0.047619047619047616
133,Cowboys,Tampa 2,20,4.04,0,-2,2.0399999999999996,0.10199999999999998,20,399,0.05012531328320802
134,Dolphins,Combination,4,1.48,0,0,1.48,0.37,4,479,0.008350730688935281
135,Dolphins,Cover 0,24,6.440000000000001,12,0,18.44,0.7683333333333334,24,479,0.05010438413361169
136,Dolphins,Cover 1,158,42.519999999999996,24,-5,61.52,0.38936708860759495,158,479,0.3298538622129436
137,Dolphins,Cover 2,19,4.24,0,-1,3.24,0.1705263157894737,19,479,0.03966597077244259
138,Dolphins,Cover 3,170,55.359999999999985,8,-4,59.359999999999985,0.3491764705882352,170,479,0.35490605427974947
139,Dolphins,Cover 4,47,12.24,4,-4,12.239999999999998,0.2604255319148936,47,479,0.09812108559498957
140,Dolphins,Cover 6,4,1.24,0,0,1.24,0.31,4,479,0.008350730688935281
141,Dolphins,Man Cover 2,22,6.000000000000001,4,-2,8.000000000000002,0.3636363636363637,22,479,0.04592901878914405
142,Dolphins,Other,2,1.56,0,0,1.56,0.78,2,479,0.0041753653444676405
143,Dolphins,Screen,23,10.439999999999998,4,-1,13.439999999999998,0.5843478260869565,23,479,0.04801670146137787
144,Dolphins,Tampa 2,6,1.04,0,0,1.04,0.17333333333333334,6,479,0.012526096033402923
145,Eagles,Combination,4,2.4,0,-1,1.4,0.35,4,354,0.011299435028248588
146,Eagles,Cover 0,14,1.72,4,0,5.720000000000001,0.40857142857142864,14,354,0.03954802259887006
147,Eagles,Cover 1,120,38.27999999999999,32,-1,69.27999999999999,0.5773333333333333,120,354,0.3389830508474576
148,Eagles,Cover 2,26,5.440000000000001,0,0,5.440000000000001,0.20923076923076928,26,354,0.07344632768361582
149,Eagles,Cover 3,85,29.480000000000004,0,-1,28.480000000000004,0.3350588235294118,85,354,0.2401129943502825
150,Eagles,Cover 4,47,11.360000000000003,8,-2,17.360000000000003,0.3693617021276596,47,354,0.1327683615819209
151,Eagles,Cover 6,1,0.56,0,0,0.56,0.56,1,354,0.002824858757062147
152,Eagles,Man Cover 2,7,2.3200000000000003,0,0,2.3200000000000003,0.33142857142857146,7,354,0.01977401129943503
153,Eagles,Other,1,0.0,0,0,0.0,0.0,1,354,0.002824858757062147
154,Eagles,Prevent,2,0.0,0,0,0.0,0.0,2,354,0.005649717514124294
155,Eagles,Screen,28,6.6800000000000015,0,-1,5.6800000000000015,0.2028571428571429,28,354,0.07909604519774012
156,Eagles,Tampa 2,19,7.16,8,0,15.16,0.7978947368421053,19,354,0.05367231638418079
157,Falcons,Combination,3,0.56,0,0,0.56,0.18666666666666668,3,547,0.005484460694698354
158,Falcons,Cover 0,4,3.4800000000000004,8,0,11.48,2.87,4,547,0.007312614259597806
159,Falcons,Cover 1,180,53.84000000000001,28,-3,78.84000000000003,0.43800000000000017,180,547,0.3290676416819013
160,Falcons,Cover 2,57,19.439999999999994,0,-1,18.439999999999998,0.3235087719298245,57,547,0.10420475319926874
161,Falcons,Cover 3,156,45.440000000000005,68,-5,108.43999999999998,0.6951282051282051,156,547,0.2851919561243144
162,Falcons,Cover 4,33,9.28,0,-1,8.28,0.2509090909090909,33,547,0.0603290676416819
163,Falcons,Cover 6,3,0.96,0,0,0.96,0.32,3,547,0.005484460694698354
164,Falcons,Man Cover 2,34,10.0,0,0,10.0,0.29411764705882354,34,547,0.062157221206581355
165,Falcons,Other,1,0.16,4,0,4.16,4.16,1,547,0.0018281535648994515
