,nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1,49ers,Cover 0,0.0,0,0,0.0,39.0,0.0
2,49ers,Cover 1,83.39999999999999,48,50,181.39999999999995,349.0,0.5197707736389683
3,49ers,Cover 2,36.49999999999999,6,30,72.5,279.0,0.25985663082437277
4,49ers,Cover 3,116.69999999999999,18,102,236.70000000000005,477.0,0.49622641509433973
5,49ers,Cover 4,95.80000000000001,12,77,184.80000000000007,249.0,0.7421686746987954
6,49ers,Cover 6,16.900000000000002,12,17,45.9,43.0,1.0674418604651164
7,49ers,Man Cover 2,8.7,6,7,21.7,94.0,0.23085106382978723
9,49ers,Other,0.9000000000000001,0,2,2.9000000000000004,5.0,0.5800000000000001
10,49ers,Prevent,3.3000000000000003,0,3,6.300000000000001,3.0,2.1
11,49ers,Screen,43.000000000000014,12,81,136.0,121.0,1.1239669421487604
13,Bears,Cover 0,3.6000000000000005,0,4,7.6,56.0,0.1357142857142857
14,Bears,Cover 1,85.6,36,55,176.59999999999997,340.0,0.5194117647058822
15,Bears,Cover 2,40.0,12,35,87.0,196.0,0.44387755102040816
16,Bears,Cover 3,64.00000000000001,30,60,154.0,621.0,0.24798711755233493
17,Bears,Cover 4,46.89999999999999,24,38,108.9,485.0,0.22453608247422682
18,Bears,Cover 6,9.3,0,7,16.3,41.0,0.3975609756097561
19,Bears,Man Cover 2,15.599999999999998,18,13,46.60000000000001,60.0,0.7766666666666668
21,Bears,Other,1.7000000000000002,6,2,9.7,13.0,0.7461538461538461
22,Bears,Prevent,2.2,0,2,4.2,73.0,0.057534246575342465
23,Bears,Screen,41.2,6,47,94.20000000000003,69.0,1.3652173913043484
25,Bengals,Cover 0,8.700000000000001,12,7,27.700000000000003,15.0,1.846666666666667
26,Bengals,Cover 1,74.80000000000001,12,59,145.8,463.0,0.314902807775378
27,Bengals,Cover 2,50.10000000000001,0,45,95.10000000000001,420.0,0.22642857142857145
