,nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
28,Bengals,Cover 3,168.90000000000006,24,144,336.9,546.0,0.617032967032967
29,Bengals,Cover 4,79.9,48,62,189.89999999999998,412.0,0.46092233009708733
30,Bengals,Cover 6,10.100000000000001,0,9,19.1,90.0,0.21222222222222223
31,Bengals,Man Cover 2,24.899999999999995,0,22,46.9,106.0,0.44245283018867926
33,Bengals,Other,1.0,0,1,2.0,10.0,0.2
34,Bengals,Prevent,6.300000000000001,0,6,12.299999999999999,9.0,1.3666666666666665
35,Bengals,Screen,21.0,12,44,77.0,94.0,0.8191489361702128
37,Bills,Combination,1.3,6,1,8.3,4.0,2.075
38,Bills,Cover 0,3.1000000000000005,12,4,19.1,33.0,0.5787878787878789
39,Bills,Cover 1,76.4,12,54,142.39999999999998,596.0,0.23892617449664424
40,Bills,Cover 2,37.0,0,40,77.0,359.0,0.21448467966573817
41,Bills,Cover 3,62.19999999999999,6,62,130.2,720.0,0.18083333333333332
42,Bills,Cover 4,43.699999999999996,12,49,104.70000000000002,362.0,0.2892265193370166
43,Bills,Cover 6,7.9,0,7,14.899999999999999,51.0,0.292156862745098
44,Bills,Man Cover 2,24.700000000000003,6,18,48.70000000000001,158.0,0.3082278481012659
46,Bills,Other,2.6,0,1,3.6,9.0,0.4
47,Bills,Prevent,4.4,0,2,6.4,3.0,2.1333333333333333
48,Bills,Screen,43.90000000000001,12,52,107.89999999999998,145.0,0.7441379310344826
50,Broncos,Combination,1.8000000000000003,0,3,4.800000000000001,27.0,0.1777777777777778
51,Broncos,Cover 0,6.6,6,8,20.6,23.0,0.8956521739130435
52,Broncos,Cover 1,96.50000000000001,30,70,196.5,522.0,0.3764367816091954
53,Broncos,Cover 2,23.299999999999997,0,19,42.3,266.0,0.15902255639097743
54,Broncos,Cover 3,70.20000000000002,24,64,158.20000000000002,659.0,0.24006069802731414
55,Broncos,Cover 4,51.3,18,43,112.30000000000001,266.0,0.4221804511278196
56,Broncos,Cover 6,24.400000000000002,0,21,45.400000000000006,28.0,1.6214285714285717
57,Broncos,Man Cover 2,31.499999999999996,12,18,61.49999999999999,101.0,0.6089108910891088
59,Broncos,Prevent,4.300000000000001,0,2,6.300000000000001,57.0,0.1105263157894737
60,Broncos,Screen,34.10000000000001,0,36,70.10000000000001,29.0,2.417241379310345
61,Browns,Cover 0,7.500000000000001,12,5,24.5,18.0,1.3611111111111112
62,Browns,Cover 1,57.60000000000001,36,50,143.59999999999997,470.0,0.305531914893617
63,Browns,Cover 2,19.000000000000004,0,23,42.0,103.0,0.4077669902912621
64,Browns,Cover 3,96.09999999999998,18,82,196.10000000000005,404.0,0.48539603960396055
65,Browns,Cover 4,83.10000000000001,18,72,173.1,172.0,1.0063953488372093
66,Browns,Cover 6,20.1,6,13,39.1,29.0,1.3482758620689657
67,Browns,Man Cover 2,14.8,0,13,27.8,157.0,0.17707006369426753
70,Browns,Prevent,3.0,0,3,6.0,18.0,0.3333333333333333
71,Browns,Screen,40.79999999999998,18,60,118.80000000000003,116.0,1.024137931034483
73,Buccaneers,Combination,2.0,0,1,3.0,18.0,0.16666666666666666
74,Buccaneers,Cover 0,9.4,6,7,22.4,38.0,0.5894736842105263
75,Buccaneers,Cover 1,48.0,30,45,123.00000000000003,544.0,0.22610294117647065
76,Buccaneers,Cover 2,32.19999999999999,6,31,69.2,346.0,0.2
77,Buccaneers,Cover 3,151.29999999999998,36,141,328.30000000000007,562.0,0.5841637010676157
78,Buccaneers,Cover 4,47.899999999999984,0,47,94.89999999999996,347.0,0.2734870317002881
79,Buccaneers,Cover 6,6.5,0,4,10.5,101.0,0.10396039603960396
80,Buccaneers,Man Cover 2,34.5,0,22,56.5,305.0,0.18524590163934426
82,Buccaneers,Prevent,2.8000000000000003,0,2,4.800000000000001,33.0,0.14545454545454548
83,Buccaneers,Screen,51.20000000000001,12,70,133.2,168.0,0.7928571428571428
85,Cardinals,Cover 0,5.3999999999999995,12,9,26.4,53.0,0.4981132075471698
86,Cardinals,Cover 1,58.39999999999999,36,42,136.40000000000006,328.0,0.41585365853658557
87,Cardinals,Cover 2,21.400000000000002,6,19,46.40000000000001,344.0,0.1348837209302326
88,Cardinals,Cover 3,122.70000000000006,42,102,266.6999999999999,485.0,0.5498969072164945
89,Cardinals,Cover 4,40.4,0,40,80.4,235.0,0.3421276595744681
90,Cardinals,Cover 6,5.5,0,7,12.5,104.0,0.1201923076923077
91,Cardinals,Man Cover 2,20.8,6,14,40.800000000000004,59.0,0.6915254237288136
93,Cardinals,Other,6.6000000000000005,0,3,9.6,10.0,0.96
94,Cardinals,Prevent,5.7,6,1,12.7,12.0,1.0583333333333333
95,Cardinals,Screen,33.00000000000001,0,48,81.0,156.0,0.5192307692307693
97,Chargers,Combination,0.4,0,1,1.4,14.0,0.09999999999999999
98,Chargers,Cover 0,0.5,6,1,7.5,56.0,0.13392857142857142
99,Chargers,Cover 1,73.10000000000001,24,55,152.10000000000008,690.0,0.22043478260869576
100,Chargers,Cover 2,37.599999999999994,6,38,81.6,350.0,0.23314285714285712
101,Chargers,Cover 3,115.99999999999999,36,101,252.99999999999991,763.0,0.3315858453473131
102,Chargers,Cover 4,56.9,6,42,104.89999999999999,398.0,0.26356783919597987
103,Chargers,Cover 6,23.4,6,13,42.4,73.0,0.5808219178082191
104,Chargers,Man Cover 2,18.1,0,14,32.1,124.0,0.2588709677419355
106,Chargers,Prevent,5.4,0,3,8.4,17.0,0.49411764705882355
107,Chargers,Screen,24.29999999999999,18,39,81.30000000000003,73.0,1.1136986301369867
109,Chiefs,Combination,3.4000000000000004,0,2,5.4,20.0,0.27
110,Chiefs,Cover 0,18.5,18,16,52.500000000000014,2.0,26.250000000000007
111,Chiefs,Cover 1,88.60000000000002,42,80,210.59999999999997,372.0,0.5661290322580644
112,Chiefs,Cover 2,104.1,18,94,216.10000000000005,382.0,0.5657068062827226
113,Chiefs,Cover 3,99.0,60,87,246.00000000000003,639.0,0.3849765258215963
114,Chiefs,Cover 4,41.1,0,30,71.1,459.0,0.1549019607843137
115,Chiefs,Cover 6,26.300000000000004,6,22,54.300000000000004,117.0,0.4641025641025641
116,Chiefs,Man Cover 2,16.4,12,18,46.4,341.0,0.13607038123167156
119,Chiefs,Prevent,3.4000000000000004,0,1,4.4,18.0,0.24444444444444446
120,Chiefs,Screen,41.30000000000002,6,52,99.30000000000001,177.0,0.5610169491525424
121,Colts,Combination,1.1,0,1,2.1,5.0,0.42000000000000004
122,Colts,Cover 0,9.7,18,4,31.7,35.0,0.9057142857142857
123,Colts,Cover 1,51.5,12,52,115.50000000000001,481.0,0.24012474012474017
124,Colts,Cover 2,38.699999999999996,6,37,81.69999999999999,188.0,0.4345744680851063
125,Colts,Cover 3,101.60000000000001,48,80,229.60000000000002,584.0,0.3931506849315069
126,Colts,Cover 4,66.79999999999998,0,58,124.80000000000008,336.0,0.37142857142857166
127,Colts,Cover 6,12.4,12,12,36.400000000000006,61.0,0.59672131147541
128,Colts,Man Cover 2,7.000000000000001,6,6,19.0,45.0,0.4222222222222222
130,Colts,Other,0.0,0,0,0.0,3.0,0.0
131,Colts,Prevent,1.4000000000000001,0,1,2.4000000000000004,23.0,0.10434782608695654
132,Colts,Screen,26.100000000000005,0,36,62.10000000000001,119.0,0.5218487394957984
134,Cowboys,Combination,1.0,0,2,3.0,4.0,0.75
135,Cowboys,Cover 0,6.1000000000000005,0,4,10.100000000000001,80.0,0.12625000000000003
136,Cowboys,Cover 1,125.10000000000001,30,77,232.1,570.0,0.40719298245614033
137,Cowboys,Cover 2,19.300000000000004,0,18,37.300000000000004,400.0,0.09325000000000001
138,Cowboys,Cover 3,116.79999999999998,24,87,227.79999999999995,811.0,0.2808877928483353
139,Cowboys,Cover 4,36.9,12,37,85.89999999999999,365.0,0.23534246575342463
140,Cowboys,Cover 6,3.4000000000000004,0,5,8.399999999999999,62.0,0.13548387096774192
141,Cowboys,Man Cover 2,5.9,0,5,10.9,97.0,0.11237113402061856
143,Cowboys,Prevent,0.0,0,0,0.0,1.0,0.0
144,Cowboys,Screen,36.599999999999994,6,52,94.60000000000001,115.0,0.822608695652174
147,Dolphins,Cover 0,16.1,6,12,34.1,36.0,0.9472222222222223
148,Dolphins,Cover 1,77.2,12,52,141.20000000000002,602.0,0.23455149501661132
149,Dolphins,Cover 2,19.6,6,17,42.6,253.0,0.1683794466403162
150,Dolphins,Cover 3,100.6,6,88,194.60000000000002,476.0,0.40882352941176475
151,Dolphins,Cover 4,43.2,0,33,76.19999999999999,348.0,0.21896551724137928
152,Dolphins,Man Cover 2,13.000000000000002,18,7,38.0,75.0,0.5066666666666667
155,Dolphins,Prevent,5.4,0,4,9.4,8.0,1.175
156,Dolphins,Screen,29.200000000000003,0,47,76.19999999999999,59.0,1.2915254237288134
158,Eagles,Combination,4.0,0,3,7.000000000000001,20.0,0.35000000000000003
159,Eagles,Cover 0,4.7,0,3,7.7,39.0,0.19743589743589743
160,Eagles,Cover 1,60.199999999999996,12,51,123.2,425.0,0.2898823529411765
161,Eagles,Cover 2,60.09999999999998,12,60,132.09999999999997,131.0,1.0083969465648852
162,Eagles,Cover 3,89.59999999999998,36,63,188.6,489.0,0.3856850715746421
163,Eagles,Cover 4,54.49999999999999,12,53,119.50000000000003,183.0,0.6530054644808745
164,Eagles,Cover 6,8.500000000000002,0,10,18.5,37.0,0.5
165,Eagles,Man Cover 2,10.7,0,8,18.7,69.0,0.27101449275362316
168,Eagles,Screen,29.700000000000003,12,55,96.69999999999997,177.0,0.5463276836158191
170,Falcons,Combination,0.9,0,1,1.9,5.0,0.38
171,Falcons,Cover 0,2.8,12,5,19.8,3.0,6.6000000000000005
172,Falcons,Cover 1,67.39999999999998,42,59,168.40000000000003,445.0,0.3784269662921349
173,Falcons,Cover 2,73.69999999999999,12,64,149.70000000000005,281.0,0.5327402135231318
174,Falcons,Cover 3,96.90000000000002,0,80,176.9,776.0,0.2279639175257732
175,Falcons,Cover 4,23.6,0,21,44.6,295.0,0.1511864406779661
176,Falcons,Cover 6,1.6,0,2,3.5999999999999996,26.0,0.13846153846153844
177,Falcons,Man Cover 2,11.100000000000001,12,8,31.100000000000005,67.0,0.464179104477612
179,Falcons,Other,2.1,0,1,3.1,5.0,0.62
180,Falcons,Prevent,0.0,0,0,0.0,10.0,0.0
181,Falcons,Screen,42.900000000000006,6,56,104.89999999999996,53.0,1.9792452830188672
183,Football Team,Cover 0,8.2,0,5,13.2,26.0,0.5076923076923077
184,Football Team,Cover 1,80.80000000000001,48,56,184.80000000000004,503.0,0.3673956262425448
185,Football Team,Cover 2,54.7,6,49,109.70000000000003,240.0,0.45708333333333345
186,Football Team,Cover 3,111.49999999999999,30,85,226.5000000000001,591.0,0.3832487309644672
187,Football Team,Cover 4,84.39999999999998,24,66,174.39999999999998,301.0,0.5794019933554817
188,Football Team,Cover 6,9.200000000000001,0,7,16.2,58.0,0.2793103448275862
189,Football Team,Man Cover 2,6.4,6,7,19.400000000000002,68.0,0.28529411764705886
192,Football Team,Prevent,4.0,0,3,7.000000000000001,23.0,0.30434782608695654
193,Football Team,Screen,26.4,0,39,65.39999999999999,109.0,0.5999999999999999
195,Giants,Combination,0.4,6,1,7.4,22.0,0.33636363636363636
196,Giants,Cover 0,0.0,0,0,0.0,20.0,0.0
197,Giants,Cover 1,54.0,36,39,129.0,576.0,0.22395833333333334
198,Giants,Cover 2,27.799999999999997,6,22,55.8,204.0,0.27352941176470585
199,Giants,Cover 3,109.89999999999999,12,96,217.9,474.0,0.459704641350211
200,Giants,Cover 4,76.2,6,73,155.19999999999996,257.0,0.6038910505836574
201,Giants,Cover 6,5.5,0,8,13.500000000000002,102.0,0.13235294117647062
202,Giants,Man Cover 2,13.2,0,13,26.200000000000006,112.0,0.23392857142857149
205,Giants,Prevent,0.0,0,0,0.0,10.0,0.0
206,Giants,Screen,44.29999999999998,6,55,105.3,125.0,0.8423999999999999
208,Jaguars,Cover 0,8.1,6,6,20.1,36.0,0.5583333333333333
209,Jaguars,Cover 1,89.40000000000002,54,68,211.40000000000003,354.0,0.5971751412429379
210,Jaguars,Cover 2,42.4,0,40,82.39999999999999,293.0,0.2812286689419795
211,Jaguars,Cover 3,104.10000000000004,6,86,196.10000000000005,530.0,0.3700000000000001
212,Jaguars,Cover 4,48.5,0,37,85.50000000000001,287.0,0.2979094076655053
213,Jaguars,Cover 6,1.9000000000000001,0,3,4.9,41.0,0.11951219512195123
214,Jaguars,Man Cover 2,11.000000000000002,0,10,21.0,64.0,0.328125
216,Jaguars,Prevent,0.8,0,1,1.8,22.0,0.08181818181818182
217,Jaguars,Screen,31.3,6,38,75.3,95.0,0.7926315789473684
219,Jets,Combination,2.1,0,2,4.1000000000000005,9.0,0.4555555555555556
220,Jets,Cover 0,3.7,18,4,25.700000000000003,39.0,0.6589743589743591
221,Jets,Cover 1,111.80000000000001,30,79,220.79999999999998,543.0,0.4066298342541436
222,Jets,Cover 2,13.200000000000001,0,17,30.20000000000001,322.0,0.09378881987577643
223,Jets,Cover 3,125.10000000000001,36,92,253.1,615.0,0.4115447154471545
224,Jets,Cover 4,71.69999999999999,12,55,138.7,264.0,0.5253787878787879
225,Jets,Cover 6,14.3,0,16,30.3,63.0,0.48095238095238096
226,Jets,Man Cover 2,2.9000000000000004,0,2,4.9,85.0,0.05764705882352942
227,Jets,Prevent,0.0,0,0,0.0,4.0,0.0
228,Jets,Screen,35.40000000000001,12,46,93.39999999999999,96.0,0.9729166666666665
229,Lions,Combination,3.8000000000000007,0,3,6.800000000000001,5.0,1.36
230,Lions,Cover 0,6.2,12,5,23.2,17.0,1.3647058823529412
231,Lions,Cover 1,112.49999999999999,42,63,217.50000000000006,324.0,0.6712962962962965
232,Lions,Cover 2,33.4,0,37,70.4,197.0,0.3573604060913706
233,Lions,Cover 3,98.6,12,75,185.59999999999997,609.0,0.3047619047619047
234,Lions,Cover 4,58.400000000000006,6,47,111.4,357.0,0.31204481792717087
235,Lions,Cover 6,16.900000000000002,0,10,26.9,68.0,0.39558823529411763
236,Lions,Man Cover 2,23.8,12,16,51.80000000000001,12.0,4.316666666666667
238,Lions,Other,0.0,0,0,0.0,10.0,0.0
239,Lions,Prevent,1.6,0,2,3.6,25.0,0.14400000000000002
240,Lions,Screen,37.7,24,50,111.7,96.0,1.1635416666666667
242,Packers,Combination,1.9000000000000001,0,1,2.9000000000000004,17.0,0.17058823529411768
243,Packers,Cover 0,6.200000000000001,18,4,28.200000000000003,48.0,0.5875
244,Packers,Cover 1,67.0,18,55,140.0,457.0,0.3063457330415755
245,Packers,Cover 2,27.5,6,24,57.5,133.0,0.4323308270676692
246,Packers,Cover 3,106.99999999999999,24,84,215.0,398.0,0.5402010050251256
247,Packers,Cover 4,68.9,6,73,147.89999999999995,221.0,0.669230769230769
248,Packers,Cover 6,19.999999999999996,6,14,40.00000000000001,52.0,0.7692307692307694
249,Packers,Man Cover 2,24.700000000000003,0,23,47.70000000000001,214.0,0.22289719626168228
251,Packers,Other,2.0,0,2,4.0,5.0,0.8
252,Packers,Prevent,4.5,0,3,7.5,12.0,0.625
253,Packers,Screen,29.100000000000005,6,47,82.10000000000001,179.0,0.458659217877095
255,Panthers,Combination,3.3,6,2,11.3,19.0,0.5947368421052632
256,Panthers,Cover 0,6.800000000000001,6,5,17.8,22.0,0.8090909090909091
257,Panthers,Cover 1,70.7,18,59,147.70000000000002,464.0,0.3183189655172414
258,Panthers,Cover 2,32.4,6,28,66.4,282.0,0.23546099290780143
259,Panthers,Cover 3,93.60000000000004,6,87,186.59999999999997,523.0,0.3567877629063097
260,Panthers,Cover 4,31.799999999999997,6,29,66.80000000000001,260.0,0.256923076923077
261,Panthers,Cover 6,4.1000000000000005,0,4,8.100000000000001,45.0,0.18000000000000002
262,Panthers,Man Cover 2,8.1,18,9,35.1,57.0,0.6157894736842106
265,Panthers,Prevent,1.2000000000000002,0,2,3.2,33.0,0.09696969696969697
266,Panthers,Screen,16.3,0,39,55.300000000000004,140.0,0.395
268,Patriots,Cover 0,5.9,18,4,27.9,17.0,1.6411764705882352
269,Patriots,Cover 1,95.60000000000002,24,67,186.60000000000002,602.0,0.30996677740863793
270,Patriots,Cover 2,23.7,0,26,49.699999999999996,162.0,0.3067901234567901
271,Patriots,Cover 3,114.80000000000003,30,96,240.79999999999998,575.0,0.41878260869565215
272,Patriots,Cover 4,20.3,6,24,50.29999999999999,299.0,0.16822742474916386
273,Patriots,Cover 6,5.800000000000001,0,3,8.8,43.0,0.2046511627906977
274,Patriots,Man Cover 2,8.600000000000001,0,4,12.600000000000001,133.0,0.09473684210526317
276,Patriots,Prevent,0.8,0,1,1.8,9.0,0.2
277,Patriots,Screen,19.599999999999998,12,32,63.599999999999994,72.0,0.8833333333333333
280,Raiders,Cover 1,62.199999999999996,24,52,138.20000000000002,555.0,0.24900900900900905
281,Raiders,Cover 2,16.200000000000003,12,16,44.199999999999996,212.0,0.20849056603773583
282,Raiders,Cover 3,184.29999999999987,48,178,410.3,702.0,0.5844729344729345
283,Raiders,Cover 4,47.099999999999994,6,41,94.1,434.0,0.21682027649769584
284,Raiders,Cover 6,1.4,0,4,5.4,24.0,0.225
285,Raiders,Man Cover 2,13.800000000000002,18,8,39.800000000000004,216.0,0.1842592592592593
287,Raiders,Other,1.2000000000000002,6,1,8.2,4.0,2.05
288,Raiders,Prevent,8.5,0,6,14.5,14.0,1.0357142857142858
289,Raiders,Screen,27.000000000000004,12,51,90.0,55.0,1.6363636363636365
291,Rams,Combination,1.1,0,1,2.1,13.0,0.16153846153846155
292,Rams,Cover 0,2.3000000000000003,6,3,11.299999999999999,36.0,0.3138888888888889
293,Rams,Cover 1,59.59999999999999,6,50,115.60000000000002,361.0,0.3202216066481995
294,Rams,Cover 2,31.200000000000003,0,25,56.20000000000001,317.0,0.1772870662460568
295,Rams,Cover 3,160.29999999999998,66,128,354.3000000000001,444.0,0.7979729729729732
296,Rams,Cover 4,96.09999999999997,6,84,186.10000000000002,432.0,0.4307870370370371
297,Rams,Cover 6,27.500000000000004,0,20,47.500000000000014,56.0,0.8482142857142859
298,Rams,Man Cover 2,18.500000000000004,0,11,29.499999999999996,134.0,0.22014925373134325
300,Rams,Other,0.0,0,0,0.0,2.0,0.0
301,Rams,Prevent,6.0,0,7,13.0,6.0,2.1666666666666665
302,Rams,Screen,53.89999999999998,12,64,129.90000000000006,90.0,1.443333333333334
304,Ravens,Cover 0,32.00000000000001,24,15,71.00000000000001,110.0,0.6454545454545456
305,Ravens,Cover 1,117.50000000000001,54,80,251.49999999999997,292.0,0.8613013698630136
306,Ravens,Cover 2,33.9,12,27,72.9,168.0,0.43392857142857144
307,Ravens,Cover 3,115.00000000000001,12,87,213.99999999999997,714.0,0.299719887955182
308,Ravens,Cover 4,61.099999999999994,0,54,115.09999999999998,617.0,0.186547811993517
309,Ravens,Cover 6,8.700000000000001,0,7,15.700000000000001,59.0,0.26610169491525426
310,Ravens,Man Cover 2,26.0,0,22,48.0,58.0,0.8275862068965517
312,Ravens,Other,1.5,0,1,2.5,10.0,0.25
313,Ravens,Prevent,3.8000000000000007,0,3,6.800000000000001,39.0,0.17435897435897438
314,Ravens,Screen,39.9,12,44,95.90000000000003,48.0,1.9979166666666675
315,Saints,Combination,2.9000000000000004,0,2,4.9,8.0,0.6125
316,Saints,Cover 0,6.1,0,6,12.1,49.0,0.24693877551020407
317,Saints,Cover 1,104.4,42,73,219.4,414.0,0.529951690821256
318,Saints,Cover 2,27.400000000000002,6,36,69.39999999999998,153.0,0.4535947712418299
319,Saints,Cover 3,75.30000000000004,6,67,148.29999999999995,355.0,0.4177464788732393
320,Saints,Cover 4,46.300000000000004,0,41,87.3,214.0,0.40794392523364487
321,Saints,Cover 6,7.600000000000001,0,4,11.600000000000001,20.0,0.5800000000000001
322,Saints,Man Cover 2,61.59999999999999,12,43,116.59999999999998,47.0,2.4808510638297867
323,Saints,Other,0.6000000000000001,0,1,1.6,5.0,0.32
324,Saints,Prevent,5.8,0,5,10.8,6.0,1.8
325,Saints,Screen,24.900000000000013,18,42,84.89999999999995,70.0,1.2128571428571422
327,Seahawks,Combination,2.4,0,2,4.4,5.0,0.8800000000000001
328,Seahawks,Cover 0,1.1,6,1,8.1,18.0,0.44999999999999996
329,Seahawks,Cover 1,48.8,18,35,101.8,179.0,0.5687150837988827
330,Seahawks,Cover 2,72.60000000000002,12,68,152.60000000000005,210.0,0.7266666666666669
331,Seahawks,Cover 3,152.19999999999996,36,115,303.2000000000001,624.0,0.48589743589743606
332,Seahawks,Cover 4,44.199999999999996,12,46,102.19999999999997,380.0,0.26894736842105255
333,Seahawks,Cover 6,10.0,0,10,20.000000000000004,38.0,0.5263157894736843
334,Seahawks,Man Cover 2,12.100000000000001,0,10,22.099999999999998,81.0,0.2728395061728395
336,Seahawks,Other,0.0,0,0,0.0,8.0,0.0
337,Seahawks,Prevent,1.4000000000000001,0,2,3.4000000000000004,79.0,0.04303797468354431
338,Seahawks,Screen,60.400000000000006,18,77,155.39999999999998,83.0,1.8722891566265059
340,Steelers,Combination,4.5,0,3,7.5,30.0,0.25
341,Steelers,Cover 0,5.5,6,3,14.5,33.0,0.4393939393939394
342,Steelers,Cover 1,78.99999999999999,48,58,185.00000000000009,465.0,0.3978494623655916
343,Steelers,Cover 2,42.1,18,34,94.1,519.0,0.1813102119460501
344,Steelers,Cover 3,141.29999999999998,24,112,277.3,487.0,0.5694045174537988
345,Steelers,Cover 4,29.300000000000004,6,30,65.3,299.0,0.21839464882943144
346,Steelers,Cover 6,3.7,0,4,7.700000000000001,88.0,0.08750000000000001
347,Steelers,Man Cover 2,26.8,6,19,51.80000000000001,240.0,0.21583333333333338
350,Steelers,Prevent,0.0,0,0,0.0,45.0,0.0
351,Steelers,Screen,23.800000000000004,12,43,78.8,151.0,0.5218543046357615
353,Texans,Cover 0,1.9000000000000001,0,3,4.9,40.0,0.12250000000000001
354,Texans,Cover 1,69.8,36,62,167.80000000000004,347.0,0.4835734870317004
355,Texans,Cover 2,85.00000000000003,12,63,160.0,155.0,1.032258064516129
356,Texans,Cover 3,98.80000000000001,24,58,180.79999999999995,374.0,0.483422459893048
357,Texans,Cover 4,19.100000000000005,6,18,43.10000000000001,244.0,0.1766393442622951
358,Texans,Cover 6,14.9,6,12,32.9,109.0,0.3018348623853211
359,Texans,Man Cover 2,0.0,0,0,0.0,75.0,0.0
361,Texans,Other,4.6000000000000005,0,1,5.6000000000000005,2.0,2.8000000000000003
362,Texans,Screen,18.300000000000004,0,36,54.30000000000001,104.0,0.5221153846153848
364,Titans,Combination,4.6000000000000005,0,4,8.600000000000001,12.0,0.7166666666666668
365,Titans,Cover 0,8.4,0,5,13.4,52.0,0.2576923076923077
366,Titans,Cover 1,71.10000000000004,24,56,151.09999999999997,312.0,0.4842948717948717
367,Titans,Cover 2,41.099999999999994,6,40,87.10000000000001,269.0,0.32379182156133834
368,Titans,Cover 3,118.99999999999999,18,94,231.0,356.0,0.648876404494382
369,Titans,Cover 4,54.5,0,51,105.49999999999996,133.0,0.7932330827067666
370,Titans,Cover 6,4.4,0,6,10.400000000000002,26.0,0.4000000000000001
371,Titans,Man Cover 2,16.0,6,11,33.0,78.0,0.4230769230769231
373,Titans,Other,2.8000000000000003,6,1,9.8,6.0,1.6333333333333335
374,Titans,Prevent,12.899999999999999,0,8,20.9,10.0,2.09
375,Titans,Screen,48.00000000000003,0,57,104.99999999999997,99.0,1.0606060606060603
377,Vikings,Combination,0.6000000000000001,0,1,1.6,5.0,0.32
378,Vikings,Cover 0,7.5,6,5,18.5,24.0,0.7708333333333334
379,Vikings,Cover 1,91.1,24,62,177.09999999999997,418.0,0.4236842105263157
380,Vikings,Cover 2,52.50000000000001,0,44,96.49999999999999,218.0,0.44266055045871555
381,Vikings,Cover 3,93.2,30,72,195.2,573.0,0.3406631762652705
382,Vikings,Cover 4,69.8,30,52,151.79999999999998,397.0,0.38236775818639795
383,Vikings,Cover 6,13.800000000000002,0,13,26.8,58.0,0.4620689655172414
384,Vikings,Man Cover 2,20.8,6,13,39.79999999999999,251.0,0.15856573705179278
386,Vikings,Other,3.2,0,1,4.2,3.0,1.4000000000000001
387,Vikings,Prevent,14.5,0,12,26.5,37.0,0.7162162162162162
388,Vikings,Screen,33.99999999999999,0,55,89.00000000000003,154.0,0.5779220779220781
