,nickName,DropType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,0/1 Step,100,18.159999999999986,20,-2,36.16000000000002,0.3616000000000002,100,416,0.2403846153846154
1,49ers,3 Step,196,48.679999999999986,20,-4,64.67999999999999,0.32999999999999996,196,416,0.47115384615384615
2,49ers,5 Step,93,27.48,16,-1,42.47999999999998,0.4567741935483869,93,416,0.22355769230769232
3,49ers,7 Step,27,4.320000000000001,8,-2,10.32,0.38222222222222224,27,416,0.06490384615384616
4,Bears,0/1 Step,100,20.88,8,-5,23.88,0.23879999999999998,100,431,0.23201856148491878
5,Bears,3 Step,213,61.44,48,-3,106.43999999999996,0.4997183098591547,213,431,0.494199535962877
6,Bears,5 Step,86,21.56,16,-1,36.559999999999995,0.4251162790697674,86,431,0.19953596287703015
7,Bears,7 Step,32,12.28,0,-1,11.28,0.3525,32,431,0.07424593967517401
8,Bengals,0/1 Step,120,37.63999999999999,20,-1,56.63999999999999,0.4719999999999999,120,339,0.35398230088495575
9,Bengals,3 Step,156,40.91999999999999,40,-6,74.91999999999997,0.4802564102564101,156,339,0.46017699115044247
10,Bengals,5 Step,50,12.919999999999998,8,-2,18.919999999999998,0.37839999999999996,50,339,0.14749262536873156
11,Bengals,7 Step,13,4.76,0,-1,3.7600000000000002,0.28923076923076924,13,339,0.038348082595870206
12,Bills,0/1 Step,121,25.319999999999993,28,-3,50.32000000000001,0.4158677685950414,121,488,0.24795081967213115
13,Bills,3 Step,264,68.67999999999998,32,-9,91.67999999999994,0.347272727272727,264,488,0.5409836065573771
14,Bills,5 Step,86,31.08,0,-1,30.08,0.3497674418604651,86,488,0.1762295081967213
15,Bills,7 Step,17,4.72,12,0,16.720000000000006,0.9835294117647062,17,488,0.03483606557377049
16,Broncos,0/1 Step,128,25.559999999999995,20,-1,44.55999999999998,0.34812499999999985,128,476,0.2689075630252101
17,Broncos,3 Step,214,54.79999999999999,24,-3,75.8,0.3542056074766355,214,476,0.4495798319327731
18,Broncos,5 Step,91,24.360000000000007,20,-4,40.360000000000014,0.44351648351648365,91,476,0.19117647058823528
19,Broncos,7 Step,43,18.76,12,0,30.759999999999998,0.7153488372093023,43,476,0.09033613445378151
20,Browns,0/1 Step,128,35.76,36,-2,69.75999999999998,0.5449999999999998,128,470,0.2723404255319149
21,Browns,3 Step,267,75.64,64,-5,134.64000000000001,0.5042696629213483,267,470,0.5680851063829787
22,Browns,5 Step,59,18.64,4,0,22.64,0.38372881355932204,59,470,0.125531914893617
23,Browns,7 Step,16,2.72,0,-1,1.7200000000000002,0.10750000000000001,16,470,0.03404255319148936
24,Buccaneers,0/1 Step,143,29.599999999999987,20,-1,48.59999999999998,0.33986013986013974,143,650,0.22
25,Buccaneers,3 Step,277,65.2,56,-11,110.19999999999999,0.3978339350180505,277,650,0.42615384615384616
26,Buccaneers,5 Step,176,57.159999999999975,24,-5,76.15999999999997,0.43272727272727257,176,650,0.27076923076923076
27,Buccaneers,7 Step,54,16.199999999999996,8,-2,22.200000000000003,0.41111111111111115,54,650,0.08307692307692308
28,Cardinals,0/1 Step,117,25.16,12,-4,33.16,0.2834188034188034,117,491,0.23828920570264767
29,Cardinals,3 Step,244,63.119999999999976,44,-4,103.12000000000002,0.4226229508196722,244,491,0.4969450101832994
30,Cardinals,5 Step,90,22.559999999999988,16,-1,37.55999999999999,0.4173333333333332,90,491,0.18329938900203666
31,Cardinals,7 Step,40,15.760000000000003,0,-1,14.76,0.369,40,491,0.0814663951120163
32,Chargers,0/1 Step,101,24.119999999999994,32,-2,54.11999999999998,0.5358415841584157,101,436,0.231651376146789
33,Chargers,3 Step,221,54.199999999999974,40,-6,88.19999999999995,0.39909502262443414,221,436,0.5068807339449541
34,Chargers,5 Step,79,26.719999999999995,8,-1,33.72,0.42683544303797466,79,436,0.1811926605504587
35,Chargers,7 Step,35,8.920000000000002,4,-2,10.92,0.312,35,436,0.08027522935779817
36,Chiefs,0/1 Step,128,25.519999999999982,20,-5,40.52,0.3165625,128,605,0.2115702479338843
37,Chiefs,3 Step,279,68.03999999999999,32,-4,96.03999999999998,0.3442293906810035,279,605,0.46115702479338844
38,Chiefs,5 Step,143,40.03999999999998,32,-7,65.03999999999998,0.45482517482517465,143,605,0.23636363636363636
39,Chiefs,7 Step,55,20.6,12,-2,30.599999999999994,0.5563636363636363,55,605,0.09090909090909091
40,Colts,0/1 Step,129,31.84000000000001,20,-2,49.839999999999996,0.38635658914728677,129,468,0.27564102564102566
41,Colts,3 Step,204,57.35999999999999,28,-10,75.36,0.36941176470588233,204,468,0.4358974358974359
42,Colts,5 Step,104,34.239999999999995,8,-2,40.24,0.3869230769230769,104,468,0.2222222222222222
43,Colts,7 Step,31,11.160000000000002,12,0,23.159999999999997,0.7470967741935483,31,468,0.06623931623931624
44,Cowboys,0/1 Step,136,30.75999999999998,36,-1,65.75999999999999,0.4835294117647058,136,399,0.3408521303258145
45,Cowboys,3 Step,165,43.76,28,-8,63.75999999999998,0.3864242424242423,165,399,0.41353383458646614
46,Cowboys,5 Step,70,23.119999999999997,16,-1,38.12,0.5445714285714285,70,399,0.17543859649122806
47,Cowboys,7 Step,28,9.76,12,0,21.76,0.7771428571428572,28,399,0.07017543859649122
48,Dolphins,0/1 Step,110,30.84,16,-2,44.84000000000001,0.40763636363636374,110,479,0.22964509394572025
49,Dolphins,3 Step,209,59.55999999999998,20,-8,71.55999999999999,0.3423923444976076,209,479,0.4363256784968685
50,Dolphins,5 Step,113,34.15999999999999,8,-6,36.16,0.31999999999999995,113,479,0.2359081419624217
51,Dolphins,7 Step,47,18.0,12,-1,29.0,0.6170212765957447,47,479,0.09812108559498957
52,Eagles,0/1 Step,99,24.439999999999994,16,-1,39.44,0.39838383838383834,99,354,0.2796610169491525
53,Eagles,3 Step,166,54.879999999999995,36,-2,88.88000000000001,0.535421686746988,166,354,0.4689265536723164
54,Eagles,5 Step,74,19.959999999999997,0,-3,16.959999999999997,0.22918918918918915,74,354,0.20903954802259886
55,Eagles,7 Step,15,6.120000000000001,0,0,6.120000000000001,0.4080000000000001,15,354,0.0423728813559322
56,Falcons,0/1 Step,142,33.12,16,-2,47.12000000000001,0.33183098591549304,142,547,0.2595978062157221
57,Falcons,3 Step,254,77.39999999999996,56,-6,127.39999999999998,0.5015748031496062,254,547,0.4643510054844607
58,Falcons,5 Step,110,38.6,32,-2,68.59999999999998,0.6236363636363634,110,547,0.20109689213893966
59,Falcons,7 Step,41,21.999999999999996,8,0,29.999999999999996,0.7317073170731706,41,547,0.07495429616087751
60,Football Team,0/1 Step,154,29.88,24,-2,51.87999999999999,0.3368831168831168,154,489,0.3149284253578732
61,Football Team,3 Step,219,58.92000000000001,32,-9,81.91999999999999,0.3740639269406392,219,489,0.44785276073619634
62,Football Team,5 Step,76,21.04,16,-2,35.040000000000006,0.46105263157894744,76,489,0.1554192229038855
63,Football Team,7 Step,40,12.959999999999999,8,-1,19.960000000000004,0.4990000000000001,40,489,0.081799591002045
64,Giants,0/1 Step,132,31.71999999999998,4,-1,34.719999999999985,0.2630303030303029,132,453,0.2913907284768212
65,Giants,3 Step,212,60.239999999999995,28,-5,83.24000000000001,0.3926415094339623,212,453,0.46799116997792495
66,Giants,5 Step,76,18.6,16,-1,33.60000000000001,0.44210526315789483,76,453,0.16777041942604856
67,Giants,7 Step,33,11.24,4,0,15.24,0.46181818181818185,33,453,0.0728476821192053
68,Jaguars,0/1 Step,74,24.319999999999993,12,0,36.31999999999999,0.49081081081081074,74,319,0.23197492163009403
69,Jaguars,3 Step,146,43.59999999999998,52,-2,93.60000000000001,0.6410958904109589,146,319,0.45768025078369906
70,Jaguars,5 Step,68,28.280000000000005,24,-2,50.280000000000015,0.7394117647058825,68,319,0.21316614420062696
71,Jaguars,7 Step,31,7.680000000000001,8,-3,12.680000000000001,0.40903225806451615,31,319,0.09717868338557993
72,Jets,0/1 Step,135,35.79999999999999,36,-3,68.79999999999998,0.5096296296296295,135,429,0.3146853146853147
73,Jets,3 Step,205,53.519999999999975,32,-2,83.51999999999998,0.4074146341463414,205,429,0.47785547785547783
74,Jets,5 Step,75,24.68,16,-2,38.67999999999999,0.5157333333333333,75,429,0.17482517482517482
75,Jets,7 Step,14,5.04,8,0,13.040000000000001,0.9314285714285715,14,429,0.03263403263403263
76,Lions,0/1 Step,66,22.04,20,0,42.04000000000001,0.6369696969696972,66,338,0.1952662721893491
77,Lions,3 Step,147,46.36000000000001,40,-2,84.35999999999997,0.5738775510204079,147,338,0.4349112426035503
78,Lions,5 Step,93,31.640000000000004,32,-2,61.640000000000015,0.6627956989247313,93,338,0.27514792899408286
79,Lions,7 Step,32,12.879999999999999,16,0,28.88,0.9025,32,338,0.09467455621301775
80,Packers,0/1 Step,85,22.119999999999997,20,0,42.120000000000005,0.49552941176470594,85,435,0.19540229885057472
81,Packers,3 Step,206,47.6,32,-7,72.6,0.3524271844660194,206,435,0.4735632183908046
82,Packers,5 Step,100,27.799999999999997,8,-4,31.799999999999997,0.31799999999999995,100,435,0.22988505747126436
83,Packers,7 Step,44,13.239999999999998,4,0,17.240000000000002,0.39181818181818184,44,435,0.10114942528735632
84,Panthers,0/1 Step,112,22.879999999999992,12,-1,33.87999999999999,0.3024999999999999,112,437,0.2562929061784897
85,Panthers,3 Step,174,48.720000000000006,24,-2,70.72000000000003,0.40643678160919555,174,437,0.39816933638443935
86,Panthers,5 Step,119,35.719999999999985,24,-1,58.72,0.4934453781512605,119,437,0.2723112128146453
87,Panthers,7 Step,32,13.24,8,-1,20.24,0.6325,32,437,0.07322654462242563
88,Patriots,0/1 Step,119,29.839999999999993,8,-6,31.84,0.267563025210084,119,436,0.27293577981651373
89,Patriots,3 Step,189,52.039999999999985,28,-7,73.03999999999998,0.38645502645502633,189,436,0.4334862385321101
90,Patriots,5 Step,101,34.39999999999999,36,-1,69.4,0.6871287128712872,101,436,0.231651376146789
91,Patriots,7 Step,27,11.32,4,-1,14.320000000000004,0.5303703703703705,27,436,0.06192660550458716
92,Raiders,0/1 Step,130,25.91999999999999,24,-4,45.92,0.35323076923076924,130,442,0.29411764705882354
93,Raiders,3 Step,188,47.35999999999999,24,-4,67.35999999999999,0.3582978723404254,188,442,0.4253393665158371
94,Raiders,5 Step,83,29.6,24,-1,52.6,0.6337349397590362,83,442,0.18778280542986425
95,Raiders,7 Step,41,20.080000000000002,8,0,28.079999999999995,0.6848780487804876,41,442,0.09276018099547512
96,Rams,0/1 Step,185,44.679999999999986,12,-3,53.67999999999999,0.2901621621621621,185,532,0.34774436090225563
97,Rams,3 Step,230,49.6,44,-5,88.59999999999997,0.3852173913043477,230,532,0.4323308270676692
98,Rams,5 Step,78,15.520000000000001,8,-3,20.520000000000003,0.2630769230769231,78,532,0.14661654135338345
99,Rams,7 Step,39,14.160000000000002,8,0,22.160000000000004,0.5682051282051283,39,532,0.07330827067669173
100,Ravens,0/1 Step,120,27.799999999999994,8,-4,31.8,0.265,120,467,0.2569593147751606
101,Ravens,3 Step,216,51.279999999999966,28,-4,75.27999999999999,0.34851851851851845,216,467,0.4625267665952891
102,Ravens,5 Step,97,27.199999999999996,12,-2,37.199999999999974,0.383505154639175,97,467,0.20770877944325483
103,Ravens,7 Step,34,5.48,12,-2,15.479999999999999,0.4552941176470588,34,467,0.0728051391862955
104,Saints,0/1 Step,143,28.6,16,-4,40.60000000000001,0.28391608391608397,143,560,0.25535714285714284
105,Saints,3 Step,262,58.47999999999999,40,-9,89.47999999999998,0.34152671755725184,262,560,0.46785714285714286
106,Saints,5 Step,112,30.240000000000002,20,-3,47.23999999999998,0.4217857142857141,112,560,0.2
107,Saints,7 Step,43,17.720000000000002,8,0,25.720000000000002,0.598139534883721,43,560,0.07678571428571429
108,Seahawks,0/1 Step,135,35.23999999999999,20,-1,54.23999999999999,0.4017777777777777,135,532,0.25375939849624063
109,Seahawks,3 Step,260,66.83999999999999,24,-4,86.83999999999993,0.33399999999999974,260,532,0.48872180451127817
110,Seahawks,5 Step,99,33.19999999999999,16,-2,47.19999999999998,0.47676767676767656,99,532,0.18609022556390978
111,Seahawks,7 Step,38,13.279999999999998,12,0,25.279999999999994,0.6652631578947367,38,532,0.07142857142857142
112,Steelers,0/1 Step,119,23.799999999999997,24,-4,43.80000000000001,0.3680672268907564,119,436,0.27293577981651373
113,Steelers,3 Step,237,61.84000000000002,40,-9,92.84000000000003,0.3917299578059073,237,436,0.5435779816513762
114,Steelers,5 Step,64,19.16,4,-2,21.160000000000004,0.33062500000000006,64,436,0.14678899082568808
115,Steelers,7 Step,16,4.640000000000001,8,0,12.64,0.79,16,436,0.03669724770642202
116,Texans,0/1 Step,80,20.479999999999997,16,0,36.47999999999998,0.4559999999999998,80,353,0.22662889518413598
117,Texans,3 Step,127,39.119999999999976,24,0,63.12000000000001,0.49700787401574814,127,353,0.3597733711048159
118,Texans,5 Step,95,24.0,28,-1,50.99999999999999,0.5368421052631578,95,353,0.26912181303116145
119,Texans,7 Step,51,20.68,4,-2,22.68,0.4447058823529412,51,353,0.14447592067988668
120,Titans,0/1 Step,90,21.04,20,0,41.04,0.456,90,438,0.2054794520547945
121,Titans,3 Step,228,68.96000000000005,44,-7,105.96000000000001,0.46473684210526317,228,438,0.5205479452054794
122,Titans,5 Step,97,25.360000000000003,24,-5,44.36000000000001,0.45731958762886604,97,438,0.22146118721461186
123,Titans,7 Step,23,9.48,8,0,17.48,0.76,23,438,0.05251141552511415
124,Vikings,0/1 Step,112,24.67999999999998,8,-5,27.679999999999986,0.24714285714285703,112,371,0.3018867924528302
125,Vikings,3 Step,162,53.080000000000005,44,-5,92.07999999999998,0.5683950617283949,162,371,0.4366576819407008
126,Vikings,5 Step,81,30.0,24,0,53.99999999999999,0.6666666666666666,81,371,0.2183288409703504
127,Vikings,7 Step,16,6.120000000000001,4,0,10.120000000000001,0.6325000000000001,16,371,0.0431266846361186
