team,playerName,route,FP_yards,FP_TD,FP_receiving,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,3.0,3.8,0,3,0.7555555555555555,3,77,0.03896103896103896
PHI,A.J. Brown,7.0,2.1,0,1,0.13478260869565217,1,77,0.012987012987012988
PHI,A.J. Brown,4.0,14.600000000000001,0,13,0.5411764705882354,20,77,0.2597402597402597
PHI,A.J. Brown,6.0,18.0,6,11,0.5645161290322581,16,77,0.2077922077922078
PHI,A.J. Brown,5.0,10.0,0,8,0.3050847457627119,15,77,0.19480519480519481
PHI,A.J. Brown,8.0,11.0,0,3,0.7368421052631579,3,77,0.03896103896103896
PHI,A.J. Brown,2.0,27.3,12,14,0.9690909090909091,19,77,0.24675324675324675
ARI,A.J. Green,3.0,0.30000000000000004,6,1,1.2166666666666666,2,78,0.02564102564102564
ARI,A.J. Green,7.0,1.9000000000000001,0,1,0.10740740740740742,2,78,0.02564102564102564
ARI,A.J. Green,4.0,10.200000000000001,0,13,0.29000000000000004,17,78,0.21794871794871795
ARI,A.J. Green,6.0,1.3,0,1,0.04181818181818182,5,78,0.0641025641025641
ARI,A.J. Green,5.0,5.0,0,6,0.23404255319148937,15,78,0.19230769230769232
ARI,A.J. Green,8.0,3.5,0,2,0.09166666666666666,9,78,0.11538461538461539
ARI,A.J. Green,2.0,16.0,6,15,0.6981132075471698,28,78,0.358974358974359
GB,Aaron Jones,4.0,3.6,0,6,0.2909090909090909,7,7,1.0
MIA,Adam Shaheen,7.0,0.0,0,0,0.0,2,3,0.6666666666666666
MIA,Adam Shaheen,8.0,1.9000000000000001,0,1,1.4500000000000002,1,3,0.3333333333333333
MIN,Adam Thielen,3.0,6.0,0,5,0.8461538461538461,6,62,0.0967741935483871
MIN,Adam Thielen,7.0,6.5,12,3,0.5375,4,62,0.06451612903225806
MIN,Adam Thielen,4.0,11.100000000000001,0,10,0.31029411764705883,15,62,0.24193548387096775
MIN,Adam Thielen,6.0,7.1,0,5,0.20862068965517241,8,62,0.12903225806451613
MIN,Adam Thielen,5.0,14.000000000000004,18,15,0.8103448275862069,19,62,0.3064516129032258
MIN,Adam Thielen,8.0,1.5,0,1,0.08620689655172414,3,62,0.04838709677419355
MIN,Adam Thielen,2.0,4.3999999999999995,0,5,0.25405405405405407,7,62,0.11290322580645161
NO,Adam Trautman,7.0,5.800000000000001,0,2,0.52,2,2,1.0
DEN,Albert Okwuegbunam,7.0,0.0,0,0,0.0,3,3,1.0
MIA,Alec Ingold,7.0,2.3000000000000003,0,1,3.3000000000000003,1,1,1.0
WAS,Alex Erickson,4.0,2.4000000000000004,0,3,0.3375,5,10,0.5
WAS,Alex Erickson,6.0,0.0,0,0,0.0,2,10,0.2
WAS,Alex Erickson,8.0,4.2,0,1,1.3,1,10,0.1
WAS,Alex Erickson,2.0,1.7000000000000002,0,2,0.41111111111111115,2,10,0.2
MIN,Alexander Mattison,6.0,1.4,0,2,0.6799999999999999,2,2,1.0
GB,Allen Lazard,7.0,4.800000000000001,0,1,0.6444444444444445,1,23,0.043478260869565216
GB,Allen Lazard,6.0,3.1,0,2,0.2318181818181818,3,23,0.13043478260869565
GB,Allen Lazard,5.0,7.300000000000001,0,8,0.4499999999999999,10,23,0.43478260869565216
GB,Allen Lazard,8.0,13.0,6,2,1.1666666666666667,4,23,0.17391304347826086
GB,Allen Lazard,2.0,0.0,0,0,0.0,5,23,0.21739130434782608
NO,Alvin Kamara,4.0,8.6,0,12,0.41200000000000003,13,24,0.5416666666666666
NO,Alvin Kamara,6.0,3.0,0,2,0.8333333333333334,2,24,0.08333333333333333
NO,Alvin Kamara,5.0,5.1000000000000005,0,6,0.5045454545454546,8,24,0.3333333333333333
NO,Alvin Kamara,2.0,1.3,0,1,0.15333333333333332,1,24,0.041666666666666664
CLE,Amari Cooper,3.0,0.0,0,0,0.0,2,89,0.02247191011235955
CLE,Amari Cooper,7.0,3.2,0,1,0.2625,3,89,0.033707865168539325
CLE,Amari Cooper,4.0,22.400000000000006,0,25,0.4601941747572815,30,89,0.33707865168539325
CLE,Amari Cooper,6.0,8.3,0,10,0.2859375,13,89,0.14606741573033707
CLE,Amari Cooper,5.0,13.600000000000001,0,16,0.4852459016393443,20,89,0.2247191011235955
