team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
ATL,Anthony Firkser,Cover 1,8.100000000000001,0,10,18.099999999999998,78.0,0.23205128205128203,15,55,0.2727272727272727
ATL,Anthony Firkser,Cover 2,11.4,6,7,24.400000000000002,26.0,0.9384615384615386,7,55,0.12727272727272726
ATL,Anthony Firkser,Cover 3,6.4,0,7,13.400000000000002,43.0,0.31162790697674425,10,55,0.18181818181818182
ATL,Anthony Firkser,Cover 4,8.5,0,10,18.5,43.0,0.43023255813953487,15,55,0.2727272727272727
ATL,Anthony Firkser,Cover 6,2.2,0,4,6.199999999999999,12.0,0.5166666666666666,4,55,0.07272727272727272
ATL,Anthony Firkser,Man Cover 2,0.4,0,1,1.4,16.0,0.0875,4,55,0.07272727272727272
PIT,Anthony McFarland Jr.,Man Cover 2,0.7000000000000001,0,1,1.7000000000000002,1.0,1.7000000000000002,1,5,0.2
PIT,Anthony McFarland Jr.,Screen,2.2,0,3,5.2,12.0,0.43333333333333335,4,5,0.8
PIT,Anthony Miller,Combination,0.5,0,1,1.5,10.0,0.15,1,76,0.013157894736842105
PIT,Anthony Miller,Cover 0,2.8000000000000003,6,1,9.8,10.0,0.9800000000000001,3,76,0.039473684210526314
PIT,Anthony Miller,Cover 1,17.9,6,12,35.900000000000006,108.0,0.3324074074074075,21,76,0.27631578947368424
PIT,Anthony Miller,Cover 2,1.3000000000000003,0,2,3.3000000000000003,50.0,0.066,7,76,0.09210526315789473
PIT,Anthony Miller,Cover 3,10.100000000000001,0,12,22.1,125.0,0.1768,19,76,0.25
PIT,Anthony Miller,Cover 4,7.199999999999999,0,9,16.2,72.0,0.22499999999999998,9,76,0.11842105263157894
PIT,Anthony Miller,Cover 6,1.2000000000000002,0,1,2.2,7.0,0.31428571428571433,1,76,0.013157894736842105
PIT,Anthony Miller,Man Cover 2,4.4,0,5,9.4,22.0,0.4272727272727273,10,76,0.13157894736842105
PIT,Anthony Miller,Screen,0.7000000000000001,0,5,5.699999999999999,24.0,0.23749999999999996,5,76,0.06578947368421052
WAS,Antonio Gibson,Cover 1,2.6,0,5,7.6,34.0,0.22352941176470587,10,42,0.23809523809523808
WAS,Antonio Gibson,Cover 3,11.900000000000002,0,18,29.900000000000002,57.0,0.524561403508772,20,42,0.47619047619047616
WAS,Antonio Gibson,Cover 6,1.1,0,2,3.1,5.0,0.62,2,42,0.047619047619047616
WAS,Antonio Gibson,Man Cover 2,0.4,0,1,1.4,3.0,0.4666666666666666,1,42,0.023809523809523808
WAS,Antonio Gibson,Screen,7.299999999999999,0,7,14.300000000000002,19.0,0.7526315789473685,9,42,0.21428571428571427
ATL,Auden Tate,Cover 1,4.1,0,4,8.1,20.0,0.40499999999999997,8,9,0.8888888888888888
ATL,Auden Tate,Prevent,1.9000000000000001,0,1,2.9000000000000004,2.0,1.4500000000000002,1,9,0.1111111111111111
LAC,Austin Ekeler,Cover 1,1.9,6,4,11.9,39.0,0.30512820512820515,6,63,0.09523809523809523
LAC,Austin Ekeler,Cover 2,5.6,0,6,11.6,26.0,0.4461538461538461,8,63,0.12698412698412698
LAC,Austin Ekeler,Cover 3,6.300000000000001,0,11,17.3,50.0,0.34600000000000003,13,63,0.20634920634920634
LAC,Austin Ekeler,Cover 4,6.800000000000001,0,9,15.8,40.0,0.395,13,63,0.20634920634920634
LAC,Austin Ekeler,Cover 6,1.8,0,3,4.8,10.0,0.48,3,63,0.047619047619047616
LAC,Austin Ekeler,Screen,14.700000000000003,6,18,38.7,31.0,1.2483870967741937,20,63,0.31746031746031744
TEN,Austin Hooper,Cover 0,1.9000000000000001,0,3,4.9,3.0,1.6333333333333335,4,83,0.04819277108433735
TEN,Austin Hooper,Cover 1,7.2,0,9,16.200000000000003,64.0,0.25312500000000004,16,83,0.1927710843373494
TEN,Austin Hooper,Cover 2,8.700000000000001,0,8,16.700000000000003,46.0,0.36304347826086963,11,83,0.13253012048192772
TEN,Austin Hooper,Cover 3,17.9,12,16,45.90000000000001,84.0,0.5464285714285716,26,83,0.3132530120481928
TEN,Austin Hooper,Cover 4,5.500000000000001,12,7,24.5,50.0,0.49,13,83,0.1566265060240964
TEN,Austin Hooper,Cover 6,1.9000000000000001,0,2,3.9000000000000004,9.0,0.43333333333333335,2,83,0.024096385542168676
TEN,Austin Hooper,Man Cover 2,1.6,0,2,3.6,10.0,0.36,2,83,0.024096385542168676
TEN,Austin Hooper,Other,0.2,6,1,7.2,12.0,0.6,1,83,0.012048192771084338
TEN,Austin Hooper,Screen,3.5999999999999996,0,7,10.6,25.0,0.424,8,83,0.0963855421686747
KC,Blake Bell,Cover 2,4.5,0,3,7.5,12.0,0.625,4,4,1.0
PHI,Boston Scott,Cover 0,0.0,0,0,0.0,7.0,0.0,2,28,0.07142857142857142
PHI,Boston Scott,Cover 2,3.2,0,3,6.2,15.0,0.41333333333333333,4,28,0.14285714285714285
PHI,Boston Scott,Cover 3,7.4,0,8,15.4,49.0,0.3142857142857143,10,28,0.35714285714285715
PHI,Boston Scott,Man Cover 2,1.8,6,1,8.8,16.0,0.55,4,28,0.14285714285714285
PHI,Boston Scott,Screen,4.1,0,6,10.100000000000001,14.0,0.7214285714285715,8,28,0.2857142857142857
HOU,Brandin Cooks,Combination,1.6,0,1,2.6,16.0,0.1625,1,123,0.008130081300813009
HOU,Brandin Cooks,Cover 0,2.9000000000000004,12,2,16.9,17.0,0.9941176470588234,5,123,0.04065040650406504
HOU,Brandin Cooks,Cover 1,31.899999999999995,6,18,55.89999999999999,159.0,0.3515723270440251,37,123,0.3008130081300813
HOU,Brandin Cooks,Cover 2,10.8,0,6,16.8,55.0,0.3054545454545455,8,123,0.06504065040650407
HOU,Brandin Cooks,Cover 3,38.0,6,29,73.0,176.0,0.4147727272727273,38,123,0.3089430894308943
HOU,Brandin Cooks,Cover 4,16.1,12,10,38.10000000000001,68.0,0.5602941176470589,15,123,0.12195121951219512
HOU,Brandin Cooks,Cover 6,1.5,0,2,3.5,16.0,0.21875,2,123,0.016260162601626018
HOU,Brandin Cooks,Man Cover 2,2.7,0,3,5.699999999999999,12.0,0.4749999999999999,5,123,0.04065040650406504
HOU,Brandin Cooks,Prevent,1.2000000000000002,0,1,2.2,22.0,0.1,1,123,0.008130081300813009
HOU,Brandin Cooks,Screen,10.799999999999999,6,11,27.799999999999997,45.0,0.6177777777777778,11,123,0.08943089430894309
SF,Brandon Aiyuk,Cover 0,4.200000000000001,12,5,21.2,13.0,1.6307692307692307,6,100,0.06
SF,Brandon Aiyuk,Cover 1,11.3,0,9,20.3,89.0,0.22808988764044943,24,100,0.24
SF,Brandon Aiyuk,Cover 2,6.6000000000000005,0,4,10.600000000000001,43.0,0.24651162790697678,8,100,0.08
SF,Brandon Aiyuk,Cover 3,33.5,12,22,67.5,148.0,0.4560810810810811,37,100,0.37
SF,Brandon Aiyuk,Cover 4,4.9,0,4,8.9,62.0,0.1435483870967742,8,100,0.08
SF,Brandon Aiyuk,Man Cover 2,1.2000000000000002,0,1,2.2,15.0,0.14666666666666667,3,100,0.03
SF,Brandon Aiyuk,Other,0.9,0,1,1.9,13.0,0.14615384615384613,1,100,0.01
SF,Brandon Aiyuk,Screen,8.2,6,11,25.2,38.0,0.6631578947368421,13,100,0.13
LAR,Brandon Powell,Cover 0,1.3,12,2,15.3,6.0,2.5500000000000003,2,11,0.18181818181818182
LAR,Brandon Powell,Cover 1,1.8000000000000003,0,3,4.800000000000001,32.0,0.15000000000000002,7,11,0.6363636363636364
LAR,Brandon Powell,Man Cover 2,0.30000000000000004,0,1,1.3,17.0,0.07647058823529412,2,11,0.18181818181818182
