,nickName,TargetType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
756,Jets,Screen - Bubble,3,0.8800000000000001,0,0,0.8800000000000001,0.2933333333333334
757,Jets,Screen - Drag,2,0.0,0,0,0.0,0.0
758,Jets,Screen - Quick,1,-0.08,0,0,-0.08,-0.08
759,Jets,Screen - RB,6,2.56,0,0,2.56,0.4266666666666667
760,Jets,Screen - Shovel,2,0.16,4,0,4.16,2.08
761,Jets,Screen - TE,3,1.7600000000000002,0,0,1.7600000000000002,0.5866666666666668
762,Jets,Screen - Tunnel,8,1.2000000000000002,0,-1,0.20000000000000007,0.02500000000000001
763,Jets,Seam,14,3.0,4,0,7.0,0.5
764,Jets,Slant,35,10.719999999999999,8,0,18.720000000000002,0.5348571428571429
765,Jets,Sluggo,1,0.0,0,-1,-1.0,-1.0
766,Jets,Stick - Nod,1,0.04,4,0,4.04,4.04
767,Jets,Swing - Left,7,1.7600000000000002,0,0,1.7600000000000002,0.25142857142857145
768,Jets,Swing - Right,3,1.12,0,0,1.12,0.37333333333333335
769,Jets,Wheel,6,1.7600000000000002,0,0,1.7600000000000002,0.2933333333333334
770,Jets,Whip,3,0.6,0,0,0.6,0.19999999999999998
771,Lions,Angle,5,2.0,4,0,6.0,1.2
772,Lions,Beneath,2,0.48000000000000004,4,0,4.48,2.24
773,Lions,Broken Play,21,5.6000000000000005,0,-2,3.5999999999999996,0.1714285714285714
774,Lions,Check & Release,8,1.76,0,0,1.76,0.22
775,Lions,Chip - Curl,4,0.96,0,0,0.96,0.24
776,Lions,Chip - Flat,10,1.72,0,-1,0.7200000000000002,0.07200000000000002
777,Lions,Comeback,5,1.84,0,0,1.84,0.368
778,Lions,Corner,19,7.32,4,0,11.32,0.5957894736842105
779,Lions,Curl,69,20.160000000000004,0,-1,19.160000000000007,0.27768115942029
780,Lions,Deep Cross,15,16.04,0,0,16.04,1.0693333333333332
781,Lions,Dig,34,14.040000000000001,0,-1,13.040000000000001,0.3835294117647059
782,Lions,Drag,12,2.7199999999999998,8,0,10.72,0.8933333333333334
783,Lions,Fade,13,4.16,12,0,16.16,1.2430769230769232
784,Lions,Fade - Back Shoulder,4,0.0,0,0,0.0,0.0
785,Lions,Flat - Left,10,3.08,8,0,11.079999999999998,1.1079999999999999
786,Lions,Flat - Right,11,3.5200000000000005,0,0,3.5200000000000005,0.32000000000000006
787,Lions,Go/Fly,19,7.800000000000001,0,0,7.800000000000001,0.41052631578947374
788,Lions,Hitch & Go,3,4.44,4,0,8.44,2.813333333333333
789,Lions,Jet Sweep Pass,8,0.92,4,0,4.92,0.615
790,Lions,Out,48,12.4,0,0,12.4,0.25833333333333336
791,Lions,Out & Up,4,3.0,0,0,3.0,0.75
792,Lions,Over Ball,10,2.3600000000000003,0,0,2.3600000000000003,0.23600000000000004
793,Lions,Post,11,6.76,4,-2,8.76,0.7963636363636364
794,Lions,Quick,1,-0.08,0,0,-0.08,-0.08
795,Lions,Screen - Bubble,8,1.52,0,0,1.52,0.19
796,Lions,Screen - Quick,2,0.32,0,0,0.32,0.16
797,Lions,Screen - Shovel,1,0.04,4,0,4.04,4.04
798,Lions,Screen - TE,7,3.12,0,0,3.12,0.44571428571428573
799,Lions,Screen - Tunnel,8,2.56,0,0,2.56,0.32
800,Lions,Seam,14,4.08,8,-1,11.08,0.7914285714285715
801,Lions,Slant,37,7.800000000000001,4,-2,9.8,0.2648648648648649
802,Lions,Sluggo,1,0.52,4,0,4.52,4.52
803,Lions,Swing - Left,1,0.12,0,0,0.12,0.12
804,Lions,Swing - Right,3,0.76,0,0,0.76,0.25333333333333335
805,Lions,Wheel,3,0.48,4,0,4.48,1.4933333333333334
806,Lions,Whip,9,1.88,4,0,5.880000000000002,0.6533333333333335
807,Packers,Angle,14,6.280000000000001,16,0,22.279999999999998,1.5914285714285712
808,Packers,Beneath,2,0.28,0,0,0.28,0.14
809,Packers,Broken Play,40,11.520000000000001,12,-4,19.52,0.488
810,Packers,Check & Release,14,2.3600000000000003,0,0,2.3600000000000003,0.1685714285714286
811,Packers,Chip - Curl,4,1.0,0,0,1.0,0.25
812,Packers,Chip - Drag,5,1.12,0,0,1.12,0.22400000000000003
813,Packers,Chip - Flat,11,3.1200000000000006,0,0,3.1200000000000006,0.2836363636363637
814,Packers,Comeback,3,0.0,0,0,0.0,0.0
815,Packers,Corner,17,7.88,12,0,19.880000000000006,1.1694117647058828
816,Packers,Corner Post,4,0.0,0,-2,-2.0,-0.5
