nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
49ers,Cover 0,0.0,0,0,0.0,39.0,0.0,2,537,0.0037243947858473
49ers,Cover 1,83.39999999999999,48,50,181.39999999999995,349.0,0.5197707736389683,84,537,0.1564245810055866
49ers,Cover 2,36.49999999999999,6,30,72.5,279.0,0.25985663082437277,44,537,0.08193668528864059
49ers,Cover 3,116.69999999999999,18,102,236.70000000000005,477.0,0.49622641509433973,158,537,0.2942271880819367
49ers,Cover 4,95.80000000000001,12,77,184.80000000000007,249.0,0.7421686746987954,117,537,0.21787709497206703
49ers,Cover 6,16.900000000000002,12,17,45.9,43.0,1.0674418604651164,21,537,0.03910614525139665
49ers,Man Cover 2,8.7,6,7,21.7,94.0,0.23085106382978723,16,537,0.0297951582867784
49ers,Other,0.9000000000000001,0,2,2.9000000000000004,5.0,0.5800000000000001,2,537,0.0037243947858473
49ers,Prevent,3.3000000000000003,0,3,6.300000000000001,3.0,2.1,3,537,0.00558659217877095
49ers,Screen,43.000000000000014,12,81,136.0,121.0,1.1239669421487604,90,537,0.16759776536312848
Bears,Cover 0,3.6000000000000005,0,4,7.6,56.0,0.1357142857142857,4,393,0.010178117048346057
Bears,Cover 1,85.6,36,55,176.59999999999997,340.0,0.5194117647058822,94,393,0.23918575063613232
Bears,Cover 2,40.0,12,35,87.0,196.0,0.44387755102040816,52,393,0.13231552162849872
Bears,Cover 3,64.00000000000001,30,60,154.0,621.0,0.24798711755233493,92,393,0.2340966921119593
Bears,Cover 4,46.89999999999999,24,38,108.9,485.0,0.22453608247422682,57,393,0.1450381679389313
Bears,Cover 6,9.3,0,7,16.3,41.0,0.3975609756097561,11,393,0.027989821882951654
Bears,Man Cover 2,15.599999999999998,18,13,46.60000000000001,60.0,0.7766666666666668,24,393,0.061068702290076333
Bears,Other,1.7000000000000002,6,2,9.7,13.0,0.7461538461538461,4,393,0.010178117048346057
Bears,Prevent,2.2,0,2,4.2,73.0,0.057534246575342465,3,393,0.007633587786259542
Bears,Screen,41.2,6,47,94.20000000000003,69.0,1.3652173913043484,52,393,0.13231552162849872
Bengals,Cover 0,8.700000000000001,12,7,27.700000000000003,15.0,1.846666666666667,20,601,0.033277870216306155
Bengals,Cover 1,74.80000000000001,12,59,145.8,463.0,0.314902807775378,121,601,0.20133111480865223
Bengals,Cover 2,50.10000000000001,0,45,95.10000000000001,420.0,0.22642857142857145,62,601,0.10316139767054909
Bengals,Cover 3,168.90000000000006,24,144,336.9,546.0,0.617032967032967,203,601,0.33777038269550747
Bengals,Cover 4,79.9,48,62,189.89999999999998,412.0,0.46092233009708733,84,601,0.13976705490848584
Bengals,Cover 6,10.100000000000001,0,9,19.1,90.0,0.21222222222222223,14,601,0.02329450915141431
Bengals,Man Cover 2,24.899999999999995,0,22,46.9,106.0,0.44245283018867926,36,601,0.059900166389351084
Bengals,Other,1.0,0,1,2.0,10.0,0.2,2,601,0.0033277870216306157
Bengals,Prevent,6.300000000000001,0,6,12.299999999999999,9.0,1.3666666666666665,10,601,0.016638935108153077
Bengals,Screen,21.0,12,44,77.0,94.0,0.8191489361702128,49,601,0.08153078202995008
Bills,Combination,1.3,6,1,8.3,4.0,2.075,1,480,0.0020833333333333333
Bills,Cover 0,3.1000000000000005,12,4,19.1,33.0,0.5787878787878789,5,480,0.010416666666666666
Bills,Cover 1,76.4,12,54,142.39999999999998,596.0,0.23892617449664424,113,480,0.23541666666666666
Bills,Cover 2,37.0,0,40,77.0,359.0,0.21448467966573817,54,480,0.1125
Bills,Cover 3,62.19999999999999,6,62,130.2,720.0,0.18083333333333332,102,480,0.2125
Bills,Cover 4,43.699999999999996,12,49,104.70000000000002,362.0,0.2892265193370166,94,480,0.19583333333333333
Bills,Cover 6,7.9,0,7,14.899999999999999,51.0,0.292156862745098,11,480,0.022916666666666665
Bills,Man Cover 2,24.700000000000003,6,18,48.70000000000001,158.0,0.3082278481012659,34,480,0.07083333333333333
Bills,Other,2.6,0,1,3.6,9.0,0.4,3,480,0.00625
Bills,Prevent,4.4,0,2,6.4,3.0,2.1333333333333333,2,480,0.004166666666666667
Bills,Screen,43.90000000000001,12,52,107.89999999999998,145.0,0.7441379310344826,61,480,0.12708333333333333
Broncos,Combination,1.8000000000000003,0,3,4.800000000000001,27.0,0.1777777777777778,8,435,0.01839080459770115
Broncos,Cover 0,6.6,6,8,20.6,23.0,0.8956521739130435,15,435,0.034482758620689655
Broncos,Cover 1,96.50000000000001,30,70,196.5,522.0,0.3764367816091954,131,435,0.30114942528735633
Broncos,Cover 2,23.299999999999997,0,19,42.3,266.0,0.15902255639097743,31,435,0.07126436781609195
Broncos,Cover 3,70.20000000000002,24,64,158.20000000000002,659.0,0.24006069802731414,91,435,0.20919540229885059
Broncos,Cover 4,51.3,18,43,112.30000000000001,266.0,0.4221804511278196,64,435,0.1471264367816092
Broncos,Cover 6,24.400000000000002,0,21,45.400000000000006,28.0,1.6214285714285717,26,435,0.059770114942528735
Broncos,Man Cover 2,31.499999999999996,12,18,61.49999999999999,101.0,0.6089108910891088,27,435,0.06206896551724138
Broncos,Prevent,4.300000000000001,0,2,6.300000000000001,57.0,0.1105263157894737,4,435,0.009195402298850575
Broncos,Screen,34.10000000000001,0,36,70.10000000000001,29.0,2.417241379310345,38,435,0.08735632183908046
Browns,Cover 0,7.500000000000001,12,5,24.5,18.0,1.3611111111111112,9,490,0.018367346938775512
Browns,Cover 1,57.60000000000001,36,50,143.59999999999997,470.0,0.305531914893617,94,490,0.19183673469387755
Browns,Cover 2,19.000000000000004,0,23,42.0,103.0,0.4077669902912621,37,490,0.07551020408163266
Browns,Cover 3,96.09999999999998,18,82,196.10000000000005,404.0,0.48539603960396055,129,490,0.26326530612244897
Browns,Cover 4,83.10000000000001,18,72,173.1,172.0,1.0063953488372093,109,490,0.22244897959183674
Browns,Cover 6,20.1,6,13,39.1,29.0,1.3482758620689657,17,490,0.03469387755102041
Browns,Man Cover 2,14.8,0,13,27.8,157.0,0.17707006369426753,25,490,0.05102040816326531
Browns,Prevent,3.0,0,3,6.0,18.0,0.3333333333333333,4,490,0.00816326530612245
Browns,Screen,40.79999999999998,18,60,118.80000000000003,116.0,1.024137931034483,66,490,0.1346938775510204
Buccaneers,Combination,2.0,0,1,3.0,18.0,0.16666666666666666,1,580,0.0017241379310344827
Buccaneers,Cover 0,9.4,6,7,22.4,38.0,0.5894736842105263,15,580,0.02586206896551724
Buccaneers,Cover 1,48.0,30,45,123.00000000000003,544.0,0.22610294117647065,89,580,0.15344827586206897
Buccaneers,Cover 2,32.19999999999999,6,31,69.2,346.0,0.2,47,580,0.08103448275862069
Buccaneers,Cover 3,151.29999999999998,36,141,328.30000000000007,562.0,0.5841637010676157,220,580,0.3793103448275862
Buccaneers,Cover 4,47.899999999999984,0,47,94.89999999999996,347.0,0.2734870317002881,77,580,0.13275862068965516
Buccaneers,Cover 6,6.5,0,4,10.5,101.0,0.10396039603960396,7,580,0.01206896551724138
Buccaneers,Man Cover 2,34.5,0,22,56.5,305.0,0.18524590163934426,40,580,0.06896551724137931
