,team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1520,GB,Sammy Watkins,Cover 4,3.8,0,3,6.8,67.0,0.10149253731343283
1522,NYG,Saquon Barkley,Cover 2,4.1000000000000005,6,4,14.100000000000001,29.0,0.48620689655172417
1523,NYG,Saquon Barkley,Cover 4,4.7,0,7,11.7,29.0,0.40344827586206894
1526,NYG,Saquon Barkley,Screen,8.299999999999999,0,17,25.3,22.0,1.1500000000000001
1530,TB,Scotty Miller,Man Cover 2,0.0,0,0,0.0,13.0,0.0
1532,TB,Scotty Miller,Prevent,1.3,0,1,2.3,3.0,0.7666666666666666
1536,CAR,Shi Smith,Screen,1.8,0,3,4.8,5.0,0.96
1537,MIA,Sony Michel,Cover 2,3.0,0,3,6.0,33.0,0.18181818181818182
1538,MIA,Sony Michel,Cover 4,4.6000000000000005,0,7,11.599999999999998,53.0,0.21886792452830184
1541,MIA,Sony Michel,Screen,2.5000000000000004,0,6,8.5,11.0,0.7727272727272727
1544,BUF,Stefon Diggs,Cover 0,3.6000000000000005,12,3,18.6,12.0,1.55
1545,BUF,Stefon Diggs,Cover 2,13.0,6,8,27.0,71.0,0.38028169014084506
1546,BUF,Stefon Diggs,Cover 4,14.2,6,17,37.199999999999996,88.0,0.4227272727272727
1547,BUF,Stefon Diggs,Cover 6,1.7000000000000002,0,1,2.7,14.0,0.19285714285714287
1548,BUF,Stefon Diggs,Man Cover 2,7.900000000000002,12,8,27.9,33.0,0.8454545454545455
1550,BUF,Stefon Diggs,Screen,6.500000000000001,0,11,17.500000000000004,34.0,0.5147058823529412
1553,NYG,Sterling Shepard,Cover 0,0.8,0,1,1.8,3.0,0.6
1554,NYG,Sterling Shepard,Cover 2,6.6000000000000005,0,4,10.600000000000001,21.0,0.5047619047619049
1556,NYG,Sterling Shepard,Cover 6,4.5,0,4,8.5,19.0,0.4473684210526316
1557,NYG,Sterling Shepard,Man Cover 2,1.4000000000000001,0,2,3.4000000000000004,11.0,0.30909090909090914
1558,NYG,Sterling Shepard,Screen,1.4000000000000001,0,5,6.4,16.0,0.4
1560,DET,T.J. Hockenson,Cover 0,0.0,0,0,0.0,2.0,0.0
1561,DET,T.J. Hockenson,Cover 2,8.3,0,7,15.3,45.0,0.34
1562,DET,T.J. Hockenson,Cover 4,8.100000000000001,0,8,16.1,72.0,0.22361111111111112
1564,DET,T.J. Hockenson,Prevent,1.9,0,2,3.9,5.0,0.78
1565,DET,T.J. Hockenson,Screen,1.8,0,5,6.8,17.0,0.39999999999999997
1567,BUF,Tavon Austin,Combination,0.7000000000000001,0,1,1.7000000000000002,1.0,1.7000000000000002
1570,BUF,Tavon Austin,Cover 4,5.6000000000000005,0,6,11.599999999999998,37.0,0.3135135135135135
1571,BUF,Tavon Austin,Man Cover 2,0.0,0,0,0.0,9.0,0.0
1573,BUF,Tavon Austin,Prevent,1.3,0,1,2.3,1.0,2.3
1574,BUF,Tavon Austin,Screen,1.7000000000000002,0,4,5.700000000000001,11.0,0.5181818181818183
1576,CIN,Tee Higgins,Combination,1.5,0,1,2.5,1.0,2.5
1577,CIN,Tee Higgins,Cover 0,3.1000000000000005,0,2,5.1000000000000005,5.0,1.02
1578,CIN,Tee Higgins,Cover 2,25.700000000000003,0,17,42.699999999999996,81.0,0.5271604938271605
1579,CIN,Tee Higgins,Cover 4,21.900000000000002,6,14,41.900000000000006,80.0,0.52375
1580,CIN,Tee Higgins,Cover 6,1.4,0,2,3.4,23.0,0.14782608695652175
1581,CIN,Tee Higgins,Man Cover 2,5.200000000000001,0,4,9.2,23.0,0.39999999999999997
1583,CIN,Tee Higgins,Other,0.0,0,0,0.0,1.0,0.0
1586,CAR,Terrace Marshall Jr.,Cover 0,0.2,0,1,1.2,3.0,0.39999999999999997
