,nickName,DropType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
56,Falcons,0/1 Step,107,23.679999999999993,28,-3,48.68000000000002,0.45495327102803756
57,Falcons,3 Step,216,57.6,36,-4,89.59999999999997,0.41481481481481464
58,Falcons,5 Step,144,46.24000000000001,32,-2,76.24000000000001,0.5294444444444445
59,Falcons,7 Step,41,14.36,4,-2,16.36,0.3990243902439024
60,Football Team,0/1 Step,141,32.23999999999999,24,-2,54.24,0.3846808510638298
61,Football Team,3 Step,253,79.83999999999996,56,-3,132.83999999999997,0.5250592885375494
62,Football Team,5 Step,118,38.60000000000002,32,-1,69.6,0.5898305084745762
63,Football Team,7 Step,46,14.8,0,-1,13.8,0.3
64,Giants,0/1 Step,83,15.479999999999995,4,-1,18.479999999999997,0.22265060240963852
65,Giants,3 Step,275,72.15999999999995,44,-5,111.16000000000003,0.4042181818181819
66,Giants,5 Step,143,37.96000000000001,28,-6,59.96,0.4193006993006993
67,Giants,7 Step,42,13.839999999999995,12,-2,23.84,0.5676190476190476
68,Jaguars,0/1 Step,95,29.51999999999999,24,0,53.519999999999996,0.5633684210526315
69,Jaguars,3 Step,204,53.51999999999999,32,-2,83.52000000000001,0.4094117647058824
70,Jaguars,5 Step,149,41.599999999999994,12,-5,48.59999999999999,0.3261744966442952
71,Jaguars,7 Step,59,15.799999999999997,4,0,19.799999999999997,0.335593220338983
72,Jets,0/1 Step,109,25.959999999999994,20,-1,44.959999999999994,0.41247706422018343
73,Jets,3 Step,234,62.03999999999998,56,-2,116.03999999999994,0.4958974358974356
74,Jets,5 Step,120,36.56,16,0,52.55999999999999,0.4379999999999999
75,Jets,7 Step,56,24.040000000000006,8,-2,30.04000000000001,0.5364285714285716
76,Lions,0/1 Step,100,20.799999999999997,16,-2,34.8,0.348
77,Lions,3 Step,214,59.12,36,-4,91.12000000000005,0.4257943925233647
78,Lions,5 Step,110,37.120000000000005,24,-2,59.120000000000005,0.5374545454545455
79,Lions,7 Step,61,29.16,4,-2,31.16,0.5108196721311475
80,Packers,0/1 Step,179,39.319999999999986,28,-3,64.32,0.35932960893854743
81,Packers,3 Step,274,63.88000000000001,60,-8,115.88,0.42291970802919704
82,Packers,5 Step,112,31.280000000000005,20,-7,44.27999999999999,0.39535714285714274
83,Packers,7 Step,39,12.44,4,-1,15.439999999999996,0.3958974358974358
84,Panthers,0/1 Step,113,23.8,28,-1,50.8,0.44955752212389377
85,Panthers,3 Step,237,69.23999999999997,44,-6,107.24000000000001,0.4524894514767933
86,Panthers,5 Step,89,18.44,12,-1,29.44,0.3307865168539326
87,Panthers,7 Step,33,9.040000000000001,0,0,9.040000000000001,0.273939393939394
88,Patriots,0/1 Step,114,20.159999999999997,12,-4,28.16,0.24701754385964914
89,Patriots,3 Step,199,54.0,28,-4,77.99999999999999,0.3919597989949748
90,Patriots,5 Step,158,43.11999999999999,20,-8,55.12000000000001,0.34886075949367096
91,Patriots,7 Step,54,13.840000000000002,0,-3,10.840000000000002,0.20074074074074078
92,Raiders,0/1 Step,118,30.799999999999997,20,0,50.80000000000003,0.43050847457627145
93,Raiders,3 Step,277,65.80000000000004,52,-2,115.80000000000003,0.4180505415162456
94,Raiders,5 Step,180,43.8,20,-4,59.8,0.3322222222222222
95,Raiders,7 Step,47,17.76,16,0,33.76,0.7182978723404255
96,Rams,0/1 Step,222,50.680000000000014,20,-2,68.68000000000005,0.3093693693693696
97,Rams,3 Step,338,82.67999999999999,32,-11,103.67999999999999,0.3067455621301775
98,Rams,5 Step,152,48.64000000000001,24,-6,66.64,0.43842105263157893
99,Rams,7 Step,43,13.76,4,-2,15.760000000000002,0.3665116279069768
100,Ravens,0/1 Step,98,25.0,16,-1,39.999999999999986,0.4081632653061223
101,Ravens,3 Step,257,68.15999999999997,48,-4,112.15999999999997,0.4364202334630349
102,Ravens,5 Step,164,57.99999999999999,20,-2,76.00000000000001,0.46341463414634154
103,Ravens,7 Step,75,20.119999999999997,16,-3,33.11999999999999,0.4415999999999999
104,Saints,0/1 Step,129,28.239999999999988,16,-1,43.23999999999999,0.33519379844961233
105,Saints,3 Step,231,61.120000000000026,28,-8,81.12000000000002,0.35116883116883124
106,Saints,5 Step,169,40.36,12,-10,42.35999999999999,0.2506508875739645
107,Saints,7 Step,53,16.279999999999998,0,0,16.279999999999998,0.30716981132075466
108,Seahawks,0/1 Step,142,35.63999999999999,20,-2,53.639999999999965,0.3777464788732392
109,Seahawks,3 Step,266,59.039999999999985,44,-6,97.03999999999995,0.36481203007518775
110,Seahawks,5 Step,135,44.96,8,-3,49.96000000000001,0.3700740740740741
111,Seahawks,7 Step,64,26.56,16,0,42.56000000000001,0.6650000000000001
112,Steelers,0/1 Step,167,40.359999999999985,28,-4,64.36,0.3853892215568862
113,Steelers,3 Step,267,62.43999999999998,32,-9,85.43999999999997,0.3199999999999999
114,Steelers,5 Step,129,47.52000000000002,32,0,79.52,0.6164341085271318
115,Steelers,7 Step,36,13.760000000000002,4,-1,16.759999999999998,0.4655555555555555
116,Texans,0/1 Step,99,28.159999999999993,20,-1,47.15999999999999,0.47636363636363627
117,Texans,3 Step,205,54.00000000000001,28,-6,76.00000000000001,0.3707317073170732
118,Texans,5 Step,127,44.2,20,-7,57.2,0.4503937007874016
119,Texans,7 Step,56,22.599999999999994,16,-3,35.60000000000001,0.6357142857142859
120,Titans,0/1 Step,183,48.119999999999976,20,-1,67.11999999999998,0.3667759562841529
121,Titans,3 Step,304,73.80000000000001,24,-11,86.79999999999998,0.28552631578947363
122,Titans,5 Step,114,33.919999999999995,24,-4,53.92000000000001,0.47298245614035095
123,Titans,7 Step,41,11.479999999999999,4,-4,11.479999999999999,0.27999999999999997
124,Vikings,0/1 Step,114,24.439999999999987,16,-1,39.44,0.34596491228070175
125,Vikings,3 Step,232,71.23999999999997,48,-5,114.23999999999997,0.4924137931034481
126,Vikings,5 Step,188,53.03999999999998,32,-5,80.04,0.4257446808510639
127,Vikings,7 Step,49,15.76,8,-3,20.759999999999998,0.4236734693877551
