,nickName,DropType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
0,49ers,0/1 Step,113,22.71999999999999,8,-1,29.719999999999995,0.2630088495575221
1,49ers,3 Step,312,87.47999999999992,56,-4,139.48000000000002,0.4470512820512821
2,49ers,5 Step,150,40.16000000000001,16,-6,50.16000000000002,0.33440000000000014
3,49ers,7 Step,55,14.04,0,-2,12.04,0.2189090909090909
4,Bears,0/1 Step,118,31.720000000000006,20,-2,49.719999999999985,0.4213559322033897
5,Bears,3 Step,203,49.63999999999999,40,-3,86.63999999999997,0.4267980295566501
6,Bears,5 Step,101,27.24000000000001,24,-1,50.239999999999995,0.49742574257425737
7,Bears,7 Step,46,13.52,12,-1,24.520000000000003,0.5330434782608696
8,Bengals,0/1 Step,177,38.680000000000014,16,-3,51.68000000000003,0.29197740112994364
9,Bengals,3 Step,360,98.15999999999995,56,-6,148.1599999999999,0.4115555555555553
10,Bengals,5 Step,160,39.43999999999999,32,-7,64.44,0.40275
11,Bengals,7 Step,55,21.560000000000006,4,-2,23.560000000000006,0.42836363636363645
12,Bills,0/1 Step,128,29.999999999999996,16,-1,45.0,0.3515625
13,Bills,3 Step,265,59.99999999999999,36,-8,88.00000000000003,0.3320754716981133
14,Bills,5 Step,159,31.519999999999985,0,-11,20.519999999999996,0.12905660377358488
15,Bills,7 Step,48,10.719999999999999,4,-2,12.719999999999999,0.26499999999999996
16,Broncos,0/1 Step,74,14.679999999999996,8,-1,21.68,0.292972972972973
17,Broncos,3 Step,284,67.56000000000002,40,-3,104.55999999999997,0.368169014084507
18,Broncos,5 Step,138,45.67999999999999,28,-6,67.68,0.4904347826086957
19,Broncos,7 Step,39,8.559999999999999,4,-1,11.560000000000002,0.2964102564102565
20,Browns,0/1 Step,160,39.239999999999995,24,-1,62.23999999999998,0.3889999999999999
21,Browns,3 Step,236,46.839999999999996,36,-10,72.84,0.3086440677966102
22,Browns,5 Step,107,31.360000000000003,20,-3,48.36,0.4519626168224299
23,Browns,7 Step,27,4.800000000000001,4,-2,6.800000000000001,0.2518518518518519
24,Buccaneers,0/1 Step,145,29.11999999999999,8,-3,34.119999999999976,0.23531034482758603
25,Buccaneers,3 Step,338,81.35999999999999,28,-7,102.36000000000001,0.3028402366863906
26,Buccaneers,5 Step,168,37.51999999999999,40,-5,72.52,0.43166666666666664
27,Buccaneers,7 Step,54,19.840000000000003,8,-3,24.839999999999996,0.4599999999999999
28,Cardinals,0/1 Step,109,20.03999999999999,12,-2,30.03999999999998,0.2755963302752292
29,Cardinals,3 Step,280,72.11999999999996,52,-4,120.11999999999996,0.4289999999999999
30,Cardinals,5 Step,128,32.12,12,-3,41.11999999999999,0.3212499999999999
31,Cardinals,7 Step,42,18.119999999999997,16,-3,31.120000000000005,0.740952380952381
32,Chargers,0/1 Step,109,23.67999999999999,32,-3,52.67999999999997,0.4833027522935777
33,Chargers,3 Step,263,67.8,40,-4,103.80000000000003,0.3946768060836503
34,Chargers,5 Step,127,42.79999999999999,12,-3,51.79999999999998,0.40787401574803134
35,Chargers,7 Step,42,11.639999999999999,8,-1,18.64,0.4438095238095238
36,Chiefs,0/1 Step,168,45.0,24,-2,66.99999999999999,0.3988095238095237
37,Chiefs,3 Step,317,80.35999999999999,72,-6,146.35999999999996,0.4617034700315456
38,Chiefs,5 Step,136,34.51999999999999,24,-6,52.519999999999996,0.3861764705882353
39,Chiefs,7 Step,56,25.92,4,-2,27.92,0.4985714285714286
40,Colts,0/1 Step,125,26.799999999999997,24,-2,48.79999999999999,0.3903999999999999
41,Colts,3 Step,278,70.03999999999994,64,-10,124.03999999999994,0.446187050359712
42,Colts,5 Step,122,37.59999999999999,32,-5,64.6,0.5295081967213114
43,Colts,7 Step,39,13.4,0,-2,11.4,0.2923076923076923
44,Cowboys,0/1 Step,136,31.039999999999992,28,-5,54.039999999999985,0.39735294117647046
45,Cowboys,3 Step,243,63.07999999999998,40,-10,93.07999999999997,0.3830452674897118
46,Cowboys,5 Step,150,39.03999999999999,12,-7,44.03999999999999,0.29359999999999997
47,Cowboys,7 Step,61,22.479999999999993,8,-6,24.479999999999993,0.40131147540983597
48,Dolphins,0/1 Step,116,22.639999999999993,0,-2,20.639999999999986,0.17793103448275852
49,Dolphins,3 Step,245,66.71999999999997,56,-7,115.71999999999998,0.47232653061224483
50,Dolphins,5 Step,168,44.68,16,-4,56.68000000000001,0.33738095238095245
51,Dolphins,7 Step,57,19.92,4,-1,22.92,0.40210526315789474
52,Eagles,0/1 Step,146,33.04,28,-2,59.040000000000006,0.40438356164383565
53,Eagles,3 Step,264,62.27999999999999,24,-8,78.27999999999996,0.29651515151515134
54,Eagles,5 Step,105,28.76,28,-1,55.759999999999984,0.5310476190476189
55,Eagles,7 Step,64,26.11999999999999,8,-2,32.12,0.501875
