,nickName,touch,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,49ers,91,Left A Gap,39.89999999999999,30,0,69.90000000000002,0.7681318681318684
1,49ers,59,Left D Gap,25.800000000000004,18,0,43.79999999999999,0.742372881355932
2,49ers,72,Left Off-Tackle Gap Unknown,28.599999999999998,12,-1,39.600000000000016,0.5500000000000003
3,49ers,19,Middle,-1.4000000000000001,6,0,4.6000000000000005,0.24210526315789477
4,49ers,86,Right A Gap,28.40000000000001,6,0,34.40000000000001,0.40000000000000013
5,49ers,56,Right D Gap,30.4,12,0,42.39999999999999,0.757142857142857
6,49ers,71,Right Off-Tackle Gap Unknown,22.499999999999996,6,-1,27.500000000000004,0.38732394366197187
7,Bears,51,Left A Gap,17.500000000000004,12,0,29.499999999999996,0.5784313725490196
8,Bears,52,Left D Gap,33.0,12,0,44.999999999999986,0.8653846153846151
9,Bears,81,Left Off-Tackle Gap Unknown,38.59999999999998,12,0,50.599999999999994,0.6246913580246913
10,Bears,18,Middle,-1.5000000000000002,0,-1,-2.5000000000000004,-0.13888888888888892
11,Bears,73,Right A Gap,27.900000000000006,18,0,45.900000000000006,0.6287671232876713
12,Bears,40,Right D Gap,24.999999999999993,18,0,43.0,1.075
13,Bears,67,Right Off-Tackle Gap Unknown,31.900000000000006,6,0,37.89999999999999,0.5656716417910447
14,Bengals,61,Left A Gap,31.199999999999992,0,0,31.199999999999992,0.5114754098360654
15,Bengals,56,Left D Gap,28.1,12,0,40.09999999999998,0.7160714285714282
16,Bengals,82,Left Off-Tackle Gap Unknown,44.70000000000001,24,-1,67.69999999999999,0.8256097560975608
17,Bengals,13,Middle,-1.2000000000000004,0,0,-1.2000000000000004,-0.09230769230769234
18,Bengals,69,Right A Gap,24.199999999999992,18,0,42.19999999999999,0.6115942028985506
19,Bengals,54,Right D Gap,27.9,6,0,33.900000000000006,0.6277777777777779
20,Bengals,78,Right Off-Tackle Gap Unknown,34.1,24,-1,57.1,0.7320512820512821
21,Bills,54,Left A Gap,24.000000000000007,42,0,66.0,1.2222222222222223
22,Bills,53,Left D Gap,22.500000000000007,24,0,46.49999999999999,0.8773584905660377
23,Bills,71,Left Off-Tackle Gap Unknown,35.199999999999996,24,0,59.20000000000001,0.8338028169014086
24,Bills,13,Middle,-0.7999999999999999,6,-1,4.199999999999999,0.32307692307692304
25,Bills,70,Right A Gap,27.100000000000005,6,0,33.10000000000001,0.472857142857143
26,Bills,50,Right D Gap,34.10000000000001,18,0,52.100000000000016,1.0420000000000003
27,Bills,61,Right Off-Tackle Gap Unknown,35.6,0,0,35.6,0.5836065573770493
28,Broncos,43,Left A Gap,24.0,0,0,24.0,0.5581395348837209
29,Broncos,45,Left D Gap,17.900000000000002,0,0,17.900000000000002,0.39777777777777784
30,Broncos,69,Left Off-Tackle Gap Unknown,37.599999999999994,12,0,49.59999999999999,0.7188405797101447
31,Broncos,26,Middle,-0.6000000000000001,6,0,5.400000000000006,0.2076923076923079
