,team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
58,PIT,Anthony McFarland Jr.,Other,1.1,0,1,2.1,2.0,1.05
60,PIT,Anthony Miller,Other,1.9000000000000001,6,4,11.899999999999999,2.0,5.949999999999999
61,PIT,Anthony Miller,Other,1.9000000000000001,6,4,11.899999999999999,1.0,11.899999999999999
63,CLE,Anthony Schwartz,Man,4.7,0,3,7.7,26.0,0.29615384615384616
64,CLE,Anthony Schwartz,Other,0.5,6,1,7.5,5.0,1.5
66,ARI,Antoine Wesley,Man,8.700000000000001,6,9,23.700000000000003,97.0,0.24432989690721651
67,ARI,Antoine Wesley,Other,1.0,6,3,10.0,6.0,1.6666666666666667
68,ARI,Antoine Wesley,Zone,11.100000000000001,6,7,24.099999999999998,12.0,2.0083333333333333
69,WAS,Antonio Gibson,Man,9.0,0,8,17.0,62.0,0.27419354838709675
70,WAS,Antonio Gibson,Other,14.500000000000002,18,21,53.50000000000001,34.0,1.573529411764706
71,WAS,Antonio Gibson,Zone,6.2,0,15,21.2,59.0,0.3593220338983051
72,IND,Ashton Dulin,Man,3.9000000000000004,0,3,6.9,2.0,3.45
73,IND,Ashton Dulin,Other,1.0,6,5,12.0,10.0,1.2
74,IND,Ashton Dulin,Zone,12.400000000000002,6,5,23.400000000000002,8.0,2.9250000000000003
76,ATL,Auden Tate,Other,0.7000000000000001,6,1,7.7,2.0,3.85
78,LAC,Austin Ekeler,Man,24.099999999999998,18,20,62.10000000000001,158.0,0.39303797468354434
79,LAC,Austin Ekeler,Other,22.199999999999996,24,24,70.20000000000002,39.0,1.8000000000000005
80,LAC,Austin Ekeler,Zone,20.3,6,28,54.29999999999999,162.0,0.33518518518518514
81,TEN,Austin Hooper,Man,9.299999999999999,0,10,19.3,127.0,0.1519685039370079
82,TEN,Austin Hooper,Other,10.600000000000001,12,8,30.6,35.0,0.8742857142857143
83,TEN,Austin Hooper,Zone,16.3,6,21,43.30000000000001,115.0,0.3765217391304349
85,LAR,Ben Skowronek,Man,9.100000000000001,0,6,15.100000000000001,19.0,0.7947368421052632
86,LAR,Ben Skowronek,Other,2.3,0,3,5.3,1.0,5.3
89,KC,Blake Bell,Other,3.8,0,4,7.8,5.0,1.56
90,KC,Blake Bell,Zone,2.2,0,4,6.200000000000001,3.0,2.066666666666667
92,PHI,Boston Scott,Other,2.4000000000000004,0,6,8.399999999999999,10.0,0.8399999999999999
94,HOU,Brandin Cooks,Man,41.00000000000001,6,32,79.0,205.0,0.3853658536585366
95,HOU,Brandin Cooks,Other,17.9,12,22,51.9,66.0,0.7863636363636364
96,HOU,Brandin Cooks,Zone,51.099999999999994,18,38,107.10000000000001,232.0,0.4616379310344828
97,SF,Brandon Aiyuk,Man,37.699999999999996,12,25,74.69999999999999,196.0,0.3811224489795918
98,SF,Brandon Aiyuk,Other,11.100000000000001,12,15,38.1,42.0,0.9071428571428571
99,SF,Brandon Aiyuk,Zone,48.400000000000006,6,27,81.39999999999999,210.0,0.3876190476190476
100,LV,Brandon Bolden,Man,11.300000000000002,6,8,25.3,77.0,0.32857142857142857
101,LV,Brandon Bolden,Other,18.7,6,20,44.7,20.0,2.2350000000000003
102,LV,Brandon Bolden,Zone,15.100000000000001,0,18,33.1,76.0,0.4355263157894737
103,CAR,Brandon Zylstra,Man,12.600000000000001,6,7,25.599999999999998,41.0,0.624390243902439
104,CAR,Brandon Zylstra,Other,4.9,0,4,8.9,8.0,1.1125
106,NYJ,Braxton Berrios,Man,13.100000000000001,6,14,33.10000000000001,123.0,0.2691056910569106
107,NYJ,Braxton Berrios,Other,15.8,0,19,34.8,29.0,1.2
108,NYJ,Braxton Berrios,Zone,12.899999999999999,6,14,32.9,58.0,0.5672413793103448
109,TB,Breshad Perriman,Man,11.6,6,6,23.599999999999998,5.0,4.72
110,TB,Breshad Perriman,Other,0.0,0,1,1.0,2.0,0.5
111,TB,Breshad Perriman,Zone,5.600000000000001,0,5,10.600000000000001,3.0,3.5333333333333337
112,HOU,Brevin Jordan,Man,5.2,6,6,17.2,31.0,0.5548387096774193
113,HOU,Brevin Jordan,Other,1.4,6,2,9.4,7.0,1.342857142857143
114,HOU,Brevin Jordan,Zone,11.4,6,13,30.400000000000002,10.0,3.04
116,DET,Brock Wright,Other,0.8,0,2,2.8,2.0,1.4
118,ATL,Bryan Edwards,Man,42.6,18,23,83.60000000000001,212.0,0.39433962264150946
119,ATL,Bryan Edwards,Other,2.2,6,3,11.2,19.0,0.5894736842105263
120,ATL,Bryan Edwards,Zone,19.000000000000007,0,13,32.0,228.0,0.14035087719298245
122,LAR,Brycen Hopkins,Other,0.9,0,1,1.9,1.0,1.9
124,CHI,Byron Pringle,Man,26.8,18,22,66.79999999999998,150.0,0.4453333333333332
125,CHI,Byron Pringle,Other,7.3,18,5,30.3,10.0,3.0300000000000002
126,CHI,Byron Pringle,Zone,30.900000000000006,12,27,69.9,176.0,0.39715909090909096
128,NYG,C.J. Board,Other,0.2,0,1,1.2,1.0,1.2
132,MIN,C.J. Ham,Zone,6.6000000000000005,0,12,18.6,6.0,3.1
134,NYJ,C.J. Uzomah,Man,30.4,24,22,76.40000000000002,204.0,0.37450980392156874
135,NYJ,C.J. Uzomah,Other,12.399999999999999,12,12,36.400000000000006,25.0,1.4560000000000002
136,NYJ,C.J. Uzomah,Zone,21.1,0,30,51.100000000000016,190.0,0.2689473684210527
140,WAS,Cam Sims,Man,4.3,0,3,7.3,3.0,2.433333333333333
141,WAS,Cam Sims,Other,3.2,6,3,12.2,17.0,0.7176470588235294
142,WAS,Cam Sims,Zone,13.600000000000001,6,9,28.6,5.0,5.720000000000001
144,ATL,Cameron Batson,Other,0.2,6,1,7.2,1.0,7.2
146,TB,Cameron Brate,Man,8.100000000000001,6,9,23.099999999999998,133.0,0.17368421052631577
147,TB,Cameron Brate,Other,6.999999999999999,18,9,34.0,34.0,1.0
148,TB,Cameron Brate,Zone,13.2,0,16,29.200000000000003,113.0,0.2584070796460177
149,DAL,CeeDee Lamb,Man,42.89999999999999,30,28,100.9,240.0,0.4204166666666667
150,DAL,CeeDee Lamb,Other,12.100000000000001,6,12,30.099999999999994,33.0,0.912121212121212
151,DAL,CeeDee Lamb,Zone,66.30000000000001,0,44,110.3,221.0,0.4990950226244344
154,PIT,Chase Claypool,Man,47.89999999999999,6,28,81.89999999999999,223.0,0.36726457399103135
155,PIT,Chase Claypool,Other,5.2,0,11,16.2,62.0,0.26129032258064516
156,PIT,Chase Claypool,Zone,36.1,6,25,67.1,188.0,0.3569148936170212
157,MIA,Chase Edmonds,Man,11.0,0,17,28.0,91.0,0.3076923076923077
158,MIA,Chase Edmonds,Other,11.600000000000003,0,15,26.6,32.0,0.83125
