playerName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Player,RouteType,Routes Run,FP/routes
A.J. Brown,Comeback,3.8,0,3,6.8,A.J. Brown,Comeback,9.0,0.7555555555555555
A.J. Brown,Corner,2.1,0,1,3.1,A.J. Brown,Corner,23.0,0.13478260869565217
A.J. Brown,Curl,14.600000000000001,0,13,27.6,A.J. Brown,Curl,51.0,0.5411764705882354
A.J. Brown,Dig,18.0,6,11,35.0,A.J. Brown,Dig,62.0,0.5645161290322581
A.J. Brown,Out,10.0,0,8,18.0,A.J. Brown,Out,59.0,0.3050847457627119
A.J. Brown,Post,11.0,0,3,14.0,A.J. Brown,Post,19.0,0.7368421052631579
A.J. Brown,Slant,27.3,12,14,53.300000000000004,A.J. Brown,Slant,55.0,0.9690909090909091
A.J. Green,Comeback,0.30000000000000004,6,1,7.3,A.J. Green,Comeback,6.0,1.2166666666666666
A.J. Green,Corner,1.9000000000000001,0,1,2.9000000000000004,A.J. Green,Corner,27.0,0.10740740740740742
A.J. Green,Curl,10.200000000000001,0,13,23.200000000000003,A.J. Green,Curl,80.0,0.29000000000000004
A.J. Green,Dig,1.3,0,1,2.3,A.J. Green,Dig,55.0,0.04181818181818182
A.J. Green,Out,5.0,0,6,11.0,A.J. Green,Out,47.0,0.23404255319148937
A.J. Green,Post,3.5,0,2,5.5,A.J. Green,Post,60.0,0.09166666666666666
A.J. Green,Slant,16.0,6,15,37.0,A.J. Green,Slant,53.0,0.6981132075471698
Aaron Jones,Curl,3.6,0,6,9.6,Aaron Jones,Curl,33.0,0.2909090909090909
Adam Humphries,Comeback,2.0,0,2,4.0,Adam Humphries,Comeback,7.0,0.5714285714285714
Adam Humphries,Corner,2.3000000000000003,0,1,3.3000000000000003,Adam Humphries,Corner,5.0,0.66
Adam Humphries,Curl,6.7,0,8,14.700000000000001,Adam Humphries,Curl,31.0,0.4741935483870968
Adam Humphries,Out,3.6999999999999997,0,5,8.7,Adam Humphries,Out,30.0,0.29
Adam Humphries,Post,1.8,6,1,8.8,Adam Humphries,Post,6.0,1.4666666666666668
Adam Humphries,Slant,2.8,0,3,5.8,Adam Humphries,Slant,14.0,0.41428571428571426
Adam Shaheen,Corner,0.0,0,0,0.0,Adam Shaheen,Corner,12.0,0.0
Adam Shaheen,Post,1.9000000000000001,0,1,2.9000000000000004,Adam Shaheen,Post,2.0,1.4500000000000002
Adam Thielen,Comeback,6.0,0,5,11.0,Adam Thielen,Comeback,13.0,0.8461538461538461
Adam Thielen,Corner,6.5,12,3,21.5,Adam Thielen,Corner,40.0,0.5375
Adam Thielen,Curl,11.100000000000001,0,10,21.1,Adam Thielen,Curl,68.0,0.31029411764705883
Adam Thielen,Dig,7.1,0,5,12.1,Adam Thielen,Dig,58.0,0.20862068965517241
Adam Thielen,Out,14.000000000000004,18,15,47.0,Adam Thielen,Out,58.0,0.8103448275862069
Adam Thielen,Post,1.5,0,1,2.5,Adam Thielen,Post,29.0,0.08620689655172414
Adam Thielen,Slant,4.3999999999999995,0,5,9.4,Adam Thielen,Slant,37.0,0.25405405405405407
Adam Trautman,Corner,5.800000000000001,0,2,7.800000000000001,Adam Trautman,Corner,15.0,0.52
Albert Okwuegbunam,Corner,0.0,0,0,0.0,Albert Okwuegbunam,Corner,5.0,0.0
Alec Ingold,Corner,2.3000000000000003,0,1,3.3000000000000003,Alec Ingold,Corner,1.0,3.3000000000000003
Alex Erickson,Curl,2.4000000000000004,0,3,5.4,Alex Erickson,Curl,16.0,0.3375
Alex Erickson,Dig,0.0,0,0,0.0,Alex Erickson,Dig,15.0,0.0
Alex Erickson,Post,4.2,0,1,5.2,Alex Erickson,Post,4.0,1.3
Alex Erickson,Slant,1.7000000000000002,0,2,3.7,Alex Erickson,Slant,9.0,0.41111111111111115
Alexander Mattison,Dig,1.4,0,2,3.4,Alexander Mattison,Dig,5.0,0.6799999999999999
Allen Lazard,Corner,4.800000000000001,0,1,5.800000000000001,Allen Lazard,Corner,9.0,0.6444444444444445
Allen Lazard,Dig,3.1,0,2,5.1,Allen Lazard,Dig,22.0,0.2318181818181818
Allen Lazard,Out,7.300000000000001,0,8,15.299999999999997,Allen Lazard,Out,34.0,0.4499999999999999
Allen Lazard,Post,13.0,6,2,21.0,Allen Lazard,Post,18.0,1.1666666666666667
Allen Lazard,Slant,0.0,0,0,0.0,Allen Lazard,Slant,24.0,0.0
Allen Robinson,Corner,4.1000000000000005,6,2,12.100000000000001,Allen Robinson,Corner,35.0,0.34571428571428575
Allen Robinson,Curl,17.8,12,21,50.80000000000001,Allen Robinson,Curl,102.0,0.49803921568627463
Allen Robinson,Dig,9.5,0,6,15.5,Allen Robinson,Dig,54.0,0.28703703703703703
Allen Robinson,Out,12.200000000000001,0,14,26.2,Allen Robinson,Out,66.0,0.396969696969697
Allen Robinson,Post,14.8,0,7,21.8,Allen Robinson,Post,28.0,0.7785714285714286
Allen Robinson,Slant,30.800000000000004,12,28,70.8,Allen Robinson,Slant,83.0,0.8530120481927711
Alshon Jeffery,Comeback,1.3,0,1,2.3,Alshon Jeffery,Comeback,6.0,0.3833333333333333
Alshon Jeffery,Out,4.5,0,2,6.5,Alshon Jeffery,Out,8.0,0.8125
Alshon Jeffery,Post,0.0,0,0,0.0,Alshon Jeffery,Post,16.0,0.0
