team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
GB,Aaron Jones,Duo,16,6.500000000000001,12,0,18.499999999999996,1.1562499999999998,16,173,0.09248554913294797
GB,Aaron Jones,Pull Across,11,3.5,0,0,3.5,0.3181818181818182,11,173,0.06358381502890173
GB,Aaron Jones,Split Zone,18,5.5,0,0,5.5,0.3055555555555556,18,173,0.10404624277456648
GB,Aaron Jones,Zone,128,66.90000000000006,12,-1,77.90000000000003,0.6085937500000003,128,173,0.7398843930635838
GB,Aaron Rodgers,Pass Protection,14,10.200000000000001,12,0,22.2,1.5857142857142856,14,30,0.4666666666666667
GB,Aaron Rodgers,Zone,16,-0.4999999999999999,6,0,5.500000000000001,0.34375000000000006,16,30,0.5333333333333333
MIN,Alexander Mattison,Pull Across,9,3.1,6,0,9.1,1.011111111111111,9,124,0.07258064516129033
MIN,Alexander Mattison,Split Zone,15,8.8,0,0,8.8,0.5866666666666667,15,124,0.12096774193548387
MIN,Alexander Mattison,Zone,100,35.20000000000001,12,-1,46.199999999999996,0.46199999999999997,100,124,0.8064516129032258
NO,Alvin Kamara,Duo,28,10.400000000000004,6,0,16.400000000000002,0.5857142857142857,28,235,0.11914893617021277
NO,Alvin Kamara,Pass Protection,6,1.3,0,0,1.3,0.21666666666666667,6,235,0.02553191489361702
NO,Alvin Kamara,Pull Across,24,7.800000000000001,0,0,7.800000000000001,0.325,24,235,0.10212765957446808
NO,Alvin Kamara,Pull Front,13,7.1000000000000005,0,0,7.1000000000000005,0.5461538461538462,13,235,0.05531914893617021
NO,Alvin Kamara,Pull Outside Numbers,8,5.200000000000001,0,0,5.200000000000001,0.6500000000000001,8,235,0.03404255319148936
NO,Alvin Kamara,Split Zone,26,9.700000000000001,6,0,15.700000000000005,0.603846153846154,26,235,0.11063829787234042
NO,Alvin Kamara,Zone,130,50.599999999999994,6,0,56.599999999999994,0.4353846153846153,130,235,0.5531914893617021
NO,Andy Dalton,Pass Protection,10,7.600000000000001,0,0,7.600000000000001,0.7600000000000001,10,10,1.0
WAS,Antonio Gibson,Duo,8,0.8000000000000002,0,0,0.8000000000000002,0.10000000000000002,8,253,0.03162055335968379
WAS,Antonio Gibson,Pull 2,9,4.6000000000000005,0,0,4.6000000000000005,0.5111111111111112,9,253,0.03557312252964427
WAS,Antonio Gibson,Pull Across,28,10.599999999999996,0,0,10.599999999999996,0.37857142857142845,28,253,0.11067193675889328
WAS,Antonio Gibson,Pull Outside Numbers,10,4.1000000000000005,0,0,4.1000000000000005,0.41000000000000003,10,253,0.039525691699604744
WAS,Antonio Gibson,Split Zone,46,18.299999999999997,0,-1,17.3,0.3760869565217391,46,253,0.18181818181818182
WAS,Antonio Gibson,Zone,152,64.70000000000003,42,-2,104.70000000000003,0.6888157894736844,152,253,0.6007905138339921
LAC,Austin Ekeler,Duo,25,10.800000000000002,18,0,28.800000000000004,1.1520000000000001,25,192,0.13020833333333334
LAC,Austin Ekeler,Pull Across,26,9.000000000000002,18,0,26.999999999999996,1.0384615384615383,26,192,0.13541666666666666
LAC,Austin Ekeler,Pull Front,6,2.2,6,0,8.2,1.3666666666666665,6,192,0.03125
LAC,Austin Ekeler,Split Zone,29,11.2,18,0,29.199999999999992,1.0068965517241377,29,192,0.15104166666666666
LAC,Austin Ekeler,Zone,106,53.3,12,0,65.3,0.6160377358490565,106,192,0.5520833333333334
CAR,Baker Mayfield,Pass Protection,14,10.200000000000001,6,0,16.199999999999996,1.1571428571428568,14,32,0.4375
CAR,Baker Mayfield,Slide Right,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334,6,32,0.1875
CAR,Baker Mayfield,Zone,12,0.30000000000000004,0,0,0.30000000000000004,0.025000000000000005,12,32,0.375
TB,Blaine Gabbert,Zone,9,-0.7,0,0,-0.7,-0.07777777777777778,9,9,1.0
PHI,Boston Scott,Pull Across,7,4.199999999999999,6,0,10.2,1.457142857142857,7,77,0.09090909090909091
PHI,Boston Scott,Pull Front,9,7.900000000000001,6,-1,12.9,1.4333333333333333,9,77,0.11688311688311688
PHI,Boston Scott,Split Zone,10,7.6000000000000005,6,0,13.6,1.3599999999999999,10,77,0.12987012987012986
PHI,Boston Scott,Zone,51,19.200000000000006,30,0,49.19999999999999,0.964705882352941,51,77,0.6623376623376623
CIN,Brandon Allen,Zone,6,-0.09999999999999998,0,0,-0.09999999999999998,-0.016666666666666663,6,6,1.0
LV,Brandon Bolden,Duo,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334,6,35,0.17142857142857143
LV,Brandon Bolden,Pull Across,13,7.500000000000001,0,0,7.500000000000001,0.576923076923077,13,35,0.37142857142857144
LV,Brandon Bolden,Zone,16,7.500000000000001,6,0,13.5,0.84375,16,35,0.45714285714285713
NE,Brian Hoyer,Zone,11,-0.7999999999999999,0,0,-0.7999999999999999,-0.07272727272727272,11,11,1.0
LAR,Cam Akers,Duo,11,3.1000000000000005,0,0,3.1000000000000005,0.28181818181818186,11,70,0.15714285714285714
LAR,Cam Akers,Split Zone,11,3.4000000000000004,0,0,3.4000000000000004,0.30909090909090914,11,70,0.15714285714285714
LAR,Cam Akers,Zone,48,12.700000000000003,0,-2,10.700000000000001,0.22291666666666668,48,70,0.6857142857142857
WAS,Carson Wentz,Pass Protection,22,15.6,0,0,15.6,0.7090909090909091,22,49,0.4489795918367347
WAS,Carson Wentz,Zone,27,1.7000000000000002,6,-1,6.700000000000002,0.24814814814814823,27,49,0.5510204081632653
BUF,Case Keenum,Zone,8,0.30000000000000004,0,0,0.30000000000000004,0.037500000000000006,8,8,1.0
DAL,CeeDee Lamb,Zone,6,5.0,0,0,5.0,0.8333333333333334,6,6,1.0
KC,Chad Henne,Zone,7,-0.4,0,0,-0.4,-0.05714285714285715,7,7,1.0
PIT,Chase Claypool,Zone,10,4.4,0,0,4.4,0.44000000000000006,10,10,1.0
MIA,Chase Edmonds,Pass Protection,8,4.000000000000001,0,0,4.000000000000001,0.5000000000000001,8,110,0.07272727272727272
MIA,Chase Edmonds,Pull Across,14,7.300000000000001,6,0,13.299999999999997,0.9499999999999998,14,110,0.12727272727272726
MIA,Chase Edmonds,Split Zone,13,3.3000000000000007,6,0,9.3,0.7153846153846154,13,110,0.11818181818181818
MIA,Chase Edmonds,Zone,75,42.00000000000002,0,0,42.00000000000002,0.5600000000000003,75,110,0.6818181818181818
SEA,Chris Carson,Pull Across,6,3.3000000000000003,0,0,3.3000000000000003,0.55,6,42,0.14285714285714285
SEA,Chris Carson,Zone,36,17.000000000000004,18,-1,34.00000000000001,0.9444444444444446,36,42,0.8571428571428571
CIN,Chris Evans,Zone,12,5.6000000000000005,0,0,5.6000000000000005,0.46666666666666673,12,12,1.0
CAR,Christian McCaffrey,Duo,16,7.800000000000001,0,0,7.800000000000001,0.48750000000000004,16,90,0.17777777777777778
CAR,Christian McCaffrey,Pull 2,7,3.1999999999999997,0,0,3.1999999999999997,0.45714285714285713,7,90,0.07777777777777778
CAR,Christian McCaffrey,Pull Across,11,5.300000000000001,0,0,5.300000000000001,0.48181818181818187,11,90,0.12222222222222222
CAR,Christian McCaffrey,Zone,56,24.599999999999994,6,0,30.59999999999999,0.5464285714285713,56,90,0.6222222222222222
