,nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1,49ers,Cover 0,2.4,6,2,10.4,39.0,0.26666666666666666
2,49ers,Cover 2,40.49999999999999,6,33,79.49999999999997,279.0,0.2849462365591397
3,49ers,Cover 4,108.20000000000003,12,89,209.2000000000001,249.0,0.8401606425702816
4,49ers,Cover 6,21.000000000000004,12,25,58.0,43.0,1.3488372093023255
5,49ers,Man Cover 2,8.7,6,7,21.7,94.0,0.23085106382978723
7,49ers,Other,2.5,0,3,5.5,5.0,1.1
8,49ers,Prevent,3.3000000000000003,0,3,6.300000000000001,3.0,2.1
9,49ers,Screen,46.600000000000016,12,88,146.59999999999994,121.0,1.2115702479338837
11,Bears,Cover 0,5.699999999999999,0,5,10.7,56.0,0.19107142857142856
12,Bears,Cover 2,39.4,6,36,81.39999999999999,196.0,0.4153061224489796
13,Bears,Cover 4,60.099999999999994,30,51,141.10000000000002,485.0,0.29092783505154646
14,Bears,Cover 6,12.500000000000002,0,9,21.5,41.0,0.524390243902439
15,Bears,Man Cover 2,16.2,18,15,49.2,60.0,0.8200000000000001
17,Bears,Other,1.7000000000000002,6,2,9.7,13.0,0.7461538461538461
18,Bears,Prevent,2.2,0,2,4.2,73.0,0.057534246575342465
19,Bears,Screen,41.20000000000001,6,53,100.20000000000003,69.0,1.4521739130434788
21,Bengals,Combination,1.2000000000000002,6,1,8.2,4.0,2.05
22,Bengals,Cover 0,10.700000000000001,12,9,31.700000000000003,15.0,2.1133333333333337
23,Bengals,Cover 2,50.80000000000002,0,45,95.80000000000003,420.0,0.22809523809523816
24,Bengals,Cover 4,87.3,54,69,210.29999999999995,412.0,0.5104368932038834
25,Bengals,Cover 6,12.900000000000002,0,12,24.900000000000006,90.0,0.2766666666666667
26,Bengals,Man Cover 2,26.399999999999995,0,23,49.4,106.0,0.4660377358490566
28,Bengals,Other,1.0,0,1,2.0,10.0,0.2
29,Bengals,Prevent,7.4,0,7,14.399999999999999,9.0,1.5999999999999999
30,Bengals,Screen,26.199999999999996,18,54,98.2,94.0,1.04468085106383
32,Bills,Combination,1.3,6,1,8.3,4.0,2.075
33,Bills,Cover 0,7.2,18,6,31.2,33.0,0.9454545454545454
34,Bills,Cover 2,42.5,0,44,86.49999999999999,359.0,0.24094707520891362
35,Bills,Cover 4,56.09999999999998,12,66,134.10000000000002,362.0,0.3704419889502763
36,Bills,Cover 6,7.9,0,7,14.899999999999999,51.0,0.292156862745098
37,Bills,Man Cover 2,26.900000000000006,6,19,51.9,158.0,0.3284810126582278
39,Bills,Other,2.6,0,1,3.6,9.0,0.4
40,Bills,Prevent,5.2,0,3,8.2,3.0,2.733333333333333
41,Bills,Screen,47.3,12,60,119.29999999999998,145.0,0.8227586206896551
43,Broncos,Combination,2.3000000000000003,0,4,6.300000000000001,27.0,0.23333333333333336
44,Broncos,Cover 0,11.8,6,10,27.799999999999997,23.0,1.208695652173913
45,Broncos,Cover 2,26.6,0,21,47.599999999999994,266.0,0.1789473684210526
46,Broncos,Cover 4,58.99999999999999,24,50,133.00000000000003,266.0,0.5000000000000001
47,Broncos,Cover 6,29.100000000000005,0,29,58.1,28.0,2.075
48,Broncos,Man Cover 2,31.7,12,19,62.69999999999999,101.0,0.6207920792079207
50,Broncos,Other,0.0,0,0,0.0,9.0,0.0
51,Broncos,Prevent,4.300000000000001,0,2,6.300000000000001,57.0,0.1105263157894737
52,Broncos,Screen,36.2,0,39,75.2,29.0,2.5931034482758624
53,Browns,Cover 0,7.500000000000001,12,5,24.5,18.0,1.3611111111111112
54,Browns,Cover 2,19.899999999999995,0,27,46.9,103.0,0.4553398058252427
55,Browns,Cover 4,93.8,36,83,212.8,172.0,1.2372093023255815
56,Browns,Cover 6,20.900000000000002,6,15,41.900000000000006,29.0,1.4448275862068967
57,Browns,Man Cover 2,14.8,0,13,27.8,157.0,0.17707006369426753
60,Browns,Prevent,3.0,0,3,6.0,18.0,0.3333333333333333
61,Browns,Screen,44.69999999999998,24,68,136.70000000000002,116.0,1.1784482758620691
63,Buccaneers,Combination,2.0,0,1,3.0,18.0,0.16666666666666666
64,Buccaneers,Cover 0,13.5,12,11,36.5,38.0,0.9605263157894737
65,Buccaneers,Cover 2,37.4,12,35,84.40000000000002,346.0,0.24393063583815033
66,Buccaneers,Cover 4,62.09999999999998,6,62,130.10000000000002,347.0,0.37492795389049
67,Buccaneers,Cover 6,8.9,0,7,15.900000000000002,101.0,0.15742574257425745
68,Buccaneers,Man Cover 2,36.7,0,25,61.7,305.0,0.20229508196721313
70,Buccaneers,Prevent,2.8000000000000003,0,2,4.800000000000001,33.0,0.14545454545454548
71,Buccaneers,Screen,63.3,12,86,161.29999999999995,168.0,0.9601190476190473
73,Cardinals,Cover 0,8.0,18,13,39.00000000000001,53.0,0.7358490566037738
74,Cardinals,Cover 2,19.5,6,22,47.500000000000014,344.0,0.13808139534883726
75,Cardinals,Cover 4,56.7,12,55,123.69999999999997,235.0,0.5263829787234041
76,Cardinals,Cover 6,6.9,0,9,15.899999999999999,104.0,0.15288461538461537
77,Cardinals,Man Cover 2,27.400000000000002,6,20,53.400000000000006,59.0,0.9050847457627119
79,Cardinals,Other,7.200000000000001,0,4,11.2,10.0,1.1199999999999999
80,Cardinals,Prevent,5.7,6,1,12.7,12.0,1.0583333333333333
81,Cardinals,Screen,38.90000000000001,0,65,103.89999999999999,156.0,0.666025641025641
83,Chargers,Combination,1.2000000000000002,0,2,3.2,14.0,0.2285714285714286
84,Chargers,Cover 0,0.0,6,2,8.0,56.0,0.14285714285714285
85,Chargers,Cover 2,36.800000000000004,6,40,82.80000000000001,350.0,0.2365714285714286
86,Chargers,Cover 4,67.00000000000003,6,50,122.99999999999997,398.0,0.3090452261306532
87,Chargers,Cover 6,26.5,6,15,47.5,73.0,0.6506849315068494
88,Chargers,Man Cover 2,19.6,0,16,35.6,124.0,0.2870967741935484
90,Chargers,Other,0.0,0,0,0.0,9.0,0.0
91,Chargers,Prevent,5.4,0,3,8.4,17.0,0.49411764705882355
92,Chargers,Screen,25.39999999999999,24,42,91.40000000000003,73.0,1.2520547945205485
94,Chiefs,Combination,3.4000000000000004,0,2,5.4,20.0,0.27
95,Chiefs,Cover 0,20.0,18,17,55.000000000000014,2.0,27.500000000000007
96,Chiefs,Cover 2,125.30000000000003,18,109,252.3,382.0,0.6604712041884817
97,Chiefs,Cover 4,54.7,0,39,93.70000000000002,459.0,0.2041394335511983
98,Chiefs,Cover 6,26.300000000000004,6,22,54.300000000000004,117.0,0.4641025641025641
99,Chiefs,Man Cover 2,23.9,12,24,59.900000000000006,341.0,0.17565982404692085
102,Chiefs,Prevent,3.4000000000000004,0,1,4.4,18.0,0.24444444444444446
103,Chiefs,Screen,45.800000000000026,6,62,113.80000000000001,177.0,0.6429378531073447
105,Colts,Combination,1.1,0,1,2.1,5.0,0.42000000000000004
106,Colts,Cover 0,9.7,18,4,31.7,35.0,0.9057142857142857
107,Colts,Cover 2,58.50000000000001,6,54,118.50000000000001,188.0,0.6303191489361702
108,Colts,Cover 4,82.50000000000003,0,76,158.50000000000009,336.0,0.47172619047619074
109,Colts,Cover 6,13.3,12,14,39.300000000000004,61.0,0.6442622950819673
110,Colts,Man Cover 2,12.000000000000002,6,10,28.0,45.0,0.6222222222222222
112,Colts,Other,0.0,0,0,0.0,3.0,0.0
113,Colts,Prevent,3.7,0,3,6.7,23.0,0.29130434782608694
114,Colts,Screen,30.900000000000002,0,47,77.89999999999999,119.0,0.6546218487394957
116,Cowboys,Combination,1.0,0,2,3.0,4.0,0.75
117,Cowboys,Cover 0,7.2,6,5,18.2,80.0,0.22749999999999998
118,Cowboys,Cover 2,23.5,0,24,47.50000000000001,400.0,0.11875000000000002
119,Cowboys,Cover 4,43.8,12,45,100.79999999999998,365.0,0.2761643835616438
120,Cowboys,Cover 6,3.8000000000000003,0,6,9.799999999999999,62.0,0.15806451612903225
121,Cowboys,Man Cover 2,13.0,6,8,27.0,97.0,0.27835051546391754
123,Cowboys,Other,2.3000000000000003,0,1,3.3000000000000003,1.0,3.3000000000000003
124,Cowboys,Prevent,0.0,0,0,0.0,1.0,0.0
125,Cowboys,Screen,38.900000000000006,12,60,110.90000000000002,115.0,0.9643478260869567
128,Dolphins,Cover 0,23.4,6,15,44.400000000000006,36.0,1.2333333333333334
129,Dolphins,Cover 2,25.200000000000003,6,21,52.2,253.0,0.20632411067193676
130,Dolphins,Cover 4,50.699999999999996,0,42,92.69999999999999,348.0,0.26637931034482754
131,Dolphins,Man Cover 2,17.8,18,11,46.8,75.0,0.624
134,Dolphins,Prevent,7.800000000000001,0,7,14.8,8.0,1.85
135,Dolphins,Screen,35.7,0,58,93.70000000000002,59.0,1.5881355932203394
137,Eagles,Combination,4.200000000000001,0,5,9.200000000000001,20.0,0.4600000000000001
138,Eagles,Cover 0,7.800000000000001,0,5,12.8,39.0,0.3282051282051282
139,Eagles,Cover 2,69.69999999999996,18,72,159.69999999999996,131.0,1.2190839694656486
140,Eagles,Cover 4,75.20000000000003,12,75,162.20000000000002,183.0,0.8863387978142078
141,Eagles,Cover 6,14.100000000000003,6,16,36.099999999999994,37.0,0.9756756756756755
142,Eagles,Man Cover 2,12.499999999999998,0,10,22.5,69.0,0.32608695652173914
145,Eagles,Screen,39.6,18,73,130.59999999999997,177.0,0.7378531073446326
147,Falcons,Combination,3.6,6,2,11.6,5.0,2.32
148,Falcons,Cover 0,3.6,18,7,28.6,3.0,9.533333333333333
149,Falcons,Cover 2,70.89999999999998,12,63,145.90000000000006,281.0,0.5192170818505341
150,Falcons,Cover 4,27.100000000000005,0,26,53.10000000000001,295.0,0.18000000000000002
151,Falcons,Cover 6,2.7,0,3,5.7,26.0,0.21923076923076923
152,Falcons,Man Cover 2,12.0,12,9,33.0,67.0,0.4925373134328358
154,Falcons,Other,2.1,0,1,3.1,5.0,0.62
155,Falcons,Prevent,0.0,0,0,0.0,10.0,0.0
156,Falcons,Screen,50.300000000000004,6,68,124.29999999999997,53.0,2.345283018867924
158,Football Team,Cover 0,9.900000000000002,0,6,15.900000000000002,26.0,0.6115384615384616
159,Football Team,Cover 2,58.2,12,52,122.20000000000002,240.0,0.5091666666666668
160,Football Team,Cover 4,95.50000000000001,30,77,202.49999999999994,301.0,0.6727574750830563
161,Football Team,Cover 6,9.200000000000001,0,7,16.2,58.0,0.2793103448275862
162,Football Team,Man Cover 2,6.6000000000000005,6,8,20.6,68.0,0.30294117647058827
165,Football Team,Prevent,4.0,0,3,7.000000000000001,23.0,0.30434782608695654
166,Football Team,Screen,31.199999999999996,0,51,82.19999999999999,109.0,0.7541284403669724
168,Giants,Combination,0.4,6,1,7.4,22.0,0.33636363636363636
169,Giants,Cover 0,0.0,0,0,0.0,20.0,0.0
170,Giants,Cover 2,27.3,6,24,57.29999999999999,204.0,0.2808823529411764
171,Giants,Cover 4,95.7,12,94,201.69999999999996,257.0,0.7848249027237353
172,Giants,Cover 6,8.4,0,13,21.400000000000002,102.0,0.20980392156862748
173,Giants,Man Cover 2,14.700000000000003,0,16,30.700000000000003,112.0,0.2741071428571429
176,Giants,Prevent,0.0,0,0,0.0,10.0,0.0
177,Giants,Screen,48.29999999999998,6,66,120.29999999999998,125.0,0.9623999999999998
179,Jaguars,Cover 0,8.3,6,7,21.3,36.0,0.5916666666666667
180,Jaguars,Cover 2,51.5,0,48,99.49999999999999,293.0,0.33959044368600677
181,Jaguars,Cover 4,55.49999999999999,0,44,99.50000000000001,287.0,0.3466898954703833
182,Jaguars,Cover 6,1.9000000000000001,0,3,4.9,41.0,0.11951219512195123
183,Jaguars,Man Cover 2,14.300000000000002,0,11,25.3,64.0,0.3953125
185,Jaguars,Prevent,3.8,0,2,5.8,22.0,0.2636363636363636
186,Jaguars,Screen,33.0,6,45,84.00000000000003,95.0,0.8842105263157898
188,Jets,Combination,2.1,0,2,4.1000000000000005,9.0,0.4555555555555556
189,Jets,Cover 0,4.9,18,5,27.900000000000002,39.0,0.7153846153846154
190,Jets,Cover 2,12.500000000000002,0,20,32.50000000000001,322.0,0.10093167701863356
191,Jets,Cover 4,94.10000000000001,24,72,190.09999999999997,264.0,0.7200757575757575
192,Jets,Cover 6,26.500000000000004,6,26,58.5,63.0,0.9285714285714286
193,Jets,Man Cover 2,3.9000000000000004,0,3,6.8999999999999995,85.0,0.0811764705882353
194,Jets,Prevent,0.5,0,1,1.5,4.0,0.375
195,Jets,Screen,52.60000000000001,18,63,133.59999999999997,96.0,1.3916666666666664
196,Lions,Combination,3.8000000000000007,0,3,6.800000000000001,5.0,1.36
197,Lions,Cover 0,6.2,12,5,23.2,17.0,1.3647058823529412
198,Lions,Cover 2,40.6,0,41,81.60000000000002,197.0,0.41421319796954326
199,Lions,Cover 4,64.30000000000001,6,51,121.30000000000003,357.0,0.33977591036414573
200,Lions,Cover 6,16.900000000000002,0,10,26.9,68.0,0.39558823529411763
