,nickName,route,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,1.0,29,5.680000000000001,0,0,5.680000000000001,0.19586206896551725,29,336,0.08630952380952381
1,49ers,2.0,46,11.360000000000003,12,-1,22.360000000000003,0.4860869565217392,46,336,0.13690476190476192
2,49ers,3.0,8,2.04,0,0,2.04,0.255,8,336,0.023809523809523808
3,49ers,4.0,69,16.759999999999994,4,-2,18.759999999999998,0.27188405797101445,69,336,0.20535714285714285
4,49ers,5.0,46,9.879999999999999,0,-2,7.8800000000000034,0.17130434782608703,46,336,0.13690476190476192
5,49ers,6.0,24,11.24,4,0,15.24,0.635,24,336,0.07142857142857142
6,49ers,7.0,11,3.12,0,-1,2.12,0.19272727272727275,11,336,0.03273809523809524
7,49ers,8.0,3,0.4,4,0,4.4,1.4666666666666668,3,336,0.008928571428571428
8,49ers,9.0,45,14.76,20,-1,33.76,0.7502222222222221,45,336,0.13392857142857142
9,49ers,10.0,36,6.160000000000001,4,0,10.159999999999997,0.28222222222222215,36,336,0.10714285714285714
10,49ers,11.0,19,4.16,4,0,8.16,0.42947368421052634,19,336,0.05654761904761905
11,Bears,1.0,31,6.080000000000001,4,0,10.079999999999998,0.32516129032258057,31,353,0.08781869688385269
12,Bears,2.0,55,16.959999999999997,12,0,28.959999999999994,0.5265454545454544,55,353,0.1558073654390935
13,Bears,3.0,11,1.92,0,0,1.92,0.17454545454545453,11,353,0.031161473087818695
14,Bears,4.0,65,18.519999999999996,4,-4,18.52,0.2849230769230769,65,353,0.18413597733711048
15,Bears,5.0,39,11.200000000000005,4,0,15.200000000000001,0.38974358974358975,39,353,0.11048158640226628
16,Bears,6.0,54,16.319999999999997,8,-2,22.32,0.41333333333333333,54,353,0.1529745042492918
17,Bears,7.0,11,2.3200000000000003,4,-1,5.32,0.48363636363636364,11,353,0.031161473087818695
18,Bears,8.0,15,9.720000000000002,0,-1,8.72,0.5813333333333334,15,353,0.042492917847025496
19,Bears,9.0,32,15.719999999999999,20,-1,34.720000000000006,1.0850000000000002,32,353,0.0906515580736544
20,Bears,10.0,16,4.5200000000000005,0,-1,3.52,0.22,16,353,0.0453257790368272
21,Bears,11.0,24,6.640000000000001,8,0,14.64,0.61,24,353,0.0679886685552408
22,Bengals,1.0,28,6.000000000000001,4,0,9.999999999999998,0.3571428571428571,28,294,0.09523809523809523
23,Bengals,2.0,44,11.520000000000003,12,-1,22.519999999999996,0.5118181818181817,44,294,0.14965986394557823
24,Bengals,3.0,2,0.88,0,0,0.88,0.44,2,294,0.006802721088435374
25,Bengals,4.0,60,16.52,4,-2,18.52,0.30866666666666664,60,294,0.20408163265306123
26,Bengals,5.0,47,16.279999999999994,8,0,24.28,0.5165957446808511,47,294,0.1598639455782313
27,Bengals,6.0,22,8.72,4,-1,11.719999999999999,0.5327272727272727,22,294,0.07482993197278912
28,Bengals,7.0,9,2.52,0,0,2.52,0.28,9,294,0.030612244897959183
29,Bengals,8.0,14,5.64,8,-1,12.64,0.9028571428571429,14,294,0.047619047619047616
30,Bengals,9.0,49,15.639999999999999,20,-4,31.640000000000004,0.6457142857142858,49,294,0.16666666666666666
31,Bengals,10.0,15,4.36,0,0,4.36,0.2906666666666667,15,294,0.05102040816326531
32,Bengals,11.0,4,0.44000000000000006,0,0,0.44000000000000006,0.11000000000000001,4,294,0.013605442176870748
33,Bills,1.0,34,5.6400000000000015,4,0,9.639999999999999,0.28352941176470586,34,407,0.08353808353808354
34,Bills,2.0,59,14.24,16,-2,28.239999999999995,0.47864406779661006,59,407,0.14496314496314497
35,Bills,3.0,4,1.4400000000000002,0,0,1.4400000000000002,0.36000000000000004,4,407,0.009828009828009828
36,Bills,4.0,108,26.43999999999999,8,-2,32.44,0.30037037037037034,108,407,0.26535626535626533
37,Bills,5.0,49,10.4,0,0,10.4,0.2122448979591837,49,407,0.12039312039312039
38,Bills,6.0,50,17.36,4,-2,19.36,0.3872,50,407,0.12285012285012285
39,Bills,7.0,14,3.6399999999999997,12,-2,13.64,0.9742857142857143,14,407,0.0343980343980344
40,Bills,8.0,15,7.959999999999999,4,-1,10.959999999999999,0.7306666666666666,15,407,0.036855036855036855
41,Bills,9.0,30,9.32,4,-2,11.32,0.37733333333333335,30,407,0.07371007371007371
42,Bills,10.0,23,7.240000000000002,4,0,11.239999999999997,0.4886956521739129,23,407,0.056511056511056514
43,Bills,11.0,21,5.880000000000002,0,0,5.880000000000002,0.2800000000000001,21,407,0.051597051597051594
44,Broncos,1.0,46,8.68,8,0,16.680000000000003,0.36260869565217396,46,389,0.11825192802056556
45,Broncos,2.0,50,13.12,0,0,13.12,0.26239999999999997,50,389,0.12853470437017994
