,nickName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,49ers,Duo,42,12.799999999999999,6,0,18.799999999999997,0.4476190476190475
1,49ers,Pass Protection,41,30.599999999999998,12,0,42.60000000000001,1.0390243902439027
2,49ers,Pull Across,26,9.4,6,0,15.399999999999999,0.5923076923076922
3,49ers,Pull Front,15,4.0,18,0,21.999999999999996,1.4666666666666663
4,49ers,Pull Outside Numbers,11,4.6,0,0,4.6,0.41818181818181815
5,49ers,Split Zone,54,19.000000000000004,0,-1,18.000000000000004,0.3333333333333334
6,49ers,Zone,235,75.90000000000005,42,-1,116.9,0.4974468085106383
7,Bears,Duo,32,14.400000000000004,12,0,26.4,0.825
8,Bears,Pass Protection,26,14.5,12,-1,25.499999999999996,0.9807692307692306
9,Bears,Pull Across,72,41.3,6,0,47.3,0.6569444444444444
10,Bears,Split Zone,39,16.900000000000006,12,0,28.90000000000001,0.7410256410256413
11,Bears,Zone,175,65.00000000000001,30,0,94.99999999999999,0.5428571428571428
12,Bengals,Duo,15,6.500000000000001,0,0,6.500000000000001,0.4333333333333334
13,Bengals,Pass Protection,33,20.599999999999998,0,0,20.599999999999998,0.6242424242424242
14,Bengals,Pull 2,13,7.0,0,0,7.0,0.5384615384615384
15,Bengals,Pull Across,63,31.700000000000006,30,0,61.700000000000024,0.9793650793650798
16,Bengals,Pull Outside Numbers,11,6.400000000000001,12,0,18.4,1.6727272727272726
17,Bengals,Split Zone,43,18.400000000000002,12,-1,29.4,0.6837209302325581
18,Bengals,Zone,215,87.40000000000005,30,-1,116.40000000000002,0.5413953488372094
19,Bills,Duo,21,5.199999999999999,0,0,5.199999999999999,0.24761904761904757
20,Bills,Pass Protection,42,29.0,12,-1,40.0,0.9523809523809523
21,Bills,Pull Across,60,27.500000000000004,6,0,33.50000000000001,0.5583333333333335
22,Bills,Pull Front,17,9.4,6,0,15.4,0.9058823529411765
23,Bills,Pull Outside Numbers,14,2.1000000000000005,0,0,2.1000000000000005,0.15000000000000005
24,Bills,Split Zone,25,11.4,0,0,11.4,0.456
25,Bills,Zone,162,65.50000000000001,78,0,143.5,0.8858024691358025
26,Broncos,Duo,20,10.900000000000002,6,0,16.900000000000002,0.8450000000000001
27,Broncos,Pass Protection,37,26.400000000000006,12,-2,36.4,0.9837837837837837
28,Broncos,Pull Across,47,23.700000000000003,0,0,23.700000000000003,0.5042553191489362
29,Broncos,Split Zone,35,11.000000000000002,6,0,16.999999999999996,0.4857142857142856
30,Broncos,Zone,170,65.80000000000001,12,0,77.80000000000005,0.45764705882352974
31,Browns,Duo,25,9.900000000000002,6,0,15.9,0.636
32,Browns,Pass Protection,36,18.600000000000005,18,0,36.599999999999994,1.0166666666666666
33,Browns,Pull Across,32,9.7,6,0,15.700000000000001,0.49062500000000003
34,Browns,Pull Outside Numbers,11,5.800000000000001,12,0,17.8,1.6181818181818182
35,Browns,Split Zone,39,20.700000000000003,12,0,32.7,0.8384615384615385
36,Browns,Zone,164,76.6,18,0,94.6,0.5768292682926829
37,Buccaneers,Duo,22,5.400000000000001,0,0,5.400000000000001,0.2454545454545455
38,Buccaneers,Pass Protection,33,21.200000000000003,6,-1,26.200000000000003,0.7939393939393941
39,Buccaneers,Pull 2,12,7.9,6,0,13.9,1.1583333333333334
40,Buccaneers,Pull Across,23,7.8,0,0,7.8,0.3391304347826087
41,Buccaneers,Pull Outside Numbers,15,14.600000000000001,6,0,20.6,1.3733333333333335
42,Buccaneers,Split Zone,32,12.4,0,0,12.4,0.3875
43,Buccaneers,Zone,185,62.400000000000034,42,-3,101.40000000000003,0.5481081081081083
