,Team,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
114,Colts,79.0,0/1 Step,67.00000000000001,36,87,189.99999999999997,79.0,2.40506329113924
115,Colts,150.0,3 Step,175.1,96,159,430.0999999999997,150.0,2.867333333333331
116,Colts,66.0,5 Step,94.00000000000003,48,67,209.00000000000006,66.0,3.1666666666666674
117,Colts,38.0,7 Step,33.5,0,26,59.5,38.0,1.5657894736842106
125,Cowboys,102.0,0/1 Step,77.6,42,79,198.60000000000002,102.0,1.947058823529412
126,Cowboys,201.0,3 Step,157.70000000000005,60,122,339.6999999999999,201.0,1.6900497512437804
127,Cowboys,135.0,5 Step,97.6,18,71,186.5999999999999,135.0,1.3822222222222216
128,Cowboys,46.0,7 Step,56.20000000000001,12,32,100.2,46.0,2.1782608695652175
137,Dolphins,92.0,0/1 Step,56.60000000000001,0,81,137.6,92.0,1.4956521739130435
138,Dolphins,157.0,3 Step,166.80000000000004,84,136,386.7999999999999,157.0,2.463694267515923
139,Dolphins,88.0,5 Step,111.70000000000002,24,78,213.70000000000007,88.0,2.4284090909090916
140,Dolphins,24.0,7 Step,49.8,6,31,86.8,24.0,3.6166666666666667
150,Eagles,82.0,0/1 Step,82.59999999999995,42,110,234.60000000000005,82.0,2.8609756097560983
151,Eagles,127.0,3 Step,155.70000000000007,36,153,344.7,127.0,2.7141732283464566
152,Eagles,73.0,5 Step,71.89999999999999,42,65,178.9,73.0,2.4506849315068493
153,Eagles,22.0,7 Step,65.3,12,42,119.30000000000001,22.0,5.422727272727273
161,Falcons,110.0,0/1 Step,59.199999999999996,42,72,173.20000000000005,110.0,1.574545454545455
162,Falcons,210.0,3 Step,144.00000000000003,54,134,332.0000000000001,210.0,1.5809523809523816
163,Falcons,107.0,5 Step,115.6,48,91,254.60000000000002,107.0,2.3794392523364487
164,Falcons,26.0,7 Step,35.9,6,25,66.89999999999998,26.0,2.5730769230769224
172,Football Team,24.0,0/1 Step,80.60000000000004,36,90,206.6,24.0,8.608333333333333
173,Football Team,204.0,3 Step,199.6,84,160,443.5999999999998,204.0,2.1745098039215676
174,Football Team,109.0,5 Step,96.5,48,69,213.5,109.0,1.9587155963302751
175,Football Team,28.0,7 Step,37.0,0,25,61.999999999999986,28.0,2.214285714285714
183,Giants,91.0,0/1 Step,38.7,6,56,100.69999999999999,91.0,1.1065934065934064
184,Giants,167.0,3 Step,180.40000000000006,66,171,417.4,167.0,2.49940119760479
185,Giants,75.0,5 Step,94.9,42,78,214.89999999999995,75.0,2.8653333333333326
186,Giants,30.0,7 Step,34.60000000000001,18,21,73.60000000000001,30.0,2.4533333333333336
195,Jaguars,76.0,0/1 Step,73.79999999999998,36,74,183.80000000000004,76.0,2.4184210526315795
196,Jaguars,183.0,3 Step,133.8000000000001,48,133,314.8,183.0,1.7202185792349727
197,Jaguars,56.0,5 Step,104.00000000000003,18,80,202.0,56.0,3.607142857142857
198,Jaguars,34.0,7 Step,39.5,6,25,70.5,34.0,2.073529411764706
205,Jets,59.0,0/1 Step,64.9,30,77,171.89999999999995,59.0,2.9135593220338976
206,Jets,155.0,3 Step,155.10000000000008,84,145,384.0999999999999,155.0,2.478064516129032
207,Jets,134.0,5 Step,91.40000000000003,24,66,181.39999999999998,134.0,1.353731343283582
208,Jets,73.0,7 Step,60.100000000000016,12,33,105.10000000000001,73.0,1.4397260273972603
218,Lions,54.0,0/1 Step,52.00000000000002,24,66,142.0,54.0,2.6296296296296298
219,Lions,212.0,3 Step,147.80000000000007,54,120,321.79999999999995,212.0,1.5179245283018865
220,Lions,67.0,5 Step,92.80000000000001,36,66,194.80000000000004,67.0,2.9074626865671647
221,Lions,45.0,7 Step,72.90000000000002,6,39,117.90000000000002,45.0,2.6200000000000006
229,Packers,54.0,0/1 Step,98.29999999999997,42,110,250.29999999999998,54.0,4.635185185185185
230,Packers,179.0,3 Step,159.6999999999999,90,149,398.70000000000016,179.0,2.2273743016759786
231,Packers,108.0,5 Step,78.19999999999999,30,53,161.2,108.0,1.4925925925925925
232,Packers,29.0,7 Step,31.100000000000005,6,24,61.099999999999994,29.0,2.106896551724138
240,Panthers,62.0,0/1 Step,59.500000000000014,42,83,184.5,62.0,2.975806451612903
241,Panthers,157.0,3 Step,173.09999999999997,66,135,374.0999999999996,157.0,2.3828025477706984
242,Panthers,98.0,5 Step,46.09999999999998,18,37,101.10000000000001,98.0,1.0316326530612245
243,Panthers,13.0,7 Step,22.599999999999998,0,14,36.599999999999994,13.0,2.815384615384615
252,Patriots,43.0,0/1 Step,50.4,18,67,135.40000000000003,43.0,3.1488372093023265
253,Patriots,146.0,3 Step,135.0,42,116,292.9999999999998,146.0,2.0068493150684916
254,Patriots,148.0,5 Step,107.79999999999998,30,81,218.79999999999998,148.0,1.4783783783783782
255,Patriots,41.0,7 Step,34.6,0,23,57.6,41.0,1.404878048780488
263,Raiders,135.0,0/1 Step,76.99999999999999,30,95,202.0,135.0,1.4962962962962962
264,Raiders,160.0,3 Step,164.49999999999997,78,167,409.5,160.0,2.559375
265,Raiders,134.0,5 Step,109.50000000000004,30,86,225.49999999999997,134.0,1.682835820895522
266,Raiders,46.0,7 Step,44.400000000000006,24,27,95.40000000000002,46.0,2.073913043478261
275,Rams,42.0,0/1 Step,126.69999999999997,30,152,308.70000000000005,42.0,7.350000000000001
276,Rams,164.0,3 Step,206.7,48,191,445.70000000000033,164.0,2.71768292682927
277,Rams,133.0,5 Step,121.60000000000001,36,73,230.6,133.0,1.7338345864661653
278,Rams,52.0,7 Step,34.4,6,22,62.400000000000006,52.0,1.2000000000000002
285,Ravens,214.0,0/1 Step,62.50000000000001,24,71,157.49999999999991,214.0,0.7359813084112146
286,Ravens,181.0,3 Step,170.40000000000003,72,143,385.40000000000003,181.0,2.1292817679558014
287,Ravens,60.0,5 Step,145.00000000000003,30,90,264.99999999999994,60.0,4.416666666666666
288,Ravens,7.0,7 Step,50.300000000000004,24,36,110.30000000000001,7.0,15.757142857142858
296,Saints,47.0,0/1 Step,70.6,24,83,177.60000000000008,47.0,3.778723404255321
297,Saints,124.0,3 Step,152.80000000000004,42,134,328.79999999999995,124.0,2.6516129032258062
298,Saints,94.0,5 Step,100.89999999999998,18,71,189.9,94.0,2.0202127659574467
299,Saints,41.0,7 Step,40.699999999999996,0,24,64.7,41.0,1.578048780487805
308,Seahawks,147.0,0/1 Step,89.10000000000002,30,92,211.09999999999997,147.0,1.4360544217687072
309,Seahawks,67.0,3 Step,147.6,66,145,358.59999999999997,67.0,5.352238805970149
310,Seahawks,44.0,5 Step,112.39999999999995,12,81,205.39999999999998,44.0,4.668181818181818
311,Seahawks,27.0,7 Step,66.4,24,45,135.4,27.0,5.014814814814815
318,Steelers,110.0,0/1 Step,100.89999999999999,42,102,244.90000000000003,110.0,2.2263636363636365
319,Steelers,311.0,3 Step,156.1,48,143,347.1000000000001,311.0,1.1160771704180066
320,Steelers,44.0,5 Step,118.8,48,76,242.79999999999998,44.0,5.518181818181818
321,Steelers,4.0,7 Step,34.4,6,13,53.4,4.0,13.35
329,Texans,100.0,0/1 Step,70.40000000000002,30,64,164.4,100.0,1.6440000000000001
330,Texans,153.0,3 Step,134.99999999999997,42,118,294.99999999999994,153.0,1.9281045751633983
331,Texans,54.0,5 Step,110.50000000000001,30,75,215.49999999999997,54.0,3.99074074074074
332,Texans,21.0,7 Step,56.50000000000001,24,34,114.50000000000001,21.0,5.452380952380953
340,Titans,131.0,0/1 Step,120.30000000000003,30,125,275.3,131.0,2.101526717557252
341,Titans,120.0,3 Step,184.49999999999991,36,163,383.4999999999999,120.0,3.1958333333333324
342,Titans,46.0,5 Step,84.80000000000004,36,53,173.79999999999995,46.0,3.7782608695652162
343,Titans,19.0,7 Step,28.7,6,19,53.7,19.0,2.8263157894736843
352,Vikings,75.0,0/1 Step,61.10000000000002,24,76,161.09999999999997,75.0,2.1479999999999997
353,Vikings,166.0,3 Step,178.10000000000008,72,137,387.1000000000003,166.0,2.331927710843375
354,Vikings,111.0,5 Step,132.59999999999997,48,98,278.6,111.0,2.50990990990991
355,Vikings,50.0,7 Step,39.400000000000006,12,24,75.39999999999999,50.0,1.5079999999999998
