,Team,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,49ers,116.0,0/1 Step,56.80000000000002,12,77,145.8,116.0,1.256896551724138
1,49ers,169.0,3 Step,218.70000000000007,84,181,483.6999999999998,169.0,2.862130177514792
2,49ers,51.0,5 Step,100.39999999999999,24,77,201.4,51.0,3.9490196078431374
3,49ers,23.0,7 Step,35.1,0,22,57.100000000000016,23.0,2.4826086956521745
11,Bears,94.0,0/1 Step,79.30000000000001,30,78,187.3,94.0,1.9925531914893617
12,Bears,168.0,3 Step,124.1,60,103,287.09999999999985,168.0,1.7089285714285705
13,Bears,87.0,5 Step,68.10000000000001,36,51,155.1,87.0,1.782758620689655
14,Bears,47.0,7 Step,33.800000000000004,18,22,73.80000000000001,47.0,1.570212765957447
21,Bengals,87.0,0/1 Step,96.69999999999996,24,117,237.69999999999993,87.0,2.732183908045976
22,Bengals,293.0,3 Step,245.4000000000001,84,219,548.4000000000002,293.0,1.8716723549488061
23,Bengals,53.0,5 Step,98.60000000000002,48,79,225.60000000000008,53.0,4.256603773584907
24,Bengals,5.0,7 Step,53.90000000000001,6,31,90.9,5.0,18.18
34,Bills,173.0,0/1 Step,75.0,24,82,181.0,173.0,1.046242774566474
35,Bills,194.0,3 Step,150.0,54,136,340.00000000000006,194.0,1.752577319587629
36,Bills,88.0,5 Step,78.8,0,72,150.79999999999998,88.0,1.7136363636363634
37,Bills,48.0,7 Step,26.800000000000008,6,18,50.800000000000004,48.0,1.0583333333333333
45,Broncos,98.0,0/1 Step,36.699999999999996,12,51,99.69999999999997,98.0,1.0173469387755099
46,Broncos,135.0,3 Step,168.90000000000003,60,150,378.89999999999986,135.0,2.8066666666666658
47,Broncos,105.0,5 Step,114.2,42,69,225.20000000000005,105.0,2.1447619047619053
48,Broncos,58.0,7 Step,21.400000000000006,6,19,46.4,58.0,0.7999999999999999
54,Browns,24.0,0/1 Step,98.1,36,106,240.1,24.0,10.004166666666666
55,Browns,121.0,3 Step,117.10000000000001,54,118,289.0999999999999,121.0,2.389256198347107
56,Browns,110.0,5 Step,78.39999999999998,30,56,164.4,110.0,1.4945454545454546
57,Browns,37.0,7 Step,12.000000000000004,6,9,27.0,37.0,0.7297297297297297
65,Buccaneers,153.0,0/1 Step,72.8,12,93,177.8,153.0,1.162091503267974
66,Buccaneers,290.0,3 Step,203.40000000000006,42,196,441.3999999999999,290.0,1.522068965517241
67,Buccaneers,89.0,5 Step,93.80000000000001,60,78,231.79999999999995,89.0,2.6044943820224713
68,Buccaneers,44.0,7 Step,49.599999999999994,12,34,95.6,44.0,2.1727272727272724
77,Cardinals,87.0,0/1 Step,50.10000000000002,18,73,141.09999999999997,87.0,1.6218390804597698
78,Cardinals,137.0,3 Step,180.29999999999993,78,165,423.29999999999984,137.0,3.0897810218978092
79,Cardinals,116.0,5 Step,80.30000000000003,18,62,160.29999999999993,116.0,1.3818965517241373
80,Cardinals,18.0,7 Step,45.300000000000004,24,26,95.30000000000001,18.0,5.294444444444445
89,Chargers,135.0,0/1 Step,59.20000000000001,48,71,178.20000000000002,135.0,1.32
90,Chargers,133.0,3 Step,169.49999999999997,60,147,376.49999999999994,133.0,2.8308270676691727
91,Chargers,144.0,5 Step,107.0,18,67,191.99999999999994,144.0,1.333333333333333
92,Chargers,49.0,7 Step,29.099999999999998,12,20,61.10000000000001,49.0,1.2469387755102042
101,Chiefs,126.0,0/1 Step,112.5000000000001,36,121,269.4999999999999,126.0,2.138888888888888
102,Chiefs,201.0,3 Step,200.89999999999992,108,182,490.9000000000003,201.0,2.442288557213932
103,Chiefs,76.0,5 Step,86.30000000000004,36,66,188.30000000000004,76.0,2.477631578947369
104,Chiefs,29.0,7 Step,64.80000000000003,6,33,103.80000000000003,29.0,3.579310344827587
