,playerName,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,A.J. Brown,0/1 Step,36.599999999999994,30,27,93.60000000000001,31.0,3.0193548387096776
1,A.J. Brown,3 Step,37.8,36,27,100.80000000000001,44.0,2.290909090909091
2,A.J. Brown,5 Step,21.900000000000002,0,11,32.900000000000006,18.0,1.8277777777777782
3,A.J. Brown,7 Step,12.4,0,6,18.4,10.0,1.8399999999999999
14,A.J. Green,0/1 Step,21.1,6,22,49.10000000000001,38.0,1.2921052631578949
15,A.J. Green,3 Step,19.7,6,18,43.7,53.0,0.8245283018867925
16,A.J. Green,5 Step,8.100000000000001,6,6,20.1,8.0,2.5125
17,A.J. Green,7 Step,1.9000000000000001,0,1,2.9000000000000004,4.0,0.7250000000000001
22,Aaron Jones,0/1 Step,5.500000000000001,6,5,16.5,8.0,2.0625
23,Aaron Jones,3 Step,12.700000000000001,6,22,40.699999999999996,24.0,1.695833333333333
24,Aaron Jones,5 Step,3.5000000000000004,0,5,8.5,8.0,1.0625
25,Aaron Jones,7 Step,5.700000000000001,0,5,10.700000000000001,5.0,2.14
30,Adam Humphries,0/1 Step,10.4,6,10,26.400000000000002,12.0,2.2
31,Adam Humphries,3 Step,12.4,6,13,31.400000000000002,23.0,1.365217391304348
39,Adam Thielen,0/1 Step,8.0,6,7,21.000000000000004,15.0,1.4000000000000001
40,Adam Thielen,3 Step,26.4,30,27,83.4,38.0,2.194736842105263
41,Adam Thielen,5 Step,17.400000000000002,12,15,44.39999999999999,21.0,2.114285714285714
42,Adam Thielen,7 Step,21.299999999999997,12,10,43.3,13.0,3.3307692307692305
50,Adam Trautman,7 Step,1.5000000000000002,0,2,3.5,2.0,1.75
56,Adrian Peterson,5 Step,1.7,0,4,5.7,6.0,0.9500000000000001
57,Adrian Peterson,7 Step,1.4,0,2,3.4,2.0,1.7
67,Alec Ingold,5 Step,7.3999999999999995,6,7,20.400000000000002,9.0,2.266666666666667
71,Alex Armah,7 Step,0.9,0,2,2.9,2.0,1.45
76,Alex Erickson,0/1 Step,13.500000000000002,0,11,24.5,12.0,2.0416666666666665
80,Alexander Mattison,5 Step,4.5,6,5,15.5,5.0,3.1
83,Alfred Morris,7 Step,0.9,0,1,1.9,2.0,0.95
86,Allen Lazard,3 Step,15.900000000000002,0,11,26.900000000000002,18.0,1.4944444444444445
87,Allen Lazard,5 Step,12.900000000000002,6,10,28.900000000000002,12.0,2.4083333333333337
88,Allen Lazard,7 Step,16.1,6,4,26.1,3.0,8.700000000000001
92,Allen Robinson,0/1 Step,26.499999999999996,6,31,63.500000000000014,37.0,1.7162162162162167
93,Allen Robinson,3 Step,61.1,24,43,128.10000000000002,67.0,1.911940298507463
94,Allen Robinson,5 Step,12.500000000000002,0,8,20.5,13.0,1.5769230769230769
95,Allen Robinson,7 Step,11.0,0,5,16.0,5.0,3.2
100,Alshon Jeffery,0/1 Step,7.6000000000000005,6,5,18.6,8.0,2.325
