team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
PHI,A.J. Brown,Combination,1.1,0,1,2.1,3.0,0.7000000000000001,1,112,0.008928571428571428
PHI,A.J. Brown,Cover 0,7.300000000000001,6,2,15.299999999999999,9.0,1.7,3,112,0.026785714285714284
PHI,A.J. Brown,Cover 1,32.00000000000001,24,19,74.99999999999999,75.0,0.9999999999999998,31,112,0.2767857142857143
PHI,A.J. Brown,Cover 2,8.200000000000001,0,9,17.2,55.0,0.3127272727272727,12,112,0.10714285714285714
PHI,A.J. Brown,Cover 3,32.5,0,21,53.5,91.0,0.5879120879120879,39,112,0.3482142857142857
PHI,A.J. Brown,Cover 4,14.200000000000003,6,7,27.2,34.0,0.7999999999999999,12,112,0.10714285714285714
PHI,A.J. Brown,Cover 6,2.2,0,2,4.199999999999999,5.0,0.8399999999999999,3,112,0.026785714285714284
PHI,A.J. Brown,Man Cover 2,3.7,0,3,6.7,14.0,0.4785714285714286,4,112,0.03571428571428571
PHI,A.J. Brown,Screen,0.09999999999999998,0,4,4.1000000000000005,21.0,0.19523809523809527,7,112,0.0625
ARI,A.J. Green,Cover 0,1.4000000000000001,6,1,8.4,15.0,0.56,2,85,0.023529411764705882
ARI,A.J. Green,Cover 1,21.200000000000003,0,11,32.2,97.0,0.331958762886598,23,85,0.27058823529411763
ARI,A.J. Green,Cover 2,6.800000000000002,0,7,13.8,75.0,0.184,10,85,0.11764705882352941
ARI,A.J. Green,Cover 3,36.80000000000001,6,21,63.800000000000004,130.0,0.4907692307692308,26,85,0.3058823529411765
ARI,A.J. Green,Cover 4,9.600000000000001,0,4,13.600000000000001,72.0,0.1888888888888889,10,85,0.11764705882352941
ARI,A.J. Green,Cover 6,5.4,0,4,9.4,24.0,0.39166666666666666,6,85,0.07058823529411765
ARI,A.J. Green,Man Cover 2,0.8,0,1,1.8,14.0,0.1285714285714286,3,85,0.03529411764705882
ARI,A.J. Green,Other,0.0,0,0,0.0,1.0,0.0,1,85,0.011764705882352941
ARI,A.J. Green,Screen,1.8000000000000003,0,4,5.799999999999999,18.0,0.3222222222222222,4,85,0.047058823529411764
GB,Aaron Jones,Cover 0,0.0,0,0,0.0,5.0,0.0,1,67,0.014925373134328358
