playerName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Player,RouteType,Routes Run,FP/routes
A.J. Brown,Comeback,1.6,0,2,3.6,A.J. Brown,Comeback,3.0,1.2
A.J. Brown,Curl,15.400000000000002,6,13,34.4,A.J. Brown,Curl,44.0,0.7818181818181817
A.J. Brown,Dig,14.0,0,9,23.0,A.J. Brown,Dig,36.0,0.6388888888888888
A.J. Brown,Out,15.3,6,9,30.3,A.J. Brown,Out,35.0,0.8657142857142858
A.J. Brown,Post,7.1,12,4,23.1,A.J. Brown,Post,20.0,1.155
A.J. Brown,Slant,9.9,0,8,17.900000000000002,A.J. Brown,Slant,30.0,0.5966666666666668
A.J. Green,Comeback,2.5,0,2,4.5,A.J. Green,Comeback,8.0,0.5625
A.J. Green,Corner,3.4000000000000004,0,1,4.4,A.J. Green,Corner,19.0,0.23157894736842108
A.J. Green,Curl,21.400000000000002,0,18,39.4,A.J. Green,Curl,112.0,0.35178571428571426
A.J. Green,Dig,3.2,0,2,5.2,A.J. Green,Dig,37.0,0.14054054054054055
A.J. Green,Out,3.2,0,4,7.199999999999999,A.J. Green,Out,27.0,0.26666666666666666
A.J. Green,Post,9.0,0,3,12.0,A.J. Green,Post,29.0,0.41379310344827586
A.J. Green,Slant,7.700000000000001,0,6,13.7,A.J. Green,Slant,36.0,0.38055555555555554
Aaron Jones,Dig,0.0,0,0,0.0,Aaron Jones,Dig,5.0,0.0
Aaron Jones,Slant,2.6,0,2,4.6000000000000005,Aaron Jones,Slant,5.0,0.9200000000000002
Adam Humphries,Comeback,0.0,0,0,0.0,Adam Humphries,Comeback,2.0,0.0
Adam Humphries,Corner,0.0,0,0,0.0,Adam Humphries,Corner,4.0,0.0
Adam Humphries,Curl,7.2,0,7,14.2,Adam Humphries,Curl,64.0,0.221875
Adam Humphries,Dig,1.2000000000000002,0,1,2.2,Adam Humphries,Dig,27.0,0.08148148148148149
Adam Humphries,Out,8.600000000000001,0,9,17.6,Adam Humphries,Out,43.0,0.4093023255813954
Adam Humphries,Post,0.0,0,0,0.0,Adam Humphries,Post,12.0,0.0
Adam Humphries,Slant,1.7000000000000002,0,2,3.7,Adam Humphries,Slant,15.0,0.24666666666666667
Adam Shaheen,Corner,0.0,0,0,0.0,Adam Shaheen,Corner,9.0,0.0
Adam Shaheen,Curl,1.2000000000000002,0,2,3.2,Adam Shaheen,Curl,27.0,0.11851851851851852
Adam Shaheen,Out,2.9000000000000004,0,3,5.9,Adam Shaheen,Out,20.0,0.29500000000000004
Adam Thielen,Comeback,3.4000000000000004,6,3,12.4,Adam Thielen,Comeback,15.0,0.8266666666666667
Adam Thielen,Corner,1.8,0,1,2.8,Adam Thielen,Corner,22.0,0.12727272727272726
Adam Thielen,Curl,8.4,0,8,16.4,Adam Thielen,Curl,62.0,0.264516129032258
Adam Thielen,Dig,11.000000000000002,0,8,19.0,Adam Thielen,Dig,47.0,0.40425531914893614
Adam Thielen,Out,8.6,12,9,29.599999999999998,Adam Thielen,Out,49.0,0.6040816326530611
Adam Thielen,Post,8.100000000000001,12,5,25.1,Adam Thielen,Post,21.0,1.1952380952380952
Adam Thielen,Slant,5.1000000000000005,6,5,16.1,Adam Thielen,Slant,32.0,0.503125
Adam Trautman,Corner,1.7000000000000002,0,1,2.7,Adam Trautman,Corner,18.0,0.15000000000000002
Adam Trautman,Curl,2.8,0,4,6.8,Adam Trautman,Curl,34.0,0.19999999999999998
Adam Trautman,Dig,2.1,0,2,4.1,Adam Trautman,Dig,17.0,0.24117647058823527
Adam Trautman,Slant,0.0,0,0,0.0,Adam Trautman,Slant,4.0,0.0
