,team,playerName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
58,SEA,Geno Smith,Zone,59,17.879999999999995,4,-2,19.879999999999995,0.3369491525423728,59,90,0.6555555555555556
59,PHI,Greg Ward,Other,1,0.08,0,0,0.08,0.08,1,1,1.0
60,NO,Ian Book,Man,12,2.8800000000000003,0,-1,1.8800000000000003,0.1566666666666667,12,23,0.5217391304347826
61,NO,Ian Book,Other,2,0.68,0,0,0.68,0.34,2,23,0.08695652173913043
62,NO,Ian Book,Zone,9,0.84,0,-1,-0.15999999999999998,-0.017777777777777774,9,23,0.391304347826087
63,SEA,Jacob Eason,Other,3,0.6000000000000001,0,0,0.6000000000000001,0.20000000000000004,3,5,0.6
64,SEA,Jacob Eason,Zone,2,0.0,0,-1,-1.0,-0.5,2,5,0.4
65,CLE,Jacoby Brissett,Man,93,16.439999999999998,4,-2,18.439999999999998,0.19827956989247308,93,230,0.4043478260869565
66,CLE,Jacoby Brissett,Other,16,2.8000000000000003,12,0,14.799999999999999,0.9249999999999999,16,230,0.06956521739130435
67,CLE,Jacoby Brissett,Zone,121,27.55999999999999,4,-2,29.55999999999999,0.24429752066115695,121,230,0.5260869565217391
68,PHI,Jalen Hurts,Man,145,39.400000000000006,20,-4,55.400000000000006,0.3820689655172414,145,427,0.3395784543325527
69,PHI,Jalen Hurts,Other,85,18.599999999999998,12,-2,28.599999999999998,0.3364705882352941,85,427,0.1990632318501171
70,PHI,Jalen Hurts,Zone,197,55.800000000000004,16,-4,67.80000000000001,0.3441624365482234,197,427,0.4613583138173302
71,NO,Jameis Winston,Man,67,12.52,28,-1,39.52,0.5898507462686567,67,156,0.42948717948717946
72,NO,Jameis Winston,Other,20,5.16,8,0,13.16,0.658,20,156,0.1282051282051282
73,NO,Jameis Winston,Zone,69,26.2,20,-3,43.20000000000001,0.6260869565217393,69,156,0.4423076923076923
