,nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1,49ers,Cover 0,0.0,0,0,0.0,39.0,0.0
2,49ers,Cover 2,35.099999999999994,6,29,70.1,279.0,0.25125448028673836
3,49ers,Cover 4,95.80000000000001,12,77,184.80000000000007,249.0,0.7421686746987954
4,49ers,Cover 6,16.900000000000002,12,17,45.9,43.0,1.0674418604651164
5,49ers,Man Cover 2,8.7,6,7,21.7,94.0,0.23085106382978723
7,49ers,Other,0.9000000000000001,0,2,2.9000000000000004,5.0,0.5800000000000001
8,49ers,Prevent,3.3000000000000003,0,3,6.300000000000001,3.0,2.1
9,49ers,Screen,43.000000000000014,12,81,136.0,121.0,1.1239669421487604
11,Bears,Cover 0,3.6000000000000005,0,4,7.6,56.0,0.1357142857142857
12,Bears,Cover 2,33.4,6,32,71.39999999999999,196.0,0.36428571428571427
13,Bears,Cover 4,46.89999999999999,24,38,108.9,485.0,0.22453608247422682
14,Bears,Cover 6,9.3,0,7,16.3,41.0,0.3975609756097561
15,Bears,Man Cover 2,15.599999999999998,18,13,46.60000000000001,60.0,0.7766666666666668
17,Bears,Other,1.7000000000000002,6,2,9.7,13.0,0.7461538461538461
18,Bears,Prevent,2.2,0,2,4.2,73.0,0.057534246575342465
19,Bears,Screen,41.2,6,47,94.20000000000003,69.0,1.3652173913043484
21,Bengals,Cover 0,8.700000000000001,12,7,27.700000000000003,15.0,1.846666666666667
22,Bengals,Cover 2,46.50000000000001,0,41,87.50000000000003,420.0,0.2083333333333334
23,Bengals,Cover 4,79.9,48,62,189.89999999999998,412.0,0.46092233009708733
24,Bengals,Cover 6,10.100000000000001,0,9,19.1,90.0,0.21222222222222223
25,Bengals,Man Cover 2,24.899999999999995,0,22,46.9,106.0,0.44245283018867926
27,Bengals,Other,1.0,0,1,2.0,10.0,0.2
28,Bengals,Prevent,6.300000000000001,0,6,12.299999999999999,9.0,1.3666666666666665
29,Bengals,Screen,21.0,12,44,77.0,94.0,0.8191489361702128
31,Bills,Combination,1.3,6,1,8.3,4.0,2.075
