,playerName,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
927,Diontae Johnson,5 Step,13.6,0,8,21.6,15.0,1.4400000000000002
942,Donald Parham,7 Step,2.3000000000000003,0,3,5.300000000000001,3.0,1.7666666666666668
948,Donovan Peoples-Jones,0/1 Step,5.4,6,5,16.4,7.0,2.3428571428571425
949,Donovan Peoples-Jones,3 Step,13.900000000000002,0,11,24.900000000000006,19.0,1.310526315789474
950,Donovan Peoples-Jones,5 Step,28.300000000000004,12,11,51.30000000000001,19.0,2.7000000000000006
951,Donovan Peoples-Jones,7 Step,6.6000000000000005,0,2,8.600000000000001,4.0,2.1500000000000004
974,Durham Smythe,7 Step,1.3,0,1,2.3,3.0,0.7666666666666666
983,Dyami Brown,3 Step,4.5,0,5,9.5,15.0,0.6333333333333333
985,Dyami Brown,7 Step,9.100000000000001,0,4,13.100000000000001,5.0,2.62
995,Elijah Moore,0/1 Step,4.4,12,11,27.4,13.0,2.1076923076923078
996,Elijah Moore,3 Step,27.8,12,17,56.8,25.0,2.272
997,Elijah Moore,5 Step,8.3,0,6,14.3,16.0,0.89375
998,Elijah Moore,7 Step,9.600000000000001,0,4,13.6,12.0,1.1333333333333333
1009,Emmanuel Sanders,0/1 Step,16.4,0,13,29.399999999999995,15.0,1.9599999999999997
1010,Emmanuel Sanders,3 Step,22.200000000000003,12,13,47.199999999999996,19.0,2.484210526315789
1011,Emmanuel Sanders,5 Step,16.9,6,11,33.900000000000006,21.0,1.6142857142857145
1012,Emmanuel Sanders,7 Step,11.3,0,5,16.3,8.0,2.0375
1038,Evan Engram,0/1 Step,4.500000000000001,6,6,16.5,13.0,1.2692307692307692
1039,Evan Engram,3 Step,14.500000000000002,6,17,37.5,30.0,1.25
1040,Evan Engram,5 Step,7.6,0,10,17.6,15.0,1.1733333333333333
1041,Evan Engram,7 Step,6.4,6,5,17.4,5.0,3.4799999999999995
1047,Ezekiel Elliott,0/1 Step,4.2,0,11,15.2,16.0,0.95
1048,Ezekiel Elliott,3 Step,8.1,6,14,28.1,18.0,1.5611111111111111
1049,Ezekiel Elliott,5 Step,7.900000000000001,6,13,26.9,15.0,1.7933333333333332
1050,Ezekiel Elliott,7 Step,6.4,0,9,15.399999999999999,8.0,1.9249999999999998
1053,Foster Moreau,0/1 Step,4.6,0,6,10.6,9.0,1.1777777777777778
1054,Foster Moreau,3 Step,17.4,18,9,44.4,13.0,3.4153846153846152
1055,Foster Moreau,5 Step,9.4,0,8,17.400000000000002,12.0,1.4500000000000002
1056,Foster Moreau,7 Step,1.8,0,2,3.8,3.0,1.2666666666666666
1063,Freddie Swain,0/1 Step,11.799999999999999,0,12,23.799999999999997,19.0,1.2526315789473683
1072,Gabriel Davis,0/1 Step,14.200000000000001,6,12,32.2,16.0,2.0125
1073,Gabriel Davis,3 Step,23.4,30,17,70.4,22.0,3.2
1074,Gabriel Davis,5 Step,12.700000000000001,6,5,23.700000000000003,8.0,2.9625000000000004
1075,Gabriel Davis,7 Step,15.399999999999999,6,5,26.4,6.0,4.3999999999999995
1085,Geoff Swaim,0/1 Step,7.900000000000001,6,13,26.9,17.0,1.5823529411764705
1088,Geoff Swaim,7 Step,0.2,6,1,7.2,2.0,3.6
1092,George Kittle,0/1 Step,32.8,12,26,70.8,27.0,2.6222222222222222
1093,George Kittle,3 Step,23.70000000000001,24,20,67.7,27.0,2.5074074074074075
1094,George Kittle,5 Step,13.600000000000001,0,9,22.6,13.0,1.7384615384615385
1095,George Kittle,7 Step,2.2,0,3,5.2,5.0,1.04
1101,Gerald Everett,0/1 Step,13.4,6,19,38.39999999999999,25.0,1.5359999999999996
1103,Gerald Everett,5 Step,6.300000000000001,6,4,16.3,6.0,2.716666666666667
1104,Gerald Everett,7 Step,6.6000000000000005,6,4,16.6,4.0,4.15
1111,Giovani Bernard,0/1 Step,4.300000000000001,6,9,19.300000000000004,10.0,1.9300000000000004
1137,Harrison Bryant,7 Step,4.1000000000000005,0,4,8.1,6.0,1.3499999999999999
1141,Hayden Hurst,3 Step,13.200000000000003,12,11,36.2,15.0,2.4133333333333336
1142,Hayden Hurst,5 Step,4.300000000000001,6,6,16.3,7.0,2.3285714285714287
1147,Henry Ruggs,0/1 Step,10.000000000000002,0,8,18.0,9.0,2.0
1149,Henry Ruggs,5 Step,13.100000000000001,0,6,19.1,13.0,1.4692307692307693
1150,Henry Ruggs,7 Step,11.200000000000001,6,2,19.200000000000003,4.0,4.800000000000001
1154,Hunter Henry,3 Step,36.0,42,33,111.00000000000001,42.0,2.6428571428571432
1155,Hunter Henry,5 Step,22.8,6,14,42.8,27.0,1.585185185185185
1156,Hunter Henry,7 Step,4.9,0,3,7.9,4.0,1.975
1159,Hunter Renfrow,0/1 Step,32.599999999999994,6,40,78.6,40.0,1.9649999999999999
1160,Hunter Renfrow,3 Step,33.30000000000001,30,35,98.3,43.0,2.286046511627907
1161,Hunter Renfrow,5 Step,29.700000000000003,12,20,61.699999999999996,27.0,2.285185185185185
1162,Hunter Renfrow,7 Step,7.7,6,6,19.7,8.0,2.4625
1168,Ian Thomas,5 Step,8.100000000000001,0,7,15.100000000000003,10.0,1.5100000000000002
1183,Isaiah McKenzie,0/1 Step,6.1000000000000005,0,9,15.100000000000001,10.0,1.5100000000000002
1185,Isaiah McKenzie,5 Step,5.4,6,5,16.4,6.0,2.733333333333333
1186,Isaiah McKenzie,7 Step,4.7,0,2,6.700000000000001,2.0,3.3500000000000005
1191,J.D. McKissic,3 Step,19.6,0,22,41.6,27.0,1.5407407407407407
1192,J.D. McKissic,5 Step,9.400000000000002,6,8,23.4,13.0,1.7999999999999998
1205,Ja'Marr Chase,0/1 Step,30.599999999999998,0,25,55.60000000000001,28.0,1.985714285714286
1206,Ja'Marr Chase,3 Step,127.30000000000001,78,66,271.3,79.0,3.4341772151898735
1207,Ja'Marr Chase,5 Step,26.900000000000002,0,12,38.900000000000006,14.0,2.778571428571429
1212,JaMycal Hasty,3 Step,12.300000000000002,0,20,32.300000000000004,23.0,1.4043478260869566
1214,Jack Doyle,0/1 Step,5.1,6,7,18.1,8.0,2.2625
1215,Jack Doyle,3 Step,13.7,0,10,23.700000000000006,13.0,1.8230769230769235
1217,Jack Doyle,7 Step,2.7,0,2,4.699999999999999,3.0,1.5666666666666664
1229,Jaelon Darden,0/1 Step,1.4000000000000001,0,5,6.3999999999999995,5.0,1.2799999999999998
1235,Jakeem Grant,0/1 Step,6.6000000000000005,6,6,18.6,7.0,2.6571428571428575
1244,Jakobi Meyers,0/1 Step,13.8,6,15,34.8,20.0,1.7399999999999998
1245,Jakobi Meyers,3 Step,31.000000000000004,6,37,73.99999999999999,51.0,1.4509803921568625
1246,Jakobi Meyers,5 Step,34.70000000000001,6,27,67.7,40.0,1.6925000000000001
1247,Jakobi Meyers,7 Step,10.700000000000001,0,5,15.700000000000001,8.0,1.9625000000000001
1251,Jalen Guyton,0/1 Step,7.300000000000001,0,9,16.300000000000004,10.0,1.6300000000000003
1253,Jalen Guyton,5 Step,14.5,0,10,24.5,18.0,1.3611111111111112
