,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
339,Cedrick Wilson,Man Cover 2,1.3,0,1,2.3,13.0,0.1769230769230769
341,Cedrick Wilson,Screen,3.0000000000000004,0,6,9.0,13.0,0.6923076923076923
342,CeeDee Lamb,Cover 0,4.4,12,2,18.4,16.0,1.15
343,CeeDee Lamb,Cover 2,6.800000000000001,0,9,15.800000000000002,85.0,0.1858823529411765
344,CeeDee Lamb,Cover 4,12.700000000000001,0,9,21.700000000000003,70.0,0.31000000000000005
345,CeeDee Lamb,Cover 6,3.7,0,4,7.7,12.0,0.6416666666666667
346,CeeDee Lamb,Man Cover 2,9.3,0,5,14.299999999999999,20.0,0.715
348,CeeDee Lamb,Prevent,3.4000000000000004,0,1,4.4,1.0,4.4
349,CeeDee Lamb,Screen,8.600000000000001,0,10,18.6,24.0,0.775
354,Chase Claypool,Cover 0,4.9,0,2,6.9,9.0,0.7666666666666667
355,Chase Claypool,Cover 2,10.200000000000001,6,7,23.2,82.0,0.28292682926829266
356,Chase Claypool,Cover 4,19.600000000000005,0,11,30.600000000000005,58.0,0.5275862068965518
357,Chase Claypool,Cover 6,0.8,0,1,1.8,18.0,0.1
358,Chase Claypool,Man Cover 2,12.100000000000001,0,5,17.1,45.0,0.38
360,Chase Claypool,Prevent,0.7000000000000001,0,1,1.7000000000000002,7.0,0.24285714285714288
361,Chase Claypool,Screen,3.2,0,7,10.200000000000001,30.0,0.34
362,Chase Edmonds,Cover 0,3.2,0,3,6.2,4.0,1.55
363,Chase Edmonds,Cover 2,5.4,0,8,13.400000000000002,36.0,0.3722222222222223
364,Chase Edmonds,Cover 4,3.6,0,4,7.6,29.0,0.26206896551724135
365,Chase Edmonds,Cover 6,0.4,0,1,1.4,8.0,0.175
366,Chase Edmonds,Man Cover 2,2.0,0,2,4.0,5.0,0.8
367,Chase Edmonds,Screen,11.700000000000003,0,13,24.700000000000003,24.0,1.0291666666666668
369,Chester Rogers,Cover 0,1.0,0,1,2.0,6.0,0.3333333333333333
370,Chester Rogers,Cover 2,3.4000000000000004,0,3,6.3999999999999995,52.0,0.12307692307692307
372,Chester Rogers,Cover 6,5.300000000000001,0,4,9.3,13.0,0.7153846153846154
373,Chester Rogers,Man Cover 2,0.4,0,1,1.4,20.0,0.06999999999999999
374,Chester Rogers,Screen,2.7,0,7,9.700000000000001,23.0,0.42173913043478267
378,Chris Conley,Combination,0.6000000000000001,0,1,1.6,2.0,0.8
380,Chris Conley,Cover 4,1.3,0,1,2.3,51.0,0.045098039215686274
