,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
535,DJ Moore,Cover 0,0.0,0,0,0.0,7.0,0.0
536,DJ Moore,Cover 2,16.700000000000003,0,10,26.7,86.0,0.31046511627906975
537,DJ Moore,Cover 4,15.700000000000001,6,10,31.7,88.0,0.36022727272727273
538,DJ Moore,Cover 6,5.9,0,3,8.9,15.0,0.5933333333333334
539,DJ Moore,Man Cover 2,4.9,0,5,9.9,25.0,0.396
540,DJ Moore,Prevent,0.0,0,0,0.0,7.0,0.0
541,DJ Moore,Screen,9.5,0,15,24.5,44.0,0.5568181818181818
543,DK Metcalf,Cover 0,2.2,12,3,17.200000000000003,7.0,2.4571428571428577
544,DK Metcalf,Cover 2,8.5,0,5,13.5,49.0,0.2755102040816326
545,DK Metcalf,Cover 4,10.000000000000002,6,8,24.0,90.0,0.26666666666666666
546,DK Metcalf,Cover 6,3.2,6,4,13.2,17.0,0.776470588235294
547,DK Metcalf,Man Cover 2,11.5,12,6,29.5,24.0,1.2291666666666667
549,DK Metcalf,Other,3.1,0,1,4.1,2.0,2.05
550,DK Metcalf,Prevent,1.1,0,1,2.1,16.0,0.13125
551,DK Metcalf,Screen,2.5000000000000004,0,5,7.500000000000001,19.0,0.3947368421052632
552,Dallas Goedert,Cover 0,1.7000000000000002,0,1,2.7,9.0,0.30000000000000004
553,Dallas Goedert,Cover 2,9.2,0,6,15.2,40.0,0.38
554,Dallas Goedert,Cover 4,12.000000000000002,0,8,20.000000000000004,45.0,0.44444444444444453
555,Dallas Goedert,Man Cover 2,4.0,6,3,13.0,13.0,1.0
556,Dallas Goedert,Screen,13.8,0,12,25.8,22.0,1.1727272727272728
558,Dalton Schultz,Cover 0,0.8,0,1,1.8,15.0,0.12000000000000001
559,Dalton Schultz,Cover 2,8.700000000000001,6,10,24.700000000000003,78.0,0.3166666666666667
560,Dalton Schultz,Cover 4,15.600000000000001,0,13,28.6,68.0,0.42058823529411765
561,Dalton Schultz,Cover 6,5.2,0,4,9.200000000000001,13.0,0.7076923076923077
562,Dalton Schultz,Man Cover 2,4.0,6,2,12.0,20.0,0.6
565,Dalton Schultz,Screen,6.000000000000001,0,7,13.0,14.0,0.9285714285714286
567,Dalvin Cook,Cover 2,0.5,0,2,2.5,22.0,0.11363636363636363
568,Dalvin Cook,Cover 4,2.4000000000000004,0,3,5.4,32.0,0.16875
570,Dalvin Cook,Man Cover 2,2.3000000000000003,0,3,5.3,21.0,0.2523809523809524
571,Dalvin Cook,Screen,9.200000000000001,0,14,23.200000000000003,26.0,0.8923076923076925
576,Damien Harris,Screen,1.8000000000000003,0,5,6.800000000000001,9.0,0.7555555555555556
578,Damien Williams,Combination,1.1,0,1,2.1,1.0,2.1
582,Damien Williams,Cover 6,0.0,0,0,0.0,3.0,0.0
584,Damien Williams,Screen,1.7999999999999998,0,6,7.800000000000001,8.0,0.9750000000000001
585,Damiere Byrd,Cover 0,0.0,0,0,0.0,11.0,0.0
586,Damiere Byrd,Cover 4,6.9,0,4,10.9,90.0,0.12111111111111111
588,Damiere Byrd,Prevent,2.8000000000000003,0,2,4.800000000000001,12.0,0.4000000000000001
590,Dan Arnold,Combination,1.9000000000000001,0,1,2.9000000000000004,1.0,2.9000000000000004
591,Dan Arnold,Cover 2,2.8000000000000003,0,3,5.800000000000001,28.0,0.20714285714285716
592,Dan Arnold,Cover 4,13.000000000000002,0,9,22.0,41.0,0.5365853658536586
593,Dan Arnold,Cover 6,3.0,0,2,5.0,7.0,0.7142857142857143
594,Dan Arnold,Man Cover 2,2.1,0,2,4.1000000000000005,12.0,0.34166666666666673
595,Dan Arnold,Screen,6.0,0,5,11.0,13.0,0.8461538461538461
597,Danny Amendola,Cover 0,3.9000000000000004,0,1,4.9,7.0,0.7000000000000001
598,Danny Amendola,Cover 2,6.0,0,4,10.0,12.0,0.8333333333333334
600,Danny Amendola,Cover 6,0.7000000000000001,0,1,1.7000000000000002,7.0,0.24285714285714288
601,Danny Amendola,Man Cover 2,3.4000000000000004,6,2,11.4,6.0,1.9000000000000001
602,Danny Amendola,Prevent,0.9,0,2,2.9,4.0,0.725
603,Danny Amendola,Screen,0.30000000000000004,0,3,3.3,6.0,0.5499999999999999
606,Dante Pettis,Cover 6,0.0,0,0,0.0,8.0,0.0
608,Dare Ogunbowale,Cover 0,0.30000000000000004,0,1,1.3,2.0,0.65
609,Dare Ogunbowale,Cover 2,1.9000000000000001,0,2,3.9000000000000004,12.0,0.325
611,Dare Ogunbowale,Cover 6,0.2,0,1,1.2,4.0,0.3
614,Darius Slayton,Combination,0.0,0,0,0.0,5.0,0.0
615,Darius Slayton,Cover 2,4.7,0,3,7.7,39.0,0.19743589743589743
616,Darius Slayton,Cover 4,6.7,6,6,18.7,60.0,0.31166666666666665
617,Darius Slayton,Cover 6,1.5,0,1,2.5,14.0,0.17857142857142858
618,Darius Slayton,Man Cover 2,0.0,0,0,0.0,17.0,0.0
619,Darius Slayton,Prevent,2.1,0,1,3.1,2.0,1.55
622,Darnell Mooney,Cover 0,0.6000000000000001,0,2,2.6,16.0,0.1625
623,Darnell Mooney,Cover 2,5.1000000000000005,0,4,9.100000000000001,65.0,0.14
624,Darnell Mooney,Cover 4,23.700000000000003,6,15,44.699999999999996,116.0,0.38534482758620686
625,Darnell Mooney,Cover 6,2.5,0,2,4.5,14.0,0.32142857142857145
626,Darnell Mooney,Man Cover 2,8.0,0,4,12.0,22.0,0.5454545454545454
628,Darnell Mooney,Other,1.0,0,1,2.0,3.0,0.6666666666666666
629,Darnell Mooney,Prevent,1.3,0,1,2.3,15.0,0.15333333333333332
630,Darnell Mooney,Screen,12.600000000000001,6,16,34.6,32.0,1.08125
632,Darrel Williams,Cover 2,3.9000000000000004,0,6,9.899999999999999,43.0,0.23023255813953486
633,Darrel Williams,Cover 4,9.000000000000002,6,8,23.0,55.0,0.41818181818181815
634,Darrel Williams,Cover 6,4.0,0,2,6.000000000000001,11.0,0.5454545454545455
635,Darrel Williams,Man Cover 2,3.7,6,2,11.700000000000001,36.0,0.325
636,Darrel Williams,Screen,9.0,0,9,18.000000000000004,19.0,0.9473684210526317
641,Darrell Henderson Jr,Combination,0.0,0,0,0.0,1.0,0.0
642,Darrell Henderson Jr,Cover 0,0.0,0,0,0.0,4.0,0.0
643,Darrell Henderson Jr,Cover 2,1.1,0,3,4.1000000000000005,28.0,0.14642857142857144
646,Darrell Henderson Jr,Man Cover 2,1.9,6,3,10.9,12.0,0.9083333333333333
648,Darrell Henderson Jr,Screen,4.500000000000001,0,9,13.500000000000002,15.0,0.9000000000000001
650,Darren Fells,Cover 0,1.1,0,1,2.1,1.0,2.1
651,Darren Fells,Cover 6,0.6000000000000001,0,1,1.6,2.0,0.8
652,Darren Waller,Cover 0,2.4000000000000004,0,1,3.4000000000000004,9.0,0.3777777777777778
653,Darren Waller,Cover 2,8.4,0,6,14.400000000000002,37.0,0.38918918918918927
654,Darren Waller,Cover 4,9.9,0,9,18.900000000000002,57.0,0.3315789473684211
655,Darren Waller,Cover 6,0.0,0,0,0.0,6.0,0.0
656,Darren Waller,Man Cover 2,9.200000000000001,0,6,15.200000000000001,33.0,0.46060606060606063
657,Darren Waller,Prevent,0.0,0,0,0.0,1.0,0.0
658,Darren Waller,Screen,2.6,0,8,10.600000000000001,9.0,1.177777777777778
661,Davante Adams,Combination,0.0,0,0,0.0,3.0,0.0
662,Davante Adams,Cover 0,3.5,12,4,19.5,16.0,1.21875
663,Davante Adams,Cover 2,8.9,0,8,16.9,54.0,0.31296296296296294
664,Davante Adams,Cover 4,20.000000000000004,0,12,32.00000000000001,68.0,0.47058823529411775
665,Davante Adams,Cover 6,5.3999999999999995,0,5,10.400000000000002,20.0,0.5200000000000001
666,Davante Adams,Man Cover 2,9.8,0,6,15.799999999999999,43.0,0.36744186046511623
667,Davante Adams,Other,1.7000000000000002,6,1,8.7,1.0,8.7
668,Davante Adams,Screen,18.6,0,27,45.60000000000001,53.0,0.8603773584905662
670,David Johnson,Cover 0,0.0,0,0,0.0,2.0,0.0
673,David Johnson,Man Cover 2,1.4000000000000001,0,1,2.4000000000000004,14.0,0.17142857142857146
674,David Johnson,Screen,6.300000000000001,0,9,15.3,16.0,0.95625
676,David Montgomery,Combination,0.6000000000000001,0,1,1.6,3.0,0.5333333333333333
677,David Montgomery,Cover 2,5.9,0,7,12.9,33.0,0.39090909090909093
678,David Montgomery,Cover 4,10.3,0,16,26.300000000000004,51.0,0.515686274509804
680,David Montgomery,Man Cover 2,0.2,0,1,1.2,14.0,0.08571428571428572
681,David Montgomery,Screen,4.9,0,7,11.9,10.0,1.19
685,David Njoku,Cover 0,0.6000000000000001,0,1,1.6,3.0,0.5333333333333333
686,David Njoku,Cover 2,3.1000000000000005,0,5,8.100000000000001,35.0,0.23142857142857146
687,David Njoku,Cover 4,14.200000000000003,12,8,34.2,31.0,1.103225806451613
688,David Njoku,Cover 6,1.5,0,2,3.5,10.0,0.35
689,David Njoku,Man Cover 2,2.5,0,3,5.5,20.0,0.275
690,David Njoku,Screen,8.3,0,7,15.3,22.0,0.6954545454545454
695,Dawson Knox,Cover 2,6.000000000000001,0,6,12.0,51.0,0.23529411764705882
696,Dawson Knox,Cover 4,7.4,0,6,13.4,65.0,0.20615384615384616
697,Dawson Knox,Cover 6,2.2,0,2,4.2,14.0,0.3
698,Dawson Knox,Man Cover 2,0.0,0,0,0.0,23.0,0.0
700,Dawson Knox,Other,1.5,0,1,2.5,2.0,1.25
701,Dawson Knox,Screen,4.300000000000001,6,7,17.3,18.0,0.9611111111111111
703,Dax Milne,Cover 6,-0.2,0,1,0.8,2.0,0.4
705,Dazz Newsome,Cover 0,0.0,0,0,0.0,2.0,0.0
707,Dazz Newsome,Prevent,1.3,0,1,2.3,6.0,0.3833333333333333
708,DeAndre Carter,Combination,0.0,0,0,0.0,2.0,0.0
709,DeAndre Carter,Cover 2,4.6,0,4,8.6,28.0,0.3071428571428571
710,DeAndre Carter,Cover 4,6.800000000000001,0,4,10.8,34.0,0.31764705882352945
711,DeAndre Carter,Cover 6,0.5,0,1,1.5,9.0,0.16666666666666666
713,DeAndre Carter,Screen,3.1999999999999997,0,5,8.2,17.0,0.48235294117647054
