,nickName,CoverageType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
72,Browns,Screen,28,7.080000000000003,8,0,15.079999999999998,0.5385714285714285
73,Browns,Tampa 2,2,0.28,0,0,0.28,0.14
74,Buccaneers,Combination,1,0.8,0,0,0.8,0.8
75,Buccaneers,Cover 0,18,5.3999999999999995,8,0,13.4,0.7444444444444445
76,Buccaneers,Cover 1,104,23.239999999999995,16,-2,37.23999999999999,0.35807692307692296
77,Buccaneers,Cover 2,69,20.159999999999993,8,-2,26.159999999999997,0.37913043478260866
78,Buccaneers,Cover 3,240,60.91999999999999,24,-6,78.91999999999999,0.32883333333333326
79,Buccaneers,Cover 4,105,23.48,4,-3,24.479999999999997,0.23314285714285712
80,Buccaneers,Cover 6,11,2.5600000000000005,0,0,2.5600000000000005,0.23272727272727278
81,Buccaneers,Man Cover 2,50,13.08,0,-2,11.08,0.2216
82,Buccaneers,No Video,15,2.6,0,0,2.6,0.17333333333333334
83,Buccaneers,Prevent,6,1.12,0,-1,0.12,0.02
84,Buccaneers,Screen,41,9.280000000000001,0,0,9.280000000000001,0.22634146341463418
85,Buccaneers,Tampa 2,9,2.16,0,0,2.16,0.24000000000000002
86,Cardinals,Cover 0,28,2.88,8,-1,9.879999999999999,0.3528571428571428
87,Cardinals,Cover 1,94,23.239999999999995,24,-1,46.24000000000001,0.4919148936170214
88,Cardinals,Cover 2,33,10.160000000000002,4,0,14.160000000000002,0.42909090909090913
89,Cardinals,Cover 3,158,49.080000000000005,24,-2,71.08,0.44987341772151895
90,Cardinals,Cover 4,87,21.839999999999993,8,-3,26.83999999999999,0.30850574712643664
91,Cardinals,Cover 6,13,2.6799999999999997,0,-1,1.6800000000000002,0.12923076923076923
92,Cardinals,Man Cover 2,38,10.960000000000003,4,-1,13.959999999999999,0.36736842105263157
93,Cardinals,No Video,3,0.0,0,0,0.0,0.0
94,Cardinals,Other,3,2.6399999999999997,0,0,2.6399999999999997,0.8799999999999999
95,Cardinals,Prevent,2,2.2800000000000002,4,0,6.28,3.14
96,Cardinals,Screen,37,7.080000000000002,0,0,7.080000000000002,0.1913513513513514
97,Cardinals,Tampa 2,17,2.48,0,-2,0.48000000000000015,0.028235294117647067
98,Chargers,Combination,1,0.0,0,0,0.0,0.0
99,Chargers,Cover 0,3,0.0,4,0,4.0,1.3333333333333333
100,Chargers,Cover 1,86,24.240000000000002,12,0,36.24,0.4213953488372093
101,Chargers,Cover 2,35,8.6,0,-1,7.6000000000000005,0.21714285714285717
102,Chargers,Cover 3,153,44.999999999999986,20,-3,61.999999999999986,0.40522875816993453
103,Chargers,Cover 4,75,23.52,4,-4,23.52,0.3136
104,Chargers,Cover 6,20,9.96,4,0,13.96,0.6980000000000001
105,Chargers,Man Cover 2,34,6.480000000000001,0,-1,5.480000000000001,0.16117647058823534
106,Chargers,Prevent,4,2.16,0,0,2.16,0.54
107,Chargers,Screen,22,5.840000000000001,8,0,13.840000000000003,0.6290909090909093
108,Chargers,Tampa 2,2,0.88,0,0,0.88,0.44
109,Chiefs,Combination,1,1.12,0,0,1.12,1.12
110,Chiefs,Cover 0,33,6.3999999999999995,8,0,14.399999999999999,0.43636363636363634
111,Chiefs,Cover 1,149,32.59999999999999,24,-3,53.60000000000001,0.35973154362416115
112,Chiefs,Cover 2,121,41.679999999999986,12,-4,49.67999999999999,0.41057851239669413
