nickName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
49ers,116.0,0/1 Step,49.29999999999999,12,65,126.30000000000004,116.0,1.0887931034482763,92,465,0.1978494623655914
49ers,169.0,3 Step,193.6000000000001,84,153,430.59999999999985,169.0,2.5479289940828393,225,465,0.4838709677419355
49ers,51.0,5 Step,86.5,24,66,176.49999999999994,51.0,3.460784313725489,110,465,0.23655913978494625
49ers,23.0,7 Step,32.300000000000004,0,21,53.300000000000004,23.0,2.3173913043478263,38,465,0.08172043010752689
Bears,94.0,0/1 Step,70.30000000000001,30,66,166.30000000000004,94.0,1.7691489361702133,99,361,0.2742382271468144
Bears,168.0,3 Step,110.69999999999999,60,89,259.6999999999999,168.0,1.5458333333333325,147,361,0.407202216066482
Bears,87.0,5 Step,57.7,30,42,129.7,87.0,1.4908045977011493,77,361,0.21329639889196675
Bears,47.0,7 Step,34.2,18,21,73.2,47.0,1.5574468085106383,38,361,0.10526315789473684
Bengals,87.0,0/1 Step,76.19999999999999,12,95,183.2,87.0,2.1057471264367815,139,578,0.24048442906574394
Bengals,293.0,3 Step,217.50000000000003,72,187,476.5000000000002,293.0,1.6262798634812294,283,578,0.48961937716262977
Bengals,53.0,5 Step,79.70000000000003,36,67,182.70000000000005,53.0,3.4471698113207556,114,578,0.1972318339100346
Bengals,5.0,7 Step,47.900000000000006,6,27,80.9,5.0,16.18,42,578,0.0726643598615917
Bills,173.0,0/1 Step,69.99999999999999,24,72,166.0,173.0,0.9595375722543352,103,438,0.23515981735159816
Bills,194.0,3 Step,124.89999999999998,48,115,287.9000000000001,194.0,1.4840206185567015,198,438,0.4520547945205479
Bills,88.0,5 Step,59.900000000000006,0,54,113.89999999999999,88.0,1.2943181818181817,111,438,0.2534246575342466
Bills,48.0,7 Step,20.900000000000006,6,13,39.900000000000006,48.0,0.8312500000000002,26,438,0.0593607305936073
Broncos,98.0,0/1 Step,28.700000000000003,12,40,80.7,98.0,0.823469387755102,52,378,0.13756613756613756
Broncos,135.0,3 Step,145.10000000000005,48,125,318.09999999999997,135.0,2.356296296296296,204,378,0.5396825396825397
