nickName,route,FP_yards,FP_TD,FP_receiving,FP/routes,plays,totalPlays,freq
Lions,4.0,48.50000000000001,0,48,0.3784313725490196,63,218,0.2889908256880734
Lions,6.0,37.1,0,27,0.5672566371681417,37,218,0.16972477064220184
Lions,5.0,25.2,0,29,0.292972972972973,43,218,0.19724770642201836
Lions,8.0,14.1,6,5,0.27582417582417584,10,218,0.045871559633027525
Lions,2.0,19.800000000000004,6,17,0.9304347826086956,42,218,0.1926605504587156
Packers,3.0,1.1,0,1,0.42000000000000004,4,261,0.01532567049808429
Packers,7.0,19.6,12,7,0.45952380952380956,16,261,0.06130268199233716
Packers,4.0,51.90000000000001,12,57,3.555882352941176,80,261,0.3065134099616858
Packers,6.0,21.300000000000004,0,18,0.22848837209302328,37,261,0.1417624521072797
Packers,5.0,40.099999999999994,6,46,0.5032786885245901,68,261,0.26053639846743293
Packers,8.0,13.0,6,3,0.275,16,261,0.06130268199233716
Packers,2.0,28.500000000000004,6,25,0.3459302325581396,40,261,0.1532567049808429
Panthers,3.0,2.9000000000000004,6,3,0.2902439024390244,6,194,0.030927835051546393
Panthers,7.0,7.6000000000000005,6,3,0.1711340206185567,7,194,0.03608247422680412
Panthers,4.0,35.8,18,45,0.5145833333333334,64,194,0.32989690721649484
Panthers,6.0,30.399999999999995,0,20,0.24114832535885167,30,194,0.15463917525773196
Panthers,5.0,26.1,18,29,0.41771428571428576,41,194,0.211340206185567
Panthers,8.0,12.100000000000001,0,4,0.14770642201834863,10,194,0.05154639175257732
Panthers,2.0,34.1,24,28,0.5554838709677421,36,194,0.18556701030927836
Patriots,3.0,2.6000000000000005,0,2,0.1642857142857143,3,191,0.015706806282722512
Patriots,7.0,14.900000000000002,6,5,0.3984615384615385,15,191,0.07853403141361257
Patriots,4.0,42.50000000000001,6,45,0.39451476793248946,67,191,0.3507853403141361
Patriots,6.0,18.4,0,14,0.11134020618556703,21,191,0.1099476439790576
Patriots,5.0,25.4,0,27,0.2911111111111111,48,191,0.2513089005235602
Patriots,8.0,9.5,12,6,0.4583333333333333,10,191,0.05235602094240838
Patriots,2.0,18.599999999999998,18,16,0.6045977011494252,27,191,0.14136125654450263
Raiders,3.0,8.3,0,7,0.5666666666666667,11,241,0.04564315352697095
Raiders,7.0,16.400000000000002,12,8,0.27368421052631575,15,241,0.06224066390041494
Raiders,4.0,60.099999999999994,12,74,0.40359116022099445,98,241,0.4066390041493776
Raiders,6.0,27.2,6,22,0.2464285714285715,31,241,0.12863070539419086
Raiders,5.0,34.1,12,33,0.3858536585365855,45,241,0.18672199170124482
Raiders,8.0,3.3000000000000003,0,2,0.041085271317829464,11,241,0.04564315352697095
Raiders,2.0,21.5,0,22,0.4833333333333334,30,241,0.12448132780082988
Rams,3.0,7.200000000000001,0,5,0.6100000000000001,17,313,0.054313099041533544
Rams,7.0,15.900000000000002,18,7,0.43510638297872345,9,313,0.02875399361022364
Rams,4.0,73.60000000000001,0,78,0.503654485049834,100,313,0.3194888178913738
Rams,6.0,43.4,18,35,0.5572254335260114,55,313,0.1757188498402556
Rams,5.0,40.10000000000001,6,44,0.41712962962962963,68,313,0.21725239616613418
Rams,8.0,17.5,12,7,0.35096153846153844,12,313,0.038338658146964855
Rams,2.0,49.6,0,40,1.1341772151898732,52,313,0.16613418530351437
Ravens,3.0,6.5,0,5,0.3709677419354838,12,267,0.0449438202247191
Ravens,7.0,22.8,6,8,0.5492537313432836,15,267,0.056179775280898875
Ravens,4.0,42.7,6,40,0.16186131386861316,64,267,0.2397003745318352
Ravens,6.0,33.300000000000004,6,23,0.3423076923076923,38,267,0.14232209737827714
Ravens,5.0,50.4,18,52,0.5873170731707318,78,267,0.29213483146067415
Ravens,8.0,21.200000000000003,12,10,0.6260869565217392,19,267,0.07116104868913857
Ravens,2.0,40.2,36,28,0.5887005649717514,41,267,0.15355805243445692
Saints,3.0,11.200000000000001,0,7,0.8666666666666666,11,229,0.048034934497816595
Saints,7.0,19.200000000000003,12,8,0.4,17,229,0.07423580786026202
Saints,4.0,29.7,6,34,0.37272727272727274,44,229,0.19213973799126638
Saints,6.0,19.400000000000002,0,13,0.22816901408450707,26,229,0.11353711790393013
Saints,5.0,43.4,6,48,0.8254237288135594,65,229,0.2838427947598253
Saints,8.0,13.000000000000002,0,5,0.2222222222222222,11,229,0.048034934497816595
Saints,2.0,57.000000000000014,12,41,1.358024691358025,55,229,0.24017467248908297
Seahawks,3.0,1.9000000000000004,0,2,0.24375000000000002,5,240,0.020833333333333332
Seahawks,7.0,8.100000000000001,6,4,0.18100000000000002,11,240,0.04583333333333333
Seahawks,4.0,70.00000000000001,24,70,0.5942028985507247,91,240,0.37916666666666665
Seahawks,6.0,37.199999999999996,0,22,0.9704918032786884,35,240,0.14583333333333334
Seahawks,5.0,32.10000000000001,12,38,0.37834101382488483,52,240,0.21666666666666667
Seahawks,8.0,17.5,24,7,0.8362068965517241,10,240,0.041666666666666664
Seahawks,2.0,24.400000000000002,0,24,0.44403669724770645,36,240,0.15
Steelers,3.0,5.5,0,4,0.5588235294117647,4,259,0.015444015444015444
Steelers,7.0,33.800000000000004,24,13,0.8045454545454543,25,259,0.09652509652509653
Steelers,4.0,51.39999999999999,0,60,0.3776271186440678,89,259,0.3436293436293436
Steelers,6.0,39.0,6,22,0.4496644295302014,33,259,0.1274131274131274
Steelers,5.0,34.2,0,38,0.21812688821752263,52,259,0.20077220077220076
Steelers,8.0,13.7,0,5,0.3016129032258064,14,259,0.05405405405405406
Steelers,2.0,35.30000000000001,24,27,0.4664864864864865,42,259,0.16216216216216217
Texans,3.0,5.800000000000001,0,4,0.4083333333333334,5,178,0.028089887640449437
Texans,7.0,13.000000000000002,18,5,0.3272727272727273,9,178,0.05056179775280899
Texans,4.0,43.70000000000001,18,42,0.44316239316239325,66,178,0.3707865168539326
Texans,6.0,22.200000000000003,0,16,0.2984375,25,178,0.1404494382022472
Texans,5.0,11.200000000000001,0,10,0.09422222222222222,17,178,0.09550561797752809
Texans,8.0,32.10000000000001,24,11,1.6775000000000002,16,178,0.0898876404494382
Texans,2.0,33.199999999999996,6,26,0.7951219512195122,40,178,0.2247191011235955
Titans,3.0,4.7,0,4,0.4833333333333334,5,265,0.018867924528301886
Titans,7.0,26.9,24,12,0.9388059701492538,25,265,0.09433962264150944
Titans,4.0,49.30000000000001,0,61,0.3468553459119497,79,265,0.2981132075471698
Titans,6.0,34.800000000000004,12,22,0.5548387096774193,40,265,0.1509433962264151
Titans,5.0,41.2,6,44,0.6162162162162163,77,265,0.29056603773584905
Titans,8.0,9.9,0,4,0.24821428571428572,12,265,0.045283018867924525
Titans,2.0,18.000000000000004,6,17,0.31297709923664124,27,265,0.1018867924528302
Vikings,3.0,6.9,0,5,0.33055555555555555,8,248,0.03225806451612903
Vikings,7.0,5.7,0,2,0.051333333333333335,8,248,0.03225806451612903
Vikings,4.0,57.70000000000002,12,60,0.4682310469314079,71,248,0.2862903225806452
Vikings,6.0,24.2,0,17,0.19526066350710894,30,248,0.12096774193548387
Vikings,5.0,46.3,18,42,0.5684491978609625,60,248,0.24193548387096775
Vikings,8.0,27.500000000000004,12,11,0.5804597701149427,15,248,0.06048387096774194
Vikings,2.0,36.0,6,29,0.45222929936305734,56,248,0.22580645161290322
