nickName,route,FP_yards,FP_TD,FP_receiving,FP/routes,plays,totalPlays,freq
49ers,3.0,5.1,0,3,0.44999999999999996,10,238,0.04201680672268908
49ers,7.0,16.700000000000003,24,8,0.9549019607843137,14,238,0.058823529411764705
49ers,4.0,49.6,12,53,0.6903614457831325,71,238,0.29831932773109243
49ers,6.0,27.10000000000001,0,17,0.17710843373493976,32,238,0.13445378151260504
49ers,5.0,42.8,6,46,0.5296089385474861,62,238,0.2605042016806723
49ers,8.0,19.700000000000003,6,7,0.41923076923076924,20,238,0.08403361344537816
49ers,2.0,20.700000000000003,0,17,0.34907407407407404,29,238,0.12184873949579832
Bears,3.0,0.0,0,0,0.0,3,189,0.015873015873015872
Bears,7.0,21.5,24,10,0.6768292682926829,21,189,0.1111111111111111
Bears,4.0,20.4,6,25,0.09941972920696325,39,189,0.20634920634920634
Bears,6.0,15.799999999999999,6,13,0.22745098039215683,30,189,0.15873015873015872
Bears,5.0,29.600000000000012,0,31,0.3672727272727273,47,189,0.24867724867724866
Bears,8.0,25.200000000000003,18,6,0.76875,12,189,0.06349206349206349
Bears,2.0,27.3,24,25,0.6358333333333335,37,189,0.19576719576719576
Bengals,3.0,5.1000000000000005,0,4,0.4136363636363637,8,288,0.027777777777777776
Bengals,7.0,15.9,12,6,0.3424242424242424,18,288,0.0625
Bengals,4.0,57.09999999999999,0,70,0.3570224719101123,87,288,0.3020833333333333
Bengals,6.0,35.400000000000006,0,25,0.31134020618556707,43,288,0.14930555555555555
Bengals,5.0,43.1,18,48,0.5994505494505495,78,288,0.2708333333333333
Bengals,8.0,17.900000000000002,6,8,0.6787234042553191,11,288,0.03819444444444445
Bengals,2.0,28.1,18,24,0.4099415204678362,43,288,0.14930555555555555
Bills,3.0,4.0,0,4,0.26666666666666666,8,245,0.0326530612244898
Bills,7.0,11.200000000000001,18,7,0.5484848484848486,18,245,0.07346938775510205
Bills,4.0,41.099999999999994,6,52,0.15581761006289313,75,245,0.30612244897959184
Bills,6.0,37.300000000000004,6,26,0.3482412060301508,46,245,0.18775510204081633
Bills,5.0,28.600000000000005,6,35,0.43499999999999994,53,245,0.2163265306122449
Bills,8.0,2.2,0,1,0.029906542056074768,4,245,0.0163265306122449
Bills,2.0,25.900000000000002,12,20,0.5848484848484848,41,245,0.1673469387755102
Broncos,3.0,4.1000000000000005,0,4,1.0125000000000002,10,205,0.04878048780487805
Broncos,7.0,15.900000000000002,18,8,0.40679611650485437,10,205,0.04878048780487805
Broncos,4.0,18.5,0,23,0.1022167487684729,41,205,0.2
Broncos,6.0,37.7,0,25,0.2348314606741573,36,205,0.17560975609756097
Broncos,5.0,42.599999999999994,0,44,0.4920454545454546,64,205,0.3121951219512195
Broncos,8.0,16.6,6,7,0.34022988505747126,12,205,0.05853658536585366
Broncos,2.0,28.0,6,20,0.6923076923076923,32,205,0.15609756097560976
Browns,3.0,9.0,0,7,1.0,12,232,0.05172413793103448
Browns,7.0,9.700000000000001,6,5,0.19714285714285715,9,232,0.03879310344827586
Browns,4.0,55.20000000000002,12,58,0.5282700421940928,81,232,0.34913793103448276
Browns,6.0,12.8,0,9,0.19292035398230092,20,232,0.08620689655172414
Browns,5.0,33.300000000000004,24,39,0.3689655172413792,55,232,0.23706896551724138
Browns,8.0,16.700000000000003,12,4,0.4739130434782609,16,232,0.06896551724137931
Browns,2.0,32.800000000000004,18,23,0.7306930693069308,39,232,0.16810344827586207
Buccaneers,3.0,4.0,6,5,0.6818181818181818,11,281,0.03914590747330961
Buccaneers,7.0,12.600000000000001,18,6,0.4021978021978022,15,281,0.05338078291814947
Buccaneers,4.0,69.0,0,77,0.38522427440633245,106,281,0.37722419928825623
Buccaneers,6.0,24.700000000000003,0,14,0.15357142857142858,25,281,0.08896797153024912
Buccaneers,5.0,48.59999999999998,12,46,0.4037878787878788,68,281,0.24199288256227758
Buccaneers,8.0,29.700000000000006,6,11,0.25659340659340657,19,281,0.06761565836298933
Buccaneers,2.0,20.800000000000004,6,20,0.3441176470588236,37,281,0.13167259786476868
Cardinals,3.0,2.9,6,3,0.6263157894736843,4,226,0.017699115044247787
Cardinals,7.0,6.1,12,3,0.23186813186813188,7,226,0.030973451327433628
Cardinals,4.0,40.300000000000004,0,45,0.21432160804020103,66,226,0.2920353982300885
Cardinals,6.0,19.7,0,13,0.40875000000000006,22,226,0.09734513274336283
Cardinals,5.0,53.60000000000001,30,55,1.2486486486486486,80,226,0.35398230088495575
Cardinals,8.0,29.200000000000003,24,11,0.9304347826086955,17,226,0.0752212389380531
Cardinals,2.0,15.899999999999999,6,15,0.369,30,226,0.13274336283185842
Chargers,3.0,5.300000000000001,0,4,0.30000000000000004,7,227,0.030837004405286344
Chargers,7.0,18.300000000000004,0,5,0.1834645669291339,14,227,0.06167400881057269
Chargers,4.0,26.89999999999999,6,38,0.1544662309368192,49,227,0.21585903083700442
Chargers,6.0,35.300000000000004,6,27,0.3732240437158471,40,227,0.1762114537444934
Chargers,5.0,52.600000000000016,18,47,0.5004255319148937,73,227,0.32158590308370044
Chargers,8.0,9.700000000000001,6,3,0.17155963302752297,13,227,0.05726872246696035
Chargers,2.0,24.400000000000002,6,20,0.32307692307692304,31,227,0.13656387665198239
Chiefs,3.0,5.6,0,6,2.32,7,263,0.026615969581749048
Chiefs,7.0,18.700000000000003,12,7,0.4142857142857143,14,263,0.053231939163498096
Chiefs,4.0,57.70000000000002,24,67,0.29621513944223093,89,263,0.33840304182509506
Chiefs,6.0,23.400000000000002,0,19,0.23425414364640879,31,263,0.11787072243346007
Chiefs,5.0,36.0,24,40,0.4524886877828055,56,263,0.21292775665399238
Chiefs,8.0,23.9,30,8,0.5785046728971962,17,263,0.06463878326996197
Chiefs,2.0,29.2,6,31,0.5658119658119658,49,263,0.18631178707224336
Colts,3.0,5.0,6,6,0.8095238095238095,10,228,0.043859649122807015
Colts,7.0,9.4,0,4,0.11166666666666666,11,228,0.04824561403508772
Colts,4.0,43.3,6,47,0.24014962593516215,73,228,0.3201754385964912
Colts,6.0,36.199999999999996,12,25,0.33732718894009217,39,228,0.17105263157894737
Colts,5.0,43.800000000000004,12,41,1.2100000000000004,59,228,0.25877192982456143
Colts,8.0,19.9,18,10,0.4938144329896907,12,228,0.05263157894736842
Colts,2.0,20.4,12,18,0.9,24,228,0.10526315789473684
Cowboys,3.0,4.4,0,5,0.24102564102564103,6,207,0.028985507246376812
Cowboys,7.0,15.7,0,5,0.21122448979591835,12,207,0.057971014492753624
Cowboys,4.0,43.400000000000006,0,39,0.19074074074074077,53,207,0.2560386473429952
Cowboys,6.0,39.6,12,18,0.33142857142857146,34,207,0.1642512077294686
Cowboys,5.0,31.299999999999997,0,32,0.2648535564853557,55,207,0.26570048309178745
Cowboys,8.0,12.3,0,4,0.12442748091603054,9,207,0.043478260869565216
Cowboys,2.0,18.500000000000004,6,17,0.25,38,207,0.18357487922705315
Dolphins,3.0,6.9,0,5,1.0818181818181818,7,178,0.03932584269662921
Dolphins,7.0,9.0,12,4,0.23148148148148148,9,178,0.05056179775280899
Dolphins,4.0,36.9,6,37,0.2552715654952076,55,178,0.3089887640449438
Dolphins,6.0,10.5,0,7,0.09308510638297872,16,178,0.0898876404494382
Dolphins,5.0,38.6,0,39,0.3695238095238095,52,178,0.29213483146067415
Dolphins,8.0,14.400000000000002,12,6,0.32727272727272727,14,178,0.07865168539325842
Dolphins,2.0,20.900000000000002,6,13,0.17198275862068968,25,178,0.1404494382022472
Eagles,3.0,0.0,0,0,0.0,4,223,0.017937219730941704
Eagles,7.0,5.900000000000001,6,4,0.24090909090909093,10,223,0.04484304932735426
Eagles,4.0,63.99999999999999,12,68,0.5737051792828688,84,223,0.37668161434977576
Eagles,6.0,34.400000000000006,0,22,0.7421052631578947,32,223,0.14349775784753363
Eagles,5.0,24.400000000000002,6,33,0.5711711711711711,50,223,0.2242152466367713
Eagles,8.0,18.900000000000002,0,7,0.2697916666666667,14,223,0.06278026905829596
Eagles,2.0,21.500000000000007,12,19,1.4189189189189186,29,223,0.13004484304932734
Falcons,3.0,2.0,0,2,0.4,5,218,0.022935779816513763
Falcons,7.0,5.300000000000001,24,5,0.27440000000000003,10,218,0.045871559633027525
Falcons,4.0,67.5,6,66,0.3478802992518705,83,218,0.38073394495412843
Falcons,6.0,28.0,0,17,0.2216748768472906,26,218,0.11926605504587157
Falcons,5.0,38.49999999999999,6,36,0.44722222222222224,49,218,0.22477064220183487
Falcons,8.0,16.200000000000003,6,8,0.3081632653061225,11,218,0.05045871559633028
Falcons,2.0,28.3,0,18,0.2858024691358025,34,218,0.1559633027522936
Football Team,3.0,7.4,0,6,0.4466666666666666,10,222,0.04504504504504504
Football Team,7.0,11.3,6,6,0.6657142857142857,9,222,0.04054054054054054
Football Team,4.0,49.900000000000006,0,54,0.48101851851851846,68,222,0.3063063063063063
Football Team,6.0,27.099999999999994,0,22,0.32733333333333337,32,222,0.14414414414414414
Football Team,5.0,35.8,6,36,0.4094736842105263,58,222,0.26126126126126126
Football Team,8.0,19.5,18,6,0.40654205607476634,11,222,0.04954954954954955
Football Team,2.0,20.2,12,19,0.5953488372093022,34,222,0.15315315315315314
Giants,3.0,0.8,0,1,0.05454545454545455,5,204,0.024509803921568627
Giants,7.0,5.300000000000001,0,2,0.07934782608695654,8,204,0.0392156862745098
Giants,4.0,50.90000000000001,6,54,0.33708206686930076,66,204,0.3235294117647059
Giants,6.0,16.900000000000002,6,16,0.1994871794871795,24,204,0.11764705882352941
Giants,5.0,31.3,6,33,0.40171428571428563,50,204,0.24509803921568626
Giants,8.0,16.800000000000004,6,7,0.37721518987341773,14,204,0.06862745098039216
Giants,2.0,25.7,6,23,0.34402515723270444,37,204,0.18137254901960784
Jaguars,3.0,0.8,0,1,0.0782608695652174,2,201,0.009950248756218905
Jaguars,7.0,24.3,6,9,0.5171052631578948,19,201,0.0945273631840796
Jaguars,4.0,38.89999999999999,0,43,0.20222222222222225,55,201,0.2736318407960199
Jaguars,6.0,19.1,6,15,0.20885416666666667,23,201,0.11442786069651742
Jaguars,5.0,30.5,12,38,0.4653179190751445,51,201,0.2537313432835821
Jaguars,8.0,11.0,0,3,0.21875,9,201,0.04477611940298507
Jaguars,2.0,42.00000000000001,36,37,1.1855670103092786,42,201,0.208955223880597
Jets,3.0,1.2000000000000002,0,2,0.10666666666666667,5,185,0.02702702702702703
Jets,7.0,9.100000000000001,0,3,0.16351351351351354,13,185,0.07027027027027027
Jets,4.0,37.9,6,41,0.2596330275229358,55,185,0.2972972972972973
Jets,6.0,14.400000000000004,0,10,0.1167464114832536,17,185,0.0918918918918919
Jets,5.0,43.30000000000001,6,41,0.40859728506787335,51,185,0.2756756756756757
Jets,8.0,11.9,0,4,0.18275862068965518,9,185,0.04864864864864865
Jets,2.0,28.20000000000001,12,26,0.5756521739130435,35,185,0.1891891891891892
Lions,3.0,4.6,0,3,0.475,5,218,0.022935779816513763
Lions,7.0,17.7,6,8,0.7925000000000001,18,218,0.08256880733944955
