nickName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
49ers,Duo,18,5.499999999999999,0,0,5.499999999999999,0.3055555555555555,18,246,0.07317073170731707
49ers,Pass Protection,35,24.800000000000004,6,-1,29.80000000000001,0.8514285714285718,35,246,0.14227642276422764
49ers,Pull Across,38,16.999999999999996,0,-1,15.999999999999998,0.42105263157894735,38,246,0.15447154471544716
49ers,Split Zone,20,10.400000000000002,0,0,10.400000000000002,0.5200000000000001,20,246,0.08130081300813008
49ers,Zone,135,53.999999999999986,36,-1,88.99999999999997,0.6592592592592591,135,246,0.5487804878048781
Bears,Duo,15,6.1000000000000005,6,0,12.100000000000001,0.8066666666666668,15,274,0.05474452554744526
Bears,Pass Protection,27,15.7,0,0,15.7,0.5814814814814815,27,274,0.09854014598540146
Bears,Pull Across,32,19.0,12,0,31.0,0.96875,32,274,0.11678832116788321
Bears,Split Zone,31,11.000000000000002,0,0,11.000000000000002,0.35483870967741943,31,274,0.11313868613138686
Bears,Zone,169,56.9,18,-2,72.9,0.4313609467455622,169,274,0.6167883211678832
Bengals,Duo,20,7.6,0,0,7.6,0.38,20,292,0.0684931506849315
Bengals,Pass Protection,28,21.2,6,0,27.199999999999996,0.9714285714285713,28,292,0.0958904109589041
Bengals,Pull 2,15,8.9,0,0,8.9,0.5933333333333334,15,292,0.05136986301369863
Bengals,Pull Across,54,37.2,12,0,49.20000000000003,0.9111111111111116,54,292,0.18493150684931506
Bengals,Split Zone,28,11.100000000000001,12,0,23.1,0.8250000000000001,28,292,0.0958904109589041
Bengals,Zone,147,62.4,18,0,80.39999999999998,0.546938775510204,147,292,0.5034246575342466
Bills,Duo,21,8.9,0,0,8.9,0.4238095238095238,21,298,0.07046979865771812
Bills,Pass Protection,36,21.299999999999997,6,0,27.3,0.7583333333333333,36,298,0.12080536912751678
Bills,Pull Across,44,17.700000000000003,12,0,29.699999999999996,0.6749999999999999,44,298,0.1476510067114094
Bills,Pull Outside Numbers,14,6.199999999999999,0,0,6.199999999999999,0.4428571428571428,14,298,0.04697986577181208
Bills,Split Zone,35,20.700000000000003,6,-1,25.700000000000003,0.7342857142857143,35,298,0.1174496644295302
Bills,Zone,148,53.7,48,0,101.69999999999992,0.6871621621621616,148,298,0.4966442953020134
Broncos,Duo,14,6.800000000000001,6,0,12.799999999999999,0.9142857142857143,14,225,0.06222222222222222
