,nickName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Team,RouteType,Routes Run,FP/routes
8,49ers,Comeback,5.1,0,3,8.1,49ers,Comeback,18.0,0.44999999999999996
9,49ers,Corner,16.700000000000003,24,8,48.699999999999996,49ers,Corner,51.0,0.9549019607843137
10,49ers,Curl,49.6,12,53,114.6,49ers,Curl,166.0,0.6903614457831325
12,49ers,Dig,27.10000000000001,0,17,44.1,49ers,Dig,249.0,0.17710843373493976
22,49ers,Out,42.8,6,46,94.80000000000001,49ers,Out,179.0,0.5296089385474861
25,49ers,Post,19.700000000000003,6,7,32.7,49ers,Post,78.0,0.41923076923076924
37,49ers,Slant,20.700000000000003,0,17,37.699999999999996,49ers,Slant,108.0,0.34907407407407404
51,Bears,Comeback,0.0,0,0,0.0,Bears,Comeback,31.0,0.0
52,Bears,Corner,21.5,24,10,55.49999999999999,Bears,Corner,82.0,0.6768292682926829
54,Bears,Curl,20.4,6,25,51.4,Bears,Curl,517.0,0.09941972920696325
56,Bears,Dig,15.799999999999999,6,13,34.8,Bears,Dig,153.0,0.22745098039215683
66,Bears,Out,29.600000000000012,0,31,60.60000000000001,Bears,Out,165.0,0.3672727272727273
69,Bears,Post,25.200000000000003,18,6,49.2,Bears,Post,64.0,0.76875
79,Bears,Slant,27.3,24,25,76.30000000000001,Bears,Slant,120.0,0.6358333333333335
92,Bengals,Comeback,5.1000000000000005,0,4,9.100000000000001,Bengals,Comeback,22.0,0.4136363636363637
93,Bengals,Corner,15.9,12,6,33.9,Bengals,Corner,99.0,0.3424242424242424
95,Bengals,Curl,57.09999999999999,0,70,127.09999999999998,Bengals,Curl,356.0,0.3570224719101123
97,Bengals,Dig,35.400000000000006,0,25,60.40000000000001,Bengals,Dig,194.0,0.31134020618556707
106,Bengals,Out,43.1,18,48,109.10000000000001,Bengals,Out,182.0,0.5994505494505495
109,Bengals,Post,17.900000000000002,6,8,31.9,Bengals,Post,47.0,0.6787234042553191
120,Bengals,Slant,28.1,18,24,70.1,Bengals,Slant,171.0,0.4099415204678362
132,Bills,Comeback,4.0,0,4,8.0,Bills,Comeback,30.0,0.26666666666666666
133,Bills,Corner,11.200000000000001,18,7,36.2,Bills,Corner,66.0,0.5484848484848486
134,Bills,Curl,41.099999999999994,6,52,99.10000000000002,Bills,Curl,636.0,0.15581761006289313
136,Bills,Dig,37.300000000000004,6,26,69.30000000000001,Bills,Dig,199.0,0.3482412060301508
144,Bills,Out,28.600000000000005,6,35,69.6,Bills,Out,160.0,0.43499999999999994
147,Bills,Post,2.2,0,1,3.2,Bills,Post,107.0,0.029906542056074768
156,Bills,Slant,25.900000000000002,12,20,57.9,Bills,Slant,99.0,0.5848484848484848
171,Broncos,Comeback,4.1000000000000005,0,4,8.100000000000001,Broncos,Comeback,8.0,1.0125000000000002
172,Broncos,Corner,15.900000000000002,18,8,41.9,Broncos,Corner,103.0,0.40679611650485437
173,Broncos,Curl,18.5,0,23,41.5,Broncos,Curl,406.0,0.1022167487684729
175,Broncos,Dig,37.7,0,25,62.7,Broncos,Dig,267.0,0.2348314606741573
186,Broncos,Out,42.599999999999994,0,44,86.60000000000001,Broncos,Out,176.0,0.4920454545454546
189,Broncos,Post,16.6,6,7,29.6,Broncos,Post,87.0,0.34022988505747126
198,Broncos,Slant,28.0,6,20,54.0,Broncos,Slant,78.0,0.6923076923076923
210,Browns,Comeback,9.0,0,7,16.0,Browns,Comeback,16.0,1.0
211,Browns,Corner,9.700000000000001,6,5,20.7,Browns,Corner,105.0,0.19714285714285715
213,Browns,Curl,55.20000000000002,12,58,125.19999999999999,Browns,Curl,237.0,0.5282700421940928
215,Browns,Dig,12.8,0,9,21.800000000000004,Browns,Dig,113.0,0.19292035398230092
226,Browns,Out,33.300000000000004,24,39,96.29999999999997,Browns,Out,261.0,0.3689655172413792
229,Browns,Post,16.700000000000003,12,4,32.7,Browns,Post,69.0,0.4739130434782609
240,Browns,Slant,32.800000000000004,18,23,73.80000000000001,Browns,Slant,101.0,0.7306930693069308
253,Buccaneers,Comeback,4.0,6,5,15.0,Buccaneers,Comeback,22.0,0.6818181818181818
254,Buccaneers,Corner,12.600000000000001,18,6,36.6,Buccaneers,Corner,91.0,0.4021978021978022
256,Buccaneers,Curl,69.0,0,77,146.0,Buccaneers,Curl,379.0,0.38522427440633245
258,Buccaneers,Dig,24.700000000000003,0,14,38.7,Buccaneers,Dig,252.0,0.15357142857142858
268,Buccaneers,Out,48.59999999999998,12,46,106.60000000000001,Buccaneers,Out,264.0,0.4037878787878788
271,Buccaneers,Post,29.700000000000006,6,11,46.699999999999996,Buccaneers,Post,182.0,0.25659340659340657
283,Buccaneers,Slant,20.800000000000004,6,20,46.800000000000004,Buccaneers,Slant,136.0,0.3441176470588236
297,Cardinals,Comeback,2.9,6,3,11.9,Cardinals,Comeback,19.0,0.6263157894736843
298,Cardinals,Corner,6.1,12,3,21.1,Cardinals,Corner,91.0,0.23186813186813188
299,Cardinals,Curl,40.300000000000004,0,45,85.30000000000001,Cardinals,Curl,398.0,0.21432160804020103
301,Cardinals,Dig,19.7,0,13,32.7,Cardinals,Dig,80.0,0.40875000000000006
313,Cardinals,Out,53.60000000000001,30,55,138.6,Cardinals,Out,111.0,1.2486486486486486
316,Cardinals,Post,29.200000000000003,24,11,64.19999999999999,Cardinals,Post,69.0,0.9304347826086955
326,Cardinals,Slant,15.899999999999999,6,15,36.9,Cardinals,Slant,100.0,0.369
339,Chargers,Comeback,5.300000000000001,0,4,9.3,Chargers,Comeback,31.0,0.30000000000000004
340,Chargers,Corner,18.300000000000004,0,5,23.300000000000004,Chargers,Corner,127.0,0.1834645669291339
341,Chargers,Curl,26.89999999999999,6,38,70.9,Chargers,Curl,459.0,0.1544662309368192
343,Chargers,Dig,35.300000000000004,6,27,68.30000000000003,Chargers,Dig,183.0,0.3732240437158471
353,Chargers,Out,52.600000000000016,18,47,117.60000000000002,Chargers,Out,235.0,0.5004255319148937
