,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
0,A.J. Brown,Combination,2.1,6,2,10.100000000000001,22.0,0.45909090909090916
1,A.J. Brown,Cover 0,2.1,6,2,10.1,6.0,1.6833333333333333
2,A.J. Brown,Cover 1,47.5,30,30,107.5,135.0,0.7962962962962963
3,A.J. Brown,Cover 2,2.6,0,3,5.6,35.0,0.16
4,A.J. Brown,Cover 3,40.199999999999996,18,22,80.2,104.0,0.7711538461538462
5,A.J. Brown,Cover 4,10.700000000000001,6,7,23.7,64.0,0.3703125
6,A.J. Brown,Cover 6,1.2000000000000002,0,1,2.2,17.0,0.12941176470588237
7,A.J. Brown,Man Cover 2,2.8000000000000003,6,2,10.8,16.0,0.675
8,A.J. Brown,Other,0.6000000000000001,0,1,1.6,18.0,0.08888888888888889
9,A.J. Brown,Prevent,1.9000000000000001,0,1,2.9000000000000004,19.0,0.15263157894736845
10,A.J. Brown,Screen,4.300000000000001,0,5,9.3,33.0,0.28181818181818186
17,A.J. Green,Combination,0.0,0,0,0.0,12.0,0.0
18,A.J. Green,Cover 0,0.5,6,1,7.5,15.0,0.5
19,A.J. Green,Cover 1,19.5,0,18,37.5,138.0,0.2717391304347826
20,A.J. Green,Cover 2,7.700000000000001,0,7,14.700000000000001,54.0,0.27222222222222225
21,A.J. Green,Cover 3,16.1,12,16,44.10000000000001,153.0,0.2882352941176471
22,A.J. Green,Cover 4,9.8,0,8,17.8,80.0,0.2225
24,A.J. Green,Man Cover 2,0.0,0,0,0.0,19.0,0.0
27,Aaron Jones,Cover 0,0.0,0,0,0.0,5.0,0.0
28,Aaron Jones,Cover 1,8.400000000000002,6,10,24.400000000000002,44.0,0.5545454545454546
29,Aaron Jones,Cover 2,3.7,0,5,8.7,29.0,0.3
30,Aaron Jones,Cover 3,3.6000000000000005,6,7,16.6,57.0,0.2912280701754386
32,Aaron Jones,Cover 6,0.30000000000000004,0,1,1.3,9.0,0.14444444444444446
33,Aaron Jones,Man Cover 2,2.2,0,2,4.2,6.0,0.7000000000000001
34,Aaron Jones,Screen,12.2,0,19,31.2,32.0,0.975
37,Adam Humphries,Combination,0.7000000000000001,0,1,1.7000000000000002,16.0,0.10625000000000001
38,Adam Humphries,Cover 0,0.0,0,0,0.0,1.0,0.0
39,Adam Humphries,Cover 1,2.3,6,2,10.3,48.0,0.21458333333333335
40,Adam Humphries,Cover 2,2.0,0,3,5.0,16.0,0.3125
42,Adam Humphries,Cover 4,5.500000000000001,0,5,10.500000000000002,25.0,0.4200000000000001
43,Adam Humphries,Cover 6,4.9,6,4,14.9,14.0,1.0642857142857143
45,Adam Humphries,Screen,1.3000000000000003,0,2,3.3000000000000003,20.0,0.165
47,Adam Shaheen,Cover 0,0.0,0,0,0.0,11.0,0.0
48,Adam Shaheen,Cover 1,4.5,12,4,20.5,26.0,0.7884615384615384
49,Adam Shaheen,Cover 2,5.3,6,3,14.3,15.0,0.9533333333333334
51,Adam Shaheen,Man Cover 2,1.0,0,1,2.0,5.0,0.4
53,Adam Thielen,Combination,0.8,0,1,1.8,15.0,0.12000000000000001
54,Adam Thielen,Cover 0,0.1,6,1,7.1,10.0,0.71
55,Adam Thielen,Cover 1,25.300000000000004,48,23,96.29999999999998,126.0,0.7642857142857141
56,Adam Thielen,Cover 2,5.7,0,4,9.7,51.0,0.19019607843137254
57,Adam Thielen,Cover 3,38.99999999999999,18,27,84.0,155.0,0.5419354838709678
58,Adam Thielen,Cover 4,11.8,6,11,28.800000000000004,67.0,0.42985074626865677
59,Adam Thielen,Cover 6,3.6,0,3,6.6,14.0,0.4714285714285714
60,Adam Thielen,Man Cover 2,5.5,6,4,15.5,27.0,0.5740740740740741
61,Adam Thielen,Other,1.2000000000000002,0,1,2.2,17.0,0.12941176470588237
62,Adam Thielen,Prevent,0.0,0,0,0.0,22.0,0.0
63,Adam Thielen,Screen,2.2,0,2,4.2,44.0,0.09545454545454546
66,Adam Trautman,Cover 3,12.000000000000002,6,9,27.0,61.0,0.4426229508196721
70,Adrian Peterson,Cover 2,3.1,0,4,7.1,11.0,0.6454545454545454
73,Adrian Peterson,Cover 6,0.4,0,1,1.4,3.0,0.4666666666666666
74,Adrian Peterson,Screen,3.3000000000000003,0,2,5.300000000000001,10.0,0.53
76,Albert Okwuegbunam,Cover 1,3.6,0,3,6.6,15.0,0.44
77,Albert Okwuegbunam,Cover 2,6.5,0,6,12.5,14.0,0.8928571428571429
80,Alec Ingold,Cover 0,0.30000000000000004,6,1,7.3,4.0,1.825
83,Alec Ingold,Cover 3,9.4,0,8,17.4,29.0,0.6
92,Alex Erickson,Cover 2,1.5,0,2,3.5,14.0,0.25
98,Alexander Mattison,Cover 2,3.0,0,4,7.0,9.0,0.7777777777777778
101,Alexander Mattison,Cover 6,0.9,0,1,1.9,2.0,0.95
102,Alexander Mattison,Man Cover 2,0.0,0,0,0.0,3.0,0.0
103,Alexander Mattison,Screen,2.1,0,2,4.1000000000000005,7.0,0.5857142857142857
108,Allen Lazard,Cover 0,6.300000000000001,12,2,20.3,9.0,2.2555555555555555
109,Allen Lazard,Cover 1,10.0,6,8,23.999999999999996,71.0,0.33802816901408445
110,Allen Lazard,Cover 2,1.0,0,2,3.0,28.0,0.10714285714285714
111,Allen Lazard,Cover 3,11.200000000000003,6,11,28.2,54.0,0.5222222222222223
112,Allen Lazard,Cover 4,22.4,0,9,31.4,35.0,0.8971428571428571
113,Allen Lazard,Cover 6,2.1,0,1,3.1,7.0,0.4428571428571429
114,Allen Lazard,Man Cover 2,5.700000000000001,0,3,8.700000000000001,13.0,0.6692307692307693
115,Allen Lazard,Screen,2.1999999999999997,0,4,6.199999999999999,17.0,0.36470588235294116
117,Allen Robinson,Cover 0,0.9000000000000001,6,2,8.9,14.0,0.6357142857142858
118,Allen Robinson,Cover 1,41.599999999999994,6,32,79.60000000000001,153.0,0.5202614379084968
119,Allen Robinson,Cover 2,15.000000000000002,6,11,32.0,77.0,0.4155844155844156
120,Allen Robinson,Cover 3,48.20000000000001,12,41,101.20000000000002,183.0,0.5530054644808744
121,Allen Robinson,Cover 4,15.299999999999999,6,10,31.300000000000004,93.0,0.3365591397849463
122,Allen Robinson,Man Cover 2,6.800000000000001,0,5,11.8,24.0,0.4916666666666667
124,Allen Robinson,Screen,2.1000000000000005,0,7,9.1,27.0,0.337037037037037
132,Alvin Kamara,Combination,3.9000000000000004,6,2,11.9,16.0,0.74375
134,Alvin Kamara,Cover 1,14.700000000000001,6,11,31.699999999999996,65.0,0.48769230769230765
135,Alvin Kamara,Cover 2,7.600000000000001,0,13,20.6,49.0,0.42040816326530617
136,Alvin Kamara,Cover 3,19.5,6,18,43.5,85.0,0.5117647058823529
137,Alvin Kamara,Cover 4,6.5,0,7,13.5,39.0,0.34615384615384615
138,Alvin Kamara,Cover 6,3.1000000000000005,0,5,8.100000000000001,9.0,0.9000000000000001
139,Alvin Kamara,Man Cover 2,0.2,0,1,1.2,14.0,0.08571428571428572
140,Alvin Kamara,Other,1.2000000000000002,0,1,2.2,12.0,0.18333333333333335
141,Alvin Kamara,Prevent,1.5,0,1,2.5,10.0,0.25
142,Alvin Kamara,Screen,19.500000000000004,12,28,59.5,51.0,1.1666666666666667
144,Amari Cooper,Combination,0.1,0,1,1.1,17.0,0.06470588235294118
145,Amari Cooper,Cover 0,0.1,6,1,7.1,20.0,0.355
146,Amari Cooper,Cover 1,37.50000000000001,12,27,76.49999999999999,115.0,0.6652173913043476
147,Amari Cooper,Cover 2,13.4,0,10,23.4,81.0,0.28888888888888886
148,Amari Cooper,Cover 3,33.4,6,26,65.4,148.0,0.44189189189189193
149,Amari Cooper,Cover 4,18.699999999999996,6,17,41.7,119.0,0.3504201680672269
150,Amari Cooper,Man Cover 2,7.000000000000001,0,7,14.0,38.0,0.3684210526315789
153,Ameer Abdullah,Cover 0,0.6000000000000001,0,1,1.6,2.0,0.8
163,Andy Isabella,Combination,0.4,6,1,7.4,6.0,1.2333333333333334
164,Andy Isabella,Cover 0,0.0,0,0,0.0,9.0,0.0
166,Andy Isabella,Cover 2,1.9000000000000001,0,3,4.8999999999999995,25.0,0.19599999999999998
168,Andy Isabella,Cover 4,7.900000000000001,0,4,11.9,43.0,0.27674418604651163
169,Andy Isabella,Cover 6,2.4000000000000004,0,1,3.4000000000000004,5.0,0.68
170,Andy Isabella,Other,0.0,0,0,0.0,7.0,0.0
171,Andy Isabella,Screen,3.4000000000000004,0,6,9.4,18.0,0.5222222222222223
177,Anthony Firkser,Cover 1,8.100000000000001,0,10,18.099999999999998,78.0,0.23205128205128203
178,Anthony Firkser,Cover 2,11.4,6,7,24.400000000000002,26.0,0.9384615384615386
179,Anthony Firkser,Cover 3,6.4,0,7,13.400000000000002,43.0,0.31162790697674425
180,Anthony Firkser,Cover 4,8.5,0,10,18.5,43.0,0.43023255813953487
181,Anthony Firkser,Cover 6,2.2,0,4,6.199999999999999,12.0,0.5166666666666666
182,Anthony Firkser,Man Cover 2,0.4,0,1,1.4,16.0,0.0875
187,Anthony McFarland Jr.,Man Cover 2,0.7000000000000001,0,1,1.7000000000000002,1.0,1.7000000000000002
188,Anthony McFarland Jr.,Screen,2.2,0,3,5.2,12.0,0.43333333333333335
189,Anthony Miller,Combination,0.5,0,1,1.5,10.0,0.15
190,Anthony Miller,Cover 0,2.8000000000000003,6,1,9.8,10.0,0.9800000000000001
191,Anthony Miller,Cover 1,17.9,6,12,35.900000000000006,108.0,0.3324074074074075
192,Anthony Miller,Cover 2,1.3000000000000003,0,2,3.3000000000000003,50.0,0.066
