nickName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
49ers,168.0,0/1 Step,44.19999999999999,24,59,127.19999999999999,168.0,0.7571428571428571,82,320,0.25625
49ers,152.0,3 Step,114.89999999999998,42,92,248.89999999999995,152.0,1.6374999999999997,151,320,0.471875
49ers,43.0,5 Step,56.999999999999986,24,34,115.00000000000003,43.0,2.6744186046511635,63,320,0.196875
49ers,29.0,7 Step,14.3,12,10,36.300000000000004,29.0,1.2517241379310347,24,320,0.075
Bears,147.0,0/1 Step,34.099999999999994,6,47,87.10000000000001,147.0,0.5925170068027211,65,325,0.2
Bears,180.0,3 Step,135.80000000000004,78,110,323.7999999999999,180.0,1.7988888888888883,169,325,0.52
Bears,53.0,5 Step,56.29999999999999,24,47,127.30000000000003,53.0,2.4018867924528307,74,325,0.2276923076923077
Bears,13.0,7 Step,13.8,0,9,22.800000000000004,13.0,1.7538461538461543,17,325,0.052307692307692305
Bengals,175.0,0/1 Step,86.50000000000001,42,88,216.5,175.0,1.237142857142857,109,344,0.3168604651162791
Bengals,201.0,3 Step,121.3,66,94,281.30000000000007,201.0,1.3995024875621893,163,344,0.4738372093023256
Bengals,35.0,5 Step,45.50000000000001,6,34,85.49999999999999,35.0,2.4428571428571426,59,344,0.17151162790697674
Bengals,14.0,7 Step,11.9,0,6,17.9,14.0,1.2785714285714285,13,344,0.0377906976744186
Bills,224.0,0/1 Step,78.59999999999998,42,83,203.59999999999997,224.0,0.9089285714285713,128,460,0.2782608695652174
Bills,149.0,3 Step,161.8,54,139,354.80000000000007,149.0,2.3812080536912754,229,460,0.49782608695652175
Bills,47.0,5 Step,82.99999999999997,0,55,138.0,47.0,2.9361702127659575,85,460,0.18478260869565216
Bills,27.0,7 Step,15.600000000000001,18,10,43.6,27.0,1.614814814814815,18,460,0.0391304347826087
Broncos,106.0,0/1 Step,39.1,24,60,123.09999999999998,106.0,1.161320754716981,90,336,0.26785714285714285
Broncos,207.0,3 Step,128.20000000000005,48,100,276.2,207.0,1.3342995169082126,154,336,0.4583333333333333
Broncos,45.0,5 Step,53.70000000000001,24,35,112.69999999999999,45.0,2.5044444444444443,67,336,0.19940476190476192
Broncos,12.0,7 Step,37.60000000000001,12,16,65.60000000000001,12.0,5.466666666666668,25,336,0.0744047619047619
Browns,51.0,0/1 Step,89.00000000000001,42,93,224.0,51.0,4.392156862745098,119,461,0.25813449023861174
Browns,152.0,3 Step,212.10000000000005,102,164,478.09999999999985,152.0,3.1453947368421042,266,461,0.5770065075921909
Browns,58.0,5 Step,69.39999999999999,12,40,121.40000000000002,58.0,2.0931034482758624,65,461,0.14099783080260303
Browns,26.0,7 Step,9.5,0,6,15.5,26.0,0.5961538461538461,11,461,0.02386117136659436
Buccaneers,157.0,0/1 Step,54.5,30,77,161.5,157.0,1.0286624203821657,98,476,0.20588235294117646
Buccaneers,219.0,3 Step,145.90000000000006,66,138,349.8999999999999,219.0,1.5977168949771685,211,476,0.4432773109243697
Buccaneers,54.0,5 Step,108.79999999999997,30,75,213.80000000000007,54.0,3.9592592592592606,131,476,0.27521008403361347
Buccaneers,41.0,7 Step,32.900000000000006,6,23,61.9,41.0,1.5097560975609756,36,476,0.07563025210084033
Cardinals,114.0,0/1 Step,55.199999999999996,24,56,135.20000000000002,114.0,1.1859649122807019,87,371,0.23450134770889489
Cardinals,147.0,3 Step,123.2,48,109,280.2,147.0,1.9061224489795918,187,371,0.5040431266846361
Cardinals,152.0,5 Step,54.600000000000016,24,37,115.6,152.0,0.7605263157894736,68,371,0.18328840970350405
Cardinals,5.0,7 Step,29.5,0,16,45.5,5.0,9.1,29,371,0.07816711590296496
Chargers,123.0,0/1 Step,44.899999999999984,42,53,139.90000000000006,123.0,1.1373983739837403,71,306,0.23202614379084968
Chargers,146.0,3 Step,108.10000000000002,48,86,242.1000000000001,146.0,1.6582191780821924,152,306,0.49673202614379086
Chargers,110.0,5 Step,66.60000000000002,12,43,121.59999999999998,110.0,1.1054545454545452,65,306,0.21241830065359477
Chargers,63.0,7 Step,9.3,0,8,17.3,63.0,0.2746031746031746,18,306,0.058823529411764705
Chiefs,68.0,0/1 Step,42.89999999999999,36,58,136.9,68.0,2.013235294117647,83,393,0.21119592875318066
Chiefs,190.0,3 Step,123.9,42,105,270.9,190.0,1.4257894736842105,175,393,0.44529262086513993
Chiefs,118.0,5 Step,68.6,24,54,146.59999999999997,118.0,1.2423728813559318,93,393,0.2366412213740458
Chiefs,30.0,7 Step,38.699999999999996,12,25,75.7,30.0,2.5233333333333334,42,393,0.10687022900763359
Colts,55.0,0/1 Step,61.30000000000001,18,61,140.3,55.0,2.5509090909090912,96,339,0.2831858407079646
Colts,206.0,3 Step,135.29999999999995,36,99,270.3,206.0,1.3121359223300972,159,339,0.4690265486725664
Colts,136.0,5 Step,69.7,6,47,122.70000000000005,136.0,0.9022058823529415,68,339,0.20058997050147492
Colts,38.0,7 Step,11.7,12,6,29.7,38.0,0.781578947368421,16,339,0.0471976401179941
Cowboys,113.0,0/1 Step,76.69999999999997,60,79,215.70000000000007,113.0,1.9088495575221245,118,315,0.3746031746031746
