,nickName,DropType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,0/1 Step,113,22.71999999999999,8,-1,29.719999999999995,0.2630088495575221,113,630,0.17936507936507937
1,49ers,3 Step,312,87.47999999999992,56,-4,139.48000000000002,0.4470512820512821,312,630,0.49523809523809526
2,49ers,5 Step,150,40.16000000000001,16,-6,50.16000000000002,0.33440000000000014,150,630,0.23809523809523808
3,49ers,7 Step,55,14.04,0,-2,12.04,0.2189090909090909,55,630,0.0873015873015873
4,Bears,0/1 Step,109,31.760000000000005,20,-1,50.75999999999999,0.4656880733944953,109,425,0.2564705882352941
5,Bears,3 Step,178,43.4,32,-2,73.40000000000002,0.41235955056179785,178,425,0.4188235294117647
6,Bears,5 Step,97,26.72000000000001,24,-1,49.72,0.5125773195876289,97,425,0.22823529411764706
7,Bears,7 Step,41,13.2,12,-1,24.200000000000003,0.5902439024390245,41,425,0.09647058823529411
8,Bengals,0/1 Step,167,37.44000000000001,16,-3,50.44000000000002,0.30203592814371266,167,654,0.25535168195718655
9,Bengals,3 Step,285,79.75999999999995,52,-4,127.75999999999993,0.4482807017543857,285,654,0.43577981651376146
10,Bengals,5 Step,149,37.23999999999999,32,-5,64.24,0.4311409395973154,149,654,0.22782874617737003
11,Bengals,7 Step,53,21.280000000000005,4,-2,23.280000000000005,0.439245283018868,53,654,0.08103975535168195
12,Bills,0/1 Step,102,24.36,12,-1,35.36000000000001,0.34666666666666673,102,537,0.18994413407821228
13,Bills,3 Step,235,55.599999999999994,32,-7,80.6,0.3429787234042553,235,537,0.4376163873370577
14,Bills,5 Step,153,29.759999999999987,0,-10,19.759999999999998,0.1291503267973856,153,537,0.2849162011173184
15,Bills,7 Step,47,10.719999999999999,4,-2,12.719999999999999,0.2706382978723404,47,537,0.08752327746741155
16,Broncos,0/1 Step,70,13.679999999999998,8,-1,20.679999999999996,0.2954285714285714,70,511,0.136986301369863
17,Broncos,3 Step,265,60.48,32,-3,89.48000000000002,0.33766037735849064,265,511,0.5185909980430529
18,Broncos,5 Step,137,45.67999999999999,28,-6,67.68,0.494014598540146,137,511,0.26810176125244617
19,Broncos,7 Step,39,8.559999999999999,4,-1,11.560000000000002,0.2964102564102565,39,511,0.07632093933463796
