,team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
281,NYJ,C.J. Uzomah,8.0,5 Step,8.799999999999999,6,10,24.8,8.0,3.1
282,NYJ,C.J. Uzomah,2.0,7 Step,4.300000000000001,0,2,6.300000000000001,2.0,3.1500000000000004
293,WAS,Cam Sims,9.0,5 Step,7.3,0,5,12.3,9.0,1.3666666666666667
294,WAS,Cam Sims,2.0,7 Step,1.0,0,2,3.0,2.0,1.5
299,TB,Cameron Brate,14.0,0/1 Step,6.6000000000000005,0,7,13.600000000000001,14.0,0.9714285714285715
300,TB,Cameron Brate,30.0,3 Step,11.9,12,17,40.900000000000006,30.0,1.3633333333333335
301,TB,Cameron Brate,7.0,5 Step,4.7,6,5,15.7,7.0,2.242857142857143
306,DAL,CeeDee Lamb,19.0,0/1 Step,17.300000000000004,0,17,34.3,19.0,1.8052631578947367
307,DAL,CeeDee Lamb,33.0,3 Step,26.400000000000002,0,25,51.4,33.0,1.5575757575757576
308,DAL,CeeDee Lamb,32.0,5 Step,41.50000000000001,18,19,78.49999999999999,32.0,2.4531249999999996
309,DAL,CeeDee Lamb,16.0,7 Step,17.400000000000002,0,7,24.400000000000006,16.0,1.5250000000000004
320,PIT,Chase Claypool,21.0,0/1 Step,11.1,6,14,31.1,21.0,1.480952380952381
321,PIT,Chase Claypool,49.0,3 Step,50.699999999999996,6,27,83.70000000000002,49.0,1.7081632653061227
322,PIT,Chase Claypool,12.0,5 Step,13.000000000000002,0,7,20.0,12.0,1.6666666666666667
328,MIA,Chase Edmonds,15.0,3 Step,6.200000000000001,0,13,19.2,15.0,1.28
329,MIA,Chase Edmonds,20.0,5 Step,11.6,0,14,25.6,20.0,1.28
330,MIA,Chase Edmonds,3.0,7 Step,1.7000000000000002,0,3,4.7,3.0,1.5666666666666667
338,HOU,Chris Conley,8.0,0/1 Step,3.8999999999999995,0,5,8.900000000000002,8.0,1.1125000000000003
339,HOU,Chris Conley,13.0,3 Step,15.5,6,8,29.500000000000004,13.0,2.2692307692307696
340,HOU,Chris Conley,6.0,5 Step,3.6000000000000005,0,2,5.6000000000000005,6.0,0.9333333333333335
348,CIN,Chris Evans,14.0,3 Step,13.400000000000002,6,11,30.400000000000006,14.0,2.1714285714285717
351,TB,Chris Godwin,43.0,0/1 Step,36.7,12,39,87.69999999999999,43.0,2.03953488372093
352,TB,Chris Godwin,47.0,3 Step,43.5,6,36,85.49999999999999,47.0,1.8191489361702124
353,TB,Chris Godwin,19.0,5 Step,22.2,12,13,47.199999999999996,19.0,2.484210526315789
354,TB,Chris Godwin,8.0,7 Step,7.600000000000001,0,3,10.6,8.0,1.325
362,HOU,Chris Moore,10.0,0/1 Step,4.000000000000001,0,10,14.0,10.0,1.4
373,JAX,Christian Kirk,27.0,0/1 Step,19.500000000000004,0,31,50.49999999999999,27.0,1.87037037037037
374,JAX,Christian Kirk,31.0,3 Step,25.200000000000003,12,22,59.199999999999996,31.0,1.9096774193548385
375,JAX,Christian Kirk,27.0,5 Step,35.5,6,17,58.49999999999999,27.0,2.1666666666666665
376,JAX,Christian Kirk,6.0,7 Step,14.399999999999999,12,5,31.400000000000002,6.0,5.233333333333333
380,CAR,Christian McCaffrey,23.0,3 Step,20.599999999999998,0,23,43.599999999999994,23.0,1.8956521739130432
381,CAR,Christian McCaffrey,6.0,5 Step,4.800000000000001,0,5,9.8,6.0,1.6333333333333335
384,CAR,Chuba Hubbard,5.0,0/1 Step,1.2000000000000002,0,3,4.2,5.0,0.8400000000000001
385,CAR,Chuba Hubbard,17.0,3 Step,8.0,0,10,18.0,17.0,1.0588235294117647
386,CAR,Chuba Hubbard,8.0,5 Step,4.4,0,5,9.400000000000002,8.0,1.1750000000000003
389,KC,Clyde Edwards-Helaire,7.0,0/1 Step,5.1,0,5,10.1,7.0,1.4428571428571428
392,KC,Clyde Edwards-Helaire,2.0,7 Step,-0.09999999999999998,0,2,1.9,2.0,0.95
