,nickName,touch,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
0,49ers,31,Left A Gap,10.1,6,0,16.1,0.5193548387096775,31,279,0.1111111111111111
1,49ers,32,Left D Gap,12.200000000000003,6,0,18.199999999999992,0.5687499999999998,32,279,0.11469534050179211
2,49ers,59,Left Off-Tackle Gap Unknown,27.900000000000006,18,-1,44.9,0.7610169491525424,59,279,0.2114695340501792
3,49ers,21,Middle,-2.200000000000001,0,-2,-4.2,-0.2,21,279,0.07526881720430108
4,49ers,50,Right A Gap,24.300000000000008,18,0,42.30000000000002,0.8460000000000004,50,279,0.17921146953405018
5,49ers,33,Right D Gap,22.60000000000001,0,-1,21.600000000000005,0.6545454545454547,33,279,0.11827956989247312
6,49ers,53,Right Off-Tackle Gap Unknown,30.900000000000002,6,0,36.900000000000006,0.6962264150943397,53,279,0.18996415770609318
7,Bears,65,Left A Gap,28.4,18,-1,45.4,0.6984615384615385,65,296,0.2195945945945946
8,Bears,29,Left D Gap,10.1,0,-1,9.100000000000001,0.31379310344827593,29,296,0.09797297297297297
9,Bears,66,Left Off-Tackle Gap Unknown,31.099999999999994,0,0,31.099999999999994,0.47121212121212114,66,296,0.22297297297297297
10,Bears,14,Middle,-0.7,0,0,-0.7,-0.049999999999999996,14,296,0.0472972972972973
11,Bears,39,Right A Gap,12.100000000000001,12,0,24.1,0.617948717948718,39,296,0.13175675675675674
12,Bears,25,Right D Gap,22.099999999999998,0,0,22.099999999999998,0.8839999999999999,25,296,0.08445945945945946
13,Bears,58,Right Off-Tackle Gap Unknown,24.200000000000003,6,0,30.200000000000017,0.5206896551724141,58,296,0.19594594594594594
14,Bengals,50,Left A Gap,23.400000000000002,0,0,23.400000000000002,0.468,50,330,0.15151515151515152
15,Bengals,40,Left D Gap,29.099999999999994,0,0,29.099999999999994,0.7274999999999998,40,330,0.12121212121212122
