,nickName,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
0,49ers,Left A Gap,43.0,30,0,73.00000000000001,36.50000000000001
1,49ers,Left D Gap,33.699999999999996,30,0,63.7,1.117543859649123
2,49ers,Left Off-Tackle Gap Unknown,32.7,12,-1,43.70000000000002,2.731250000000001
3,49ers,Middle,-1.4000000000000001,6,0,4.6000000000000005,0.1393939393939394
4,49ers,Right A Gap,39.80000000000002,18,0,57.800000000000004,1.0703703703703704
5,49ers,Right D Gap,32.099999999999994,12,0,44.099999999999994,3.6749999999999994
6,49ers,Right Off-Tackle Gap Unknown,24.000000000000004,6,-1,29.000000000000007,1.1153846153846156
7,Bears,Left A Gap,23.099999999999998,12,0,35.1,0.7163265306122449
8,Bears,Left D Gap,35.49999999999999,12,0,47.49999999999998,2.374999999999999
9,Bears,Left Off-Tackle Gap Unknown,53.50000000000001,24,0,77.50000000000001,2.152777777777778
10,Bears,Middle,-1.7000000000000004,0,-1,-2.7000000000000006,-0.06923076923076925
11,Bears,Right A Gap,37.900000000000006,18,-1,54.9,3.2294117647058824
12,Bears,Right D Gap,27.799999999999994,18,0,45.800000000000004,1.6962962962962964
13,Bears,Right Off-Tackle Gap Unknown,42.10000000000001,6,0,48.10000000000001,48.10000000000001
14,Bengals,Left A Gap,39.20000000000001,6,0,45.2,5.65
15,Bengals,Left D Gap,32.69999999999998,12,0,44.69999999999997,44.69999999999997
16,Bengals,Left Off-Tackle Gap Unknown,51.4,30,-1,80.4,6.184615384615385
17,Bengals,Middle,-1.2000000000000004,0,0,-1.2000000000000004,-0.6000000000000002
18,Bengals,Right A Gap,26.199999999999992,18,0,44.19999999999999,4.91111111111111
19,Bengals,Right D Gap,32.300000000000004,6,0,38.3,19.15
20,Bengals,Right Off-Tackle Gap Unknown,42.0,24,-1,65.00000000000001,21.66666666666667
21,Bills,Left A Gap,34.100000000000016,42,0,76.1,76.1
22,Bills,Left D Gap,26.0,24,0,49.99999999999999,24.999999999999996
23,Bills,Left Off-Tackle Gap Unknown,47.400000000000006,30,0,77.40000000000003,25.80000000000001
24,Bills,Middle,-1.1,6,-1,3.8999999999999986,0.3249999999999999
25,Bills,Right A Gap,30.299999999999997,6,0,36.30000000000001,3.025000000000001
26,Bills,Right D Gap,37.0,18,0,55.000000000000014,27.500000000000007
