,nickName,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
27,Bills,Right Off-Tackle Gap Unknown,46.699999999999996,0,-1,45.699999999999996,6.528571428571428
28,Broncos,Left A Gap,29.499999999999996,0,0,29.499999999999996,7.374999999999999
29,Broncos,Left D Gap,24.7,6,0,30.700000000000003,15.350000000000001
30,Broncos,Left Off-Tackle Gap Unknown,48.39999999999999,18,0,66.39999999999998,22.133333333333326
31,Broncos,Middle,-0.7000000000000001,6,0,5.300000000000006,2.650000000000003
32,Broncos,Right A Gap,36.50000000000001,6,0,42.50000000000001,42.50000000000001
33,Broncos,Right D Gap,13.100000000000001,0,-3,10.1,0.5611111111111111
34,Broncos,Right Off-Tackle Gap Unknown,42.699999999999996,18,0,60.70000000000002,6.744444444444446
35,Browns,Left A Gap,40.400000000000006,18,0,58.39999999999998,2.4333333333333322
36,Browns,Left D Gap,23.200000000000006,12,0,35.20000000000001,1.6000000000000005
37,Browns,Left Off-Tackle Gap Unknown,30.900000000000002,0,0,30.900000000000002,4.414285714285715
38,Browns,Middle,-1.6000000000000008,0,0,-1.6000000000000008,-0.055172413793103475
39,Browns,Right A Gap,39.10000000000001,18,0,57.100000000000044,2.3791666666666687
40,Browns,Right D Gap,28.6,18,0,46.59999999999999,7.766666666666665
41,Browns,Right Off-Tackle Gap Unknown,33.2,18,0,51.20000000000001,1.9692307692307696
42,Buccaneers,Left A Gap,13.199999999999998,6,0,19.199999999999996,0.6620689655172413
43,Buccaneers,Left D Gap,39.5,6,0,45.5,3.033333333333333
44,Buccaneers,Left Off-Tackle Gap Unknown,39.60000000000001,30,0,69.6,1.7846153846153845
45,Buccaneers,Middle,0.4,6,-1,5.3999999999999995,5.3999999999999995
46,Buccaneers,Right A Gap,18.200000000000003,6,-1,23.200000000000003,11.600000000000001
47,Buccaneers,Right D Gap,38.100000000000016,18,-1,55.100000000000016,1.9678571428571434
48,Buccaneers,Right Off-Tackle Gap Unknown,28.0,6,-1,32.99999999999999,1.4347826086956519
49,Cardinals,Left A Gap,34.30000000000001,12,0,46.30000000000002,0.7015151515151518
50,Cardinals,Left D Gap,29.200000000000003,12,0,41.199999999999996,0.824
51,Cardinals,Left Off-Tackle Gap Unknown,52.699999999999996,6,0,58.69999999999999,2.445833333333333
52,Cardinals,Middle,0.4,0,-2,-1.6000000000000003,-0.030188679245283026
53,Cardinals,Right A Gap,40.09999999999999,24,0,64.1,64.1
54,Cardinals,Right D Gap,16.099999999999998,6,0,22.099999999999994,2.2099999999999995
55,Cardinals,Right Off-Tackle Gap Unknown,49.500000000000014,6,-2,53.50000000000001,7.642857142857144
56,Chargers,Left A Gap,36.699999999999996,12,-1,47.7,6.814285714285715
57,Chargers,Left D Gap,13.200000000000005,12,0,25.200000000000006,6.300000000000002
58,Chargers,Left Off-Tackle Gap Unknown,54.00000000000002,30,0,84.00000000000001,6.000000000000001
59,Chargers,Middle,-1.2000000000000002,0,0,-1.2000000000000002,-0.10909090909090911
60,Chargers,Right A Gap,53.600000000000016,30,-2,81.59999999999998,81.59999999999998
61,Chargers,Right D Gap,37.30000000000001,30,0,67.30000000000003,33.65000000000001
62,Chargers,Right Off-Tackle Gap Unknown,56.800000000000026,30,0,86.80000000000001,86.80000000000001
63,Chiefs,Left A Gap,40.0,18,-3,55.0,27.5
64,Chiefs,Left D Gap,25.499999999999993,24,0,49.49999999999998,49.49999999999998
65,Chiefs,Left Off-Tackle Gap Unknown,42.60000000000001,18,0,60.60000000000001,20.200000000000003
66,Chiefs,Middle,-0.6,0,0,-0.6,-0.6
67,Chiefs,Right A Gap,37.600000000000016,12,-1,48.6,12.15
68,Chiefs,Right D Gap,40.7,18,0,58.69999999999999,14.674999999999997
69,Chiefs,Right Off-Tackle Gap Unknown,52.4,12,-1,63.39999999999999,31.699999999999996
70,Colts,Left A Gap,18.400000000000002,18,0,36.4,18.2
71,Colts,Left D Gap,45.60000000000001,12,0,57.60000000000001,19.200000000000003
72,Colts,Left Off-Tackle Gap Unknown,45.30000000000002,12,-1,56.30000000000001,28.150000000000006
73,Colts,Middle,-0.6,0,0,-0.6,-0.6
74,Colts,Right A Gap,20.0,18,0,38.00000000000001,38.00000000000001
75,Colts,Right D Gap,26.2,0,-1,25.2,25.2
76,Colts,Right Off-Tackle Gap Unknown,36.30000000000002,0,-2,34.30000000000002,17.15000000000001
77,Cowboys,Left A Gap,26.300000000000008,12,0,38.300000000000004,38.300000000000004
78,Cowboys,Left D Gap,33.900000000000006,6,0,39.9,39.9
79,Cowboys,Left Off-Tackle Gap Unknown,46.30000000000001,6,0,52.300000000000004,26.150000000000002
80,Cowboys,Middle,0.7000000000000004,6,0,6.700000000000003,1.3400000000000005
81,Cowboys,Right A Gap,34.599999999999994,24,0,58.600000000000016,58.600000000000016
82,Cowboys,Right D Gap,36.09999999999999,24,0,60.099999999999994,1.3065217391304347
83,Cowboys,Right Off-Tackle Gap Unknown,42.0,12,-2,52.00000000000001,1.4444444444444446
84,Dolphins,Left A Gap,29.099999999999998,12,0,41.099999999999994,0.6227272727272727
85,Dolphins,Left D Gap,31.499999999999996,12,0,43.50000000000001,1.0609756097560978
86,Dolphins,Left Off-Tackle Gap Unknown,40.400000000000006,12,0,52.400000000000006,2.2782608695652176
87,Dolphins,Middle,-1.2000000000000002,6,-1,3.799999999999999,0.07037037037037035
88,Dolphins,Right A Gap,32.10000000000001,24,-1,55.10000000000001,27.550000000000004
89,Dolphins,Right D Gap,21.7,12,-1,32.699999999999996,32.699999999999996
90,Dolphins,Right Off-Tackle Gap Unknown,47.700000000000024,18,0,65.70000000000002,2.0531250000000005
91,Eagles,Left A Gap,30.3,36,0,66.30000000000003,1.894285714285715
92,Eagles,Left D Gap,28.599999999999998,0,0,28.599999999999998,0.572
93,Eagles,Left Off-Tackle Gap Unknown,42.30000000000001,24,0,66.30000000000001,1.3260000000000003
94,Eagles,Middle,-0.3999999999999998,0,0,-0.3999999999999998,-0.026666666666666655
95,Eagles,Right A Gap,33.2,42,-2,73.2,2.361290322580645
96,Eagles,Right D Gap,16.500000000000007,0,0,16.500000000000007,2.357142857142858
97,Eagles,Right Off-Tackle Gap Unknown,53.500000000000014,24,0,77.50000000000001,25.83333333333334
98,Falcons,Left A Gap,37.399999999999984,24,0,61.400000000000006,8.771428571428572
99,Falcons,Left D Gap,26.099999999999998,24,0,50.09999999999999,25.049999999999994
100,Falcons,Left Off-Tackle Gap Unknown,42.7,24,0,66.7,33.35
101,Falcons,Middle,0.20000000000000015,0,-1,-0.7999999999999998,-0.15999999999999998
102,Falcons,Right A Gap,58.10000000000003,30,-1,87.10000000000002,17.420000000000005
103,Falcons,Right D Gap,41.69999999999999,6,0,47.69999999999999,3.1799999999999993
104,Falcons,Right Off-Tackle Gap Unknown,33.900000000000006,6,-2,37.90000000000002,18.95000000000001
105,Football Team,Left A Gap,24.10000000000001,36,0,60.099999999999994,7.512499999999999
106,Football Team,Left D Gap,28.299999999999997,6,0,34.300000000000004,34.300000000000004
107,Football Team,Left Off-Tackle Gap Unknown,44.899999999999984,12,-1,55.89999999999998,6.987499999999997
108,Football Team,Middle,0.20000000000000032,0,0,0.20000000000000032,0.20000000000000032
109,Football Team,Right A Gap,31.199999999999992,12,0,43.199999999999996,14.399999999999999
110,Football Team,Right D Gap,16.6,12,-1,27.599999999999994,1.8399999999999996
111,Football Team,Right Off-Tackle Gap Unknown,35.7,6,-1,40.69999999999999,20.349999999999994
112,Giants,Left A Gap,20.59999999999999,18,0,38.59999999999999,19.299999999999994
113,Giants,Left D Gap,19.80000000000001,6,0,25.80000000000001,8.600000000000003
114,Giants,Left Off-Tackle Gap Unknown,50.40000000000001,30,0,80.40000000000003,40.20000000000002
115,Giants,Middle,-0.7,0,-1,-1.7000000000000006,-0.14166666666666672
116,Giants,Right A Gap,36.99999999999999,12,0,49.0,9.8
117,Giants,Right D Gap,37.600000000000016,6,0,43.60000000000002,43.60000000000002
118,Giants,Right Off-Tackle Gap Unknown,71.00000000000001,18,-1,88.00000000000003,5.866666666666669
119,Jaguars,Left A Gap,16.999999999999996,18,0,35.0,3.888888888888889
120,Jaguars,Left D Gap,33.699999999999996,24,0,57.69999999999999,57.69999999999999
121,Jaguars,Left Off-Tackle Gap Unknown,50.19999999999999,36,0,86.19999999999999,86.19999999999999
122,Jaguars,Middle,1.8999999999999997,0,0,1.8999999999999997,0.9499999999999998
123,Jaguars,Right A Gap,40.09999999999999,18,0,58.09999999999999,2.9049999999999994
124,Jaguars,Right D Gap,40.89999999999999,24,0,64.89999999999998,16.224999999999994
125,Jaguars,Right Off-Tackle Gap Unknown,38.4,12,-1,49.4,2.4699999999999998
126,Jets,Left A Gap,39.2,42,-1,80.19999999999997,3.207999999999999
127,Jets,Left D Gap,35.900000000000006,12,-1,46.90000000000001,9.380000000000003
128,Jets,Left Off-Tackle Gap Unknown,45.2,42,-1,86.2,5.746666666666667
129,Jets,Middle,-0.9999999999999999,0,0,-0.9999999999999999,-0.9999999999999999
130,Jets,Right A Gap,44.30000000000001,12,-1,55.29999999999999,27.649999999999995
131,Jets,Right D Gap,32.400000000000006,18,-1,49.400000000000006,49.400000000000006
132,Jets,Right Off-Tackle Gap Unknown,47.90000000000001,42,0,89.90000000000002,22.475000000000005
133,Lions,Left A Gap,29.000000000000004,18,-1,46.00000000000002,46.00000000000002
134,Lions,Left D Gap,32.70000000000002,12,0,44.699999999999996,8.94
135,Lions,Left Off-Tackle Gap Unknown,51.20000000000001,30,0,81.19999999999996,81.19999999999996
136,Lions,Middle,-2.400000000000001,0,-1,-3.400000000000002,-0.3090909090909093
137,Lions,Right A Gap,40.90000000000001,42,0,82.89999999999996,16.57999999999999
138,Lions,Right D Gap,35.60000000000001,6,0,41.60000000000001,8.320000000000002
139,Lions,Right Off-Tackle Gap Unknown,51.299999999999976,18,0,69.29999999999998,6.299999999999998
140,Packers,Left A Gap,33.2,30,0,63.20000000000001,21.06666666666667
141,Packers,Left D Gap,30.700000000000003,18,0,48.69999999999999,4.869999999999999
142,Packers,Left Off-Tackle Gap Unknown,37.20000000000001,18,0,55.20000000000003,55.20000000000003
143,Packers,Middle,-0.4,0,-1,-1.4000000000000001,-0.23333333333333336
144,Packers,Right A Gap,35.599999999999994,18,0,53.599999999999994,53.599999999999994
145,Packers,Right D Gap,37.099999999999994,0,0,37.099999999999994,4.637499999999999
146,Packers,Right Off-Tackle Gap Unknown,29.8,0,0,29.8,9.933333333333334
147,Panthers,Left A Gap,23.299999999999997,12,-1,34.3,34.3
148,Panthers,Left D Gap,42.700000000000024,30,0,72.69999999999999,24.23333333333333
149,Panthers,Left Off-Tackle Gap Unknown,42.80000000000002,18,0,60.800000000000026,30.400000000000013
150,Panthers,Middle,-1.3,0,-1,-2.300000000000001,-2.300000000000001
151,Panthers,Right A Gap,33.199999999999996,12,0,45.199999999999974,45.199999999999974
152,Panthers,Right D Gap,28.599999999999998,18,0,46.59999999999999,11.649999999999997
153,Panthers,Right Off-Tackle Gap Unknown,28.299999999999994,6,-1,33.29999999999999,33.29999999999999
154,Patriots,Left A Gap,37.10000000000001,6,-1,42.1,21.05
155,Patriots,Left D Gap,32.5,6,0,38.5,38.5
156,Patriots,Left Off-Tackle Gap Unknown,46.60000000000001,18,-2,62.6,6.26
157,Patriots,Middle,-0.8999999999999999,0,-1,-1.9000000000000004,-0.1461538461538462
158,Patriots,Right A Gap,43.400000000000006,6,-1,48.4,2.5473684210526315
159,Patriots,Right D Gap,25.900000000000006,18,0,43.90000000000002,4.87777777777778
160,Patriots,Right Off-Tackle Gap Unknown,49.70000000000002,18,0,67.7,7.522222222222222
161,Raiders,Left A Gap,29.199999999999992,12,-1,40.2,3.0923076923076924
162,Raiders,Left D Gap,31.299999999999986,12,0,43.300000000000004,8.66
163,Raiders,Left Off-Tackle Gap Unknown,46.099999999999994,18,0,64.10000000000001,12.820000000000002
164,Raiders,Middle,-0.09999999999999992,0,-1,-1.1000000000000008,-0.08461538461538468
165,Raiders,Right A Gap,53.20000000000002,36,-1,88.19999999999999,29.399999999999995
166,Raiders,Right D Gap,27.600000000000012,24,0,51.600000000000016,17.200000000000006
167,Raiders,Right Off-Tackle Gap Unknown,25.5,12,-1,36.499999999999986,6.083333333333331
168,Rams,Left A Gap,36.299999999999976,36,-1,71.30000000000004,5.94166666666667
169,Rams,Left D Gap,25.800000000000008,6,0,31.800000000000008,31.800000000000008
170,Rams,Left Off-Tackle Gap Unknown,55.40000000000001,12,0,67.40000000000002,33.70000000000001
171,Rams,Middle,0.4,6,0,6.400000000000002,0.40000000000000013
172,Rams,Right A Gap,29.09999999999999,30,-1,58.1,3.057894736842105
173,Rams,Right D Gap,19.500000000000004,24,0,43.5,1.359375
174,Rams,Right Off-Tackle Gap Unknown,40.40000000000001,12,0,52.400000000000006,26.200000000000003
175,Ravens,Left A Gap,15.2,18,0,33.199999999999996,4.742857142857142
176,Ravens,Left D Gap,27.500000000000004,12,0,39.49999999999999,7.899999999999999
177,Ravens,Left Off-Tackle Gap Unknown,28.999999999999996,6,-1,34.0,8.5
178,Ravens,Middle,-0.8,6,0,5.200000000000003,1.0400000000000005
179,Ravens,Right A Gap,19.8,18,0,37.800000000000004,2.1
180,Ravens,Right D Gap,29.099999999999998,6,0,35.10000000000001,7.020000000000001
181,Ravens,Right Off-Tackle Gap Unknown,28.5,12,0,40.50000000000002,2.2500000000000013
182,Saints,Left A Gap,20.7,12,0,32.70000000000001,5.450000000000002
183,Saints,Left D Gap,31.100000000000005,6,0,37.1,18.55
184,Saints,Left Off-Tackle Gap Unknown,29.500000000000004,0,-1,28.500000000000004,28.500000000000004
185,Saints,Middle,-0.19999999999999998,6,0,5.800000000000001,2.9000000000000004
186,Saints,Right A Gap,19.199999999999992,12,0,31.199999999999985,5.1999999999999975
187,Saints,Right D Gap,27.0,30,0,57.000000000000014,57.000000000000014
188,Saints,Right Off-Tackle Gap Unknown,32.9,6,-1,37.9,18.95
189,Seahawks,Left A Gap,22.200000000000006,30,0,52.20000000000002,6.525000000000002
190,Seahawks,Left D Gap,26.100000000000005,18,0,44.099999999999994,44.099999999999994
191,Seahawks,Left Off-Tackle Gap Unknown,48.5,12,0,60.50000000000001,60.50000000000001
192,Seahawks,Middle,2.220446049250313e-16,0,-1,-1.0000000000000004,-1.0000000000000004
193,Seahawks,Right A Gap,31.199999999999992,12,0,43.20000000000001,6.171428571428573
194,Seahawks,Right D Gap,36.800000000000004,12,0,48.800000000000004,6.971428571428572
195,Seahawks,Right Off-Tackle Gap Unknown,43.60000000000001,18,0,61.60000000000001,8.8
196,Steelers,Left A Gap,29.199999999999996,24,0,53.2,26.6
197,Steelers,Left D Gap,43.699999999999996,18,0,61.699999999999974,2.5708333333333324
198,Steelers,Left Off-Tackle Gap Unknown,65.89999999999999,18,-1,82.89999999999998,6.908333333333331
199,Steelers,Middle,1.4999999999999998,0,-2,-0.5000000000000002,-0.017241379310344834
200,Steelers,Right A Gap,24.600000000000005,6,0,30.600000000000005,0.805263157894737
201,Steelers,Right D Gap,31.900000000000002,6,0,37.900000000000006,3.4454545454545458
202,Steelers,Right Off-Tackle Gap Unknown,75.89999999999999,36,0,111.9,9.325000000000001
203,Texans,Left A Gap,32.10000000000001,12,0,44.1,44.1
204,Texans,Left D Gap,41.999999999999986,24,0,66.0,33.0
205,Texans,Left Off-Tackle Gap Unknown,63.40000000000003,42,-3,102.40000000000002,17.06666666666667
206,Texans,Middle,-0.3999999999999996,6,0,5.600000000000005,0.3733333333333337
207,Texans,Right A Gap,32.29999999999999,30,0,62.300000000000004,6.9222222222222225
208,Texans,Right D Gap,38.10000000000001,18,0,56.100000000000016,56.100000000000016
209,Texans,Right Off-Tackle Gap Unknown,46.50000000000001,30,-1,75.5,3.5952380952380953
210,Titans,Left A Gap,22.900000000000002,12,0,34.9,34.9
211,Titans,Left D Gap,22.400000000000002,18,0,40.40000000000001,10.100000000000003
212,Titans,Left Off-Tackle Gap Unknown,33.80000000000001,6,0,39.800000000000004,19.900000000000002
213,Titans,Middle,0.7,0,0,0.7,0.0875
214,Titans,Right A Gap,26.400000000000002,30,-1,55.40000000000001,55.40000000000001
215,Titans,Right D Gap,25.5,30,0,55.500000000000014,9.250000000000002
216,Titans,Right Off-Tackle Gap Unknown,29.400000000000002,0,0,29.400000000000002,7.3500000000000005
217,Vikings,Left A Gap,34.599999999999994,18,0,52.6,52.6
218,Vikings,Left D Gap,35.800000000000004,12,0,47.79999999999997,47.79999999999997
219,Vikings,Left Off-Tackle Gap Unknown,43.79999999999999,18,0,61.79999999999997,61.79999999999997
220,Vikings,Middle,-0.5,0,0,-0.5,-0.5
221,Vikings,Right A Gap,25.2,18,0,43.2,2.4000000000000004
222,Vikings,Right D Gap,40.799999999999976,6,-3,43.799999999999976,3.649999999999998
223,Vikings,Right Off-Tackle Gap Unknown,47.099999999999994,18,0,65.1,2.959090909090909
