,nickName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
0,49ers,Man,182,53.52,32,0,85.51999999999995,0.46989010989010965
1,49ers,Other,94,15.64,20,-3,32.63999999999999,0.3472340425531914
2,49ers,Zone,354,95.23999999999992,28,-10,113.23999999999991,0.3198870056497173
3,Bears,Man,190,52.199999999999996,32,-2,82.20000000000002,0.43263157894736853
4,Bears,Other,63,16.44,24,0,40.44,0.6419047619047619
5,Bears,Zone,172,46.44000000000001,32,-3,75.44,0.4386046511627907
6,Bengals,Man,244,57.919999999999995,20,-5,72.91999999999999,0.2988524590163934
7,Bengals,Other,111,26.279999999999994,36,-2,60.28,0.5430630630630631
8,Bengals,Zone,299,91.51999999999998,48,-7,132.52000000000004,0.44321070234113724
9,Bills,Man,227,53.28000000000001,16,-8,61.28000000000001,0.2699559471365639
10,Bills,Other,69,17.8,20,-2,35.79999999999999,0.5188405797101447
11,Bills,Zone,241,49.36000000000001,12,-10,51.36000000000001,0.21311203319502078
12,Broncos,Man,260,67.28000000000003,32,-4,95.27999999999999,0.3664615384615384
13,Broncos,Other,40,7.24,20,-2,25.240000000000002,0.631
14,Broncos,Zone,211,53.879999999999995,20,-5,68.88,0.3264454976303317
15,Browns,Man,163,33.28,24,-6,51.28,0.31460122699386506
16,Browns,Other,60,13.200000000000001,28,0,41.19999999999999,0.6866666666666664
17,Browns,Zone,241,64.51999999999998,28,-9,83.52000000000001,0.3465560165975104
18,Buccaneers,Man,241,61.87999999999997,32,-6,87.88000000000001,0.3646473029045644
19,Buccaneers,Other,94,17.679999999999996,24,-2,39.67999999999999,0.422127659574468
20,Buccaneers,Zone,356,86.95999999999998,28,-9,105.96,0.2976404494382022
21,Cardinals,Man,193,47.24,40,-3,84.24000000000001,0.4364766839378239
22,Cardinals,Other,79,15.44,20,-2,33.43999999999998,0.4232911392405061
23,Cardinals,Zone,258,73.6,32,-6,99.6,0.38604651162790693
24,Chargers,Man,158,39.32,16,-2,53.32,0.33746835443037976
25,Chargers,Other,51,10.040000000000003,28,0,38.04,0.7458823529411764
26,Chargers,Zone,248,78.47999999999999,28,-7,99.47999999999998,0.4011290322580644
27,Chiefs,Man,334,86.63999999999997,48,-7,127.64,0.3821556886227545
28,Chiefs,Other,67,19.87999999999999,20,0,39.879999999999995,0.5952238805970148
29,Chiefs,Zone,203,65.91999999999997,44,-8,101.92000000000002,0.5020689655172415
30,Colts,Man,233,54.27999999999995,32,-10,76.27999999999997,0.3273819742489269
31,Colts,Other,67,15.079999999999997,52,0,67.08000000000001,1.0011940298507465
32,Colts,Zone,259,77.71999999999998,36,-8,105.71999999999997,0.40818532818532804
33,Cowboys,Man,245,64.08,32,-10,86.08000000000001,0.35134693877551026
34,Cowboys,Other,104,22.63999999999999,28,-2,48.64,0.4676923076923077
35,Cowboys,Zone,182,55.95999999999998,24,-10,69.96000000000001,0.38439560439560444
36,Dolphins,Man,216,67.92,36,-6,97.91999999999997,0.4533333333333332
37,Dolphins,Other,85,16.879999999999992,36,-1,51.879999999999974,0.6103529411764703
38,Dolphins,Zone,211,55.08000000000002,4,-3,56.080000000000005,0.26578199052132706
39,Eagles,Man,206,55.84000000000002,20,-4,71.84,0.34873786407766993
40,Eagles,Other,73,15.240000000000002,32,0,47.239999999999995,0.6471232876712328
41,Eagles,Zone,232,68.59999999999998,32,-7,93.59999999999998,0.4034482758620689
42,Falcons,Man,233,61.64000000000003,60,-5,116.63999999999997,0.5006008583690986
43,Falcons,Other,91,24.400000000000002,36,-1,59.4,0.6527472527472528
44,Falcons,Zone,156,48.96000000000001,0,-3,45.960000000000015,0.2946153846153847
45,Football Team,Man,201,64.28000000000002,40,-2,102.27999999999997,0.5088557213930347
46,Football Team,Other,65,13.079999999999998,44,0,57.07999999999999,0.8781538461538461
47,Football Team,Zone,238,78.11999999999999,20,-3,95.12000000000005,0.3996638655462187
48,Giants,Man,160,42.6,32,-4,70.6,0.44125
49,Giants,Other,79,16.75999999999999,40,-2,54.759999999999984,0.6931645569620251
50,Giants,Zone,285,77.31999999999998,16,-8,85.31999999999992,0.2993684210526313
51,Jaguars,Man,214,59.799999999999976,36,-2,93.79999999999994,0.4383177570093455
52,Jaguars,Other,93,17.679999999999993,32,-1,48.67999999999999,0.5234408602150536
53,Jaguars,Zone,200,62.96000000000001,4,-4,62.960000000000015,0.3148000000000001
54,Jets,Man,209,58.31999999999999,32,-3,87.32,0.41779904306220095
55,Jets,Other,55,8.400000000000002,28,-1,35.4,0.6436363636363636
56,Jets,Zone,255,81.87999999999998,40,-1,120.87999999999992,0.4740392156862742
57,Lions,Man,220,66.64000000000001,36,-4,98.64000000000001,0.4483636363636364
58,Lions,Other,73,15.759999999999994,32,0,47.759999999999984,0.6542465753424656
59,Lions,Zone,192,63.8,12,-6,69.80000000000003,0.3635416666666668
60,Packers,Man,207,49.24000000000002,40,-6,83.24000000000004,0.4021256038647345
61,Packers,Other,75,16.76,52,-4,64.76000000000002,0.8634666666666669
62,Packers,Zone,285,74.08000000000004,16,-8,82.08000000000001,0.28800000000000003
63,Panthers,Man,194,47.35999999999999,32,-4,75.36000000000001,0.38845360824742275
64,Panthers,Other,59,12.399999999999997,44,0,56.40000000000001,0.9559322033898308
65,Panthers,Zone,209,59.679999999999986,8,-4,63.67999999999998,0.3046889952153109
66,Patriots,Man,230,61.32,20,-9,72.32,0.3144347826086956
67,Patriots,Other,55,11.239999999999997,20,-1,30.24,0.5498181818181818
68,Patriots,Zone,237,58.35999999999994,20,-8,70.35999999999996,0.2968776371308015
69,Raiders,Man,167,37.12,28,-1,64.12000000000002,0.38395209580838335
70,Raiders,Other,47,11.200000000000003,32,0,43.2,0.9191489361702129
71,Raiders,Zone,371,99.12,44,-4,139.12000000000003,0.3749865229110513
72,Rams,Man,163,49.68,8,0,57.68,0.35386503067484665
73,Rams,Other,116,21.88,24,-2,43.88,0.3782758620689655
74,Rams,Zone,476,124.19999999999996,48,-19,153.19999999999993,0.3218487394957982
75,Ravens,Man,234,72.52,48,-4,116.52000000000002,0.49794871794871803
76,Ravens,Other,72,17.439999999999994,36,-3,50.43999999999999,0.7005555555555554
77,Ravens,Zone,224,65.39999999999996,8,-2,71.39999999999998,0.3187499999999999
78,Saints,Man,312,80.15999999999997,40,-12,108.16000000000005,0.34666666666666685
79,Saints,Other,71,12.359999999999998,12,-2,22.360000000000003,0.3149295774647888
80,Saints,Zone,199,53.480000000000004,4,-5,52.480000000000004,0.26371859296482414
81,Seahawks,Man,208,55.440000000000005,20,-2,73.44,0.35307692307692307
82,Seahawks,Other,89,20.439999999999994,36,0,56.43999999999999,0.6341573033707865
83,Seahawks,Zone,274,82.39999999999998,28,-9,101.39999999999996,0.3700729927007298
84,Steelers,Man,243,72.76,56,-6,122.76,0.5051851851851852
85,Steelers,Other,83,13.360000000000001,24,-2,35.36,0.4260240963855422
86,Steelers,Zone,272,77.95999999999995,16,-6,87.95999999999995,0.3233823529411763
87,Texans,Man,239,73.24000000000001,32,-11,94.23999999999997,0.3943096234309622
88,Texans,Other,66,15.639999999999997,32,-2,45.639999999999986,0.6915151515151513
89,Texans,Zone,182,60.08000000000001,20,-4,76.08,0.418021978021978
90,Titans,Man,233,64.47999999999999,32,-4,92.48000000000002,0.3969098712446353
91,Titans,Other,96,23.639999999999997,32,-4,51.639999999999986,0.5379166666666665
92,Titans,Zone,288,74.6,8,-11,71.6,0.2486111111111111
93,Vikings,Man,232,61.07999999999999,28,-4,85.07999999999998,0.3667241379310344
94,Vikings,Other,91,24.319999999999993,28,0,52.31999999999999,0.5749450549450549
95,Vikings,Zone,225,67.96,36,-10,93.96,0.41759999999999997
