team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch,plays,totalPlays,freq
GB,Aaron Jones,Duo,23,15.4,24,0,39.400000000000006,1.71304347826087,23,217,0.10599078341013825
GB,Aaron Jones,Pull Across,17,9.100000000000001,0,0,9.100000000000001,0.5352941176470589,17,217,0.07834101382488479
GB,Aaron Jones,Split Zone,31,13.899999999999999,6,0,19.900000000000002,0.6419354838709678,31,217,0.14285714285714285
GB,Aaron Jones,Zone,146,80.80000000000003,30,0,110.80000000000007,0.7589041095890415,146,217,0.6728110599078341
GB,Aaron Rodgers,Pass Protection,20,11.400000000000002,18,0,29.4,1.47,20,33,0.6060606060606061
GB,Aaron Rodgers,Zone,13,0.40000000000000013,6,-1,5.400000000000001,0.41538461538461546,13,33,0.3939393939393939
WAS,Alex Armah,Zone,6,0.9,0,0,0.9,0.15,6,6,1.0
MIN,Alexander Mattison,Pull Across,6,4.800000000000001,0,0,4.800000000000001,0.8000000000000002,6,83,0.07228915662650602
MIN,Alexander Mattison,Split Zone,7,3.4000000000000004,6,0,9.400000000000002,1.3428571428571432,7,83,0.08433734939759036
MIN,Alexander Mattison,Zone,70,28.6,6,0,34.60000000000001,0.4942857142857144,70,83,0.8433734939759037
NO,Alvin Kamara,Duo,29,17.3,0,0,17.3,0.596551724137931,29,225,0.1288888888888889
NO,Alvin Kamara,Pass Protection,7,2.7,0,0,2.7,0.38571428571428573,7,225,0.03111111111111111
NO,Alvin Kamara,Pull Across,19,10.1,0,0,10.1,0.531578947368421,19,225,0.08444444444444445
NO,Alvin Kamara,Pull Front,7,1.0000000000000002,12,0,13.000000000000002,1.8571428571428574,7,225,0.03111111111111111
NO,Alvin Kamara,Pull Outside Numbers,7,4.7,0,0,4.7,0.6714285714285715,7,225,0.03111111111111111
NO,Alvin Kamara,Split Zone,39,26.099999999999998,30,0,56.1,1.4384615384615385,39,225,0.17333333333333334
NO,Alvin Kamara,Zone,117,50.400000000000034,60,0,110.39999999999995,0.9435897435897431,117,225,0.52
NO,Andy Dalton,Pass Protection,15,8.600000000000001,0,0,8.600000000000001,0.5733333333333335,15,26,0.5769230769230769
NO,Andy Dalton,Zone,11,1.6,0,0,1.6,0.14545454545454548,11,26,0.4230769230769231
PIT,Anthony McFarland Jr.,Zone,14,2.5000000000000004,0,0,2.5000000000000004,0.1785714285714286,14,14,1.0
WAS,Antonio Gibson,Duo,10,7.5,12,0,19.500000000000004,1.9500000000000004,10,179,0.055865921787709494
WAS,Antonio Gibson,Pull Across,39,22.900000000000002,6,0,28.900000000000002,0.7410256410256411,39,179,0.21787709497206703
WAS,Antonio Gibson,Pull Outside Numbers,12,7.300000000000001,0,0,7.300000000000001,0.6083333333333334,12,179,0.0670391061452514
WAS,Antonio Gibson,Split Zone,29,10.999999999999998,24,0,35.000000000000014,1.2068965517241383,29,179,0.16201117318435754
WAS,Antonio Gibson,Zone,89,33.599999999999994,24,0,57.59999999999998,0.6471910112359548,89,179,0.4972067039106145
LAC,Austin Ekeler,Duo,19,14.4,6,0,20.400000000000006,1.073684210526316,19,109,0.1743119266055046
LAC,Austin Ekeler,Pass Protection,12,7.1,0,0,7.1,0.5916666666666667,12,109,0.11009174311926606
LAC,Austin Ekeler,Pull Across,8,2.7,0,0,2.7,0.3375,8,109,0.07339449541284404
LAC,Austin Ekeler,Split Zone,11,3.8999999999999995,0,0,3.8999999999999995,0.3545454545454545,11,109,0.10091743119266056
LAC,Austin Ekeler,Zone,59,22.900000000000002,0,0,22.900000000000002,0.388135593220339,59,109,0.5412844036697247
CAR,Baker Mayfield,Pass Protection,24,13.7,6,0,19.7,0.8208333333333333,24,54,0.4444444444444444
CAR,Baker Mayfield,Zone,30,0.9000000000000001,0,-1,-0.09999999999999959,-0.0033333333333333197,30,54,0.5555555555555556
TB,Blaine Gabbert,Zone,7,-0.2,0,0,-0.2,-0.028571428571428574,7,7,1.0
PHI,Boston Scott,Pull Across,15,6.000000000000001,0,0,6.000000000000001,0.4000000000000001,15,62,0.24193548387096775
PHI,Boston Scott,Zone,47,21.900000000000006,0,0,21.900000000000006,0.46595744680851076,47,62,0.7580645161290323
LAR,Cam Akers,Duo,20,8.8,0,0,8.8,0.44000000000000006,20,190,0.10526315789473684
LAR,Cam Akers,Pull Across,19,10.700000000000001,0,0,10.700000000000001,0.5631578947368422,19,190,0.1
LAR,Cam Akers,Split Zone,23,6.1000000000000005,0,0,6.1000000000000005,0.26521739130434785,23,190,0.12105263157894737
LAR,Cam Akers,Zone,128,61.69999999999998,30,-1,90.69999999999996,0.7085937499999997,128,190,0.6736842105263158
WAS,Carson Wentz,Pass Protection,24,19.500000000000004,6,0,25.5,1.0625,24,45,0.5333333333333333
WAS,Carson Wentz,Zone,21,6.499999999999999,24,-1,29.499999999999996,1.4047619047619047,21,45,0.4666666666666667
DAL,CeeDee Lamb,Zone,9,6.3,6,0,12.3,1.3666666666666667,9,9,1.0
KC,Chad Henne,Zone,7,-0.4,0,0,-0.4,-0.05714285714285715,7,7,1.0
PIT,Chase Claypool,Zone,9,1.6,12,0,13.6,1.511111111111111,9,9,1.0
MIA,Chase Edmonds,Pull Across,13,6.2,0,0,6.2,0.47692307692307695,13,83,0.1566265060240964
MIA,Chase Edmonds,Split Zone,10,6.5,0,0,6.5,0.65,10,83,0.12048192771084337
MIA,Chase Edmonds,Zone,60,28.6,6,0,34.599999999999994,0.5766666666666665,60,83,0.7228915662650602
SEA,Chris Carson,Pull Across,17,8.0,6,0,14.0,0.8235294117647058,17,146,0.11643835616438356
SEA,Chris Carson,Split Zone,20,8.600000000000001,0,0,8.600000000000001,0.43000000000000005,20,146,0.136986301369863
SEA,Chris Carson,Zone,109,52.99999999999999,24,0,77.0,0.7064220183486238,109,146,0.7465753424657534
CAR,Christian McCaffrey,Duo,7,3.8,6,0,9.800000000000002,1.4000000000000004,7,53,0.1320754716981132
CAR,Christian McCaffrey,Pull Across,11,4.6,0,0,4.6,0.41818181818181815,11,53,0.20754716981132076
CAR,Christian McCaffrey,Zone,35,12.2,12,0,24.200000000000003,0.6914285714285715,35,53,0.660377358490566
KC,Clyde Edwards-Helaire,Pull 2,8,6.4,0,0,6.4,0.8,8,185,0.043243243243243246
KC,Clyde Edwards-Helaire,Pull Across,26,11.600000000000001,0,0,11.600000000000001,0.44615384615384623,26,185,0.14054054054054055
KC,Clyde Edwards-Helaire,Split Zone,48,23.89999999999999,0,0,23.89999999999999,0.4979166666666665,48,185,0.2594594594594595
KC,Clyde Edwards-Helaire,Zone,103,41.300000000000004,24,0,65.3,0.6339805825242718,103,185,0.5567567567567567
ATL,Cordarrelle Patterson,Pull Across,6,1.4,0,0,1.4,0.2333333333333333,6,57,0.10526315789473684
ATL,Cordarrelle Patterson,Split Zone,9,3.800000000000001,0,0,3.800000000000001,0.42222222222222233,9,57,0.15789473684210525
ATL,Cordarrelle Patterson,Zone,42,16.200000000000003,6,0,22.200000000000006,0.5285714285714287,42,57,0.7368421052631579
WAS,Curtis Samuel,Zone,32,15.700000000000001,6,0,21.700000000000003,0.6781250000000001,32,32,1.0
DET,D'Andre Swift,Duo,9,3.2,6,0,9.2,1.0222222222222221,9,108,0.08333333333333333
DET,D'Andre Swift,Pass Protection,8,4.200000000000001,0,0,4.200000000000001,0.5250000000000001,8,108,0.07407407407407407
DET,D'Andre Swift,Pull Across,19,9.400000000000004,6,-1,14.400000000000002,0.7578947368421054,19,108,0.17592592592592593
DET,D'Andre Swift,Split Zone,13,7.800000000000001,0,0,7.800000000000001,0.6000000000000001,13,108,0.12037037037037036
DET,D'Andre Swift,Zone,59,25.400000000000006,36,-1,60.4,1.023728813559322,59,108,0.5462962962962963
CLE,D'Ernest Johnson,Pull Across,8,6.800000000000001,0,0,6.800000000000001,0.8500000000000001,8,27,0.2962962962962963
CLE,D'Ernest Johnson,Zone,19,6.800000000000001,0,0,6.800000000000001,0.3578947368421053,19,27,0.7037037037037037
CAR,D'Onta Foreman,Zone,16,7.600000000000001,0,0,7.600000000000001,0.4750000000000001,16,16,1.0
DAL,Dak Prescott,Pass Protection,11,8.700000000000001,0,0,8.700000000000001,0.790909090909091,11,18,0.6111111111111112
DAL,Dak Prescott,Zone,7,0.6000000000000001,18,0,18.599999999999998,2.657142857142857,7,18,0.3888888888888889
MIN,Dalvin Cook,Duo,8,3.4,0,0,3.4,0.425,8,305,0.02622950819672131
MIN,Dalvin Cook,Pass Protection,11,4.8999999999999995,0,0,4.8999999999999995,0.4454545454545454,11,305,0.036065573770491806
MIN,Dalvin Cook,Pull Across,25,17.8,18,0,35.800000000000004,1.4320000000000002,25,305,0.08196721311475409
MIN,Dalvin Cook,Pull Front,9,1.7000000000000002,18,0,19.699999999999996,2.188888888888888,9,305,0.029508196721311476
MIN,Dalvin Cook,Pull Outside Numbers,6,3.0,0,0,3.0,0.5,6,305,0.019672131147540985
MIN,Dalvin Cook,Split Zone,41,18.2,18,0,36.20000000000001,0.8829268292682929,41,305,0.13442622950819672
MIN,Dalvin Cook,Zone,205,99.3,42,-2,139.29999999999998,0.6795121951219512,205,305,0.6721311475409836
NE,Damien Harris,Duo,7,5.7,0,0,5.7,0.8142857142857143,7,132,0.05303030303030303
NE,Damien Harris,Pull Across,29,16.1,6,0,22.1,0.7620689655172415,29,132,0.2196969696969697
NE,Damien Harris,Pull Outside Numbers,9,5.300000000000001,6,0,11.3,1.2555555555555555,9,132,0.06818181818181818
NE,Damien Harris,Split Zone,7,4.1000000000000005,0,0,4.1000000000000005,0.5857142857142857,7,132,0.05303030303030303
NE,Damien Harris,Wham,9,6.1000000000000005,0,0,6.1000000000000005,0.6777777777777778,9,132,0.06818181818181818
NE,Damien Harris,Zone,71,29.199999999999996,0,0,29.199999999999996,0.41126760563380277,71,132,0.5378787878787878
NYG,Daniel Jones,Pass Protection,24,18.100000000000005,0,0,18.100000000000005,0.7541666666666669,24,59,0.4067796610169492
NYG,Daniel Jones,Split Zone,7,8.5,6,0,14.5,2.0714285714285716,7,59,0.11864406779661017
NYG,Daniel Jones,Zone,28,15.000000000000007,0,0,15.000000000000007,0.5357142857142859,28,59,0.4745762711864407
ARI,Darrel Williams,Pull Across,9,3.1000000000000005,0,0,3.1000000000000005,0.3444444444444445,9,60,0.15
ARI,Darrel Williams,Split Zone,13,8.000000000000002,6,0,14.000000000000002,1.076923076923077,13,60,0.21666666666666667
ARI,Darrel Williams,Zone,38,15.299999999999995,0,0,15.299999999999995,0.4026315789473683,38,60,0.6333333333333333
CHI,Darrynton Evans,Zone,13,4.800000000000001,0,0,4.800000000000001,0.3692307692307693,13,13,1.0
CHI,David Montgomery,Duo,9,2.3000000000000003,0,0,2.3000000000000003,0.2555555555555556,9,248,0.036290322580645164
CHI,David Montgomery,Pass Protection,7,2.3000000000000003,0,0,2.3000000000000003,0.3285714285714286,7,248,0.028225806451612902
CHI,David Montgomery,Pull Across,16,5.4,0,0,5.4,0.3375,16,248,0.06451612903225806
CHI,David Montgomery,Split Zone,51,20.200000000000006,12,0,32.2,0.6313725490196079,51,248,0.2056451612903226
CHI,David Montgomery,Zone,165,77.0,36,0,112.99999999999999,0.6848484848484848,165,248,0.6653225806451613
CHI,David Moore,Zone,6,5.700000000000001,0,0,5.700000000000001,0.9500000000000002,6,6,1.0
SF,Deebo Samuel,Zone,6,2.3,0,0,2.3,0.3833333333333333,6,6,1.0
LV,Derek Carr,Pass Protection,17,10.400000000000002,6,0,16.400000000000002,0.9647058823529413,17,33,0.5151515151515151
LV,Derek Carr,Zone,16,1.5999999999999996,6,-1,6.6000000000000005,0.41250000000000003,16,33,0.48484848484848486
