,nickName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
0,49ers,Man,168,33.51999999999999,28,-5,56.519999999999996,0.3364285714285714,168,416,0.40384615384615385
1,49ers,Other,34,4.880000000000001,8,0,12.879999999999997,0.3788235294117646,34,416,0.08173076923076923
2,49ers,Zone,214,60.239999999999995,28,-4,84.23999999999998,0.393644859813084,214,416,0.5144230769230769
3,Bears,Man,161,31.6,32,-3,60.600000000000016,0.3763975155279504,161,431,0.37354988399071926
4,Bears,Other,29,7.040000000000001,12,-2,17.04,0.5875862068965517,29,431,0.06728538283062645
5,Bears,Zone,241,77.52000000000004,28,-5,100.52000000000002,0.4170954356846474,241,431,0.5591647331786543
6,Bengals,Man,162,47.95999999999998,40,-4,83.95999999999998,0.5182716049382715,162,339,0.4778761061946903
7,Bengals,Other,26,8.760000000000002,0,0,8.760000000000002,0.336923076923077,26,339,0.07669616519174041
8,Bengals,Zone,151,39.51999999999999,28,-6,61.519999999999996,0.40741721854304636,151,339,0.44542772861356933
9,Bills,Man,159,33.64,36,-5,64.64,0.40654088050314463,159,488,0.32581967213114754
10,Bills,Other,32,12.159999999999998,12,-1,23.160000000000004,0.7237500000000001,32,488,0.06557377049180328
11,Bills,Zone,297,83.99999999999997,24,-7,100.99999999999996,0.3400673400673399,297,488,0.6086065573770492
12,Broncos,Man,209,47.35999999999999,32,-3,76.35999999999999,0.3653588516746411,209,476,0.43907563025210083
13,Broncos,Other,33,6.6800000000000015,8,0,14.680000000000001,0.4448484848484849,33,476,0.06932773109243698
14,Broncos,Zone,234,69.44,36,-5,100.43999999999998,0.42923076923076914,234,476,0.49159663865546216
15,Browns,Man,120,33.88,44,-2,75.88000000000001,0.6323333333333334,120,470,0.2553191489361702
16,Browns,Other,30,9.680000000000001,0,0,9.680000000000001,0.3226666666666667,30,470,0.06382978723404255
17,Browns,Zone,320,89.19999999999993,60,-6,143.19999999999996,0.4474999999999999,320,470,0.6808510638297872
18,Buccaneers,Man,221,64.52,52,-9,107.52,0.48651583710407237,221,650,0.34
19,Buccaneers,Other,34,9.88,4,0,13.879999999999999,0.40823529411764703,34,650,0.052307692307692305
20,Buccaneers,Zone,395,93.75999999999996,52,-10,135.75999999999993,0.3436962025316454,395,650,0.6076923076923076
21,Cardinals,Man,253,64.20000000000002,44,-6,102.20000000000003,0.4039525691699606,253,491,0.515274949083503
22,Cardinals,Other,35,10.12,8,-1,17.12,0.48914285714285716,35,491,0.07128309572301425
23,Cardinals,Zone,203,52.279999999999994,20,-3,69.27999999999999,0.3412807881773398,203,491,0.4134419551934827
24,Chargers,Man,130,30.360000000000003,8,-2,36.36,0.2796923076923077,130,436,0.2981651376146789
25,Chargers,Other,25,4.640000000000001,0,-1,3.6400000000000006,0.14560000000000003,25,436,0.05733944954128441
26,Chargers,Zone,281,78.95999999999998,76,-8,146.95999999999998,0.5229893238434163,281,436,0.6444954128440367
27,Chiefs,Man,377,92.67999999999995,48,-8,132.6799999999999,0.35193633952254616,377,605,0.6231404958677685
28,Chiefs,Other,50,9.44,8,0,17.44,0.3488,50,605,0.08264462809917356
29,Chiefs,Zone,178,52.08,40,-10,82.07999999999998,0.4611235955056179,178,605,0.29421487603305785
30,Colts,Man,172,48.59999999999998,40,-5,83.60000000000001,0.486046511627907,172,468,0.36752136752136755
31,Colts,Other,27,7.720000000000001,0,-2,5.720000000000001,0.21185185185185187,27,468,0.057692307692307696
32,Colts,Zone,269,78.27999999999999,28,-7,99.27999999999997,0.36907063197026013,269,468,0.5747863247863247
33,Cowboys,Man,157,42.87999999999999,28,-3,67.88,0.4323566878980891,157,399,0.39348370927318294
34,Cowboys,Other,45,9.560000000000002,8,-2,15.560000000000002,0.34577777777777785,45,399,0.11278195488721804
35,Cowboys,Zone,197,54.959999999999994,56,-5,105.96,0.5378680203045685,197,399,0.49373433583959897
36,Dolphins,Man,223,59.199999999999996,40,-8,91.19999999999999,0.4089686098654708,223,479,0.46555323590814196
37,Dolphins,Other,35,14.52,4,-1,17.52,0.5005714285714286,35,479,0.07306889352818371
38,Dolphins,Zone,221,68.83999999999999,12,-8,72.84,0.3295927601809955,221,479,0.4613778705636743
39,Eagles,Man,167,47.75999999999999,36,-1,82.75999999999998,0.49556886227544894,167,354,0.4717514124293785
40,Eagles,Other,54,16.240000000000002,8,-2,22.240000000000002,0.4118518518518519,54,354,0.15254237288135594
41,Eagles,Zone,133,41.400000000000006,8,-3,46.400000000000006,0.3488721804511279,133,354,0.3757062146892655
42,Falcons,Man,275,86.76,36,-4,118.75999999999996,0.4318545454545453,275,547,0.5027422303473492
43,Falcons,Other,80,28.68000000000001,8,0,36.680000000000014,0.4585000000000002,80,547,0.14625228519195613
44,Falcons,Zone,192,55.67999999999999,68,-6,117.67999999999998,0.6129166666666666,192,547,0.3510054844606947
45,Football Team,Man,155,40.92000000000001,44,-5,79.91999999999997,0.5156129032258063,155,489,0.3169734151329243
46,Football Team,Other,53,13.320000000000002,12,0,25.319999999999997,0.4777358490566037,53,489,0.1083844580777096
47,Football Team,Zone,281,68.55999999999997,24,-9,83.56,0.2973665480427046,281,489,0.5746421267893661
48,Giants,Man,169,38.959999999999994,32,-3,67.96000000000001,0.40213017751479296,169,453,0.3730684326710817
49,Giants,Other,39,7.600000000000003,0,-1,6.600000000000003,0.16923076923076932,39,453,0.08609271523178808
50,Giants,Zone,245,75.23999999999997,20,-3,92.23999999999997,0.37648979591836723,245,453,0.5408388520971302
51,Jaguars,Man,151,49.8,56,-4,101.8,0.6741721854304635,151,319,0.47335423197492166
52,Jaguars,Other,22,9.120000000000001,4,0,13.12,0.5963636363636363,22,319,0.06896551724137931
