,nickName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
53,Jaguars,Zone,146,44.96,36,-3,77.96,0.533972602739726,146,319,0.45768025078369906
54,Jets,Man,203,51.119999999999976,48,-5,94.12,0.46364532019704435,203,429,0.4731934731934732
55,Jets,Other,46,12.999999999999998,12,-1,24.0,0.5217391304347826,46,429,0.10722610722610723
56,Jets,Zone,180,54.91999999999998,32,-1,85.91999999999994,0.47733333333333305,180,429,0.4195804195804196
57,Lions,Man,194,60.00000000000001,56,-2,114.0,0.5876288659793815,194,338,0.5739644970414202
58,Lions,Other,16,5.0,4,0,9.0,0.5625,16,338,0.047337278106508875
59,Lions,Zone,128,47.920000000000016,48,-2,93.91999999999999,0.7337499999999999,128,338,0.378698224852071
60,Packers,Man,191,42.96000000000001,20,-7,55.96,0.29298429319371727,191,435,0.43908045977011495
61,Packers,Other,34,7.5200000000000005,8,-1,14.519999999999996,0.42705882352941166,34,435,0.07816091954022988
62,Packers,Zone,210,60.279999999999994,36,-3,93.28,0.4441904761904762,210,435,0.4827586206896552
63,Panthers,Man,119,28.759999999999994,40,-1,67.76,0.5694117647058824,119,437,0.2723112128146453
64,Panthers,Other,38,11.759999999999998,0,0,11.759999999999998,0.3094736842105263,38,437,0.08695652173913043
65,Panthers,Zone,280,80.04,28,-4,104.03999999999999,0.37157142857142855,280,437,0.6407322654462243
66,Patriots,Man,221,62.36000000000001,48,-7,103.35999999999997,0.4676923076923076,221,436,0.5068807339449541
67,Patriots,Other,34,10.680000000000001,12,0,22.679999999999996,0.6670588235294117,34,436,0.0779816513761468
68,Patriots,Zone,181,54.559999999999974,16,-8,62.55999999999998,0.345635359116022,181,436,0.4151376146788991
69,Raiders,Man,224,63.75999999999997,32,-5,90.76000000000002,0.4051785714285715,224,442,0.5067873303167421
70,Raiders,Other,55,11.8,8,0,19.799999999999997,0.35999999999999993,55,442,0.1244343891402715
71,Raiders,Zone,163,47.400000000000006,40,-4,83.40000000000002,0.5116564417177916,163,442,0.36877828054298645
72,Rams,Man,157,39.279999999999994,44,-2,81.28,0.5177070063694268,157,532,0.2951127819548872
73,Rams,Other,44,10.36,4,0,14.359999999999994,0.32636363636363624,44,532,0.08270676691729323
74,Rams,Zone,331,74.31999999999996,24,-9,89.31999999999996,0.2698489425981872,331,532,0.6221804511278195
75,Ravens,Man,226,48.75999999999998,44,-6,86.75999999999999,0.3838938053097345,226,467,0.48394004282655245
76,Ravens,Other,25,5.320000000000001,0,-1,4.32,0.1728,25,467,0.05353319057815846
77,Ravens,Zone,216,57.679999999999964,16,-5,68.67999999999998,0.31796296296296284,216,467,0.4625267665952891
78,Saints,Man,330,76.47999999999996,52,-5,123.47999999999993,0.374181818181818,330,560,0.5892857142857143
79,Saints,Other,46,12.88,12,-2,22.88,0.4973913043478261,46,560,0.08214285714285714
80,Saints,Zone,184,45.67999999999999,20,-9,56.68,0.3080434782608696,184,560,0.32857142857142857
81,Seahawks,Man,186,52.63999999999998,20,-2,70.63999999999999,0.37978494623655906,186,532,0.34962406015037595
82,Seahawks,Other,47,8.719999999999999,4,-2,10.719999999999997,0.22808510638297866,47,532,0.08834586466165413
83,Seahawks,Zone,299,87.19999999999995,48,-3,132.19999999999993,0.44214046822742453,299,532,0.5620300751879699
84,Steelers,Man,227,51.44000000000003,44,-6,89.44,0.3940088105726872,227,436,0.5206422018348624
85,Steelers,Other,24,3.92,4,-1,6.92,0.28833333333333333,24,436,0.05504587155963303
86,Steelers,Zone,185,54.08,28,-8,74.08000000000001,0.4004324324324325,185,436,0.4243119266055046
87,Texans,Man,160,46.64000000000001,48,0,94.63999999999997,0.5914999999999998,160,353,0.45325779036827196
88,Texans,Other,29,7.760000000000002,12,0,19.76,0.6813793103448277,29,353,0.0821529745042493
89,Texans,Zone,164,49.87999999999999,12,-3,58.88,0.3590243902439025,164,353,0.46458923512747874
90,Titans,Man,209,56.20000000000002,56,-6,106.19999999999997,0.5081339712918659,209,438,0.4771689497716895
91,Titans,Other,54,16.599999999999994,8,-1,23.599999999999998,0.437037037037037,54,438,0.1232876712328767
92,Titans,Zone,175,52.03999999999998,32,-5,79.04,0.45165714285714287,175,438,0.3995433789954338
93,Vikings,Man,192,56.6,40,-7,89.59999999999997,0.4666666666666665,192,371,0.5175202156334232
94,Vikings,Other,49,12.840000000000002,8,0,20.839999999999993,0.4253061224489794,49,371,0.1320754716981132
95,Vikings,Zone,130,44.44,32,-3,73.43999999999998,0.5649230769230768,130,371,0.3504043126684636
