nickName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
Packers,Zone,182.29999999999995,54,147,383.30000000000007,691,0.5547033285094067,213,412,0.5169902912621359
Panthers,Man,66.19999999999999,72,60,198.2,819,0.24200244200244198,97,391,0.24808184143222506
Panthers,Other,42.199999999999996,0,56,98.20000000000002,362,0.27127071823204424,62,391,0.1585677749360614
Panthers,Zone,163.79999999999995,48,156,367.7999999999999,967,0.38035160289555314,232,391,0.5933503836317136
Patriots,Man,154.5,84,119,357.49999999999994,603,0.5928689883913764,200,381,0.5249343832020997
Patriots,Other,22.90000000000001,12,33,67.9,279,0.24336917562724017,36,381,0.09448818897637795
Patriots,Zone,124.10000000000001,18,100,242.10000000000005,680,0.356029411764706,145,381,0.3805774278215223
Raiders,Man,165.2999999999999,48,124,337.2999999999999,782,0.43132992327365716,193,426,0.45305164319248825
Raiders,Other,47.79999999999999,18,55,120.80000000000001,214,0.5644859813084113,70,426,0.1643192488262911
Raiders,Zone,131.8,48,100,279.80000000000007,980,0.28551020408163275,163,426,0.3826291079812207
Rams,Man,76.1,48,64,188.09999999999997,734,0.25626702997275197,115,447,0.25727069351230425
Rams,Other,39.6,12,58,109.60000000000002,271,0.4044280442804429,67,447,0.14988814317673377
Rams,Zone,185.70000000000002,42,164,391.70000000000016,1334,0.2936281859070466,265,447,0.5928411633109619
Ravens,Man,154.30000000000004,78,134,366.2999999999998,302,1.2129139072847674,243,535,0.4542056074766355
Ravens,Other,44.100000000000016,12,64,120.09999999999995,277,0.43357400722021644,74,535,0.1383177570093458
Ravens,Zone,162.60000000000002,24,151,337.60000000000025,905,0.37303867403314944,218,535,0.4074766355140187
Saints,Man,141.8000000000001,108,129,378.80000000000007,734,0.5160762942779292,223,430,0.5186046511627908
Saints,Other,40.300000000000004,24,46,110.3,270,0.4085185185185185,51,430,0.1186046511627907
Saints,Zone,115.2,18,91,224.20000000000016,856,0.2619158878504675,156,430,0.3627906976744186
Seahawks,Man,118.30000000000001,30,103,251.29999999999993,1047,0.24001910219675254,152,500,0.304
Seahawks,Other,26.90000000000001,6,57,89.89999999999998,328,0.27408536585365845,68,500,0.136
Seahawks,Zone,205.20000000000002,54,172,431.2000000000002,1088,0.3963235294117649,280,500,0.56
Steelers,Man,132.9,60,115,307.9,1120,0.2749107142857143,216,440,0.4909090909090909
Steelers,Other,26.8,12,28,66.80000000000001,537,0.12439478584729984,38,440,0.08636363636363636
Steelers,Zone,158.49999999999994,60,117,335.5000000000001,945,0.35502645502645513,186,440,0.42272727272727273
Texans,Man,135.99999999999997,96,103,335.00000000000006,962,0.3482328482328483,166,377,0.4403183023872679
Texans,Other,36.29999999999999,24,44,104.30000000000003,548,0.19032846715328472,54,377,0.14323607427055704
Texans,Zone,127.8,12,110,249.79999999999993,1056,0.23655303030303024,157,377,0.41644562334217505
Titans,Man,146.29999999999998,96,131,373.29999999999995,714,0.522829131652661,201,437,0.459954233409611
Titans,Other,42.90000000000001,6,48,96.89999999999998,490,0.19775510204081628,61,437,0.13958810068649885
Titans,Zone,139.90000000000003,54,123,316.8999999999998,728,0.43530219780219753,175,437,0.40045766590389015
Vikings,Man,121.6000000000001,72,106,299.59999999999985,660,0.4539393939393937,167,328,0.5091463414634146
Vikings,Other,23.90000000000001,12,37,72.89999999999999,477,0.15283018867924528,42,328,0.12804878048780488
Vikings,Zone,115.10000000000001,30,86,231.1,1037,0.222854387656702,119,328,0.3628048780487805
