nickName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
49ers,Man,84.4,66,77,227.40000000000018,726,0.313223140495868,140,378,0.37037037037037035
49ers,Other,40.099999999999994,6,49,95.10000000000002,363,0.26198347107438025,56,378,0.14814814814814814
49ers,Zone,149.99999999999997,66,119,335.00000000000006,951,0.3522607781282861,182,378,0.48148148148148145
Bears,Man,81.09999999999997,78,75,234.1000000000002,1057,0.22147587511825942,122,374,0.32620320855614976
Bears,Other,14.6,12,29,55.6,191,0.29109947643979056,37,374,0.09893048128342247
Bears,Zone,177.10000000000008,48,145,370.09999999999985,1178,0.31417657045840397,215,374,0.5748663101604278
Bengals,Man,145.70000000000002,72,121,338.7000000000001,914,0.37056892778993444,203,417,0.486810551558753
Bengals,Other,30.599999999999998,6,33,69.60000000000002,359,0.19387186629526468,45,417,0.1079136690647482
Bengals,Zone,142.20000000000005,66,118,326.19999999999993,1096,0.29762773722627733,169,417,0.4052757793764988
Bills,Man,121.79999999999998,78,101,300.79999999999995,1130,0.2661946902654867,186,546,0.34065934065934067
Bills,Other,36.60000000000001,24,43,103.59999999999997,494,0.20971659919028332,58,546,0.10622710622710622
Bills,Zone,239.70000000000005,42,206,487.70000000000016,792,0.6157828282828285,302,546,0.5531135531135531
Broncos,Man,115.4,66,97,278.40000000000003,1045,0.26641148325358854,169,382,0.4424083769633508
Broncos,Other,28.000000000000004,12,41,80.99999999999999,372,0.21774193548387094,46,382,0.12041884816753927
Broncos,Zone,149.79999999999998,54,115,318.80000000000007,1018,0.313163064833006,167,382,0.43717277486910994
Browns,Man,116.80000000000001,60,85,261.8,812,0.3224137931034483,139,533,0.2607879924953096
Browns,Other,42.3,0,48,90.30000000000003,287,0.3146341463414635,58,533,0.10881801125703565
Browns,Zone,269.3,102,224,595.2999999999998,769,0.7741222366710011,336,533,0.6303939962476548
Buccaneers,Man,148.10000000000002,66,125,339.10000000000014,1082,0.3134011090573014,197,582,0.3384879725085911
Buccaneers,Other,50.800000000000004,12,60,122.80000000000004,579,0.21208981001727123,75,582,0.12886597938144329
Buccaneers,Zone,213.70000000000005,66,208,487.6999999999997,890,0.5479775280898873,310,582,0.5326460481099656
Cardinals,Man,148.39999999999992,84,129,361.3999999999999,647,0.5585780525502317,229,456,0.5021929824561403
Cardinals,Other,37.699999999999996,18,49,104.70000000000002,477,0.21949685534591198,58,456,0.12719298245614036
Cardinals,Zone,133.20000000000002,36,110,279.2,1243,0.2246178600160901,169,456,0.3706140350877193
Chargers,Man,74.6,24,63,161.59999999999994,1033,0.15643756050338814,108,358,0.3016759776536313
Chargers,Other,24.3,6,31,61.300000000000004,558,0.10985663082437276,39,358,0.10893854748603352
Chargers,Zone,163.20000000000002,102,132,397.19999999999993,994,0.3995975855130784,211,358,0.5893854748603352
Chiefs,Man,157.9999999999999,66,147,370.99999999999994,1016,0.3651574803149606,258,462,0.5584415584415584
Chiefs,Other,34.89999999999999,24,44,102.9,493,0.20872210953346856,54,462,0.11688311688311688
Chiefs,Zone,120.99999999999997,60,102,283.00000000000006,1190,0.2378151260504202,150,462,0.3246753246753247
Colts,Man,136.2,54,103,293.2,965,0.3038341968911917,168,410,0.4097560975609756
Colts,Other,34.3,12,44,90.29999999999998,513,0.17602339181286547,50,410,0.12195121951219512
Colts,Zone,151.70000000000005,30,121,302.7,935,0.3237433155080214,192,410,0.4682926829268293
Cowboys,Man,117.0,60,94,271.0000000000002,1186,0.22849915682967978,144,381,0.3779527559055118
Cowboys,Other,43.099999999999994,24,49,116.1,551,0.21070780399274047,59,381,0.15485564304461943
Cowboys,Zone,144.00000000000009,90,114,347.9999999999999,1264,0.27531645569620244,178,381,0.4671916010498688
Dolphins,Man,152.20000000000005,72,100,324.2,1064,0.30469924812030075,185,419,0.441527446300716
Dolphins,Other,45.699999999999996,6,38,89.7,223,0.40224215246636774,47,419,0.11217183770883055
Dolphins,Zone,163.00000000000006,24,122,309.0000000000001,686,0.4504373177842567,187,419,0.44630071599045346
Eagles,Man,153.2999999999999,102,131,386.3000000000002,1146,0.33708551483420607,196,450,0.43555555555555553
Eagles,Other,60.600000000000016,12,71,143.60000000000002,228,0.6298245614035088,82,450,0.18222222222222223
Eagles,Zone,135.40000000000003,24,112,271.4000000000001,1066,0.2545966228893059,172,450,0.38222222222222224
Falcons,Man,153.8,48,124,325.7999999999999,1140,0.2857894736842104,190,437,0.43478260869565216
Falcons,Other,66.20000000000003,18,76,160.2,429,0.3734265734265734,89,437,0.2036613272311213
Falcons,Zone,135.4,90,103,328.4,1100,0.2985454545454545,158,437,0.36155606407322655
Football Team,Man,105.6,72,80,257.6,961,0.268054110301769,149,436,0.34174311926605505
Football Team,Other,32.1,6,47,85.10000000000001,529,0.16086956521739132,55,436,0.12614678899082568
Football Team,Zone,165.09999999999994,36,135,336.09999999999985,1178,0.28531409168081484,232,436,0.5321100917431193
Giants,Man,109.39999999999998,84,95,288.3999999999999,770,0.37454545454545446,161,443,0.36343115124153497
Giants,Other,25.2,6,42,73.2,330,0.22181818181818183,54,443,0.12189616252821671
Giants,Zone,193.49999999999994,30,164,387.50000000000006,928,0.41756465517241387,228,443,0.5146726862302483
Jaguars,Man,142.60000000000002,84,104,330.5999999999998,1279,0.25848318999218123,176,418,0.42105263157894735
Jaguars,Other,53.19999999999999,12,54,119.19999999999999,460,0.25913043478260867,59,418,0.14114832535885166
Jaguars,Zone,146.6,54,126,326.6000000000001,1100,0.29690909090909096,183,418,0.43779904306220097
Jets,Man,151.70000000000007,90,133,374.6999999999999,791,0.4737041719342603,212,481,0.4407484407484408
Jets,Other,59.99999999999999,18,64,141.99999999999997,358,0.39664804469273734,79,481,0.16424116424116425
Jets,Zone,150.60000000000008,60,128,338.6000000000001,725,0.4670344827586208,190,481,0.39501039501039503
Lions,Man,160.89999999999998,84,120,364.8999999999999,792,0.4607323232323231,194,375,0.5173333333333333
Lions,Other,21.9,12,19,52.900000000000006,319,0.1658307210031348,25,375,0.06666666666666667
Lions,Zone,154.40000000000012,60,122,336.4,923,0.3644637053087757,156,375,0.416
Packers,Man,82.60000000000001,24,86,192.60000000000002,824,0.23373786407766994,143,412,0.3470873786407767
Packers,Other,33.60000000000001,30,45,108.6,285,0.38105263157894737,56,412,0.13592233009708737
